Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,50.310001,51.470001,50.009998,51.34,51.34,180400
2012-02-07,51.310001,52.439999,50.450001,52.110001,52.110001,375100
2012-02-08,52.110001,52.130001,50.470001,51.009998,51.009998,396400
2012-02-09,51.0,51.23,50.209999,50.310001,50.310001,227900
2012-02-10,49.73,50.360001,48.900002,49.439999,49.439999,382200
2012-02-13,50.009998,51.18,49.59,50.610001,50.610001,475600
2012-02-14,50.57,50.610001,49.599998,50.459999,50.459999,399500
2012-02-15,45.080002,47.0,44.560001,45.049999,45.049999,2507100
2012-02-16,44.290001,45.959999,44.029999,45.880001,45.880001,667300
2012-02-17,45.889999,46.34,45.43,45.959999,45.959999,482500
2012-02-21,46.18,46.18,44.900002,45.310001,45.310001,601300
2012-02-22,45.02,45.389999,44.52,45.040001,45.040001,532900
2012-02-23,45.060001,45.880001,44.07,44.630001,44.630001,404600
2012-02-24,44.599998,44.599998,42.27,42.43,42.43,391200
2012-02-27,41.799999,43.0,40.939999,42.889999,42.889999,364400
2012-02-28,42.970001,43.830002,42.580002,43.009998,43.009998,304900
2012-02-29,43.060001,43.5,41.82,42.619999,42.619999,425700
2012-03-01,42.77,44.82,42.439999,43.490002,43.490002,351700
2012-03-02,43.470001,43.470001,41.900002,42.299999,42.299999,245600
2012-03-05,42.060001,42.57,41.73,42.490002,42.490002,238000
2012-03-06,41.990002,42.060001,40.939999,41.549999,41.549999,429200
2012-03-07,41.759998,43.360001,41.220001,43.049999,43.049999,373900
2012-03-08,43.259998,44.07,42.630001,43.400002,43.400002,249300
2012-03-09,43.490002,44.029999,42.810001,43.939999,43.939999,254100
2012-03-12,43.860001,43.860001,42.040001,42.869999,42.869999,217700
2012-03-13,43.950001,46.84,43.950001,46.34,46.34,492000
2012-03-14,46.099998,46.209999,44.759998,45.59,45.59,340100
2012-03-15,45.259998,48.27,45.259998,47.650002,47.650002,427100
2012-03-16,47.849998,48.75,47.400002,47.93,47.93,429500
2012-03-19,47.900002,49.130001,47.16,48.549999,48.549999,311300
2012-03-20,48.209999,49.369999,47.599998,48.360001,48.360001,315800
2012-03-21,48.310001,50.349998,47.889999,49.509998,49.509998,615500
2012-03-22,48.68,48.68,47.220001,48.139999,48.139999,493800
2012-03-23,48.669998,49.060001,47.48,48.91,48.91,209200
2012-03-26,49.59,50.59,49.400002,50.220001,50.220001,220500
2012-03-27,50.16,50.16,48.639999,48.790001,48.790001,432800
2012-03-28,48.720001,48.990002,46.860001,48.389999,48.389999,301000
2012-03-29,47.77,49.389999,47.389999,49.25,49.25,238400
2012-03-30,49.790001,49.790001,48.540001,49.209999,49.209999,354900
2012-04-02,49.200001,50.650002,48.75,49.889999,49.889999,399400
2012-04-03,49.779999,50.509998,49.349998,49.73,49.73,193700
2012-04-04,48.849998,49.18,48.099998,48.68,48.68,179900
2012-04-05,48.209999,48.970001,48.169998,48.849998,48.849998,290900
2012-04-09,48.279999,49.009998,47.720001,48.18,48.18,345900
2012-04-10,47.860001,48.389999,45.52,46.049999,46.049999,339200
2012-04-11,46.77,47.27,46.0,46.580002,46.580002,258100
2012-04-12,46.599998,48.32,46.110001,47.419998,47.419998,315600
2012-04-13,47.18,47.48,46.610001,46.98,46.98,200600
2012-04-16,47.16,47.540001,46.32,46.93,46.93,126000
2012-04-17,47.0,49.02,46.990002,48.169998,48.169998,285200
2012-04-18,47.98,48.509998,46.84,47.279999,47.279999,355500
2012-04-19,47.25,47.459999,45.84,46.669998,46.669998,244500
2012-04-20,47.84,47.849998,44.349998,45.41,45.41,580600
2012-04-23,44.419998,44.93,43.75,44.43,44.43,175700
2012-04-24,44.34,45.439999,44.25,45.189999,45.189999,440200
2012-04-25,46.009998,46.009998,44.48,45.310001,45.310001,203600
2012-04-26,45.029999,45.220001,44.5,45.009998,45.009998,145200
2012-04-27,44.98,45.740002,44.75,45.470001,45.470001,168000
2012-04-30,45.5,46.139999,44.810001,46.049999,46.049999,258100
2012-05-01,45.98,47.540001,45.389999,46.619999,46.619999,351500
2012-05-02,46.060001,47.209999,45.720001,47.0,47.0,205000
