Date,Open,High,Low,Close,Adj Close,Volume
2021-07-22,21.0,22.893999,20.879999,21.59,21.59,2545400
2021-07-23,22.0,24.0,21.5,22.889999,22.889999,664300
2021-07-26,23.200001,24.809999,23.0,23.49,23.49,642500
2021-07-27,23.629999,23.777,22.0,23.200001,23.200001,584300
2021-07-28,23.1,24.75,22.85,24.5,24.5,1213500
2021-07-29,25.040001,29.209999,24.93,28.540001,28.540001,378100
2021-07-30,29.42,29.582001,27.26,28.48,28.48,201200
2021-08-02,28.76,29.98,28.76,29.290001,29.290001,306600
2021-08-03,29.5,31.389999,29.0,30.290001,30.290001,212900
2021-08-04,31.530001,31.530001,24.879999,25.200001,25.200001,509900
2021-08-05,24.83,26.73,23.700001,26.040001,26.040001,310000
2021-08-06,25.83,27.299999,25.4,26.85,26.85,185200
2021-08-09,27.24,28.280001,26.75,27.549999,27.549999,232000
2021-08-10,27.360001,27.84,26.025999,26.57,26.57,224800
2021-08-11,26.790001,26.790001,23.719999,23.82,23.82,191000
2021-08-12,24.07,26.0,23.690001,23.85,23.85,242100
2021-08-13,23.969999,25.389999,23.65,25.01,25.01,336400
2021-08-16,24.5,24.51,19.799999,21.09,21.09,696900
2021-08-17,20.969999,22.665001,19.35,19.5,19.5,551700
2021-08-18,19.17,21.08,19.030001,20.52,20.52,263700
2021-08-19,20.379999,21.290001,20.0,20.5,20.5,374800
2021-08-20,20.67,23.125,20.01,22.52,22.52,219400
2021-08-23,22.780001,23.620001,22.09,22.389999,22.389999,207500
2021-08-24,22.17,23.280001,22.056,22.620001,22.620001,166500
2021-08-25,22.48,22.48,19.85,19.85,19.85,221100
2021-08-26,19.99,21.799999,19.952,21.57,21.57,256600
2021-08-27,21.440001,21.93,19.790001,19.799999,19.799999,166900
2021-08-30,19.85,20.395,17.0,18.209999,18.209999,407900
2021-08-31,18.41,19.639999,18.27,18.780001,18.780001,212100
2021-09-01,18.940001,19.389,18.17,18.879999,18.879999,223900
2021-09-02,19.07,19.59,18.674999,19.41,19.41,95300
2021-09-03,19.32,20.440001,19.01,20.08,20.08,114400
2021-09-07,20.030001,20.940001,17.049999,17.25,17.25,476300
2021-09-08,17.209999,17.379999,14.09,14.28,14.28,645500
2021-09-09,14.5,14.7,13.683,14.3,14.3,348200
2021-09-10,14.27,14.53,13.69,14.04,14.04,231000
2021-09-13,14.01,14.37,13.751,14.22,14.22,176600
2021-09-14,14.32,14.78,13.82,14.22,14.22,276200
2021-09-15,14.31,14.95,13.91,13.97,13.97,322200
2021-09-16,14.0,14.29,12.27,12.64,12.64,392700
2021-09-17,13.2,13.2,11.67,11.97,11.97,1929800
2021-09-20,11.72,11.84,10.315,10.97,10.97,521400
2021-09-21,11.11,11.18,10.21,10.37,10.37,345400
2021-09-22,10.39,11.59,10.175,11.12,11.12,299800
2021-09-23,11.1,11.625,10.92,11.46,11.46,168300
2021-09-24,11.26,11.55,11.08,11.31,11.31,229200
2021-09-27,11.21,11.89,10.8,11.68,11.68,285900
2021-09-28,11.51,11.8,10.51,10.88,10.88,383800
2021-09-29,11.0,11.85,10.9,11.48,11.48,253600
2021-09-30,11.57,12.24,11.506,11.63,11.63,207000
2021-10-01,11.73,12.485,11.11,12.42,12.42,355800
2021-10-04,12.31,12.71,10.71,10.88,10.88,458000
2021-10-05,10.89,11.31,10.4,11.03,11.03,449000
2021-10-06,10.89,11.905,10.42,11.54,11.54,101600
2021-10-07,11.67,12.49,10.65,10.76,10.76,329400
2021-10-08,10.81,11.59,10.01,10.03,10.03,140400
2021-10-11,10.16,10.45,9.62,9.95,9.95,170600
2021-10-12,10.04,10.34,9.62,10.01,10.01,99800
2021-10-13,10.14,11.005,10.14,10.42,10.42,113600
2021-10-14,10.59,11.147,10.42,10.59,10.59,68300
2021-10-15,10.98,11.28,10.32,10.63,10.63,62700
2021-10-18,10.5,11.155,10.216,10.91,10.91,114700
2021-10-19,10.81,11.825,10.81,11.64,11.64,173200
2021-10-20,11.84,11.84,11.01,11.19,11.19,112100
2021-10-21,11.13,11.99,10.8,11.86,11.86,109100
2021-10-22,11.78,12.43,11.41,11.65,11.65,124500
2021-10-25,11.51,12.165,11.36,11.82,11.82,80400
2021-10-26,11.84,13.08,11.48,12.91,12.91,187800
2021-10-27,12.69,14.34,12.69,13.83,13.83,315900
2021-10-28,13.93,14.5,13.21,14.3,14.3,135000
2021-10-29,14.15,14.9,13.95,14.67,14.67,143100
2021-11-01,14.8,15.749,14.54,15.55,15.55,134900
2021-11-02,15.53,16.448999,15.29,16.17,16.17,128200
2021-11-03,16.17,17.34,15.13,17.27,17.27,177600
2021-11-04,17.27,17.525,16.33,17.02,17.02,143200
2021-11-05,17.17,17.24,16.309999,16.879999,16.879999,83700
2021-11-08,17.110001,18.120001,16.49,18.030001,18.030001,253300
2021-11-09,16.129999,17.0,13.33,14.23,14.23,447200
2021-11-10,13.21,13.39,10.68,12.89,12.89,731000
2021-11-11,13.09,13.349,12.3,12.96,12.96,239200
2021-11-12,12.9,12.9,11.05,11.18,11.18,271900
2021-11-15,11.41,11.41,10.75,11.33,11.33,255500
2021-11-16,11.08,12.15,11.061,12.07,12.07,172600
2021-11-17,12.14,12.61,12.065,12.34,12.34,155100
2021-11-18,12.36,12.38,11.01,11.07,11.07,200500
2021-11-19,11.06,11.318,10.96,11.05,11.05,123000
2021-11-22,11.18,11.53,10.33,10.5,10.5,205800
2021-11-23,10.41,10.96,10.26,10.75,10.75,158500
2021-11-24,10.88,11.3,10.02,11.24,11.24,128300
2021-11-26,11.12,11.46,10.65,11.01,11.01,102000
2021-11-29,11.41,11.43,10.5,11.02,11.02,223700
2021-11-30,11.15,11.38,10.05,10.55,10.55,141800
2021-12-01,10.78,11.58,10.46,10.49,10.49,148400
2021-12-02,10.49,10.93,10.03,10.56,10.56,188100
2021-12-03,10.61,11.0,9.671,9.86,9.86,217000
