Date,Open,High,Low,Close,Adj Close,Volume
2012-04-27,18.0,18.030001,17.799999,17.82,7.904153,558900
2012-04-30,17.799999,18.049999,17.76,17.98,7.975121,123800
2012-05-01,17.98,18.059999,17.950001,18.0,7.983994,91100
2012-05-02,18.0,18.07,17.809999,17.84,7.913026,139700
2012-05-03,17.93,17.99,17.6,17.75,7.873106,169000
2012-05-04,17.15,17.67,16.75,17.530001,7.775526,241200
2012-05-07,17.43,17.5,16.82,17.5,7.762218,216000
2012-05-08,17.5,17.530001,17.35,17.360001,7.700119,108000
2012-05-09,17.200001,17.24,16.549999,16.799999,7.451728,498200
2012-05-10,16.65,16.82,16.26,16.530001,7.331967,320800
2012-05-11,16.450001,16.809999,16.440001,16.6,7.363018,145000
2012-05-14,16.18,16.98,16.02,16.629999,7.376323,148000
2012-05-15,16.52,16.6,16.459999,16.57,7.349709,109000
2012-05-16,16.530001,16.610001,16.48,16.5,7.318661,128800
2012-05-17,16.5,16.610001,16.110001,16.450001,7.296485,120500
2012-05-18,16.379999,16.780001,16.120001,16.76,7.433985,203000
2012-05-21,16.66,17.049999,16.65,17.0,7.540441,105200
2012-05-22,16.75,16.93,16.450001,16.459999,7.30092,93600
2012-05-23,16.299999,16.549999,16.110001,16.549999,7.340838,126000
2012-05-24,16.559999,16.719999,16.360001,16.719999,7.416244,78100
2012-05-25,16.719999,16.719999,16.450001,16.639999,7.380757,58800
2012-05-29,16.719999,17.17,16.59,16.610001,7.367451,49200
2012-05-30,16.49,16.84,16.49,16.549999,7.340838,52500
2012-05-31,16.6,16.65,16.290001,16.49,7.314226,79600
2012-06-01,16.129999,16.51,16.120001,16.35,7.252129,55400
2012-06-04,16.280001,16.73,15.76,16.57,7.349709,113000
2012-06-05,16.48,17.0,16.48,16.799999,7.451728,81100
2012-06-06,16.93,17.290001,16.57,17.17,7.615846,72600
2012-06-07,17.280001,17.6,17.18,17.5,7.762218,299300
2012-06-08,17.540001,17.540001,17.040001,17.32,7.682378,76200
2012-06-11,17.719999,17.719999,17.120001,17.309999,7.677939,86900
2012-06-12,17.24,17.530001,17.0,17.450001,7.740039,73700
2012-06-13,17.469999,17.540001,17.209999,17.5,7.762218,39200
2012-06-14,17.43,17.5,17.4,17.5,7.762218,71900
2012-06-15,17.549999,18.0,17.440001,17.98,7.975121,399400
2012-06-18,17.74,17.74,17.389999,17.52,7.77109,89600
2012-06-19,17.639999,17.65,17.24,17.33,7.686812,97500
2012-06-20,17.23,17.629999,17.200001,17.629999,7.819879,46400
2012-06-21,17.559999,17.690001,17.120001,17.120001,7.593665,147500
2012-06-22,17.309999,17.5,17.02,17.41,7.722298,999800
2012-06-25,17.209999,17.559999,17.08,17.09,7.58036,79400
2012-06-26,17.209999,17.27,16.84,17.030001,7.553747,76300
2012-06-27,17.040001,17.280001,16.709999,17.200001,7.656124,55700
2012-06-28,17.1,17.219999,16.76,17.200001,7.656124,116400
2012-06-29,17.450001,17.48,16.91,17.48,7.780757,103600
2012-07-02,17.49,17.82,17.030001,17.379999,7.736244,40400
2012-07-03,17.32,17.4,17.24,17.35,7.722891,12300
2012-07-05,17.309999,17.5,17.190001,17.200001,7.656124,7400
2012-07-06,17.1,17.1,16.82,16.92,7.53149,58000
2012-07-09,16.85,16.93,16.73,16.91,7.527038,23200
2012-07-10,16.92,17.309999,16.879999,17.17,7.642769,20700
2012-07-11,17.15,17.15,16.75,16.85,7.50033,59200
2012-07-12,16.700001,16.92,16.700001,16.780001,7.469171,45600
2012-07-13,16.799999,17.139999,16.75,16.959999,7.549295,26300
2012-07-16,16.99,16.99,16.719999,16.790001,7.473624,41000
2012-07-17,16.709999,17.030001,16.709999,16.790001,7.473624,41200
2012-07-18,16.799999,16.809999,16.58,16.74,7.451367,57900
2012-07-19,16.85,17.0,16.700001,16.85,7.50033,46900
2012-07-20,16.799999,16.969999,16.799999,16.83,7.491426,16600
2012-07-23,16.799999,17.059999,16.629999,16.74,7.451367,47400
2012-07-24,16.700001,16.950001,16.690001,16.889999,7.518137,49100
2012-07-25,16.889999,17.0,16.33,16.700001,7.433562,99700
2012-07-26,16.700001,16.870001,16.48,16.75,7.455817,65400
2012-07-27,16.76,16.85,16.559999,16.790001,7.473624,43000
2012-07-30,16.68,16.889999,16.559999,16.719999,7.442465,42900
2012-07-31,16.76,16.969999,16.559999,16.74,7.451367,84300
2012-08-01,16.799999,16.99,16.51,16.51,7.348989,65300
2012-08-02,16.5,16.85,16.5,16.76,7.460269,56300
2012-08-03,16.959999,16.959999,16.559999,16.83,7.491426,75000
2012-08-06,16.84,16.84,16.549999,16.77,7.464721,40600
2012-08-07,16.799999,16.99,16.68,16.75,7.455817,91600
2012-08-08,16.73,16.77,16.57,16.68,7.424658,76500
2012-08-09,16.67,16.799999,16.6,16.76,7.460269,29400
2012-08-10,16.66,16.83,16.629999,16.76,7.460269,24300
2012-08-13,16.690001,16.82,16.49,16.690001,7.429112,39400
2012-08-14,16.65,16.700001,16.459999,16.48,7.335634,66700
2012-08-15,16.5,16.709999,16.4,16.639999,7.406854,255800
2012-08-16,16.66,16.66,16.43,16.530001,7.357891,129700
2012-08-17,16.48,16.549999,16.370001,16.389999,7.295574,88600
2012-08-20,16.35,16.620001,16.34,16.42,7.308927,90800
2012-08-21,16.52,16.620001,16.389999,16.42,7.308927,90200
2012-08-22,16.440001,16.48,16.209999,16.309999,7.259963,93200
2012-08-23,16.360001,16.549999,16.200001,16.370001,7.286672,72400
2012-08-24,16.35,16.530001,16.35,16.49,7.340086,33500
2012-08-27,16.549999,16.549999,16.280001,16.360001,7.282222,138800
2012-08-28,16.34,16.59,16.34,16.51,7.348989,96300
2012-08-29,16.6,16.73,16.5,16.610001,7.3935,95400
2012-08-30,16.540001,16.73,16.540001,16.66,7.415757,23000
2012-08-31,16.719999,16.860001,16.559999,16.84,7.495881,54500
2012-09-04,16.809999,17.0,16.799999,17.0,7.567099,49200
2012-09-05,17.049999,17.26,16.950001,16.98,7.558196,92800
2012-09-06,17.059999,17.26,16.799999,17.17,7.642769,56600
2012-09-07,17.120001,17.16,16.860001,16.98,7.558196,54500
2012-09-10,16.98,17.15,16.719999,17.129999,7.624965,41400
2012-09-11,17.200001,17.25,16.98,17.139999,7.629417,71800
2012-09-12,17.16,17.219999,16.76,17.07,7.598258,59000
2012-09-13,16.870001,17.459999,16.860001,17.379999,7.736244,62400
2012-09-14,17.35,17.540001,17.23,17.389999,7.740695,101400
2012-09-17,17.41,17.51,17.389999,17.49,7.785209,57600
2012-09-18,17.540001,17.66,17.48,17.559999,7.816369,60300
2012-09-19,17.620001,17.68,17.41,17.620001,7.843075,42800
