Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,10.88,10.93,10.6,10.76,10.713993,250000
2012-02-07,10.67,10.69,10.54,10.64,10.594505,274600
2012-02-08,10.64,10.77,10.47,10.68,10.634336,291100
2012-02-09,10.74,10.85,10.61,10.73,10.684121,268500
2012-02-10,10.57,10.93,10.5,10.84,10.793652,259700
2012-02-13,10.93,11.04,10.62,11.0,10.952967,318500
2012-02-14,10.93,11.04,10.76,10.92,10.873309,277800
2012-02-15,10.95,11.05,10.85,11.01,10.962924,320500
2012-02-16,11.02,11.34,10.99,11.27,11.221813,147800
2012-02-17,11.37,11.6,11.28,11.49,11.440871,245600
2012-02-21,11.88,12.45,11.72,12.43,12.376853,724400
2012-02-22,12.41,12.73,12.16,12.56,12.506298,667500
2012-02-23,12.57,12.64,12.4,12.46,12.406723,482700
2012-02-24,12.43,12.58,12.25,12.53,12.476424,314000
2012-02-27,12.35,12.43,12.05,12.28,12.227493,294700
2012-02-28,12.29,12.46,12.08,12.19,12.137878,256400
2012-02-29,12.21,12.36,11.98,12.0,11.948691,354200
2012-03-01,12.2,12.31,12.01,12.02,11.968606,326200
2012-03-02,11.95,12.13,11.76,11.86,11.80929,351800
2012-03-05,11.8,11.86,11.43,11.61,11.560358,343400
2012-03-06,11.45,11.68,11.38,11.5,11.450829,296200
2012-03-07,11.6,12.03,11.55,11.99,11.938734,410600
2012-03-08,12.13,12.28,11.95,12.19,12.137878,361500
2012-03-09,12.25,12.39,12.11,12.26,12.20758,332900
2012-03-12,12.33,12.33,11.98,12.17,12.117964,455600
2012-03-13,12.33,12.91,12.2,12.9,12.844843,884200
2012-03-14,12.89,13.15,12.42,12.6,12.546125,616300
2012-03-15,12.63,12.93,12.63,12.93,12.874715,427900
2012-03-16,12.98,13.05,12.83,13.0,12.944415,1170600
2012-03-19,12.92,13.25,12.82,13.21,13.153518,563500
2012-03-20,13.09,13.22,12.98,13.08,13.024073,237300
2012-03-21,13.13,13.2,12.93,13.08,13.024073,238800
2012-03-22,12.89,13.18,12.81,13.05,12.994202,382600
2012-03-23,13.04,13.25,12.84,13.23,13.173431,251600
2012-03-26,13.37,13.37,13.12,13.31,13.25309,320200
2012-03-27,13.28,13.48,13.1,13.4,13.342705,277200
2012-03-28,13.37,13.49,13.25,13.25,13.193347,637100
2012-03-29,13.06,13.26,12.97,13.0,12.944415,572900
2012-03-30,13.13,13.31,12.92,13.12,13.063903,461400
2012-04-02,13.08,13.14,12.82,13.0,12.944415,466800
2012-04-03,13.0,13.06,12.55,12.66,12.605869,640400
2012-04-04,12.5,12.58,12.36,12.51,12.456511,440700
2012-04-05,12.42,12.57,12.38,12.48,12.426639,424600
2012-04-09,12.17,12.25,11.92,12.13,12.078135,362900
2012-04-10,12.12,12.17,11.9,11.94,11.888948,399600
