Date,Open,High,Low,Close,Adj Close,Volume
2018-07-19,13.15,16.799999,13.15,15.0,10.435369,601700
2018-07-20,15.0,15.19,13.75,13.98,9.725764,795600
2018-07-23,13.5,14.5,13.34,14.22,9.892733,787000
2018-07-24,13.9,14.26,13.9,14.08,9.795333,450000
2018-07-25,13.85,14.44,13.85,14.05,9.774464,397400
2018-07-26,13.9,14.47,13.7,14.29,9.941431,319500
2018-07-27,14.21,14.9,14.21,14.86,10.337971,238900
2018-07-30,14.51,14.95,14.51,14.91,10.372759,179200
2018-07-31,14.75,15.05,14.53,14.61,10.164049,182500
2018-08-01,14.65,14.95,14.65,14.95,10.400584,107500
2018-08-02,14.76,15.0,14.69,14.73,10.247535,258800
2018-08-03,14.76,14.94,14.7,14.8,10.296233,117900
2018-08-06,14.9,15.0,14.75,14.98,10.421454,185700
2018-08-07,14.8,15.03,14.8,14.98,10.421454,217600
2018-08-08,14.82,14.96,14.78,14.88,10.35189,156400
2018-08-09,14.78,15.0,14.78,14.85,10.358164,213600
2018-08-10,14.81,15.5,14.77,15.5,10.811553,261000
2018-08-13,15.41,16.0,15.34,16.0,11.160312,290100
2018-08-14,15.85,16.49,15.5,16.309999,11.376543,598000
2018-08-15,16.209999,16.34,15.67,16.34,11.39747,204700
2018-08-16,16.24,16.49,15.8,16.43,11.460247,262900
2018-08-17,16.450001,16.450001,16.110001,16.42,11.453273,158900
2018-08-20,16.379999,16.49,16.040001,16.49,11.502096,230900
2018-08-21,16.389999,16.49,16.24,16.4,11.439322,214600
2018-08-22,16.450001,16.49,16.25,16.49,11.502096,151400
2018-08-23,16.360001,16.74,16.360001,16.629999,11.59975,367000
2018-08-24,16.5,16.74,16.049999,16.74,11.676476,243700
2018-08-27,16.6,16.719999,16.360001,16.52,11.523024,263800
2018-08-28,16.370001,16.690001,16.26,16.469999,11.488146,212800
2018-08-29,16.469999,16.639999,16.07,16.35,11.404445,214200
2018-08-30,16.42,16.43,15.69,15.86,11.062659,194400
2018-08-31,15.8,16.07,15.62,15.75,10.98593,189300
2018-09-04,15.65,15.98,15.55,15.64,10.909204,129300
2018-09-05,15.56,16.0,15.4,15.99,11.153337,123600
2018-09-06,15.98,16.0,15.54,15.89,11.083586,107300
2018-09-07,15.96,15.96,15.17,15.54,10.839454,126700
2018-09-10,15.36,16.75,14.9,16.25,11.402195,954700
2018-09-11,16.16,16.41,15.7,16.219999,11.381145,577800
2018-09-12,16.120001,16.73,16.040001,16.700001,11.71795,601700
2018-09-13,16.559999,16.73,16.360001,16.690001,11.710931,432300
2018-09-14,16.65,16.879999,16.610001,16.85,11.823198,587000
2018-09-17,16.879999,17.17,16.610001,17.0,11.928451,652900
2018-09-18,16.950001,17.790001,16.950001,17.51,12.286305,894000
2018-09-19,16.99,18.219999,16.799999,17.690001,12.412606,1487400
2018-09-20,17.68,18.5,17.51,17.76,12.461723,1413400
2018-09-21,17.67,17.98,17.24,17.530001,12.300338,2917200
2018-09-24,17.49,17.65,16.209999,16.32,11.451313,719700
2018-09-25,16.32,16.889999,15.57,15.62,10.960143,632000
2018-09-26,15.54,15.88,15.2,15.22,10.679472,263400
2018-09-27,15.2,15.45,14.84,14.95,10.490021,409700
2018-09-28,14.92,15.28,14.75,15.26,10.707539,227600
2018-10-01,15.58,15.83,15.03,15.29,10.72859,233200
2018-10-02,15.22,15.35,14.78,15.11,10.602289,248100
2018-10-03,15.05,15.23,14.92,15.06,10.567206,110800
2018-10-04,14.99,15.09,14.7,14.77,10.363721,113900
2018-10-05,14.75,14.88,14.1,14.15,9.928682,177300
2018-10-08,14.17,15.0,14.17,14.35,10.069016,111900
2018-10-09,14.31,14.93,14.29,14.79,10.377753,127400
2018-10-10,14.59,15.0,14.59,14.96,10.562739,357500
2018-10-11,14.88,14.99,14.37,14.55,10.273255,416900
2018-10-12,14.47,14.74,13.28,14.49,10.230887,514800
2018-10-15,14.21,14.51,13.9,14.51,10.245012,299300
2018-10-16,14.49,14.51,13.92,14.0,9.884918,353600
2018-10-17,14.09,14.48,13.93,14.27,10.075562,272300
2018-10-18,14.1,14.38,14.06,14.16,9.99789,243400
2018-10-19,14.16,14.22,13.92,14.09,9.948465,181200
2018-10-22,14.04,14.14,13.75,13.85,9.779007,337300
2018-10-23,13.75,14.29,13.75,14.0,9.884918,257900
2018-10-24,13.96,14.16,13.8,13.9,9.814313,186500
2018-10-25,14.0,14.14,13.6,13.85,9.779007,254300
2018-10-26,13.7,13.88,13.52,13.64,9.630735,161400
2018-10-29,13.74,13.91,13.37,13.55,9.567189,155400
2018-10-30,13.65,13.8,13.32,13.54,9.560127,192400
2018-10-31,13.32,13.74,13.15,13.37,9.440098,278000
2018-11-01,13.45,13.58,13.01,13.24,9.348307,157600
2018-11-02,13.17,13.5,13.03,13.39,9.45422,195200
2018-11-05,13.36,13.49,13.08,13.22,9.334188,237200
2018-11-06,13.19,13.82,12.22,12.67,8.945849,311800
2018-11-07,12.49,12.79,12.07,12.23,8.698342,291100
2018-11-08,12.07,12.7,12.0,12.27,8.726794,284400
2018-11-09,12.32,13.05,12.17,12.79,9.096634,218600
2018-11-12,12.89,13.24,12.61,13.11,9.324225,165800
2018-11-13,13.11,13.55,13.03,13.48,9.58738,243100
2018-11-14,13.51,13.68,12.89,13.03,9.267327,399700
2018-11-15,13.15,13.38,12.92,13.13,9.338451,289200
2018-11-16,13.12,14.14,13.03,14.14,10.056792,499700
2018-11-19,14.02,14.05,13.69,14.0,9.957222,301400
