Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,21.370001,21.629999,21.200001,21.49,16.464417,36100
2012-02-07,21.5,21.5,21.25,21.370001,16.37248,28100
2012-02-08,21.379999,21.379999,20.799999,21.290001,16.311182,23900
2012-02-09,21.389999,21.49,20.9,20.940001,16.043032,23600
2012-02-10,20.65,20.870001,20.290001,20.4,15.629318,26900
2012-02-13,20.68,20.879999,20.59,20.83,15.958755,13100
2012-02-14,20.68,20.719999,19.889999,20.120001,15.414802,19900
2012-02-15,20.290001,20.299999,19.790001,19.82,15.184954,23400
2012-02-16,19.74,20.639999,19.74,20.57,15.759565,27700
2012-02-17,20.639999,20.889999,20.59,20.66,15.828513,12000
2012-02-21,20.790001,20.940001,20.200001,20.299999,15.552707,12500
2012-02-22,20.360001,20.360001,19.860001,20.17,15.453105,28000
2012-02-23,20.120001,20.66,19.799999,20.629999,15.805524,25700
2012-02-24,20.559999,20.620001,20.120001,20.209999,15.483744,11600
2012-02-27,20.0,20.32,19.780001,20.139999,15.430116,13600
2012-02-28,20.17,20.17,19.66,19.889999,15.238581,16000
2012-02-29,20.0,20.370001,19.809999,19.959999,15.292211,52000
2012-03-01,20.049999,20.280001,19.889999,20.059999,15.368823,30000
2012-03-02,20.110001,20.110001,19.77,19.809999,15.177292,40200
2012-03-05,19.719999,19.950001,19.610001,19.940001,15.276894,21600
2012-03-06,19.74,20.51,19.5,19.719999,15.108342,28400
2012-03-07,19.76,20.120001,19.639999,20.0,15.322859,27500
2012-03-08,20.08,20.799999,19.99,20.799999,15.935781,24200
2012-03-09,20.799999,21.700001,20.41,21.629999,16.571672,37700
2012-03-12,21.5,22.120001,21.43,22.110001,16.939419,60200
2012-03-13,22.200001,22.41,21.68,22.18,17.070259,40400
2012-03-14,22.110001,22.280001,21.65,21.709999,16.708532,30100
2012-03-15,21.85,22.309999,21.440001,22.309999,17.170311,53800
2012-03-16,22.34,22.75,22.059999,22.549999,17.355021,141700
2012-03-19,22.549999,22.940001,22.5,22.68,17.455069,85300
2012-03-20,22.4,22.780001,22.07,22.440001,17.270363,50200
2012-03-21,22.41,22.629999,22.120001,22.379999,17.224186,20300
2012-03-22,22.09,22.1,21.610001,21.790001,16.770103,18700
2012-03-23,21.790001,21.98,21.65,21.85,16.816282,39000
2012-03-26,22.16,22.59,22.07,22.59,17.385805,25700
2012-03-27,22.52,22.889999,22.389999,22.58,17.378107,21000
2012-03-28,22.51,22.59,22.34,22.530001,17.339621,29800
2012-03-29,22.309999,22.780001,22.219999,22.66,17.439676,9100
2012-03-30,22.870001,22.870001,22.209999,22.700001,17.470461,41400
2012-04-02,22.559999,23.48,22.389999,23.450001,18.047682,75100
2012-04-03,23.299999,23.299999,22.51,22.620001,17.40889,59300
2012-04-04,22.290001,22.469999,21.82,21.940001,16.885553,25800
2012-04-05,21.76,21.959999,21.610001,21.690001,16.69314,10700
2012-04-09,21.370001,21.450001,21.02,21.16,16.285244,45800
2012-04-10,21.07,21.549999,20.549999,20.549999,15.815772,72800
2012-04-11,20.799999,21.309999,20.73,21.290001,16.385294,43800
2012-04-12,21.200001,21.790001,21.139999,21.540001,16.577698,27900
2012-04-13,21.43,21.5,20.77,21.09,16.231367,42900
2012-04-16,21.200001,21.84,20.85,21.74,16.731623,23900
2012-04-17,22.01,22.68,21.83,22.370001,17.21649,30300
2012-04-18,22.200001,22.4,22.02,22.190001,17.077953,20100
2012-04-19,22.24,22.33,21.67,21.68,16.685452,21500
2012-04-20,22.389999,22.790001,21.73,22.23,17.10874,37300
2012-04-23,21.700001,22.200001,21.35,21.559999,16.59309,43400
2012-04-24,21.629999,22.34,21.629999,22.34,17.193396,45500
2012-04-25,22.5,22.5,22.059999,22.24,17.11643,17600
2012-04-26,22.110001,22.299999,21.82,22.290001,17.154919,34300
2012-04-27,22.360001,23.290001,22.16,23.17,17.83219,44000
2012-04-30,23.08,23.25,22.58,22.860001,17.593609,51000
2012-05-01,22.719999,23.200001,22.25,22.379999,17.224186,33100
2012-05-02,22.33,23.98,22.33,23.93,18.417101,84000
2012-05-03,23.790001,23.969999,23.540001,23.75,18.278568,28000
2012-05-04,23.52,23.889999,23.5,23.709999,18.247784,33300
2012-05-07,23.58,25.469999,23.58,25.299999,19.471483,63000
2012-05-08,25.09,25.73,24.879999,25.540001,19.656195,62700
2012-05-09,25.190001,25.6,25.01,25.26,19.440699,42000
2012-05-10,25.559999,26.0,25.25,25.57,19.679281,55000
2012-05-11,24.950001,26.469999,24.33,25.98,19.994829,94000
2012-05-14,25.860001,26.190001,25.49,25.67,19.756241,39000
2012-05-15,25.74,25.969999,25.43,25.559999,19.671581,38000
2012-05-16,25.620001,26.059999,25.16,25.74,19.810118,77200
2012-05-17,25.700001,26.18,25.17,25.52,19.640802,97800
2012-05-18,25.42,25.690001,25.040001,25.33,19.494566,45400
2012-05-21,25.51,25.65,25.01,25.4,19.548447,30100
2012-05-22,25.440001,25.700001,24.360001,24.65,18.971228,54000
2012-05-23,24.4,24.889999,23.870001,24.6,18.932741,57000
2012-05-24,24.620001,24.620001,23.940001,24.33,18.724953,51400
2012-05-25,24.25,24.57,24.040001,24.440001,18.809607,29100
2012-05-29,24.709999,25.200001,20.049999,24.59,18.925051,27500
2012-05-30,24.33,24.889999,24.110001,24.610001,18.940439,29300
2012-05-31,24.700001,24.700001,23.85,24.120001,18.563324,71700
2012-06-01,23.620001,23.66,22.889999,22.969999,17.678257,43300
2012-06-04,23.190001,23.299999,22.809999,23.209999,17.862974,66300
2012-06-05,23.15,23.309999,22.75,22.959999,17.670563,58500
2012-06-06,23.110001,24.27,22.99,24.25,18.663378,70000
2012-06-07,24.459999,24.780001,24.26,24.389999,18.771124,50100
2012-06-08,24.25,24.99,24.25,24.83,19.109762,23400
2012-06-11,25.24,25.450001,24.629999,24.93,19.186718,80900
2012-06-12,25.110001,25.58,24.84,25.469999,19.602324,49800
2012-06-13,25.450001,25.6,25.15,25.290001,19.463787,56000
2012-06-14,25.120001,25.5,24.93,25.42,19.641506,33400
2012-06-15,25.49,25.540001,25.280001,25.459999,19.672409,62800
2012-06-18,25.200001,25.35,24.809999,25.299999,19.548779,47600
2012-06-19,25.34,26.209999,25.15,26.139999,20.197834,38300
2012-06-20,26.280001,27.1,26.280001,26.379999,20.383274,61400
2012-06-21,26.469999,26.57,25.68,25.809999,19.942842,52600
2012-06-22,26.08,26.629999,25.879999,26.040001,20.120565,104300
2012-06-25,25.530001,26.610001,25.42,26.51,20.483727,42800
2012-06-26,26.549999,26.82,25.940001,25.969999,20.066469,62700
2012-06-27,26.0,26.18,25.41,26.0,20.089655,28600
2012-06-28,25.73,25.879999,25.0,25.719999,19.873304,35800
2012-06-29,26.299999,26.299999,25.77,26.23,20.267368,54100
2012-07-02,26.42,26.49,25.610001,26.07,20.143744,56000
2012-07-03,26.129999,26.99,26.030001,26.370001,20.375555,33100
2012-07-05,26.42,27.57,26.42,27.34,21.125048,47900
2012-07-06,27.040001,27.73,26.879999,27.360001,21.140501,44700
2012-07-09,27.389999,27.549999,26.77,27.219999,21.032328,72400
2012-07-10,27.34,27.34,26.690001,26.860001,20.754162,31400
2012-07-11,26.799999,27.33,26.48,26.65,20.591896,45300
2012-07-12,26.49,26.870001,26.129999,26.24,20.275099,53900
2012-07-13,26.42,27.450001,26.42,27.190001,21.00914,50300
2012-07-16,27.120001,27.18,26.93,27.0,20.862331,9600
2012-07-17,27.08,27.16,26.620001,26.83,20.73098,17000
2012-07-18,26.68,27.43,26.68,26.940001,20.815975,60300
2012-07-19,27.09,27.09,26.75,26.75,20.669168,14700
2012-07-20,26.58,26.65,25.98,26.16,20.213287,40000
2012-07-23,25.85,25.85,24.25,24.74,19.116085,87500
2012-07-24,24.76,24.940001,24.0,24.309999,18.783831,39800
2012-07-25,24.52,24.92,24.139999,24.92,19.255163,43200
2012-07-26,25.469999,25.469999,24.809999,24.889999,19.231981,20400
2012-07-27,24.98,25.73,24.790001,25.57,19.757408,22900
2012-07-30,25.58,25.82,25.24,25.5,19.703321,20300
2012-07-31,25.35,25.790001,25.1,25.139999,19.425154,39800
2012-08-01,25.209999,25.92,25.0,25.01,19.324705,43500
2012-08-02,24.9,25.66,24.9,25.379999,19.610594,22600
2012-08-03,25.68,26.610001,25.610001,26.530001,20.499176,24200
