Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,25.15,25.33,24.99,25.33,21.689428,141000
2012-02-07,25.23,25.9,25.139999,25.9,22.177509,266500
2012-02-08,25.99,26.219999,25.52,25.620001,21.937756,232800
2012-02-09,24.860001,25.209999,24.26,24.610001,21.072914,250600
2012-02-10,24.25,24.440001,23.940001,23.969999,20.524893,217400
2012-02-13,24.209999,24.879999,24.049999,24.879999,21.30411,142100
2012-02-14,24.66,24.66,23.83,24.469999,20.953028,203600
2012-02-15,24.51,24.51,23.950001,24.24,20.756092,243300
2012-02-16,24.27,24.93,24.02,24.860001,21.286976,203800
2012-02-17,24.870001,25.290001,24.74,25.139999,21.526731,166900
2012-02-21,25.139999,25.280001,24.9,25.25,21.620926,168300
2012-02-22,25.08,25.25,24.780001,24.950001,21.364052,129400
2012-02-23,24.969999,25.49,24.889999,25.48,21.817869,163700
2012-02-24,25.469999,25.559999,24.93,25.01,21.415422,81500
2012-02-27,24.719999,25.299999,24.299999,24.690001,21.141417,121600
2012-02-28,24.690001,24.75,24.129999,24.18,20.704723,144000
2012-02-29,24.25,24.66,23.870001,23.92,20.482079,186600
2012-03-01,23.889999,24.32,23.84,23.9,20.576784,118800
2012-03-02,23.84,23.969999,22.98,23.139999,19.922462,165100
2012-03-05,23.129999,23.360001,22.84,23.07,19.86219,122200
2012-03-06,22.73,22.85,22.280001,22.35,19.242311,189700
2012-03-07,22.459999,22.959999,22.379999,22.959999,19.767496,194000
2012-03-08,23.16,23.16,22.67,23.1,19.888025,105000
2012-03-09,23.040001,23.700001,23.040001,23.610001,20.327108,123700
2012-03-12,23.59,23.639999,23.139999,23.549999,20.275454,141400
2012-03-13,23.73,24.290001,23.690001,24.280001,20.903952,160700
2012-03-14,24.24,24.25,23.280001,23.309999,20.068827,148700
2012-03-15,23.26,23.67,23.15,23.67,20.378771,132200
2012-03-16,23.690001,23.690001,23.34,23.51,20.241014,141500
2012-03-19,23.389999,24.09,23.35,23.82,20.507902,123400
2012-03-20,23.549999,23.959999,23.43,23.700001,20.404602,128100
2012-03-21,23.799999,23.799999,23.52,23.610001,20.327108,135400
2012-03-22,23.26,23.51,23.26,23.42,20.163538,198400
2012-03-23,23.33,23.58,23.290001,23.540001,20.266844,101300
2012-03-26,23.82,23.98,23.58,23.9,20.576784,137900
2012-03-27,23.889999,23.98,23.01,23.08,19.8708,120600
2012-03-28,23.049999,23.34,22.98,23.34,20.094658,144100
2012-03-29,23.07,23.07,22.33,22.82,19.646959,158600
2012-03-30,23.08,23.219999,22.92,22.950001,19.758884,114000
2012-04-02,22.799999,23.780001,22.59,23.75,20.447647,210600
2012-04-03,23.709999,23.82,23.43,23.59,20.309891,174100
2012-04-04,23.26,23.549999,23.139999,23.25,20.017164,217200
2012-04-05,23.16,23.559999,22.879999,23.18,19.956898,146100
2012-04-09,22.68,22.950001,22.389999,22.75,19.586689,163800
2012-04-10,22.690001,22.690001,22.16,22.24,19.147602,332300
2012-04-11,22.52,22.610001,22.32,22.559999,19.423111,196200
2012-04-12,22.530001,23.209999,22.43,23.049999,19.844976,109000
