Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,5.95,6.03,5.94,6.0,5.406646,101900
2012-02-07,5.95,6.05,5.38,5.45,4.911036,994300
2012-02-08,5.45,5.59,5.38,5.56,5.010158,512000
2012-02-09,5.55,5.8,5.52,5.7,5.136313,495100
2012-02-10,5.64,5.72,5.61,5.66,5.100269,275600
2012-02-13,5.7,5.77,5.65,5.67,5.10928,241300
2012-02-14,5.66,5.75,5.59,5.69,5.127302,227500
2012-02-15,5.74,5.79,5.62,5.7,5.136313,366800
2012-02-16,5.52,5.78,5.4,5.7,5.136313,473400
2012-02-17,5.75,5.83,5.7,5.78,5.208402,486300
2012-02-21,5.77,5.79,5.59,5.65,5.091258,239000
2012-02-22,5.63,5.64,5.54,5.58,5.028181,149000
2012-02-23,5.57,5.73,5.5,5.73,5.163347,214000
2012-02-24,5.72,5.8,5.61,5.61,5.055214,99000
2012-02-27,5.58,5.84,5.5,5.83,5.253457,262300
2012-02-28,5.84,5.88,5.7,5.71,5.145325,145700
2012-02-29,5.71,6.1,5.71,6.0,5.406646,823600
2012-03-01,6.0,6.0,5.84,5.93,5.343568,415700
2012-03-02,5.9,6.0,5.78,5.8,5.226424,397200
2012-03-05,5.77,6.01,5.76,5.98,5.388624,320300
2012-03-06,5.89,6.02,5.8,5.82,5.244446,450300
2012-03-07,5.85,5.99,5.75,5.96,5.370601,928500
2012-03-08,6.0,6.03,5.91,5.99,5.397635,306700
2012-03-09,5.98,6.26,5.94,6.15,5.541812,700400
2012-03-12,6.13,6.23,6.07,6.21,5.595878,209000
2012-03-13,6.27,6.36,6.2,6.35,5.722033,307400
2012-03-14,6.33,6.4,6.27,6.34,5.713022,183600
2012-03-15,6.34,6.51,6.28,6.48,5.839177,294400
2012-03-16,6.47,6.47,6.29,6.35,5.722033,536100
2012-03-19,6.34,6.61,6.28,6.56,5.911266,215300
2012-03-20,6.49,6.51,6.38,6.45,5.812144,245900
2012-03-21,6.46,6.53,6.35,6.5,5.8572,196900
2012-03-22,6.4,6.52,6.31,6.34,5.713022,690200
2012-03-23,6.32,6.53,6.26,6.53,5.884233,359500
2012-03-26,6.59,6.97,6.52,6.84,6.163576,1120200
2012-03-27,6.82,6.88,6.7,6.76,6.091487,340500
2012-03-28,6.75,6.83,6.68,6.82,6.145554,157100
2012-03-29,6.76,6.98,6.71,6.95,6.262698,319000
2012-03-30,7.0,7.18,6.92,7.1,6.397864,377400
2012-04-02,7.11,7.27,7.03,7.1,6.397864,512000
2012-04-03,7.05,7.17,6.97,7.07,6.370831,396600
2012-04-04,6.97,7.05,6.8,6.84,6.163576,348000
2012-04-05,6.79,7.07,6.78,7.02,6.325776,274800
2012-04-09,6.86,6.92,6.78,6.8,6.127532,272600
