Date,Open,High,Low,Close,Adj Close,Volume
2015-02-13,14.25,14.25,14.0,14.0,8.095645,1315200
2015-02-17,14.01,14.09,13.98,14.0,8.095645,196100
2015-02-18,14.08,14.1,14.0,14.0,8.095645,35000
2015-02-19,14.01,14.15,14.01,14.12,8.165037,26100
2015-02-20,14.12,14.15,14.05,14.05,8.124558,33300
2015-02-23,14.15,14.15,14.09,14.09,8.147688,43400
2015-02-24,14.15,14.15,14.08,14.08,8.141904,34800
2015-02-25,14.14,14.15,14.11,14.11,8.159252,30300
2015-02-26,14.09,14.13,14.09,14.11,8.159252,2100
2015-02-27,14.08,14.19,14.08,14.1,8.15347,16000
2015-03-02,14.1,14.16,14.1,14.13,8.170817,19500
2015-03-03,14.11,14.15,14.07,14.15,8.182383,68900
2015-03-04,14.15,14.5,14.15,14.44,8.35008,104100
2015-03-05,14.4,14.65,14.4,14.55,8.413686,37100
2015-03-06,14.56,14.6,14.54,14.54,8.407906,25300
2015-03-09,14.5,14.6,14.5,14.55,8.413686,27900
2015-03-10,14.3,14.6,14.3,14.46,8.361647,52500
2015-03-11,14.43,14.595,14.26,14.33,8.286469,41500
2015-03-12,14.26,14.34,14.2,14.27,8.251774,49600
2015-03-13,14.3,14.3,14.12,14.18,8.19973,24300
2015-03-16,14.27,14.28,14.15,14.23,8.228641,52000
2015-03-17,14.2,14.2,14.1,14.12,8.165037,7500
2015-03-18,14.1,14.14,14.0,14.01,8.101427,149500
2015-03-19,14.1,14.55,14.04,14.41,8.332731,22900
2015-03-20,14.41,14.7,14.25,14.25,8.240208,117500
2015-03-23,14.24,14.5,14.24,14.43,8.344296,32900
2015-03-24,14.49,14.6,14.46,14.58,8.431036,34900
2015-03-25,14.58,14.6,14.41,14.6,8.442599,39900
2015-03-26,14.6,14.62,14.4,14.62,8.454165,43800
2015-03-27,14.65,14.67,14.25,14.29,8.263341,13700
2015-03-30,14.35,14.67,14.35,14.66,8.4773,25000
2015-03-31,14.67,14.99,14.26,14.53,8.402124,394700
2015-04-01,14.73,14.83,14.31,14.42,8.338514,45900
2015-04-02,14.58,14.89,14.58,14.81,8.564035,31100
2015-04-06,14.85,14.9,14.66,14.83,8.575601,25500
2015-04-07,14.86,14.98,14.57,14.57,8.425254,18400
2015-04-08,14.67,14.8,14.29,14.41,8.332731,17800
2015-04-09,14.25,14.81,14.25,14.71,8.50621,27300
2015-04-10,14.72,14.79,14.7,14.71,8.50621,3500
2015-04-13,14.63,14.89,14.62,14.7,8.500427,39700
2015-04-14,14.73,14.75,14.39,14.52,8.39634,21600
2015-04-15,14.43,14.94,14.43,14.77,8.540905,8200
2015-04-16,14.7,14.74,14.67,14.72,8.511992,3300
2015-04-17,14.65,14.65,14.184,14.45,8.355862,54700
2015-04-20,14.44,14.6,14.26,14.56,8.419471,44100
2015-04-21,14.52,14.62,14.31,14.38,8.315384,15100
2015-04-22,14.29,14.36,14.1,14.36,8.303817,58700
2015-04-23,14.43,14.47,14.21,14.28,8.257556,28300
2015-04-24,14.25,14.28,14.24,14.28,8.257556,29000
2015-04-27,14.3,14.3,14.16,14.26,8.245991,15000
2015-04-28,14.24,14.38,14.24,14.3,8.269119,11100
2015-04-29,14.26,14.38,14.19,14.19,8.205514,16700
2015-04-30,14.15,14.28,14.08,14.18,8.19973,31800
2015-05-01,14.24,14.37,14.22,14.35,8.298033,21400
2015-05-04,14.29,14.31,14.04,14.08,8.141904,13600
2015-05-05,14.08,14.11,13.95,14.0,8.095645,32600
2015-05-06,14.07,14.08,13.5,13.76,7.956861,393600
2015-05-07,13.7,13.88,13.62,13.69,7.916383,24400
2015-05-08,13.84,13.89,13.58,13.79,7.974211,138500
2015-05-11,13.75,13.89,13.71,13.76,7.956861,51200
2015-05-12,13.72,13.76,13.26,13.41,7.754472,424700
2015-05-13,13.31,13.31,12.61,12.75,7.47313,326900
2015-05-14,12.81,13.295,12.81,13.08,7.666552,50600
2015-05-15,13.12,13.25,12.88,13.18,7.725165,59900
2015-05-18,13.15,13.15,12.93,12.99,7.6138,16000
2015-05-19,13.04,13.09,12.95,12.95,7.590354,19400
2015-05-20,12.92,13.14,12.85,12.88,7.549327,360700
2015-05-21,12.92,13.11,12.88,13.09,7.672413,399800
2015-05-22,13.06,13.1,12.96,13.0,7.619661,127600
2015-05-26,13.0,13.09,12.95,12.96,7.596216,97500
2015-05-27,12.97,13.1,12.95,13.08,7.666552,87700
2015-05-28,13.08,13.44,13.08,13.39,7.84825,8000
2015-05-29,13.34,13.62,13.3,13.61,7.977198,26600
2015-06-01,13.57,13.66,13.41,13.62,7.983061,30100
2015-06-02,13.66,13.87,13.56,13.77,8.070981,15300
2015-06-03,13.77,14.41,13.68,14.21,8.328876,87300
2015-06-04,14.2,14.27,13.91,14.16,8.29957,38400
2015-06-05,14.05,14.13,13.92,14.05,8.235097,12600
2015-06-08,14.13,14.35,14.08,14.28,8.369904,45700
2015-06-09,14.38,14.39,14.08,14.32,8.393349,44300
2015-06-10,14.35,14.36,14.05,14.17,8.305429,49300
2015-06-11,14.17,14.35,14.0,14.14,8.287848,46000
2015-06-12,14.13,14.36,14.1,14.17,8.305429,36600
2015-06-15,14.16,14.17,13.96,14.0,8.20579,33000
2015-06-16,14.19,14.36,14.06,14.32,8.393349,17200
2015-06-17,14.27,14.39,14.1,14.19,8.317155,20200
2015-06-18,14.26,14.48,14.24,14.35,8.410933,25200
2015-06-19,14.44,14.49,14.06,14.36,8.416794,214500
2015-06-22,14.21,14.43,14.17,14.38,8.428517,25100
2015-06-23,14.34,14.44,13.84,14.0,8.20579,70400
2015-06-24,13.96,14.04,13.89,13.93,8.164762,12900
2015-06-25,13.95,13.99,13.91,13.95,8.176482,5200
2015-06-26,13.95,14.44,13.81,14.2,8.323013,196200
2015-06-29,14.01,14.19,13.84,13.88,8.135455,7700
