Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,6.03,6.06,5.9,5.98,5.921877,1394700
2012-02-07,5.99,6.08,5.89,5.99,5.93178,2543300
2012-02-08,6.01,6.2,5.98,6.16,6.100128,1808400
2012-02-09,6.2,6.27,6.11,6.21,6.149642,2381700
2012-02-10,5.94,6.45,5.85,6.26,6.199156,2562500
2012-02-13,6.29,6.34,6.16,6.3,6.238767,2046500
2012-02-14,6.28,6.52,6.28,6.5,6.436822,2121600
2012-02-15,6.52,6.66,6.39,6.44,6.377406,2657100
2012-02-16,6.47,6.78,6.45,6.71,6.644782,3425400
2012-02-17,6.76,6.77,6.54,6.54,6.476434,1711900
2012-02-21,6.53,6.69,6.41,6.44,6.377406,1718100
2012-02-22,6.46,6.58,6.22,6.23,6.169447,2352700
2012-02-23,6.23,6.44,6.13,6.43,6.367503,2102000
2012-02-24,6.43,6.47,6.27,6.31,6.248669,887700
2012-02-27,6.28,6.69,6.1,6.58,6.516046,2481400
2012-02-28,6.61,6.74,6.55,6.64,6.575461,1339400
2012-02-29,6.66,6.73,6.35,6.39,6.327892,2097600
2012-03-01,6.45,6.56,6.35,6.36,6.298183,1352800
2012-03-02,6.37,6.44,6.19,6.25,6.189252,1565400
2012-03-05,6.21,6.23,6.05,6.11,6.050614,1141800
2012-03-06,6.01,6.13,6.0,6.07,6.011002,1185000
2012-03-07,6.08,6.22,6.08,6.18,6.119933,859800
2012-03-08,6.22,6.32,6.15,6.29,6.228864,590900
2012-03-09,6.24,6.44,6.24,6.37,6.308086,622300
2012-03-12,6.35,6.39,6.26,6.3,6.238767,513900
2012-03-13,6.36,6.4,6.21,6.33,6.268475,1253100
2012-03-14,6.34,6.42,6.25,6.26,6.199156,888500
2012-03-15,6.28,6.4,6.15,6.33,6.268475,1243200
2012-03-16,6.35,6.39,6.28,6.36,6.298183,1022400
2012-03-19,6.36,6.59,6.34,6.41,6.347697,1259800
2012-03-20,6.36,6.51,6.34,6.39,6.327892,945700
2012-03-21,6.42,6.5,6.34,6.39,6.327892,623900
2012-03-22,6.3,6.35,6.19,6.26,6.199156,640100
2012-03-23,6.24,6.27,6.13,6.24,6.179349,1097600
2012-03-26,6.34,6.5,6.27,6.39,6.327892,1390800
2012-03-27,6.39,6.45,6.31,6.4,6.337795,1100100
2012-03-28,6.4,6.45,6.24,6.31,6.248669,1228200
2012-03-29,6.25,6.31,6.09,6.2,6.139739,1332700
2012-03-30,6.2,6.29,6.08,6.15,6.090225,1342600
2012-04-02,6.11,6.25,6.03,6.16,6.100128,1234200
2012-04-03,6.16,6.2,5.98,6.0,5.941682,1061300
2012-04-04,5.91,5.96,5.85,5.88,5.822849,1108100
2012-04-05,5.84,5.94,5.81,5.92,5.86246,530700
2012-04-09,5.79,5.82,5.72,5.75,5.694113,843300
2012-04-10,5.74,5.81,5.58,5.61,5.555473,692700
2012-04-11,5.68,5.73,5.62,5.72,5.664404,1341800
2012-04-12,5.7,5.92,5.7,5.91,5.852557,791500
2012-04-13,5.86,5.87,5.68,5.69,5.634696,1123500
2012-04-16,5.69,5.72,5.61,5.64,5.585181,702700
2012-04-17,5.69,5.83,5.68,5.69,5.634696,1218500
2012-04-18,5.68,5.79,5.65,5.74,5.68421,915900
2012-04-19,5.73,5.9,5.65,5.69,5.634696,1009200
2012-04-20,5.76,5.82,5.68,5.72,5.664404,1187300
2012-04-23,5.62,5.68,5.58,5.66,5.604987,930900
2012-04-24,5.67,5.73,5.61,5.67,5.61489,1044300
2012-04-25,5.74,5.83,5.69,5.72,5.664404,1051300
2012-04-26,5.73,5.91,5.73,5.91,5.852557,1656900
2012-04-27,5.73,5.89,5.48,5.53,5.476251,3543000
2012-04-30,5.5,5.53,5.15,5.17,5.11975,2164200
2012-05-01,5.16,5.31,5.05,5.13,5.080139,2490800
2012-05-02,5.08,5.23,5.05,5.16,5.109847,1349500
2012-05-03,5.11,5.24,4.87,4.9,4.852374,2302700
2012-05-04,4.87,4.87,4.63,4.63,4.584998,3619100
2012-05-07,4.61,4.66,4.54,4.58,4.535484,3031000
2012-05-08,4.53,4.65,4.5,4.58,4.535484,2683800
2012-05-09,4.54,4.7,4.51,4.64,4.594902,2262600
2012-05-10,4.69,4.77,4.66,4.73,4.684026,1700000
2012-05-11,4.68,4.81,4.66,4.74,4.693929,4407200
2012-05-14,4.67,4.77,4.6,4.62,4.575096,661000
2012-05-15,4.61,4.67,4.54,4.59,4.545387,1506600
2012-05-16,4.64,4.64,4.48,4.49,4.446359,908400
2012-05-17,4.5,4.52,4.37,4.4,4.357234,709300
2012-05-18,4.41,4.41,4.29,4.33,4.287914,1130900
2012-05-21,4.33,4.44,4.31,4.42,4.377039,998300
2012-05-22,4.41,4.52,4.4,4.44,4.396845,1461500
2012-05-23,4.4,4.56,4.37,4.53,4.48597,834000
2012-05-24,4.52,4.62,4.49,4.58,4.535484,1001900
2012-05-25,4.56,4.69,4.53,4.65,4.604804,1112100
2012-05-29,4.7,4.75,4.65,4.72,4.674124,1162000
2012-05-30,4.66,4.7,4.63,4.68,4.634512,853100
2012-05-31,4.67,4.75,4.62,4.73,4.684026,1613200
2012-06-01,4.61,4.68,4.6,4.64,4.594902,1200600
2012-06-04,4.66,4.66,4.5,4.56,4.515678,1296800
2012-06-05,4.52,4.6,4.47,4.47,4.426553,871900
2012-06-06,4.52,4.66,4.52,4.63,4.584998,1121200
2012-06-07,4.7,4.84,4.59,4.6,4.55529,1433400
2012-06-08,4.55,4.76,4.5,4.71,4.664221,996700
2012-06-11,4.75,4.76,4.43,4.43,4.386942,1104200
2012-06-12,4.46,4.61,4.46,4.5,4.456262,1359200
2012-06-13,4.49,4.59,4.43,4.46,4.416651,1343300
2012-06-14,4.47,4.59,4.45,4.49,4.446359,1197000
2012-06-15,4.48,4.59,4.46,4.58,4.535484,1270500
2012-06-18,4.54,4.74,4.51,4.71,4.664221,1155500
2012-06-19,4.72,4.88,4.71,4.85,4.80286,1075800
2012-06-20,4.87,4.95,4.77,4.9,4.852374,905200
2012-06-21,4.89,4.95,4.73,4.73,4.684026,1011000
2012-06-22,4.74,4.91,4.74,4.89,4.842471,2092700
