Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,55.0,56.700001,54.0,54.799999,54.799999,90180
2012-02-07,54.400002,55.299999,53.0,54.400002,54.400002,73460
2012-02-08,54.5,60.5,53.5,60.299999,60.299999,237180
2012-02-09,58.799999,58.799999,53.200001,55.700001,55.700001,222480
2012-02-10,53.700001,55.900002,50.599998,51.099998,51.099998,130110
2012-02-13,51.599998,51.900002,45.5,47.400002,47.400002,246710
2012-02-14,47.400002,47.5,45.099998,47.200001,47.200001,106060
2012-02-15,47.5,49.5,45.799999,46.099998,46.099998,104300
2012-02-16,46.299999,47.700001,45.700001,47.299999,47.299999,60860
2012-02-17,47.400002,48.5,46.299999,47.0,47.0,67000
2012-02-21,48.700001,48.799999,46.5,47.099998,47.099998,49210
2012-02-22,47.0,48.099998,46.700001,46.700001,46.700001,39040
2012-02-23,46.5,46.599998,44.900002,45.200001,45.200001,61860
2012-02-24,45.400002,46.0,44.400002,45.200001,45.200001,31560
2012-02-27,44.799999,44.799999,43.200001,44.0,44.0,53580
2012-02-28,43.900002,44.799999,43.0,43.200001,43.200001,42550
2012-02-29,43.200001,46.200001,43.0,44.799999,44.799999,96290
2012-03-01,45.299999,45.299999,41.5,41.599998,41.599998,76910
2012-03-02,41.5,41.799999,39.799999,39.799999,39.799999,74830
2012-03-05,39.799999,40.200001,37.099998,37.400002,37.400002,64180
2012-03-06,37.0,37.299999,36.099998,36.700001,36.700001,54210
2012-03-07,37.0,38.0,35.299999,36.0,36.0,65680
2012-03-08,36.299999,38.700001,35.900002,38.299999,38.299999,44000
2012-03-09,38.599998,39.0,37.5,37.700001,37.700001,42640
2012-03-12,37.900002,38.5,37.799999,38.5,38.5,32920
2012-03-13,38.799999,41.599998,38.799999,41.599998,41.599998,72460
2012-03-14,41.5,41.5,39.700001,40.5,40.5,37440
2012-03-15,40.700001,42.799999,40.5,42.5,42.5,48490
2012-03-16,43.700001,44.799999,42.5,43.599998,43.599998,80780
2012-03-19,43.400002,43.5,40.799999,41.700001,41.700001,52020
2012-03-20,41.200001,41.799999,40.400002,40.799999,40.799999,36890
2012-03-21,41.700001,42.0,41.099998,41.700001,41.700001,26860
2012-03-22,42.599998,42.599998,40.599998,41.5,41.5,19230
2012-03-23,41.5,41.5,40.0,40.900002,40.900002,35410
2012-03-26,41.799999,43.099998,41.700001,42.099998,42.099998,38210
2012-03-27,42.299999,42.700001,41.099998,41.299999,41.299999,17720
2012-03-28,41.200001,42.299999,40.799999,42.099998,42.099998,16560
2012-03-29,41.599998,42.400002,40.299999,41.0,41.0,24990
2012-03-30,41.099998,43.0,40.900002,41.200001,41.200001,34710
2012-04-02,41.200001,42.200001,40.799999,42.099998,42.099998,34440
2012-04-03,42.700001,42.700001,39.5,40.0,40.0,50750
2012-04-04,39.700001,40.900002,39.5,39.700001,39.700001,37130
2012-04-05,39.700001,39.700001,37.099998,38.0,38.0,72240
2012-04-09,37.599998,37.900002,35.700001,36.0,36.0,48530
2012-04-10,36.5,37.5,36.099998,37.099998,37.099998,40860
2012-04-11,40.0,43.400002,39.900002,42.200001,42.200001,124130
2012-04-12,42.700001,43.299999,41.0,42.400002,42.400002,44400
2012-04-13,42.400002,42.5,40.400002,41.900002,41.900002,33000
2012-04-16,41.900002,41.900002,40.0,41.200001,41.200001,35750
2012-04-17,41.5,42.900002,40.900002,41.200001,41.200001,48710
2012-04-18,40.700001,40.900002,40.0,40.0,40.0,29950
2012-04-19,40.799999,41.799999,40.400002,41.0,41.0,34900
2012-04-20,42.0,42.0,40.0,40.0,40.0,35280
2012-04-23,40.0,40.099998,38.599998,39.0,39.0,41570
