Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,10.13,10.91,10.06,10.9,7.238243,993500
2012-02-07,10.94,11.26,10.58,11.2,7.437459,1438900
2012-02-08,11.24,11.43,10.84,11.14,7.397615,730900
2012-02-09,11.13,11.25,10.72,10.93,7.258165,1123200
2012-02-10,10.64,10.89,10.47,10.49,6.965977,760900
2012-02-13,10.71,11.84,10.71,11.78,7.822613,1482500
2012-02-14,11.71,12.4,11.54,12.19,8.094879,1865900
2012-02-15,12.15,12.4,11.83,11.97,7.948785,1646000
2012-02-16,11.9,12.26,11.56,12.19,8.094879,837400
2012-02-17,12.29,12.62,12.29,12.59,8.360503,1088800
2012-02-21,12.64,12.67,12.03,12.09,8.028472,1227200
2012-02-22,12.04,12.28,11.7,12.11,8.041752,1107900
2012-02-23,13.5,14.94,13.01,14.44,9.589009,4193300
2012-02-24,14.08,14.58,13.99,14.41,9.569084,2066100
2012-02-27,14.39,15.06,13.84,14.89,9.887835,1876900
2012-02-28,14.88,15.1,14.57,14.84,9.854633,1139900
2012-02-29,14.86,15.23,14.36,14.4,9.562447,1560100
2012-03-01,14.43,14.7,14.2,14.44,9.589009,1789800
2012-03-02,14.43,14.67,14.07,14.36,9.535885,1500500
2012-03-05,14.23,14.23,13.33,13.7,9.097608,1564800
2012-03-06,13.47,13.52,13.04,13.22,8.778858,908500
2012-03-07,13.34,13.77,13.13,13.73,9.117527,823700
2012-03-08,13.84,14.15,13.7,14.01,9.303466,549300
2012-03-09,13.95,14.24,13.73,13.92,9.243701,585300
2012-03-12,13.88,13.88,13.11,13.49,8.958154,1027100
2012-03-13,13.68,13.85,13.45,13.84,9.190574,1587900
2012-03-14,13.77,13.88,13.24,13.3,8.831983,856500
2012-03-15,13.43,13.52,13.07,13.49,8.958154,1368400
2012-03-16,13.56,14.43,13.56,14.14,9.389791,2138000
2012-03-19,14.12,14.6,13.9,14.25,9.462838,883800
2012-03-20,14.05,14.09,13.61,13.99,9.290182,1059600
2012-03-21,13.94,14.32,13.46,13.83,9.183932,807100
2012-03-22,13.57,13.62,13.26,13.37,8.878466,855300
2012-03-23,13.39,14.26,13.32,14.01,9.303466,1728600
2012-03-26,14.27,14.85,14.27,14.56,9.668696,1697300
2012-03-27,14.56,14.56,13.66,13.72,9.110887,1205000
2012-03-28,13.69,13.7,12.84,13.36,8.871826,1320600
2012-03-29,13.19,13.28,12.86,13.14,8.725736,858000
2012-03-30,13.28,13.38,12.85,13.19,8.758937,1106600
2012-04-02,13.18,13.78,13.0,13.55,8.997999,1665700
2012-04-03,13.5,13.55,13.15,13.4,8.898386,1223100
2012-04-04,13.14,13.31,12.92,13.19,8.758937,815600
2012-04-05,13.11,13.3,12.73,12.76,8.473389,854100
2012-04-09,12.42,12.8,12.26,12.52,8.314017,855600
2012-04-10,12.44,12.81,12.14,12.37,8.214406,1138800
2012-04-11,12.58,12.98,12.54,12.81,8.506595,1066000
2012-04-12,12.85,13.35,12.85,13.28,8.818703,638900
2012-04-13,13.25,13.25,12.33,12.38,8.221049,687800
