Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,23.040001,23.76,22.32,23.280001,23.280001,36300
2012-02-07,23.16,26.16,22.92,25.92,25.92,40233
2012-02-08,25.200001,25.68,24.0,25.559999,25.559999,26267
2012-02-09,25.799999,26.040001,22.68,24.0,24.0,23483
2012-02-10,23.280001,23.879999,20.4,23.76,23.76,14025
2012-02-13,23.879999,24.84,22.559999,24.24,24.24,18825
2012-02-14,24.0,24.48,23.040001,23.879999,23.879999,13983
2012-02-15,24.0,24.0,22.799999,22.92,22.92,7092
2012-02-16,23.040001,24.120001,22.559999,24.120001,24.120001,8717
2012-02-17,24.360001,25.200001,23.879999,24.6,24.6,18425
2012-02-21,24.719999,24.84,23.4,23.76,23.76,8725
2012-02-22,23.4,23.52,22.559999,22.799999,22.799999,12125
2012-02-23,22.799999,23.52,21.24,23.280001,23.280001,11050
2012-02-24,23.280001,24.84,23.16,24.6,24.6,10417
2012-02-27,24.0,24.24,23.4,23.52,23.52,5500
2012-02-28,23.4,24.120001,23.040001,24.0,24.0,6300
2012-02-29,24.0,24.0,21.84,22.559999,22.559999,26592
2012-03-01,22.68,23.879999,22.559999,23.4,23.4,9592
2012-03-02,23.52,23.52,21.959999,22.32,22.32,56225
2012-03-05,22.200001,22.68,21.959999,22.32,22.32,8983
2012-03-06,22.200001,22.799999,22.08,22.200001,22.200001,13508
2012-03-07,22.200001,23.280001,22.200001,23.16,23.16,12292
2012-03-08,23.280001,24.120001,22.68,24.0,24.0,11533
2012-03-09,24.0,25.08,23.040001,24.84,24.84,19333
2012-03-12,24.959999,25.08,24.360001,24.959999,24.959999,8067
2012-03-13,25.08,25.200001,24.360001,25.08,25.08,23458
2012-03-14,25.200001,25.200001,24.6,24.719999,24.719999,11058
2012-03-15,24.719999,25.32,24.48,24.959999,24.959999,26408
2012-03-16,25.08,25.68,24.959999,25.559999,25.559999,25025
2012-03-19,25.440001,26.4,24.84,26.040001,26.040001,32083
2012-03-20,25.68,26.76,25.200001,25.799999,25.799999,17758
2012-03-21,26.040001,26.4,25.08,25.200001,25.200001,8267
2012-03-22,24.84,25.68,24.719999,25.440001,25.440001,12825
2012-03-23,25.32,26.4,24.6,26.4,26.4,12742
2012-03-26,26.639999,26.76,25.799999,26.52,26.52,20775
2012-03-27,26.639999,27.6,26.639999,27.48,27.48,23317
2012-03-28,27.48,29.040001,25.68,28.08,28.08,33608
2012-03-29,27.719999,29.040001,27.360001,28.440001,28.440001,13992
2012-03-30,28.799999,29.040001,27.84,28.440001,28.440001,20858
2012-04-02,28.200001,29.040001,26.76,28.799999,28.799999,25450
2012-04-03,28.68,29.040001,27.6,28.559999,28.559999,15067
2012-04-04,28.08,28.08,26.76,27.6,27.6,26292
2012-04-05,27.360001,27.959999,26.4,27.0,27.0,15042
2012-04-09,26.280001,26.280001,25.32,25.68,25.68,10433
2012-04-10,25.68,25.92,24.719999,25.68,25.68,19958
2012-04-11,26.040001,27.0,25.92,26.879999,26.879999,12842
2012-04-12,26.76,27.120001,26.4,26.76,26.76,18200
2012-04-13,26.52,27.0,25.559999,26.639999,26.639999,13550
2012-04-16,26.639999,26.639999,25.92,26.4,26.4,2908
2012-04-17,26.879999,27.24,26.280001,27.0,27.0,21067
2012-04-18,26.879999,26.879999,25.559999,25.92,25.92,6875
2012-04-19,25.92,26.639999,25.08,25.440001,25.440001,5817
2012-04-20,26.52,27.0,25.92,26.280001,26.280001,10867
2012-04-23,25.92,26.76,25.440001,25.92,25.92,9100
2012-04-24,25.92,27.48,25.68,27.48,27.48,6517
2012-04-25,27.719999,28.08,27.360001,27.84,27.84,21150
