Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,3.96,4.05,3.91,3.93,3.93,5500
2012-02-07,3.91,4.04,3.91,3.98,3.98,14700
2012-02-08,4.01,4.06,3.91,4.05,4.05,23500
2012-02-09,3.95,4.09,3.95,4.05,4.05,12500
2012-02-10,4.03,4.09,3.93,4.09,4.09,14400
2012-02-13,4.07,4.27,4.06,4.26,4.26,35700
2012-02-14,4.19,4.31,4.18,4.31,4.31,27900
2012-02-15,4.28,4.45,3.92,4.41,4.41,26900
2012-02-16,4.41,4.44,4.34,4.4,4.4,5900
2012-02-17,4.4,4.4,4.32,4.39,4.39,6300
2012-02-21,4.35,4.58,4.35,4.5,4.5,74000
2012-02-22,4.46,4.66,4.38,4.43,4.43,29500
2012-02-23,4.36,4.54,4.35,4.51,4.51,37800
2012-02-24,4.58,4.72,4.48,4.68,4.68,22300
2012-02-27,4.77,4.84,4.45,4.79,4.79,30300
2012-02-28,4.77,4.95,4.68,4.95,4.95,16400
2012-02-29,4.95,5.55,4.88,5.37,5.37,98400
2012-03-01,5.4,5.75,5.39,5.71,5.71,36500
2012-03-02,5.78,6.0,5.71,5.85,5.85,44100
2012-03-05,5.91,5.91,5.29,5.46,5.46,96100
2012-03-06,5.42,5.75,5.3,5.68,5.68,33200
2012-03-07,5.86,5.95,5.74,5.86,5.86,35000
2012-03-08,5.62,5.84,5.41,5.77,5.77,32700
2012-03-09,5.73,5.77,5.33,5.43,5.43,37600
2012-03-12,5.4,5.4,5.0,5.13,5.13,52000
2012-03-13,5.12,5.26,5.06,5.26,5.26,27600
2012-03-14,5.23,5.53,5.15,5.4,5.4,55900
2012-03-15,5.34,5.51,5.22,5.43,5.43,30800
2012-03-16,5.47,5.55,5.28,5.38,5.38,67400
2012-03-19,5.34,5.44,5.13,5.43,5.43,26600
2012-03-20,5.37,5.46,4.99,5.33,5.33,34500
2012-03-21,5.26,5.33,5.15,5.23,5.23,20700
2012-03-22,5.26,5.39,5.07,5.28,5.28,41600
2012-03-23,5.31,5.38,5.17,5.2,5.2,18800
2012-03-26,5.2,5.34,5.19,5.34,5.34,13800
2012-03-27,5.26,5.53,5.21,5.47,5.47,22400
2012-03-28,5.51,5.53,5.38,5.39,5.39,12300
2012-03-29,5.4,6.0,5.34,6.0,6.0,150400
2012-03-30,5.68,6.07,5.68,5.81,5.81,71300
2012-04-02,5.67,5.95,5.66,5.85,5.85,30700
2012-04-03,5.78,5.88,5.64,5.66,5.66,9500
2012-04-04,5.61,5.85,5.51,5.51,5.51,18800
2012-04-05,5.41,5.51,5.24,5.35,5.35,40200
2012-04-09,5.15,5.39,5.09,5.32,5.32,19700
2012-04-10,5.28,5.48,5.28,5.31,5.31,22600
2012-04-11,5.37,5.4,5.33,5.37,5.37,17200
2012-04-12,5.34,5.87,5.34,5.71,5.71,19600
2012-04-13,5.78,5.95,5.74,5.89,5.89,26000
2012-04-16,5.91,6.0,5.9,5.92,5.92,30300
2012-04-17,5.96,6.0,5.95,5.96,5.96,36200
2012-04-18,5.99,5.99,5.91,5.96,5.96,4100
2012-04-19,5.88,5.99,5.87,5.94,5.94,10000
2012-04-20,5.99,5.99,5.84,5.84,5.84,8000
2012-04-23,5.71,5.82,5.61,5.63,5.63,13900
2012-04-24,5.61,5.65,5.52,5.53,5.53,8400
2012-04-25,5.57,5.66,5.43,5.56,5.56,8500
2012-04-26,5.62,5.62,5.45,5.56,5.56,33300
2012-04-27,5.7,5.7,5.38,5.38,5.38,10600
2012-04-30,5.47,5.56,5.43,5.51,5.51,17000
2012-05-01,5.47,5.53,5.37,5.45,5.45,16000
2012-05-02,5.43,5.52,5.42,5.46,5.46,14300
2012-05-03,5.43,5.53,5.43,5.47,5.47,14000
2012-05-04,5.63,5.69,5.37,5.49,5.49,35300
2012-05-07,5.41,5.75,5.41,5.72,5.72,28000
2012-05-08,5.61,5.83,5.61,5.73,5.73,23900
2012-05-09,5.66,5.7,5.48,5.48,5.48,27000
2012-05-10,5.56,5.85,5.4,5.85,5.85,31000
2012-05-11,5.49,5.8,5.49,5.74,5.74,47600
2012-05-14,5.73,5.82,5.56,5.62,5.62,14100
2012-05-15,5.55,5.7,5.41,5.58,5.58,16000
2012-05-16,5.65,5.65,5.33,5.35,5.35,26300
2012-05-17,5.31,5.45,4.98,5.26,5.26,51800
2012-05-18,5.19,5.19,4.72,4.81,4.81,35700
2012-05-21,4.63,4.85,4.5,4.59,4.59,9100
2012-05-22,4.57,4.66,4.29,4.37,4.37,37000
2012-05-23,4.22,4.22,3.86,4.1,4.1,47000
2012-05-24,4.06,4.06,3.67,3.83,3.83,26300
2012-05-25,3.89,4.0,3.7,4.0,4.0,47900
2012-05-29,4.08,4.16,3.63,4.16,4.16,99800
2012-05-30,4.02,4.1,3.78,3.93,3.93,65500
2012-05-31,3.93,4.1,3.84,4.05,4.05,34900
2012-06-01,3.93,4.0,3.77,3.88,3.88,58500
2012-06-04,3.86,3.91,3.5,3.69,3.69,74300
2012-06-05,3.79,3.82,3.51,3.74,3.74,62100
2012-06-06,3.73,3.8,3.61,3.67,3.67,41700
2012-06-07,3.65,3.73,3.62,3.67,3.67,12000
2012-06-08,3.65,3.72,3.56,3.61,3.61,26300
2012-06-11,3.62,3.75,3.6,3.75,3.75,22100
2012-06-12,3.8,3.8,3.62,3.71,3.71,24900
2012-06-13,3.65,3.72,3.52,3.57,3.57,44000
2012-06-14,3.54,3.63,3.5,3.5,3.5,17900
2012-06-15,3.54,3.61,3.51,3.61,3.61,19400
2012-06-18,3.58,3.73,3.53,3.6,3.6,28000
2012-06-19,3.66,3.66,3.57,3.6,3.6,5500
2012-06-20,3.63,3.63,3.5,3.53,3.53,17700
2012-06-21,3.55,3.63,3.4,3.54,3.54,61400
2012-06-22,3.51,3.55,3.36,3.36,3.36,51900
2012-06-25,3.33,3.33,3.2,3.29,3.29,8900
2012-06-26,3.33,3.58,3.33,3.53,3.53,9200
2012-06-27,3.46,3.63,3.46,3.6,3.6,24000
2012-06-28,3.54,3.54,3.47,3.52,3.52,6700
2012-06-29,3.64,3.69,3.51,3.62,3.62,5500
2012-07-02,3.66,3.95,3.65,3.84,3.84,26200
2012-07-03,3.9,4.99,3.9,4.36,4.36,42300
2012-07-05,4.4,4.46,4.26,4.31,4.31,26000
2012-07-06,4.23,4.25,4.01,4.17,4.17,46500
2012-07-09,4.06,4.43,3.95,4.4,4.4,21600
2012-07-10,4.4,4.4,4.09,4.34,4.34,21500
2012-07-11,4.38,4.45,4.11,4.42,4.42,38100
2012-07-12,4.3,4.41,4.23,4.23,4.23,16400
2012-07-13,4.31,4.45,4.0,4.32,4.32,14100
2012-07-16,4.37,4.37,4.2,4.31,4.31,6500
2012-07-17,4.38,4.38,4.2,4.34,4.34,4800
2012-07-18,4.28,4.42,4.12,4.35,4.35,4500
2012-07-19,4.24,4.31,4.15,4.25,4.25,7000
2012-07-20,4.15,4.28,4.1,4.23,4.23,9500
2012-07-23,4.08,4.17,4.07,4.14,4.14,11100
2012-07-24,3.93,4.15,3.93,4.11,4.11,1900
2012-07-25,4.19,4.28,4.07,4.27,4.27,5600
2012-07-26,4.22,4.3,4.1,4.3,4.3,8500
2012-07-27,4.19,4.6,4.15,4.55,4.55,25800
2012-07-30,4.47,4.47,4.26,4.4,4.4,2700
2012-07-31,4.25,4.49,4.25,4.4,4.4,14000
2012-08-01,4.48,4.49,4.4,4.47,4.47,6600
2012-08-02,4.45,4.5,4.45,4.49,4.49,6200
2012-08-03,4.6,4.6,4.43,4.43,4.43,5900
2012-08-06,4.55,5.24,4.55,4.79,4.79,66700
2012-08-07,5.62,5.62,4.75,5.24,5.24,23100
2012-08-08,5.21,5.3,5.0,5.15,5.15,27300
2012-08-09,5.27,5.41,5.05,5.12,5.12,35200
2012-08-10,5.22,5.35,4.87,5.1,5.1,21100
2012-08-13,5.02,5.28,4.9,4.99,4.99,8900
2012-08-14,4.97,5.3,4.97,5.15,5.15,6400
2012-08-15,5.04,5.17,5.0,5.02,5.02,40400
2012-08-16,7.1,7.35,6.21,6.46,6.46,1335400
2012-08-17,6.5,6.54,6.25,6.32,6.32,470500
2012-08-20,6.4,6.4,6.03,6.08,6.08,625300
2012-08-21,6.17,6.17,5.95,5.98,5.98,321400
2012-08-22,6.0,6.23,5.94,6.01,6.01,197600
2012-08-23,6.0,6.08,5.94,5.96,5.96,112500
2012-08-24,6.0,6.14,5.88,5.93,5.93,233800
2012-08-27,5.9,5.97,5.8,5.85,5.85,247200
2012-08-28,5.85,5.9,5.84,5.85,5.85,230100
2012-08-29,5.85,6.0,5.85,5.98,5.98,251800
2012-08-30,5.88,6.07,5.88,6.0,6.0,220100
2012-08-31,5.97,6.08,5.97,6.07,6.07,155800
2012-09-04,6.07,6.1,5.96,6.05,6.05,165700
2012-09-05,6.01,6.08,6.01,6.06,6.06,156600
2012-09-06,6.1,6.15,6.05,6.07,6.07,384300
2012-09-07,6.03,6.26,6.03,6.2,6.2,227600
2012-09-10,6.13,6.37,6.1,6.31,6.31,647100
2012-09-11,6.3,6.31,6.15,6.25,6.25,218800
2012-09-12,6.21,6.35,5.95,6.14,6.14,549100
2012-09-13,4.23,4.5,4.19,4.37,4.37,961200
2012-09-14,4.44,4.44,4.15,4.25,4.25,287900
2012-09-17,4.25,4.33,4.09,4.25,4.25,102200
2012-09-18,4.22,4.25,4.05,4.15,4.15,132700
2012-09-19,4.14,4.28,4.07,4.18,4.18,131700
2012-09-20,4.13,4.25,4.1,4.14,4.14,332100
2012-09-21,4.16,4.26,4.1,4.17,4.17,265100
2012-09-24,4.11,4.28,4.06,4.07,4.07,261900
2012-09-25,4.06,4.19,3.98,3.99,3.99,117600
2012-09-26,3.95,4.01,3.75,3.8,3.8,102700
2012-09-27,3.8,3.8,3.72,3.72,3.72,61700
2012-09-28,3.67,3.72,3.67,3.72,3.72,23200
2012-10-01,3.72,3.95,3.72,3.78,3.78,54700
2012-10-02,3.8,3.85,3.77,3.81,3.81,43800
2012-10-03,3.83,3.88,3.78,3.86,3.86,31400
2012-10-04,3.9,3.98,3.86,3.97,3.97,23700
2012-10-05,3.96,4.01,3.91,3.99,3.99,52500
2012-10-08,3.96,3.97,3.9,3.93,3.93,23800
2012-10-09,3.9,3.94,3.85,3.85,3.85,34400
2012-10-10,3.87,3.91,3.84,3.85,3.85,168900
2012-10-11,3.85,3.91,3.84,3.9,3.9,26800
2012-10-12,3.93,3.93,3.83,3.88,3.88,27200
2012-10-15,3.9,3.9,3.85,3.85,3.85,24000
2012-10-16,3.86,3.88,3.84,3.86,3.86,13300
2012-10-17,3.84,3.9,3.84,3.9,3.9,27600
2012-10-18,3.86,3.9,3.84,3.84,3.84,11600
2012-10-19,3.82,3.9,3.8,3.9,3.9,20700
2012-10-22,3.87,3.91,3.83,3.89,3.89,42900
2012-10-23,3.84,3.9,3.81,3.87,3.87,19800
2012-10-24,3.86,3.88,3.78,3.82,3.82,40500
2012-10-25,3.83,3.88,3.82,3.83,3.83,17400
2012-10-26,3.8,3.89,3.8,3.86,3.86,38100
2012-10-31,3.83,3.84,3.81,3.83,3.83,5000
2012-11-01,3.84,3.84,3.76,3.79,3.79,10000
2012-11-02,3.81,3.81,3.7,3.7,3.7,25600
2012-11-05,3.7,3.8,3.64,3.79,3.79,7400
2012-11-06,3.76,3.8,3.65,3.76,3.76,23900
2012-11-07,3.71,3.75,3.62,3.69,3.69,16500
2012-11-08,3.66,3.74,3.66,3.66,3.66,16900
2012-11-09,3.66,3.82,3.45,3.55,3.55,39100
2012-11-12,3.56,3.63,3.53,3.61,3.61,27300
2012-11-13,3.66,3.73,3.53,3.64,3.64,30000
2012-11-14,3.61,3.73,3.61,3.65,3.65,14700
2012-11-15,3.7,3.79,3.6,3.7,3.7,126500
2012-11-16,3.72,3.81,3.64,3.66,3.66,29500
2012-11-19,3.67,3.8,3.65,3.75,3.75,35700
2012-11-20,3.72,3.79,3.72,3.77,3.77,23300
2012-11-21,3.76,3.78,3.74,3.78,3.78,3800
2012-11-23,3.67,3.71,3.67,3.69,3.69,1500
2012-11-26,3.79,3.81,3.67,3.71,3.71,13600
2012-11-27,3.66,3.78,3.66,3.67,3.67,14300
2012-11-28,3.66,3.72,3.64,3.66,3.66,11800
2012-11-29,3.71,3.72,3.63,3.63,3.63,10400
2012-11-30,3.65,3.76,3.65,3.66,3.66,8100
2012-12-03,3.6,3.77,3.6,3.76,3.76,9600
2012-12-04,3.64,3.8,3.64,3.72,3.72,11700
2012-12-05,3.8,3.8,3.6,3.63,3.63,6400
2012-12-06,3.7,3.7,3.62,3.62,3.62,600
2012-12-07,3.62,3.66,3.55,3.55,3.55,13400
2012-12-10,3.65,3.65,3.59,3.6,3.6,10300
2012-12-11,3.6,3.67,3.55,3.55,3.55,22100
2012-12-12,3.56,3.58,3.5,3.55,3.55,34200
2012-12-13,3.55,3.6,3.55,3.55,3.55,6300
2012-12-14,3.55,3.59,3.53,3.58,3.58,14900
2012-12-17,3.59,3.68,3.52,3.55,3.55,34300
2012-12-18,3.53,3.54,3.51,3.51,3.51,18500
2012-12-19,3.51,3.59,3.51,3.59,3.59,8600
2012-12-20,3.53,3.59,3.49,3.49,3.49,12000
2012-12-21,3.5,3.6,3.43,3.6,3.6,33000
2012-12-24,3.57,3.71,3.43,3.43,3.43,19700
2012-12-26,3.44,3.63,3.25,3.28,3.28,34400
2012-12-27,3.26,3.5,3.26,3.39,3.39,14000
2012-12-28,3.39,3.54,3.28,3.42,3.42,21400
2012-12-31,3.37,3.58,3.35,3.35,3.35,5300
2013-01-02,3.47,3.47,3.33,3.36,3.36,13700
2013-01-03,3.37,3.48,3.31,3.31,3.31,8700
2013-01-04,3.3,3.39,3.3,3.34,3.34,4800
2013-01-07,3.35,3.47,3.23,3.23,3.23,11300
2013-01-08,3.33,3.57,3.21,3.44,3.44,48400
2013-01-09,3.5,3.6,3.48,3.6,3.6,12400
2013-01-10,3.47,3.68,3.47,3.49,3.49,8600
2013-01-11,3.57,3.7,3.52,3.52,3.52,5700
2013-01-14,3.46,3.65,3.44,3.64,3.64,5300
2013-01-15,3.44,3.5,3.37,3.37,3.37,2800
2013-01-16,3.33,3.59,3.33,3.39,3.39,8600
2013-01-17,3.4,3.4,3.35,3.35,3.35,6800
2013-01-18,3.34,3.39,3.25,3.27,3.27,13300
2013-01-22,3.32,3.47,3.32,3.36,3.36,5900
2013-01-23,3.38,3.48,3.34,3.34,3.34,6800
2013-01-24,3.3,3.38,3.25,3.38,3.38,6200
2013-01-25,3.38,3.39,3.18,3.24,3.24,19700
2013-01-28,3.22,3.31,3.21,3.31,3.31,4700
2013-01-29,3.26,3.44,3.21,3.28,3.28,3700
2013-01-30,3.28,3.28,3.28,3.28,3.28,0
2013-01-31,3.35,3.47,3.13,3.21,3.21,9100
2013-02-01,3.25,3.43,3.22,3.25,3.25,5600
2013-02-04,3.24,3.4,3.21,3.29,3.29,5500
2013-02-05,3.3,3.3,3.2,3.2,3.2,6000
2013-02-06,3.2,3.37,3.2,3.2,3.2,2900
2013-02-07,3.21,3.28,3.19,3.28,3.28,7100
2013-02-08,3.14,3.29,3.02,3.27,3.27,24200
2013-02-11,3.29,3.4,3.29,3.36,3.36,20600
2013-02-12,3.37,3.38,3.27,3.27,3.27,5700
2013-02-13,3.26,3.34,3.23,3.23,3.23,3200
2013-02-14,3.3,3.38,3.21,3.21,3.21,2600
2013-02-15,3.21,3.21,3.21,3.21,3.21,0
2013-02-19,3.21,3.38,3.21,3.28,3.28,4000
