Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,25.709999,25.950001,25.68,25.870001,17.638474,198800
2012-02-07,25.75,25.950001,25.690001,25.84,17.618019,295000
2012-02-08,25.9,25.950001,25.67,25.940001,17.686193,290100
2012-02-09,25.959999,26.0,25.76,25.84,17.618019,127800
2012-02-10,25.68,25.950001,25.68,25.73,17.543016,177300
2012-02-13,25.9,26.02,25.719999,26.01,17.733927,255200
2012-02-14,25.879999,25.950001,25.620001,25.73,17.543016,367500
2012-02-15,25.75,25.969999,25.33,25.450001,17.352106,301100
2012-02-16,25.49,25.790001,25.49,25.57,17.433931,259000
2012-02-17,25.540001,25.66,25.5,25.59,17.447563,284400
2012-02-21,25.75,25.799999,25.35,25.459999,17.358927,377300
2012-02-22,25.25,25.26,24.940001,25.07,17.289963,259800
2012-02-23,25.129999,25.309999,25.02,25.24,17.407204,382000
2012-02-24,25.24,25.33,25.120001,25.15,17.345133,144900
2012-02-27,25.0,25.040001,24.780001,24.85,17.138229,262400
2012-02-28,24.870001,24.93,24.5,24.690001,17.027893,265400
2012-02-29,24.76,24.799999,24.48,24.700001,17.034784,396600
2012-03-01,24.82,24.85,24.65,24.74,17.062366,466300
2012-03-02,24.77,24.82,24.6,24.719999,17.04858,424900
2012-03-05,24.719999,24.83,24.49,24.83,17.124437,259400
2012-03-06,24.66,24.82,24.59,24.799999,17.103752,396800
2012-03-07,24.84,25.01,24.58,25.01,17.248583,361900
2012-03-08,25.08,25.26,24.950001,25.25,17.414103,371100
2012-03-09,25.280001,25.68,25.15,25.65,17.68997,433100
2012-03-12,25.66,25.82,25.440001,25.49,17.579617,524900
2012-03-13,25.65,25.700001,25.51,25.639999,17.683077,448800
2012-03-14,25.67,25.74,25.25,25.25,17.414103,261100
2012-03-15,25.27,25.309999,24.959999,25.129999,17.331343,304400
2012-03-16,25.16,25.17,24.950001,24.959999,17.214094,377900
2012-03-19,24.959999,25.190001,24.889999,25.0,17.241688,194900
2012-03-20,24.84,25.07,24.83,24.950001,17.207205,200900
2012-03-21,24.99,25.040001,24.84,24.98,17.22789,160700
2012-03-22,24.85,24.99,24.809999,24.950001,17.207205,154400
2012-03-23,24.92,25.049999,24.870001,24.99,17.234791,206000
2012-03-26,25.139999,25.389999,25.139999,25.34,17.476175,272000
2012-03-27,25.4,25.540001,25.27,25.440001,17.545135,199200
2012-03-28,25.48,25.559999,25.34,25.48,17.572723,367300
2012-03-29,25.389999,25.620001,25.209999,25.57,17.634796,198900
2012-03-30,25.629999,25.690001,25.530001,25.58,17.641697,383000
2012-04-02,25.6,26.129999,25.51,25.969999,17.910664,364200
2012-04-03,26.01,26.17,25.68,25.83,17.814106,393300
2012-04-04,25.73,25.809999,25.629999,25.700001,17.724455,258300
2012-04-05,25.66,25.66,25.33,25.459999,17.558929,133300
2012-04-09,25.190001,25.379999,25.190001,25.309999,17.455479,225200
2012-04-10,25.309999,25.309999,24.950001,25.040001,17.269274,445900
2012-04-11,25.200001,25.24,25.07,25.24,17.407204,314000
2012-04-12,25.17,25.52,25.110001,25.379999,17.503756,251200
2012-04-13,25.360001,25.76,25.290001,25.35,17.483072,260500
2012-04-16,25.469999,25.690001,25.389999,25.629999,17.676172,216600
2012-04-17,25.66,26.0,25.48,25.91,17.869278,235200
2012-04-18,25.790001,25.98,25.68,25.77,17.772726,140900
2012-04-19,25.73,25.799999,25.49,25.58,17.641697,173200
2012-04-20,25.92,26.040001,25.77,25.950001,17.896866,293000
2012-04-23,25.67,25.76,25.549999,25.700001,17.724455,233600
2012-04-24,25.799999,26.059999,25.76,26.059999,17.972733,249500
2012-04-25,26.280001,26.33,26.15,26.23,18.089975,334100
2012-04-26,26.23,26.379999,26.08,26.370001,18.186529,316900
2012-04-27,26.49,26.5,26.290001,26.450001,18.241701,291400
2012-04-30,26.469999,26.530001,26.33,26.440001,18.234804,249000
2012-05-01,26.549999,26.700001,26.33,26.35,18.172737,466100
2012-05-02,26.139999,26.43,25.9,26.0,17.931349,445200
2012-05-03,25.98,26.0,25.66,25.68,17.710663,252500
2012-05-04,25.6,25.68,25.43,25.549999,17.621,371300
2012-05-07,25.51,25.540001,25.25,25.540001,17.614103,323700
2012-05-08,25.459999,25.82,25.459999,25.780001,17.779627,216400
2012-05-09,25.59,25.82,25.549999,25.610001,17.662376,440300
2012-05-10,25.75,25.93,25.65,25.879999,17.848591,183200
2012-05-11,25.76,25.9,25.68,25.77,17.772726,266000
2012-05-14,25.639999,25.790001,25.51,25.52,17.600313,346800
2012-05-15,25.65,25.65,25.35,25.4,17.51755,311200
2012-05-16,25.43,25.780001,25.4,25.77,17.772726,338300
2012-05-17,25.799999,25.83,25.57,25.6,17.655489,328600
2012-05-18,25.52,25.780001,25.41,25.459999,17.558929,273000
2012-05-21,25.51,25.52,25.25,25.389999,17.510653,388200
2012-05-22,25.200001,25.299999,25.09,25.17,17.55949,303500
2012-05-23,25.07,25.23,24.950001,25.07,17.489723,284000
2012-05-24,25.139999,25.49,25.09,25.49,17.78273,255100
2012-05-25,25.43,25.57,25.379999,25.450001,17.754824,163400
2012-05-29,25.58,25.58,25.370001,25.549999,17.824583,125200
2012-05-30,25.41,25.66,25.25,25.25,17.615299,261400
2012-05-31,25.299999,25.549999,25.18,25.41,17.726921,297200
2012-06-01,25.139999,25.5,25.139999,25.4,17.719942,255800
2012-06-04,25.450001,25.620001,25.4,25.52,17.803661,180700
2012-06-05,25.41,25.73,25.35,25.719999,17.943192,176500
2012-06-06,25.83,26.0,25.65,26.0,18.138525,292600
2012-06-07,26.24,26.24,25.93,25.969999,18.117599,308100
2012-06-08,25.9,26.17,25.83,26.15,18.243172,157400
2012-06-11,26.32,26.559999,26.09,26.110001,18.215269,337200
2012-06-12,26.18,26.200001,25.85,26.08,18.19434,193100
2012-06-13,25.98,26.24,25.889999,26.1,18.20829,227900
2012-06-14,26.17,26.280001,26.049999,26.25,18.312939,169000
2012-06-15,26.290001,26.48,26.190001,26.34,18.375727,293100
2012-06-18,26.24,26.4,26.24,26.32,18.361767,213700
2012-06-19,26.440001,26.6,26.26,26.440001,18.445484,285800
2012-06-20,26.4,26.469999,26.209999,26.25,18.312939,131900
2012-06-21,26.219999,26.379999,25.9,25.98,18.124575,179600
2012-06-22,26.120001,26.309999,26.030001,26.23,18.298977,403100
2012-06-25,25.959999,26.16,25.93,26.049999,18.173412,124300
2012-06-26,26.049999,26.26,25.969999,26.1,18.20829,190300
2012-06-27,26.24,26.51,26.219999,26.4,18.41758,256700
2012-06-28,26.26,26.76,26.15,26.75,18.661751,269400
2012-06-29,27.07,27.07,26.629999,26.700001,18.626871,265500
2012-07-02,26.790001,27.030001,26.6,26.950001,18.801283,496600
2012-07-03,27.030001,27.059999,26.889999,26.959999,18.808256,197200
2012-07-05,26.98,27.09,26.77,26.790001,18.689663,206500
2012-07-06,26.610001,27.02,26.610001,26.959999,18.808256,197800
2012-07-09,26.959999,27.01,26.780001,26.940001,18.794306,351400
2012-07-10,27.040001,27.27,27.01,27.1,18.905924,303700
2012-07-11,27.110001,27.219999,26.959999,27.110001,18.912901,194900
2012-07-12,27.0,27.23,26.92,27.120001,18.91988,256800
2012-07-13,27.190001,27.450001,27.190001,27.389999,19.10824,178000
2012-07-16,27.4,27.450001,27.219999,27.309999,19.052429,144900
2012-07-17,27.35,27.57,27.18,27.389999,19.10824,129700
2012-07-18,27.389999,27.559999,27.23,27.530001,19.20591,115400
2012-07-19,27.5,27.73,27.190001,27.48,19.17103,200400
2012-07-20,27.33,27.84,27.290001,27.6,19.254745,258000
2012-07-23,27.25,27.42,27.200001,27.209999,18.982666,203600
2012-07-24,27.299999,27.49,26.75,26.9,18.766392,160100
2012-07-25,27.059999,27.209999,26.85,27.16,18.947781,174200
2012-07-26,27.450001,27.549999,27.209999,27.389999,19.10824,160700
2012-07-27,27.48,27.950001,27.4,27.77,19.373344,229100
2012-07-30,27.780001,27.959999,27.65,27.860001,19.436125,165100
2012-07-31,27.799999,27.93,27.66,27.68,19.310558,261900
2012-08-01,27.76,28.030001,27.27,27.280001,19.0315,340800
2012-08-02,27.24,27.370001,27.16,27.34,19.073357,175600
2012-08-03,27.559999,27.950001,27.559999,27.799999,19.394268,178000
2012-08-06,27.879999,28.049999,27.75,27.780001,19.380325,225900
2012-08-07,27.76,27.780001,26.58,26.629999,18.578037,555700
2012-08-08,26.5,26.67,26.35,26.530001,18.508272,303100
2012-08-09,26.459999,26.790001,26.42,26.65,18.591988,280200
2012-08-10,26.629999,26.67,26.43,26.610001,18.564089,162500
2012-08-13,26.639999,26.700001,26.379999,26.450001,18.452463,196400
2012-08-14,26.58,26.6,26.4,26.450001,18.452463,274100
2012-08-15,26.4,26.549999,26.27,26.280001,18.333864,246300
2012-08-16,26.299999,26.35,26.23,26.299999,18.347815,324500
2012-08-17,26.27,26.389999,26.25,26.360001,18.389679,254500
2012-08-20,26.360001,26.4,26.27,26.299999,18.347815,384000
2012-08-21,26.110001,26.24,25.77,25.879999,18.256113,445500
2012-08-22,25.879999,26.0,25.73,25.73,18.150299,163300
2012-08-23,25.709999,25.709999,25.379999,25.459999,17.959837,251800
2012-08-24,25.370001,25.59,25.34,25.49,17.981003,150800
2012-08-27,25.58,25.58,25.440001,25.469999,17.966892,162700
2012-08-28,25.440001,25.57,25.4,25.459999,17.959837,199000
2012-08-29,25.459999,25.65,25.389999,25.530001,18.009216,185500
2012-08-30,25.450001,25.540001,25.370001,25.450001,17.952787,125200
2012-08-31,25.530001,25.549999,25.24,25.4,17.917515,282800
2012-09-04,25.52,25.65,25.299999,25.58,18.044493,240000
2012-09-05,25.67,25.67,25.450001,25.540001,18.016273,245000
2012-09-06,25.549999,25.790001,25.530001,25.719999,18.14325,294300
2012-09-07,25.84,25.889999,25.58,25.65,18.093868,175200
2012-09-10,25.620001,25.77,25.559999,25.559999,18.03038,257000
2012-09-11,25.549999,25.719999,25.41,25.440001,17.945732,221400
2012-09-12,25.43,25.530001,25.18,25.25,17.811701,209800
2012-09-13,25.25,25.370001,25.209999,25.370001,17.896351,544000
2012-09-14,25.440001,25.540001,25.32,25.42,17.931622,371900
2012-09-17,25.4,25.49,25.1,25.15,17.741163,452600
2012-09-18,25.09,25.35,25.07,25.25,17.811701,371700
2012-09-19,25.290001,25.469999,25.25,25.459999,17.959837,412200
2012-09-20,25.370001,25.74,25.370001,25.639999,18.086811,290700
2012-09-21,25.809999,25.950001,25.709999,25.809999,18.206738,552000
2012-09-24,25.799999,26.059999,25.799999,26.030001,18.361929,412500
2012-09-25,26.059999,26.24,25.93,25.959999,18.312544,374600
2012-09-26,25.959999,26.25,25.950001,26.1,18.411303,281500
2012-09-27,26.209999,26.299999,25.860001,25.92,18.28433,431400
2012-09-28,25.84,25.870001,25.629999,25.74,18.157354,315800
2012-10-01,25.889999,26.0,25.690001,25.790001,18.192629,291400
2012-10-02,25.92,25.98,25.75,25.93,18.291382,230300
2012-10-03,25.969999,26.1,25.82,26.0,18.340765,304700
2012-10-04,26.07,26.24,25.98,26.049999,18.376034,330000
2012-10-05,26.209999,26.26,26.0,26.059999,18.383085,158400
2012-10-08,26.02,26.059999,25.889999,25.92,18.28433,169800
2012-10-09,25.92,26.0,25.74,25.870001,18.249062,246600
2012-10-10,25.870001,26.030001,25.799999,25.889999,18.263165,166300
2012-10-11,25.969999,26.059999,25.860001,25.9,18.270222,186300
2012-10-12,25.879999,25.99,25.690001,25.74,18.157354,249000
2012-10-15,25.73,25.99,25.6,25.9,18.270222,230800
2012-10-16,26.0,26.26,26.0,26.1,18.411303,296900
2012-10-17,26.139999,26.66,26.110001,26.65,18.79928,287900
2012-10-18,26.459999,26.77,26.4,26.76,18.876875,245400
2012-10-19,26.690001,26.75,26.41,26.459999,18.665253,223000
2012-10-22,25.879999,25.940001,25.43,25.540001,18.016273,816800
2012-10-23,25.41,25.41,24.969999,25.030001,17.656511,465700
2012-10-24,24.73,25.059999,24.66,24.85,17.529533,543100
2012-10-25,24.959999,25.08,24.85,25.08,17.691776,278000
2012-10-26,25.129999,25.18,25.02,25.08,17.691776,230900
2012-10-31,25.190001,25.440001,25.1,25.42,17.931622,284100
2012-11-01,25.48,25.59,25.26,25.309999,17.854029,289200
2012-11-02,25.49,25.49,24.98,24.98,17.621237,204600
2012-11-05,25.01,25.059999,24.77,24.809999,17.501322,292100
2012-11-06,24.809999,25.17,24.809999,24.99,17.628296,219200
2012-11-07,24.82,24.860001,24.219999,24.280001,17.127457,339900
2012-11-08,24.25,24.5,24.030001,24.030001,16.951097,263500
2012-11-09,23.969999,24.129999,23.809999,23.879999,16.845289,341900
2012-11-12,23.879999,24.030001,23.620001,23.690001,16.711256,197000
2012-11-13,23.6,23.85,23.52,23.57,16.626606,302700
2012-11-14,23.610001,23.68,23.24,23.360001,16.478468,259100
2012-11-15,23.290001,23.43,22.98,23.07,16.273901,278600
2012-11-16,23.0,23.280001,22.780001,23.25,16.400875,260800
2012-11-19,23.379999,23.4,23.049999,23.280001,16.422039,306300
2012-11-20,23.25,23.33,23.0,23.26,16.407928,174600
2012-11-21,23.33,23.450001,23.110001,23.25,16.400875,296800
2012-11-23,23.34,23.34,23.09,23.200001,16.365606,91500
2012-11-26,23.190001,23.559999,23.18,23.51,16.58428,455300
2012-11-27,23.27,23.450001,23.18,23.200001,16.570002,312500
2012-11-28,23.18,23.459999,23.1,23.450001,16.748556,304000
2012-11-29,23.57,23.77,23.440001,23.639999,16.884254,291800
