Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,15.07,15.33,15.01,15.3,12.956556,298100
2012-02-07,15.3,15.46,15.19,15.32,12.973495,644700
2012-02-08,15.31,15.47,15.02,15.19,12.863406,364500
2012-02-09,15.18,15.3,14.89,14.89,12.609357,604500
2012-02-10,14.74,14.74,14.3,14.38,12.177474,852500
2012-02-13,14.55,14.8,14.55,14.72,12.465393,456200
2012-02-14,14.6,14.71,14.43,14.61,12.372243,332800
2012-02-15,14.61,14.68,14.46,14.54,12.312963,412600
2012-02-16,14.49,14.78,14.44,14.71,12.456926,671800
2012-02-17,15.0,15.13,14.79,14.8,12.53314,588200
2012-02-21,14.83,14.83,14.1,14.32,12.126659,967600
2012-02-22,14.21,14.31,14.07,14.09,11.93189,466800
2012-02-23,14.08,14.37,13.94,14.29,12.101256,427400
2012-02-24,14.29,14.35,14.02,14.12,11.957296,319100
2012-02-27,13.94,14.07,13.75,13.95,11.813333,384900
2012-02-28,13.97,14.07,13.63,13.84,11.720178,470100
2012-02-29,13.85,13.97,13.39,13.43,11.372978,530900
2012-03-01,13.46,13.59,13.32,13.33,11.288297,453700
2012-03-02,13.33,13.42,12.99,13.14,11.127398,502200
2012-03-05,13.12,13.12,12.9,12.93,10.949565,535100
2012-03-06,12.75,12.86,12.54,12.68,10.737851,562900
2012-03-07,12.75,12.75,12.59,12.7,10.754791,290600
2012-03-08,12.86,13.09,12.77,13.01,11.017309,534400
2012-03-09,13.01,13.33,12.9,13.24,11.212077,675900
2012-03-12,13.13,13.57,13.1,13.49,11.467096,1176000
2012-03-13,13.64,13.88,13.6,13.87,11.79011,742000
2012-03-14,13.87,13.89,13.56,13.75,11.688104,563500
2012-03-15,13.75,13.86,13.72,13.8,11.730605,488200
2012-03-16,13.83,13.93,13.63,13.66,11.6116,930100
2012-03-19,13.65,13.89,13.6,13.67,11.6201,297100
2012-03-20,13.69,13.93,13.52,13.52,11.492593,452300
2012-03-21,13.56,13.86,13.47,13.69,11.637102,430300
2012-03-22,13.5,13.61,13.35,13.44,11.424589,353600
2012-03-23,13.47,13.63,13.28,13.61,11.569099,300400
2012-03-26,14.1,14.55,14.04,14.5,12.325637,1137200
2012-03-27,14.55,14.72,14.42,14.43,12.266137,696700
2012-03-28,14.43,14.5,14.26,14.48,12.308638,616900
2012-03-29,14.34,14.5,14.22,14.48,12.308638,405000
2012-03-30,14.64,14.64,14.32,14.4,12.240633,473400
2012-04-02,14.38,14.85,14.23,14.79,12.572148,690700
2012-04-03,14.75,14.85,14.48,14.65,12.453145,381600
2012-04-04,14.4,14.46,14.15,14.39,12.232133,423400
2012-04-05,14.28,14.47,14.03,14.13,12.011122,332400
2012-04-09,13.83,13.95,13.64,13.81,11.739108,561100
2012-04-10,13.79,13.79,13.29,13.31,11.314087,615400
2012-04-11,13.52,13.57,13.36,13.57,11.535094,584600
2012-04-12,13.58,14.1,13.53,14.04,11.934616,535300
2012-04-13,13.95,13.95,13.7,13.81,11.739108,436700
2012-04-16,13.92,13.92,13.58,13.72,11.662602,272600
2012-04-17,13.89,13.94,13.68,13.68,11.628603,483000
2012-04-18,13.55,13.89,13.5,13.72,11.662602,378700
2012-04-19,13.76,13.95,13.66,13.84,11.76461,493200
2012-04-20,14.09,14.12,13.63,13.7,11.645601,452400
2012-04-23,13.4,13.41,13.07,13.25,11.263081,373900
2012-04-24,13.25,13.43,13.16,13.34,11.339587,434200
2012-04-25,13.58,13.74,13.46,13.66,11.6116,310300
2012-04-26,13.59,13.78,13.46,13.74,11.679604,336200
2012-04-27,13.82,14.05,13.54,14.0,11.900617,617400
2012-04-30,14.03,14.03,13.76,13.86,11.78161,509600
2012-05-01,13.86,14.04,13.67,13.73,11.671102,515400
2012-05-02,13.59,14.01,13.54,13.98,11.883615,665700
2012-05-03,13.98,14.14,13.39,13.5,11.475595,725300
2012-05-04,13.39,13.48,13.25,13.25,11.263081,621200
2012-05-07,13.07,13.35,12.97,13.25,11.263081,463000
2012-05-08,13.1,13.72,13.1,13.66,11.6116,722600
2012-05-09,13.44,13.93,13.38,13.78,11.713605,560100
2012-05-10,13.93,14.03,13.77,13.95,11.85811,446200
2012-05-11,13.77,14.05,13.74,14.05,11.943119,579900
2012-05-14,13.9,13.91,13.65,13.75,11.688104,615800
2012-05-15,13.7,13.86,13.44,13.59,11.552095,676300
2012-05-16,13.73,13.8,13.33,13.35,11.348086,458400
2012-05-17,13.41,13.41,12.77,12.8,10.880563,1160300
2012-05-18,12.81,13.1,12.64,12.68,10.778558,626800
2012-05-21,12.72,12.96,12.61,12.84,10.914566,702400
2012-05-22,12.81,13.1,12.76,12.86,10.931565,638200
2012-05-23,12.76,12.96,12.55,12.93,10.99107,649000
2012-05-24,12.99,13.19,12.9,13.16,11.18658,478100
2012-05-25,13.19,13.24,12.99,13.11,11.144077,419600
2012-05-29,13.27,13.45,13.14,13.33,11.331087,305100
2012-05-30,13.13,13.22,12.9,13.0,11.050574,871800
2012-05-31,13.05,13.26,12.9,13.23,11.246081,1142200
2012-06-01,12.83,13.0,12.66,12.83,10.906067,821200
2012-06-04,12.9,12.9,12.39,12.54,10.659553,439400
2012-06-05,12.43,12.65,12.4,12.51,10.634052,494100
2012-06-06,12.94,13.18,12.87,13.08,11.118575,1389300
2012-06-07,13.39,13.52,13.16,13.37,11.36509,1121300
