Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,5.43,5.57,5.32,5.51,5.51,138000
2012-02-07,5.52,5.52,5.36,5.37,5.37,97300
2012-02-08,5.38,5.58,5.38,5.55,5.55,129800
2012-02-09,5.55,5.6,5.2,5.23,5.23,376500
2012-02-10,5.17,5.25,5.06,5.15,5.15,211200
2012-02-13,5.21,5.27,4.99,5.12,5.12,237300
2012-02-14,5.06,5.15,5.0,5.11,5.11,186600
2012-02-15,5.14,5.18,5.03,5.07,5.07,120700
2012-02-16,5.06,5.33,5.06,5.23,5.23,152300
2012-02-17,5.27,5.34,5.23,5.32,5.32,277700
2012-02-21,5.32,5.42,5.15,5.16,5.16,123300
2012-02-22,5.15,5.2,5.0,5.01,5.01,112900
2012-02-23,5.01,5.16,4.88,5.1,5.1,338000
2012-02-24,5.3,5.88,5.3,5.68,5.68,1229700
2012-02-27,5.65,5.83,5.6,5.73,5.73,394900
2012-02-28,5.74,5.98,5.73,5.84,5.84,214800
2012-02-29,5.84,5.91,5.67,5.73,5.73,269600
2012-03-01,5.75,5.79,5.61,5.61,5.61,318800
2012-03-02,5.61,5.72,5.35,5.35,5.35,163900
2012-03-05,5.32,5.39,5.15,5.27,5.27,204400
2012-03-06,5.2,5.28,5.15,5.23,5.23,208700
2012-03-07,5.23,5.3,5.17,5.26,5.26,135600
2012-03-08,5.3,5.4,5.23,5.34,5.34,162200
2012-03-09,5.37,5.69,5.37,5.61,5.61,182600
2012-03-12,5.59,5.67,5.53,5.57,5.57,50700
2012-03-13,5.62,5.65,5.54,5.63,5.63,121800
2012-03-14,5.61,5.81,5.43,5.79,5.79,144300
2012-03-15,5.8,6.18,5.67,6.15,6.15,403700
2012-03-16,6.37,6.68,6.27,6.53,6.53,1068000
2012-03-19,6.49,6.58,6.35,6.43,6.43,377900
2012-03-20,6.39,6.4,6.26,6.3,6.3,206100
2012-03-21,6.36,6.37,6.13,6.23,6.23,206800
2012-03-22,6.19,6.58,6.16,6.49,6.49,550100
2012-03-23,6.48,6.56,6.4,6.54,6.54,229600
2012-03-26,6.6,6.63,6.44,6.51,6.51,271800
2012-03-27,6.51,6.8,6.38,6.65,6.65,348000
2012-03-28,6.67,6.84,6.55,6.74,6.74,249200
2012-03-29,6.67,6.68,6.42,6.56,6.56,240600
2012-03-30,6.62,6.62,6.34,6.35,6.35,227300
2012-04-02,6.34,6.38,6.25,6.33,6.33,252800
2012-04-03,6.32,6.5,6.2,6.22,6.22,155200
2012-04-04,6.13,6.13,5.85,5.99,5.99,534000
2012-04-05,5.98,6.08,5.9,5.99,5.99,223900
2012-04-09,5.79,5.99,5.71,5.84,5.84,236000
2012-04-10,5.84,6.0,5.56,5.63,5.63,409400
2012-04-11,5.71,6.03,5.66,5.89,5.89,207400
2012-04-12,5.89,6.29,5.89,6.14,6.14,397100
2012-04-13,6.1,6.1,5.92,6.0,6.0,162900
2012-04-16,6.0,6.25,5.95,6.19,6.19,249300
2012-04-17,6.28,6.53,6.24,6.39,6.39,285000
2012-04-18,6.32,6.47,6.26,6.35,6.35,188200
2012-04-19,6.38,6.45,6.04,6.13,6.13,193100
2012-04-20,6.22,6.22,6.0,6.02,6.02,196200
2012-04-23,5.87,5.96,5.73,5.8,5.8,290700
