Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,19.08,19.08,18.68,18.82,15.776561,14900
2012-02-07,18.75,18.959999,18.0,18.76,15.726262,13500
2012-02-08,18.75,19.049999,18.709999,18.870001,15.818472,24600
2012-02-09,19.059999,19.059999,18.709999,18.889999,15.83524,12900
2012-02-10,18.77,19.049999,18.59,18.77,15.734646,24700
2012-02-13,18.780001,18.780001,18.370001,18.610001,15.60052,33400
2012-02-14,18.799999,18.799999,17.26,17.6,14.753846,50900
2012-02-15,17.610001,18.120001,15.68,16.139999,13.529945,112200
2012-02-16,16.190001,17.67,15.87,17.48,14.653249,83800
2012-02-17,17.48,17.5,16.870001,17.190001,14.410145,25000
2012-02-21,17.190001,17.49,17.0,17.219999,14.435303,34100
2012-02-22,17.02,17.34,16.84,16.889999,14.158664,16100
2012-02-23,16.950001,17.0,16.75,16.9,14.167048,18200
2012-02-24,16.85,17.049999,16.83,16.99,14.242494,14400
2012-02-27,16.77,17.030001,16.5,16.809999,14.183433,28800
2012-02-28,16.85,17.17,16.58,17.01,14.352182,28200
2012-02-29,17.02,17.17,16.860001,17.02,14.360619,59800
2012-03-01,17.17,17.450001,17.15,17.190001,14.50405,17900
2012-03-02,17.139999,17.32,16.9,16.9,14.259367,32900
2012-03-05,16.9,17.42,16.9,17.26,14.563114,11900
2012-03-06,17.02,17.370001,17.02,17.280001,14.579995,33700
2012-03-07,17.34,17.6,17.16,17.549999,14.807803,20200
2012-03-08,17.59,18.0,17.52,17.99,15.179055,18900
2012-03-09,17.99,18.43,17.73,18.360001,15.491241,18300
2012-03-12,19.030001,19.67,19.030001,19.389999,16.360306,89900
2012-03-13,19.5,19.809999,18.700001,19.0,16.031239,138700
2012-03-14,18.99,19.030001,18.4,18.77,15.837183,27700
2012-03-15,18.9,19.190001,18.65,19.110001,16.124046,39100
2012-03-16,19.18,19.190001,18.879999,19.15,16.157806,40800
2012-03-19,19.049999,19.219999,18.82,19.07,16.090305,38100
2012-03-20,18.969999,19.09,18.809999,18.99,16.022806,34200
2012-03-21,18.940001,19.139999,18.82,19.0,16.031239,20000
2012-03-22,18.889999,19.26,18.799999,19.120001,16.132486,13100
2012-03-23,19.09,19.33,19.08,19.32,16.301241,15700
2012-03-26,19.459999,20.0,19.459999,20.0,16.874998,30900
2012-03-27,20.07,20.33,19.65,19.98,16.858116,50100
2012-03-28,20.01,20.24,19.67,19.84,16.739996,14600
2012-03-29,19.74,20.049999,19.57,19.99,16.86655,15400
2012-03-30,20.15,20.34,19.58,19.83,16.731552,39900
2012-04-02,19.700001,21.01,19.700001,21.01,17.72718,28500
2012-04-03,20.9,20.950001,20.530001,20.91,17.642807,30700
2012-04-04,20.51,20.76,20.35,20.450001,17.254677,91400
2012-04-05,20.5,21.190001,20.209999,20.67,17.440306,23600
2012-04-09,20.25,21.110001,20.25,20.82,17.566864,23800
2012-04-10,20.91,20.91,19.809999,19.950001,16.832808,42000
2012-04-11,20.120001,20.469999,19.940001,20.469999,17.271549,17000
2012-04-12,20.41,20.639999,20.4,20.57,17.355932,14200
2012-04-13,20.389999,20.389999,19.35,19.389999,16.360306,34300
2012-04-16,19.559999,19.83,19.209999,19.66,16.588118,12800
2012-04-17,19.889999,20.24,19.790001,19.85,16.74843,22400
2012-04-18,19.76,19.76,19.299999,19.58,16.520617,14000
2012-04-19,19.65,19.82,19.0,19.25,16.242178,34000
2012-04-20,19.540001,19.700001,19.16,19.700001,16.621864,20800
2012-04-23,19.34,19.48,19.34,19.4,16.368738,24600
2012-04-24,19.35,20.4,19.299999,20.360001,17.178743,18400
2012-04-25,20.700001,20.700001,18.879999,19.639999,16.571241,53300
2012-04-26,19.639999,20.379999,19.35,20.26,17.094358,18300
2012-04-27,20.299999,20.389999,19.639999,20.27,17.102806,20100
2012-04-30,20.18,20.18,19.700001,19.799999,16.706236,25000
2012-05-01,19.889999,20.43,19.809999,19.99,16.86655,31000
2012-05-02,19.76,20.18,19.4,20.18,17.026863,31000
2012-05-03,20.059999,20.43,20.02,20.34,17.161865,39000
2012-05-04,20.16,20.870001,20.049999,20.360001,17.178743,42000
2012-05-07,20.209999,20.98,20.209999,20.690001,17.457176,45000
2012-05-08,20.5,21.25,20.42,21.23,17.912806,43200
2012-05-09,20.93,21.190001,20.440001,20.610001,17.389681,82000
2012-05-10,20.809999,20.93,20.450001,20.76,17.516243,17000
2012-05-11,20.549999,20.959999,20.4,20.540001,17.330616,28100
2012-05-14,20.389999,20.620001,19.82,19.82,16.723122,26700
2012-05-15,19.799999,20.709999,19.799999,20.51,17.305305,22000
2012-05-16,20.459999,20.700001,20.16,20.440001,17.246241,34300
2012-05-17,20.549999,20.690001,20.040001,20.08,16.942495,40300
2012-05-18,19.98,20.0,19.309999,19.4,16.368738,37000
2012-05-21,19.41,19.940001,19.1,19.940001,16.824366,22500
2012-05-22,19.780001,20.59,19.48,20.139999,16.993109,48000
2012-05-23,19.66,20.040001,19.66,20.01,16.976143,26000
2012-05-24,19.91,20.15,19.620001,19.860001,16.84889,20800
2012-05-25,19.969999,20.190001,19.629999,19.66,16.679213,18900
2012-05-29,19.84,19.959999,19.540001,19.85,16.840406,16800
2012-05-30,19.780001,20.02,19.629999,19.700001,16.713148,41100
2012-05-31,19.799999,20.370001,19.530001,19.75,16.755568,232100
2012-06-01,19.219999,20.02,19.219999,19.549999,16.585892,39600
2012-06-04,19.76,20.190001,19.67,19.9,16.882826,42200
2012-06-05,19.719999,20.190001,19.639999,20.07,17.02705,31800
2012-06-06,20.25,20.6,20.02,20.530001,17.417307,50800
2012-06-07,20.870001,20.870001,20.34,20.43,17.33247,58700
2012-06-08,20.41,20.41,19.93,20.17,17.111895,27100
2012-06-11,20.26,20.290001,19.629999,19.629999,16.653759,47600
2012-06-12,19.940001,20.450001,19.49,20.35,17.264601,33400
2012-06-13,20.24,20.4,19.299999,19.6,16.628307,41500
2012-06-14,19.639999,20.26,19.52,20.09,17.044016,21500
2012-06-15,20.0,20.25,19.83,20.01,16.976143,67700
2012-06-18,19.969999,20.219999,19.84,19.99,16.959177,24500
2012-06-19,19.91,20.25,19.75,20.25,17.17976,33900
2012-06-20,20.27,20.27,19.85,20.190001,17.128857,38900
2012-06-21,20.17,20.440001,19.860001,20.440001,17.340952,32700
2012-06-22,20.459999,20.9,20.27,20.290001,17.213692,428600
2012-06-25,20.09,20.59,19.879999,20.49,17.383377,26600
2012-06-26,20.5,20.620001,20.27,20.5,17.391857,18800
2012-06-27,20.49,20.889999,20.41,20.73,17.586983,30500
2012-06-28,20.52,20.98,20.48,20.93,17.75666,41300
2012-06-29,21.33,21.450001,21.030001,21.139999,17.934824,52900
2012-07-02,21.24,21.440001,20.92,21.440001,18.189341,28000
2012-07-03,21.49,22.5,21.49,22.309999,18.927423,21900
2012-07-05,22.17,22.75,22.0,22.280001,18.901981,18300
2012-07-06,22.08,22.530001,22.07,22.42,19.02075,8400
2012-07-09,22.309999,22.360001,21.790001,21.940001,18.613527,18100
2012-07-10,21.91,22.35,21.860001,21.91,18.588076,41900
2012-07-11,21.9,22.040001,21.01,21.700001,18.409914,61100
2012-07-12,21.620001,21.809999,21.360001,21.440001,18.189341,19700
2012-07-13,21.5,21.690001,21.309999,21.43,18.180853,15300
2012-07-16,21.24,21.610001,21.040001,21.49,18.231758,22900
2012-07-17,21.66,22.23,21.370001,21.940001,18.613527,41100
2012-07-18,21.959999,21.959999,21.5,21.799999,18.494749,16700
2012-07-19,21.790001,21.85,21.459999,21.459999,18.206305,9100
2012-07-20,21.27,21.530001,20.799999,20.85,17.688793,44900
2012-07-23,20.620001,21.879999,19.99,21.25,18.028143,56300
2012-07-24,21.440001,21.5,20.92,20.959999,17.782116,19200
2012-07-25,22.26,23.4,22.25,23.07,19.572201,73800
2012-07-26,23.379999,23.66,23.379999,23.5,19.937004,32000
2012-07-27,23.51,24.620001,23.01,24.57,20.844776,57400
2012-07-30,24.57,25.51,24.459999,25.370001,21.523485,38100
2012-07-31,25.26,26.700001,24.83,26.120001,22.159767,46000
2012-08-01,26.02,26.57,25.639999,25.709999,21.811937,123700
2012-08-02,25.639999,26.290001,25.639999,25.92,21.990093,13400
2012-08-03,26.139999,26.459999,25.99,26.129999,22.168255,22700
2012-08-06,26.23,26.24,25.51,25.58,21.701641,22100
2012-08-07,25.799999,26.24,25.5,25.629999,21.744059,44100
2012-08-08,25.73,25.73,24.85,24.93,21.150194,28600
2012-08-09,24.959999,24.959999,24.290001,24.43,20.725998,32500
2012-08-10,24.459999,24.690001,23.639999,24.379999,20.683577,30400
2012-08-13,24.41,25.41,24.41,25.049999,21.251997,10400
2012-08-14,25.26,25.700001,25.049999,25.4,21.548933,37200
2012-08-15,25.26,25.709999,25.26,25.66,21.769512,9000
2012-08-16,25.530001,26.0,25.360001,25.969999,22.032505,26400
2012-08-17,25.969999,26.0,25.82,26.0,22.057966,24400
2012-08-20,25.99,26.0,25.57,25.58,21.701641,20400
2012-08-21,25.76,25.76,24.85,24.98,21.192612,43600
2012-08-22,24.99,25.15,24.84,24.91,21.2267,19600
2012-08-23,24.84,25.209999,24.379999,24.440001,20.826199,26300
2012-08-24,24.51,25.09,24.440001,24.67,21.022184,10300
2012-08-27,24.73,25.360001,24.639999,25.190001,21.465294,15400
2012-08-28,24.940001,25.43,24.65,24.780001,21.115919,16000
2012-08-29,24.92,25.67,24.84,25.129999,21.414165,28200
2012-08-30,25.1,25.68,25.07,25.18,21.456776,6500
2012-08-31,25.370001,25.6,25.09,25.34,21.593113,29000
2012-09-04,25.34,25.700001,24.719999,25.49,21.720938,30900
2012-09-05,25.379999,25.74,25.299999,25.629999,21.840231,16200
2012-09-06,25.700001,25.889999,25.360001,25.65,21.857283,35000
2012-09-07,25.799999,25.799999,25.440001,25.530001,21.75502,62300
2012-09-10,25.41,26.1,25.360001,26.0,22.155531,23100
2012-09-11,26.01,26.15,25.84,26.1,22.240746,73000
2012-09-12,26.27,26.5,25.9,26.09,22.232212,51500
2012-09-13,26.08,26.49,25.75,26.360001,22.462297,37000
2012-09-14,26.34,26.65,25.879999,26.190001,22.317436,41200
2012-09-17,26.0,26.940001,26.0,26.870001,22.896883,29400
2012-09-18,26.889999,27.84,26.889999,27.530001,23.459291,114000
2012-09-19,27.620001,28.23,27.620001,27.879999,23.75754,19400
2012-09-20,27.74,27.84,27.43,27.469999,23.408165,34100
2012-09-21,27.870001,28.08,27.620001,27.74,23.638237,43700
2012-09-24,27.43,28.52,26.25,28.52,24.302908,24900
2012-09-25,28.5,28.959999,27.9,28.26,24.081354,55700
2012-09-26,28.25,28.25,27.0,27.280001,23.246265,34500
2012-09-27,27.26,27.77,27.139999,27.77,23.663809,30400
2012-09-28,27.68,27.92,27.1,27.1,23.092878,30700
2012-10-01,27.26,28.620001,27.26,28.610001,24.379601,15400
2012-10-02,28.719999,29.870001,28.450001,28.67,24.430731,30100
2012-10-03,28.610001,28.610001,27.799999,28.01,23.86832,26000
2012-10-04,28.02,28.07,27.6,27.75,23.646763,14100
2012-10-05,27.73,27.969999,27.34,27.450001,23.391123,27600
2012-10-08,27.299999,27.42,27.09,27.129999,23.118443,19200
2012-10-09,27.08,27.08,26.6,26.639999,22.700891,44400
2012-10-10,26.75,26.75,26.190001,26.610001,22.675333,11900
2012-10-11,26.469999,27.41,26.469999,27.41,23.35704,17900
2012-10-12,27.41,28.059999,27.200001,27.700001,23.604156,33900
2012-10-15,27.700001,27.84,27.41,27.73,23.629721,35200
2012-10-16,27.780001,28.67,27.559999,28.09,23.936491,27200
2012-10-17,28.32,28.32,27.639999,27.889999,23.76606,12600
2012-10-18,27.780001,28.07,27.08,27.16,23.144003,19100
2012-10-19,26.940001,27.24,26.4,26.76,22.803152,49700
2012-10-22,26.790001,28.120001,26.790001,27.93,23.800146,16700
2012-10-23,27.67,28.5,27.379999,28.209999,24.038748,28500
2012-10-24,29.870001,30.379999,28.59,29.5,25.138002,168000
2012-10-25,29.799999,29.799999,29.25,29.41,25.061312,19900
2012-10-26,29.48,29.700001,28.9,29.32,24.984615,33500
2012-10-31,29.6,29.9,29.07,29.83,25.419201,49200
2012-11-01,29.92,31.190001,29.799999,31.049999,26.458809,50600
2012-11-02,31.049999,32.869999,31.0,31.98,27.251301,113800
2012-11-05,31.98,32.02,31.18,31.57,26.901922,50900
2012-11-06,31.809999,32.43,31.59,32.07,27.327988,29700
2012-11-07,31.75,32.099998,30.1,31.799999,27.097918,51400
2012-11-08,32.0,32.02,31.66,31.66,26.978611,44100
2012-11-09,31.49,32.099998,31.49,31.969999,27.242777,19700
2012-11-12,31.959999,32.040001,31.620001,31.969999,27.242777,38300
2012-11-13,31.93,32.09,31.42,31.85,27.140512,33400
2012-11-14,32.0,32.029999,30.709999,31.030001,26.441763,19500
2012-11-15,31.129999,31.129999,29.549999,29.940001,25.512939,57000
2012-11-16,29.799999,30.08,28.74,30.040001,25.598158,47200
2012-11-19,30.35,30.85,30.110001,30.74,26.194649,32100
2012-11-20,30.74,31.190001,29.15,31.190001,26.578108,9800
2012-11-21,29.549999,31.76,29.549999,31.639999,26.961571,16300
2012-11-23,31.790001,31.83,31.129999,31.17,26.561073,18000
2012-11-26,31.17,31.620001,29.629999,30.41,25.913446,66800
2012-11-27,30.34,31.85,30.07,31.68,26.995657,44000
2012-11-28,31.629999,32.93,31.190001,32.66,27.945423,50900
2012-11-29,32.75,33.779999,32.43,33.470001,28.638496,77700
2012-11-30,33.299999,33.529999,32.73,33.25,28.450256,65300
2012-12-03,32.950001,33.43,32.950001,33.25,28.450256,44100
2012-12-04,33.25,33.68,32.970001,33.650002,28.792524,63000
2012-12-05,33.66,34.669998,33.66,34.25,29.305912,45000
2012-12-06,34.330002,34.330002,33.66,34.139999,29.211781,74500
2012-12-07,34.310001,34.529999,34.200001,34.41,29.442804,46200
2012-12-10,34.549999,34.990002,34.389999,34.849998,29.819288,49400
2012-12-11,34.990002,36.049999,34.380001,35.939999,30.751949,95900
2012-12-12,36.099998,36.869999,35.919998,36.32,31.077093,94800
2012-12-13,36.259998,36.43,35.490002,35.93,30.74338,72200
2012-12-14,35.900002,36.549999,35.549999,36.459999,31.196886,49000
2012-12-17,35.799999,36.799999,35.799999,36.689999,31.393681,60900
2012-12-18,36.919998,37.130001,36.299999,37.130001,31.770174,75600
2012-12-19,37.27,38.919998,37.169998,38.709999,33.122086,90000
2012-12-20,38.700001,39.490002,38.139999,39.150002,33.498577,54600
2012-12-21,38.759998,38.91,38.25,38.720001,33.13065,78100
2012-12-24,38.599998,38.599998,37.419998,37.959999,32.480343,27900
2012-12-26,38.220001,38.799999,37.860001,38.029999,32.540249,27600
2012-12-27,38.110001,38.599998,37.889999,38.119999,32.61726,22400
2012-12-28,38.099998,38.290001,37.799999,37.84,32.377678,28000
2012-12-31,37.650002,38.360001,37.400002,38.09,32.591602,41300
2013-01-02,39.0,39.09,38.68,38.950001,33.327442,97900
2013-01-03,39.0,39.029999,38.639999,38.889999,33.276108,27500
2013-01-04,38.860001,39.939999,38.77,39.830002,34.080418,114400
2013-01-07,39.59,39.799999,39.400002,39.66,33.934948,70100
2013-01-08,39.75,41.150002,39.75,40.889999,34.987392,43200
2013-01-09,40.900002,41.099998,40.799999,40.889999,34.987392,77600
2013-01-10,41.259998,41.82,41.049999,41.549999,35.552116,72300
2013-01-11,41.799999,41.900002,41.610001,41.610001,35.603458,36500
2013-01-14,42.0,42.02,41.290001,41.450001,35.466564,62800
2013-01-15,41.439999,41.610001,40.169998,40.639999,34.773479,54500
2013-01-16,40.619999,40.650002,40.009998,40.139999,34.345676,42800
2013-01-17,40.369999,41.849998,40.259998,41.27,35.312546,84600
2013-01-18,41.48,41.84,41.0,41.439999,35.458004,58800
2013-01-22,41.560001,41.599998,41.209999,41.389999,35.415218,75300
2013-01-23,41.490002,41.549999,41.130001,41.130001,35.19276,44200
2013-01-24,41.130001,41.540001,41.130001,41.299999,35.338219,34100
2013-01-25,41.5,41.599998,40.060001,40.389999,34.559582,35900
2013-01-28,40.09,40.200001,39.16,40.049999,34.268665,66200
2013-01-29,39.939999,40.740002,39.93,40.25,34.439781,22700
2013-01-30,40.18,40.220001,39.830002,40.029999,34.251537,33900
2013-01-31,40.060001,40.959999,39.869999,40.240002,34.431221,75000
2013-02-01,40.25,40.470001,40.07,40.23,34.422672,35100
2013-02-04,39.73,40.23,39.34,39.810001,34.063293,23400
2013-02-05,39.900002,40.209999,39.849998,40.09,34.302879,22600
2013-02-06,40.009998,40.150002,39.52,39.650002,33.926407,31700
2013-02-07,39.759998,40.349998,38.150002,40.18,34.379894,57100
2013-02-08,40.25,41.369999,40.150002,40.52,34.670815,36500
2013-02-11,40.580002,40.610001,39.709999,40.52,34.670815,19000
2013-02-12,40.52,41.349998,40.52,40.900002,34.995953,30100
2013-02-13,40.98,42.43,40.099998,42.130001,36.048397,89100
2013-02-14,42.150002,43.75,42.009998,43.32,37.066624,44400
2013-02-15,43.700001,44.040001,43.009998,43.93,37.588566,93100
2013-02-19,44.049999,46.360001,44.049999,45.259998,38.726574,185800
2013-02-20,45.419998,45.889999,44.049999,44.25,37.862373,89300
2013-02-21,44.130001,44.990002,43.07,43.689999,37.383205,51100
2013-02-22,44.080002,44.880001,43.990002,44.470001,38.050617,32700
2013-02-25,44.720001,45.380001,44.099998,44.560001,38.127621,86700
2013-02-26,44.41,45.279999,44.349998,44.57,38.136169,62300
2013-02-27,44.639999,45.0,43.66,44.290001,38.007454,40200
2013-02-28,44.220001,44.830002,43.200001,43.68,37.48399,49500
2013-03-01,43.68,44.959999,43.68,44.610001,38.28207,41400
2013-03-04,44.77,44.959999,44.619999,44.880001,38.513748,25100
2013-03-05,44.959999,45.57,44.900002,45.27,38.848431,55400
2013-03-06,45.59,46.849998,45.459999,46.110001,39.569298,63800
2013-03-07,46.150002,46.810001,46.110001,46.73,40.101349,24400
2013-03-08,47.209999,49.540001,46.73,48.779999,41.86055,54500
2013-03-11,48.82,49.849998,48.040001,49.349998,42.349686,88900
2013-03-12,49.419998,50.360001,48.610001,49.07,42.109406,117900
2013-03-13,48.669998,48.990002,47.330002,47.98,41.174026,81200
2013-03-14,48.189999,48.52,47.43,48.169998,41.337074,29400
2013-03-15,48.0,49.240002,47.939999,48.110001,41.285591,81600
2013-03-18,47.939999,49.560001,47.200001,48.919998,41.98069,36200
2013-03-19,49.369999,50.07,48.939999,49.650002,42.607136,62500
2013-03-20,49.759998,50.740002,49.66,50.720001,43.525368,24300
2013-03-21,50.610001,51.0,49.060001,50.220001,43.096275,42200
2013-03-22,50.610001,51.740002,50.490002,51.139999,43.885788,46700
2013-03-25,51.110001,51.740002,50.619999,51.52,44.211887,35500
2013-03-26,51.560001,51.560001,50.380001,51.41,44.117474,60200
2013-03-27,51.139999,51.709999,49.32,51.220001,43.954433,60700
2013-03-28,51.869999,53.27,51.810001,52.66,45.190163,45100
2013-04-01,52.869999,53.790001,51.23,51.529999,44.220467,74900
