Date,Open,High,Low,Close,Adj Close,Volume
2020-10-28,13.59,15.0,12.81,12.81,12.81,2617000
2020-10-29,12.56,14.6,12.5,12.85,12.85,1130800
2020-10-30,13.74,13.74,11.73,12.43,12.43,405200
2020-11-02,12.5,13.98,12.004,13.57,13.57,288800
2020-11-03,13.6,14.34,13.0,13.83,13.83,247600
2020-11-04,13.97,14.59,12.87,13.33,13.33,410300
2020-11-05,13.44,13.44,12.31,12.46,12.46,91100
2020-11-06,12.36,12.7,12.202,12.43,12.43,108600
2020-11-09,12.7,13.14,10.85,10.89,10.89,218300
2020-11-10,11.08,11.79,10.98,11.29,11.29,169400
2020-11-11,11.45,12.6,11.31,11.75,11.75,212100
2020-11-12,11.75,12.66,11.26,11.27,11.27,204700
2020-11-13,11.35,11.801,11.0,11.32,11.32,194500
2020-11-16,11.47,14.34,11.07,13.87,13.87,368400
2020-11-17,13.75,18.0,13.14,16.35,16.35,983600
2020-11-18,17.24,19.134001,15.02,15.64,15.64,558200
2020-11-19,15.99,17.290001,15.7,16.059999,16.059999,280500
2020-11-20,16.290001,17.245001,16.059999,17.09,17.09,223500
2020-11-23,17.02,17.98,16.461,17.65,17.65,208500
2020-11-24,17.82,18.4,17.66,17.82,17.82,203500
2020-11-25,17.950001,18.34,17.709999,17.969999,17.969999,157900
2020-11-27,18.0,18.33,16.709,16.940001,16.940001,83400
2020-11-30,16.9,18.07,16.9,17.940001,17.940001,166000
2020-12-01,17.940001,17.976,15.67,15.7,15.7,151900
2020-12-02,15.68,16.554001,15.52,16.440001,16.440001,56600
2020-12-03,16.4,16.92,16.0,16.370001,16.370001,49700
2020-12-04,16.57,16.99,15.05,15.44,15.44,85800
2020-12-07,15.45,15.741,14.24,14.41,14.41,127300
2020-12-08,14.5,16.700001,14.5,15.83,15.83,49900
2020-12-09,15.71,16.629999,15.05,15.32,15.32,38800
2020-12-10,14.94,16.549999,14.9,15.69,15.69,94800
2020-12-11,15.5,16.625,15.5,15.74,15.74,106500
2020-12-14,15.95,16.57,15.66,15.9,15.9,91100
2020-12-15,16.530001,16.93,15.82,16.42,16.42,71100
2020-12-16,16.379999,17.055,15.67,16.67,16.67,128700
2020-12-17,16.870001,17.805,16.549999,17.26,17.26,214700
2020-12-18,17.43,17.438999,15.91,16.110001,16.110001,422800
2020-12-21,15.93,17.264999,15.32,17.07,17.07,176300
2020-12-22,17.0,18.49,17.0,18.24,18.24,309800
2020-12-23,18.27,19.940001,18.27,19.610001,19.610001,240800
2020-12-24,19.32,19.514999,17.91,17.969999,17.969999,67600
2020-12-28,18.200001,18.98,17.440001,18.879999,18.879999,91700
2020-12-29,18.98,19.129999,17.740999,18.860001,18.860001,107000
2020-12-30,18.799999,19.91,18.66,18.870001,18.870001,127500
