Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,18.68,19.17,18.65,18.91,18.91,1366700
2012-02-07,19.25,19.41,18.799999,19.02,19.02,1573700
2012-02-08,19.16,19.389999,18.809999,19.139999,19.139999,1533500
2012-02-09,19.16,19.35,18.65,18.68,18.68,1696400
2012-02-10,18.459999,18.66,18.26,18.5,18.5,723100
2012-02-13,18.639999,18.74,18.309999,18.610001,18.610001,2306400
2012-02-14,18.49,18.879999,18.280001,18.74,18.74,2265700
2012-02-15,18.799999,18.889999,18.290001,18.4,18.4,919200
2012-02-16,18.33,19.07,18.09,19.07,19.07,1766000
2012-02-17,19.01,19.959999,18.48,18.799999,18.799999,4714800
2012-02-21,18.82,18.959999,18.49,18.58,18.58,1344100
2012-02-22,18.629999,18.799999,18.41,18.59,18.59,1345500
2012-02-23,18.620001,19.25,18.6,18.98,18.98,914600
2012-02-24,19.040001,19.110001,18.809999,18.9,18.9,758100
2012-02-27,18.66,19.07,18.65,18.99,18.99,1594600
2012-02-28,18.959999,19.059999,18.75,18.790001,18.790001,3027400
2012-02-29,18.92,18.959999,18.5,18.639999,18.639999,1301700
2012-03-01,18.73,18.84,18.35,18.450001,18.450001,1375800
2012-03-02,18.459999,18.620001,18.059999,18.219999,18.219999,695600
2012-03-05,18.139999,18.299999,17.870001,17.93,17.93,1090500
2012-03-06,17.66,17.77,17.1,17.23,17.23,1757200
2012-03-07,17.32,17.58,17.24,17.370001,17.370001,789800
2012-03-08,17.549999,17.9,17.370001,17.629999,17.629999,1043400
2012-03-09,17.629999,18.09,17.629999,17.790001,17.790001,919600
2012-03-12,17.780001,17.82,17.299999,17.469999,17.469999,773300
2012-03-13,17.620001,18.27,17.549999,18.190001,18.190001,1265400
2012-03-14,18.16,18.559999,18.07,18.41,18.41,1465900
2012-03-15,18.4,18.74,18.23,18.709999,18.709999,1048100
2012-03-16,18.75,19.51,18.73,19.469999,19.469999,2903500
2012-03-19,19.389999,19.780001,19.27,19.5,19.5,1503700
2012-03-20,19.32,19.389999,18.889999,18.92,18.92,1018800
2012-03-21,18.969999,19.02,18.74,18.870001,18.870001,1250000
2012-03-22,18.67,18.76,18.120001,18.23,18.23,1342700
2012-03-23,18.200001,18.309999,18.049999,18.17,18.17,705800
2012-03-26,18.32,19.040001,18.32,19.030001,19.030001,1113700
2012-03-27,19.030001,19.110001,18.620001,18.620001,18.620001,563700
2012-03-28,18.6,18.73,18.25,18.41,18.41,919900
2012-03-29,18.219999,18.450001,18.120001,18.34,18.34,1504600
2012-03-30,18.59,18.870001,18.200001,18.719999,18.719999,1455100
2012-04-02,18.700001,19.139999,18.629999,18.969999,18.969999,1043900
2012-04-03,19.01,19.360001,18.9,19.08,19.08,1386500
2012-04-04,18.780001,18.870001,18.49,18.67,18.67,713700
