Date,Open,High,Low,Close,Adj Close,Volume
2012-08-08,11.6,13.08,11.57,12.41,11.321234,10939900
2012-08-09,12.53,13.67,12.51,13.49,12.30648,1560700
2012-08-10,14.0,14.0,12.8,12.86,11.731754,1070500
2012-08-13,12.91,13.1,12.5,12.91,11.777368,395100
2012-08-14,13.05,13.06,12.86,12.93,11.795612,490400
2012-08-15,13.0,13.0,12.5,12.97,11.832104,540600
2012-08-16,12.76,12.95,12.6,12.77,11.649652,301400
2012-08-17,12.75,13.24,12.75,13.06,11.914206,559400
2012-08-20,13.1,13.1,12.9,13.0,11.859472,137200
2012-08-21,13.03,13.34,12.75,13.34,12.169641,188500
2012-08-22,13.22,13.45,13.0,13.33,12.160519,299700
2012-08-23,13.38,13.44,12.98,13.0,11.859472,503600
2012-08-24,13.0,13.0,12.65,12.89,11.759122,408700
2012-08-27,12.8,12.87,12.68,12.79,11.667895,180400
2012-08-28,12.75,12.84,12.5,12.84,11.713508,137500
2012-08-29,12.79,13.09,12.64,13.02,11.877716,148800
2012-08-30,12.92,13.11,12.6,13.05,11.905086,290100
2012-08-31,13.07,13.15,12.75,12.98,11.841224,83500
2012-09-04,13.05,13.49,12.9,13.45,12.269991,574100
2012-09-05,13.15,14.43,13.1,13.86,12.64402,961600
2012-09-06,14.16,14.58,13.94,14.41,13.145766,292500
2012-09-07,14.5,14.5,14.03,14.45,13.182259,213400
2012-09-10,14.49,14.5,14.27,14.42,13.154891,158200
2012-09-11,14.4,14.48,14.0,14.44,13.173137,395600
2012-09-12,14.47,14.5,14.1,14.45,13.182259,192600
2012-09-13,14.17,14.39,14.12,14.25,12.999804,206700
2012-09-14,14.35,14.59,14.02,14.4,13.136646,485600
2012-09-17,15.65,15.84,14.7,15.05,13.729622,1183300
2012-09-18,15.35,15.35,14.85,15.1,13.775231,933900
2012-09-19,15.3,15.3,14.97,15.1,13.775231,390900
2012-09-20,15.04,15.43,15.0,15.29,13.948563,617400
2012-09-21,15.4,16.18,15.15,15.97,14.568905,729900
2012-09-24,16.0,16.24,15.5,15.75,14.368205,535900
2012-09-25,15.83,16.040001,15.1,15.22,13.884704,429000
2012-09-26,15.2,15.3,14.5,14.99,13.674882,734200
2012-09-27,15.28,15.86,15.06,15.82,14.432063,351500
2012-09-28,15.83,16.530001,15.5,16.450001,15.006795,2946000
2012-10-01,16.6,16.65,16.059999,16.370001,14.93381,442000
2012-10-02,16.469999,16.98,16.18,16.219999,14.796968,414000
2012-10-03,16.219999,16.24,15.39,15.68,14.304348,467600
2012-10-04,15.7,15.89,15.4,15.63,14.258733,373000
2012-10-05,15.64,15.88,15.25,15.38,14.030666,268700
2012-10-08,15.28,15.58,15.12,15.21,13.875584,288800
2012-10-09,15.17,15.35,14.67,14.8,13.501552,434500
2012-10-10,14.87,15.02,14.17,14.31,13.054543,569600
2012-10-11,14.67,15.15,14.66,15.11,13.784354,458900
2012-10-12,15.15,15.3,14.8,14.89,13.583654,141200
2012-10-15,14.91,14.91,14.25,14.8,13.501552,207000
2012-10-16,14.77,15.06,14.77,14.86,13.55629,85100
2012-10-17,14.92,14.96,14.6,14.77,13.474187,259500
2012-10-18,14.75,15.15,14.62,15.12,13.793479,152500
2012-10-19,14.97,14.97,14.48,14.66,13.373836,142500
2012-10-22,14.65,14.65,13.63,13.88,12.662266,511800
2012-10-23,13.77,14.03,13.39,13.88,12.662266,624900
2012-10-24,13.99,14.23,13.45,13.5,12.315606,344100
2012-10-25,13.58,13.73,13.01,13.14,11.987188,410000
2012-10-26,13.16,13.33,13.01,13.13,11.978066,183900
2012-10-31,13.18,13.86,13.01,13.67,12.470689,351200
2012-11-01,13.72,13.9,13.07,13.48,12.297361,327000
2012-11-02,13.49,13.79,13.4,13.56,12.370339,402300
2012-11-05,13.53,13.76,13.3,13.73,12.525425,177300
2012-11-06,13.75,14.09,13.69,14.06,12.826476,437500
2012-11-07,13.9,13.97,13.44,13.73,12.525425,587900
2012-11-08,14.7,15.9,14.7,15.46,14.103649,1677100
2012-11-09,15.28,15.69,15.22,15.41,14.058034,203400
2012-11-12,15.41,15.52,15.25,15.38,14.030666,201300
2012-11-13,15.29,15.42,14.71,15.2,13.866458,246300
2012-11-14,15.18,15.24,15.0,15.0,13.684005,208700
2012-11-15,14.98,15.43,14.56,14.77,13.474187,173300
2012-11-16,14.65,14.81,14.11,14.7,13.410326,505200
2012-11-19,14.81,15.4,14.81,15.29,13.948563,113300
2012-11-20,15.26,15.47,14.99,15.32,13.975931,79600
2012-11-21,15.33,15.37,15.1,15.31,13.966807,74900
2012-11-23,15.3,15.7,15.3,15.55,14.185752,35600
2012-11-26,15.54,16.08,15.52,15.93,14.532415,156800
2012-11-27,15.96,15.96,15.5,15.56,14.194875,128100
2012-11-28,15.48,15.8,15.11,15.49,14.131018,150000
2012-11-29,15.63,15.88,15.61,15.78,14.395572,82100
2012-11-30,15.84,15.9,15.24,15.83,14.441188,183900
2012-12-03,15.81,16.5,15.8,16.049999,14.641885,310900
2012-12-04,15.92,15.92,15.12,15.45,14.094524,1060700
2012-12-05,15.55,15.73,15.36,15.4,14.04891,250600
2012-12-06,15.36,15.54,15.2,15.34,13.994178,254900
2012-12-07,15.44,15.51,15.28,15.43,14.076282,158700
2012-12-10,15.46,15.62,14.87,15.09,13.766109,603800
2012-12-11,15.25,15.41,14.81,14.98,13.665759,277800
2012-12-12,15.05,15.54,15.0,15.42,14.067158,179500
2012-12-13,15.46,16.17,15.46,16.049999,14.641885,272500
2012-12-14,15.97,16.639999,15.71,16.280001,14.851707,293600
2012-12-17,16.299999,16.790001,15.99,16.49,15.043283,263000
2012-12-18,16.540001,16.790001,16.51,16.57,15.116261,207600
2012-12-19,16.610001,16.75,16.42,16.59,15.134513,272500
2012-12-20,16.639999,16.639999,16.040001,16.08,14.669252,195800
2012-12-21,15.9,15.99,14.89,15.66,14.286102,639300
2012-12-24,15.72,15.88,15.4,15.78,14.395572,22000
2012-12-26,15.86,16.1,15.63,15.8,14.413818,151100
2012-12-27,15.81,16.030001,15.59,15.73,14.349959,77400
2012-12-28,15.66,15.88,15.51,15.69,14.313469,210500
2012-12-31,15.71,15.74,15.26,15.64,14.267857,318200
2013-01-02,16.0,16.780001,15.86,16.389999,14.952056,454500
2013-01-03,16.440001,16.469999,15.99,16.219999,14.796968,318400
2013-01-04,16.35,16.540001,16.120001,16.309999,14.879075,165700
2013-01-07,16.200001,16.440001,16.01,16.25,14.824338,496200
2013-01-08,16.290001,16.549999,16.18,16.309999,14.879075,329400
2013-01-09,16.530001,16.6,16.290001,16.48,15.034162,511700
2013-01-10,16.4,17.73,16.24,17.200001,15.690998,1217400
2013-01-11,17.25,17.34,16.780001,17.0,15.508542,383600
2013-01-14,17.559999,17.58,16.6,17.0,15.508542,511000
2013-01-15,16.969999,17.129999,16.709999,17.129999,15.627136,286200
2013-01-16,17.01,17.23,16.459999,17.0,15.508542,402400
2013-01-17,17.059999,17.620001,17.0,17.559999,16.019413,628800
2013-01-18,17.65,18.73,17.65,18.5,16.876944,534000
2013-01-22,18.469999,18.700001,17.91,18.620001,16.986414,568700
2013-01-23,18.74,18.83,18.030001,18.42,16.803957,488900
2013-01-24,18.389999,18.66,18.27,18.4,16.785711,260900
2013-01-25,18.41,18.5,17.799999,18.280001,16.676243,1121600
2013-01-28,18.25,18.5,17.92,18.450001,16.831329,532900
2013-01-29,18.5,18.629999,18.299999,18.48,16.858694,542800
2013-01-30,18.52,18.98,18.5,18.59,16.959044,518900
2013-01-31,18.530001,18.690001,18.32,18.57,16.940796,517500
2013-02-01,18.709999,18.99,18.459999,18.73,17.086758,341600
2013-02-04,18.68,18.780001,18.33,18.6,16.968166,655100
2013-02-05,18.700001,18.9,18.4,18.559999,16.931675,323100
2013-02-06,18.540001,18.719999,18.24,18.48,16.858694,544800
2013-02-07,18.440001,18.48,18.110001,18.33,16.721853,338200
2013-02-08,18.379999,18.719999,18.0,18.25,16.648876,227000
2013-02-11,18.25,18.6,18.1,18.49,16.867821,161900
2013-02-12,18.32,18.620001,18.299999,18.620001,16.986414,152800
2013-02-13,18.66,18.67,18.35,18.530001,16.904312,108400
2013-02-14,18.440001,18.67,18.34,18.34,16.730974,285900
2013-02-15,18.49,18.549999,17.98,18.09,16.502911,828000
2013-02-19,18.219999,18.629999,17.9,18.610001,16.977291,575500
2013-02-20,18.549999,18.74,18.17,18.219999,16.621506,519900
2013-02-21,18.24,18.75,18.0,18.049999,16.466423,773000
2013-02-22,18.09,18.09,16.65,17.15,15.645381,1261700
2013-02-25,17.389999,17.74,17.32,17.52,15.982922,513200
2013-02-26,17.58,17.629999,17.129999,17.4,15.873446,953000
2013-02-27,17.299999,17.84,17.139999,17.67,16.119761,740500
2013-02-28,17.68,17.68,17.139999,17.209999,15.700115,517200
2013-03-01,17.129999,17.209999,16.82,16.950001,15.462927,336300
2013-03-04,16.870001,17.07,16.75,17.030001,15.535911,338700
2013-03-05,17.110001,17.450001,16.959999,17.309999,15.791341,622900
2013-03-06,17.299999,17.389999,17.17,17.23,15.718361,625800
2013-03-07,17.27,17.5,17.23,17.370001,15.846078,561800
2013-03-08,17.41,17.58,17.27,17.5,15.964668,564800
2013-03-11,17.48,17.6,17.35,17.51,15.973797,512200
2013-03-12,17.530001,17.68,17.389999,17.530001,15.99204,449400
2013-03-13,17.51,17.66,17.379999,17.629999,16.083265,526700
