Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,25.0,25.0,23.0,23.0,23.0,928
2012-02-07,23.0,24.0,23.0,24.0,24.0,972
2012-02-08,24.0,25.0,24.0,25.0,25.0,537
2012-02-09,25.0,25.0,24.0,25.0,25.0,295
2012-02-10,24.0,24.0,23.0,24.0,24.0,342
2012-02-13,24.0,24.0,23.0,24.0,24.0,1331
2012-02-14,24.0,25.0,23.0,25.0,25.0,842
2012-02-15,24.0,25.0,23.0,23.0,23.0,283
2012-02-16,23.0,24.0,23.0,24.0,24.0,230
2012-02-17,23.0,24.0,23.0,23.0,23.0,592
2012-02-21,23.0,24.0,23.0,23.0,23.0,508
2012-02-22,24.0,24.0,24.0,24.0,24.0,1386
2012-02-23,24.0,24.0,23.0,23.0,23.0,528
2012-02-24,22.0,22.0,21.0,22.0,22.0,290
2012-02-27,21.0,22.0,21.0,21.0,21.0,370
2012-02-28,21.0,25.0,21.0,23.0,23.0,928
2012-02-29,23.0,25.0,23.0,23.0,23.0,1220
2012-03-01,24.0,24.0,22.0,23.0,23.0,576
2012-03-02,23.0,24.0,23.0,23.0,23.0,111
2012-03-05,24.0,25.0,23.0,24.0,24.0,963
2012-03-06,24.0,24.0,24.0,24.0,24.0,62
2012-03-07,23.0,25.0,23.0,25.0,25.0,114
2012-03-08,24.0,24.0,24.0,24.0,24.0,198
2012-03-09,23.0,25.0,23.0,25.0,25.0,156
2012-03-12,25.0,25.0,23.0,24.0,24.0,492
2012-03-13,25.0,25.0,25.0,25.0,25.0,252
2012-03-14,24.0,25.0,23.0,23.0,23.0,509
2012-03-15,23.0,24.0,23.0,24.0,24.0,507
2012-03-16,26.0,26.0,23.0,23.0,23.0,672
2012-03-19,22.0,23.0,22.0,22.0,22.0,68
2012-03-20,23.0,24.0,22.0,22.0,22.0,251
2012-03-21,22.0,23.0,21.0,23.0,23.0,199
2012-03-22,23.0,23.0,23.0,23.0,23.0,82
2012-03-23,24.0,28.0,24.0,24.0,24.0,439
2012-03-26,25.0,26.0,23.0,25.0,25.0,325
2012-03-27,26.0,26.0,24.0,25.0,25.0,1031
2012-03-28,25.0,25.0,25.0,25.0,25.0,1025
2012-03-29,23.0,25.0,22.0,25.0,25.0,352
2012-03-30,25.0,26.0,22.0,25.0,25.0,451
2012-04-02,24.0,25.0,23.0,23.0,23.0,112
2012-04-03,23.0,23.0,22.0,22.0,22.0,38
2012-04-04,22.0,24.0,22.0,22.0,22.0,79
2012-04-05,22.0,22.0,22.0,22.0,22.0,32
2012-04-09,22.0,22.0,21.0,22.0,22.0,229
2012-04-10,21.0,24.0,21.0,22.0,22.0,138
2012-04-11,22.0,22.0,22.0,22.0,22.0,0
2012-04-12,21.0,23.0,21.0,22.0,22.0,127
2012-04-13,22.0,23.0,22.0,23.0,23.0,23
2012-04-16,24.0,24.0,21.0,22.0,22.0,549
2012-04-17,22.0,22.0,22.0,22.0,22.0,6
2012-04-18,22.0,22.0,22.0,22.0,22.0,0
2012-04-19,22.0,23.0,22.0,22.0,22.0,282
2012-04-20,23.0,25.0,23.0,25.0,25.0,559
2012-04-23,23.0,25.0,21.0,23.0,23.0,488
2012-04-24,23.0,23.0,22.0,22.0,22.0,24
2012-04-25,23.0,25.0,23.0,23.0,23.0,138
2012-04-26,23.0,24.0,22.0,22.0,22.0,142
2012-04-27,22.0,24.0,22.0,23.0,23.0,37
2012-04-30,24.0,25.0,24.0,25.0,25.0,347
2012-05-01,24.0,24.0,23.0,23.0,23.0,330
2012-05-02,23.0,23.0,23.0,23.0,23.0,75
2012-05-03,24.0,25.0,23.0,25.0,25.0,394
2012-05-04,25.0,25.0,24.0,24.0,24.0,61
2012-05-07,24.0,25.0,24.0,25.0,25.0,50
2012-05-08,23.0,25.0,23.0,25.0,25.0,221
2012-05-09,25.0,25.0,24.0,25.0,25.0,63
2012-05-10,24.0,25.0,24.0,24.0,24.0,117
2012-05-11,23.0,24.0,23.0,24.0,24.0,120
2012-05-14,24.0,25.0,22.0,22.0,22.0,639
2012-05-15,23.0,23.0,20.0,20.0,20.0,1089
2012-05-16,21.0,22.0,20.0,22.0,22.0,9623
2012-05-17,26.0,26.0,20.0,20.0,20.0,177
2012-05-18,19.0,20.0,18.0,18.0,18.0,18717
