Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,15.78,15.78,15.54,15.63,11.141391,24167
2012-02-07,15.63,15.63,15.42,15.42,10.991701,35933
2012-02-08,15.48,15.63,15.21,15.45,11.013085,78967
2012-02-09,15.54,15.6,15.24,15.27,10.884775,49400
2012-02-10,15.12,15.45,15.03,15.03,10.713698,41833
2012-02-13,15.21,15.27,15.06,15.15,10.799237,34833
2012-02-14,15.06,15.06,14.79,14.94,10.649547,38367
2012-02-15,15.0,15.0,14.61,14.67,10.457085,72733
2012-02-16,14.67,15.27,14.67,15.15,10.799237,44867
2012-02-17,14.73,15.03,14.73,15.03,10.713698,47967
2012-02-21,15.03,15.12,14.76,14.76,10.521237,35700
2012-02-22,14.76,14.76,14.4,14.46,10.307392,40067
2012-02-23,14.55,15.15,14.55,15.03,10.713698,53733
2012-02-24,14.97,15.03,14.58,14.67,10.457085,31933
2012-02-27,14.52,15.0,14.43,14.64,10.435698,45033
2012-02-28,14.67,14.97,14.46,14.76,10.521237,39800
2012-02-29,14.82,14.94,14.46,14.52,10.350163,65433
2012-03-01,14.58,14.85,14.52,14.52,10.350163,52767
2012-03-02,14.58,14.76,13.74,13.89,9.901085,79233
2012-03-05,13.89,14.13,13.86,14.1,10.050776,19900
2012-03-06,13.86,14.25,13.86,13.89,9.901085,51600
2012-03-07,13.98,14.25,13.92,13.95,9.943852,51233
2012-03-08,14.1,14.34,13.68,13.95,9.943852,35667
2012-03-09,13.98,14.46,13.98,14.16,10.093547,54667
2012-03-12,14.13,14.34,14.1,14.25,10.1577,18767
2012-03-13,14.43,14.79,14.31,14.73,10.499851,44367
2012-03-14,14.67,14.79,14.43,14.46,10.307392,60400
2012-03-15,14.52,14.58,14.31,14.49,10.328776,30767
2012-03-16,14.55,14.73,14.49,14.7,10.478468,105000
2012-03-19,14.7,15.18,14.61,15.12,10.777853,56267
2012-03-20,15.09,15.15,14.76,14.91,10.628161,31167
2012-03-21,15.0,15.0,14.7,14.82,10.564008,21633
2012-03-22,14.61,14.67,14.28,14.46,10.307392,40067
2012-03-23,14.37,14.79,14.37,14.79,10.542624,33533
2012-03-26,14.94,15.21,14.67,15.18,10.820623,47900
2012-03-27,15.18,15.3,15.0,15.09,10.756467,27833
2012-03-28,15.06,15.21,14.85,15.06,10.735085,35367
2012-03-29,14.91,15.0,14.55,14.85,10.58539,32267
2012-03-30,15.03,15.03,14.67,14.79,10.542624,58367
2012-04-02,14.7,15.3,14.61,15.3,10.90616,60167
2012-04-03,15.21,15.3,15.03,15.21,10.842008,45933
2012-04-04,14.97,15.06,14.61,14.61,10.414313,38133
2012-04-05,14.49,14.76,14.4,14.55,10.371546,31100
2012-04-09,14.25,14.34,13.98,14.01,9.986622,46467
2012-04-10,14.04,14.16,13.65,13.68,9.75139,66767
2012-04-11,13.89,13.98,13.74,13.89,9.901085,42233
2012-04-12,13.89,14.13,13.68,14.07,10.029391,49267
2012-04-13,13.95,14.01,13.53,13.56,9.665856,44800
2012-04-16,13.59,14.07,13.59,13.83,9.858317,26567
2012-04-17,13.98,14.19,13.95,14.04,10.008006,37333
2012-04-18,13.77,13.86,13.53,13.62,9.792316,42000
2012-04-19,13.62,13.77,13.5,13.5,9.706038,33833
2012-04-20,14.04,14.04,13.62,13.83,9.943302,49200
2012-04-23,13.53,13.74,13.53,13.62,9.792316,49900
2012-04-24,13.59,14.1,13.59,14.04,10.094285,21000
2012-04-25,14.19,14.61,14.01,14.46,10.396248,38200
2012-04-26,14.37,14.61,14.16,14.19,10.202128,41700
2012-04-27,14.19,14.55,14.16,14.55,10.460954,55200
2012-04-30,14.52,14.52,13.89,13.92,10.008004,42667
2012-05-01,13.89,14.28,13.8,13.89,9.986439,58667
2012-05-02,13.74,13.92,13.56,13.65,9.813885,48067
2012-05-03,13.59,13.65,13.5,13.5,9.706038,55900
2012-05-04,13.5,13.59,13.26,13.29,9.555057,59600
2012-05-07,13.29,13.65,13.26,13.53,9.727612,90667
