Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,1.9,1.9,1.7,1.7,1.654531,1620
2012-02-07,1.85,1.9,1.85,1.85,1.800518,4540
2012-02-08,1.85,1.95,1.85,1.95,1.897844,4680
2012-02-09,2.0,2.0,2.0,2.0,1.946506,7540
2012-02-10,2.0,2.1,2.0,2.1,2.043832,1700
2012-02-13,2.1,2.1,2.1,2.1,2.043832,0
2012-02-14,2.2,2.25,2.2,2.2,2.141157,4800
2012-02-15,2.2,2.2,2.2,2.2,2.141157,0
2012-02-16,2.4,2.4,2.1,2.15,2.092495,880
2012-02-17,2.1,2.25,2.1,2.25,2.18982,300
2012-02-21,2.2,2.25,2.1,2.25,2.18982,1140
2012-02-22,2.05,2.1,1.8,1.9,1.849181,8140
2012-02-23,2.1,2.1,2.0,2.0,1.946506,15240
2012-02-24,2.05,2.05,2.0,2.0,1.946506,14040
2012-02-27,1.9,2.0,1.9,1.9,1.849181,2700
2012-02-28,1.9,1.9,1.8,1.85,1.800518,9660
2012-02-29,1.8,1.9,1.7,1.7,1.654531,76800
2012-03-01,1.65,1.7,1.65,1.7,1.654531,1100
2012-03-02,1.85,1.85,1.85,1.85,1.800518,4240
2012-03-05,1.8,1.9,1.7,1.75,1.703193,8720
2012-03-06,1.85,1.85,1.75,1.75,1.703193,760
2012-03-07,1.95,1.95,1.7,1.9,1.849181,4280
2012-03-08,1.75,1.85,1.7,1.85,1.800518,13940
2012-03-09,1.85,1.85,1.85,1.85,1.800518,0
2012-03-12,1.95,1.95,1.95,1.95,1.897844,600
2012-03-13,2.0,2.4,2.0,2.3,2.238482,50200
2012-03-14,2.4,2.4,2.25,2.4,2.335808,4440
2012-03-15,2.45,2.5,2.3,2.5,2.433133,14000
2012-03-16,2.3,2.4,2.3,2.4,2.335808,6920
2012-03-19,2.25,2.5,2.25,2.5,2.433133,2300
2012-03-20,2.45,2.5,2.45,2.5,2.433133,2580
2012-03-21,2.35,2.5,2.35,2.45,2.384471,800
