Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,10.31,10.49,10.17,10.43,9.045008,427200
2012-02-07,10.39,10.55,10.31,10.51,9.114383,211500
2012-02-08,10.51,10.64,10.35,10.52,9.123054,176200
2012-02-09,10.52,10.61,10.37,10.56,9.157742,232000
2012-02-10,10.38,10.49,10.16,10.24,8.880236,232800
2012-02-13,10.37,10.48,10.22,10.34,8.966955,255800
2012-02-14,10.26,10.37,10.04,10.34,8.966955,397700
2012-02-15,10.46,10.46,10.03,10.14,8.793514,443900
2012-02-16,10.14,10.55,10.12,10.52,9.123054,284000
2012-02-17,10.57,10.84,10.49,10.71,9.287825,319900
2012-02-21,10.75,10.98,10.37,10.46,9.071019,329600
2012-02-22,10.45,10.61,10.25,10.26,8.897579,261000
2012-02-23,10.27,10.69,10.26,10.61,9.201103,269700
2012-02-24,10.55,11.3,10.55,10.98,9.52197,668200
2012-02-27,10.9,10.9,10.45,10.54,9.140396,395000
2012-02-28,10.53,11.18,10.53,11.13,9.652053,430900
2012-02-29,11.15,11.22,10.7,10.78,9.348527,383600
2012-03-01,10.87,11.25,10.66,10.67,9.253137,411800
2012-03-02,10.7,10.9,10.46,10.47,9.079693,402500
2012-03-05,10.45,10.6,10.33,10.45,9.062348,331800
2012-03-06,10.29,10.46,10.25,10.43,9.045008,467800
2012-03-07,10.02,10.13,9.01,9.39,8.143106,1796200
2012-03-08,9.34,9.39,8.9,8.96,7.770205,904600
2012-03-09,8.97,9.41,8.94,9.29,8.056386,818000
2012-03-12,9.29,9.3,8.97,9.21,7.987009,507700
2012-03-13,9.26,9.52,9.12,9.51,8.247171,604200
2012-03-14,9.4,9.45,9.22,9.33,8.151067,285400
2012-03-15,9.32,9.55,9.2,9.48,8.282117,610500
2012-03-16,9.53,9.53,9.25,9.37,8.186016,899100
2012-03-19,9.32,9.51,9.17,9.38,8.194755,346200
2012-03-20,9.29,9.57,9.2,9.43,8.238435,317300
2012-03-21,9.48,9.59,9.42,9.44,8.247172,157400
2012-03-22,9.3,9.58,9.22,9.34,8.159808,337500
2012-03-23,9.38,9.45,9.21,9.42,8.2297,251100
2012-03-26,9.52,9.79,9.45,9.73,8.500525,436400
2012-03-27,9.77,9.79,9.54,9.54,8.334534,237600
2012-03-28,9.59,9.68,9.26,9.37,8.186016,329900
2012-03-29,9.31,9.61,9.3,9.39,8.203489,453300
2012-03-30,9.46,9.55,9.23,9.23,8.063707,382700
2012-04-02,9.23,9.42,9.16,9.31,8.133599,455800
2012-04-03,9.33,9.37,9.17,9.24,8.072443,281700
2012-04-04,9.09,9.16,8.93,9.08,7.932661,333300
2012-04-05,9.0,9.33,8.97,8.99,7.854034,469100
2012-04-09,8.76,8.93,8.6,8.93,7.801616,335100
2012-04-10,8.91,8.96,8.49,8.49,7.417213,362600
2012-04-11,8.63,8.73,8.52,8.71,7.609413,260900
2012-04-12,8.7,8.98,8.66,8.9,7.775406,258100
2012-04-13,8.84,8.93,8.6,8.61,7.522047,300100
2012-04-16,8.66,8.97,8.54,8.88,7.757936,262500
