Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,4.53,4.63,4.48,4.48,4.48,49600
2012-02-07,4.48,4.52,4.42,4.48,4.48,38800
2012-02-08,4.5,4.5,4.27,4.28,4.28,115800
2012-02-09,4.3,4.49,4.15,4.46,4.46,73900
2012-02-10,4.43,4.43,4.26,4.29,4.29,44500
2012-02-13,4.31,4.32,4.21,4.23,4.23,58400
2012-02-14,4.19,4.22,4.08,4.11,4.11,532400
2012-02-15,4.08,4.19,4.08,4.19,4.19,80200
2012-02-16,4.17,4.22,4.14,4.19,4.19,56300
2012-02-17,4.2,4.2,4.15,4.19,4.19,58100
2012-02-21,4.15,4.19,4.1,4.14,4.14,95500
2012-02-22,4.14,4.2,4.05,4.16,4.16,71700
2012-02-23,4.19,4.19,4.0,4.13,4.13,134200
2012-02-24,4.13,4.21,4.13,4.18,4.18,60900
2012-02-27,4.14,4.24,4.14,4.23,4.23,28900
2012-02-28,4.24,4.32,4.21,4.3,4.3,116400
2012-02-29,4.31,4.35,4.29,4.3,4.3,22200
2012-03-01,4.35,4.44,4.31,4.44,4.44,132400
2012-03-02,4.44,4.52,4.25,4.48,4.48,70800
2012-03-05,4.45,4.51,4.17,4.21,4.21,165200
2012-03-06,4.28,4.79,4.24,4.42,4.42,327800
2012-03-07,4.43,4.59,4.43,4.51,4.51,58700
2012-03-08,4.54,4.75,4.5,4.67,4.67,183100
2012-03-09,4.61,4.78,4.61,4.75,4.75,145900
2012-03-12,4.74,4.84,4.62,4.79,4.79,115500
2012-03-13,4.83,4.88,4.74,4.82,4.82,128500
2012-03-14,4.84,4.89,4.77,4.85,4.85,81000
2012-03-15,4.87,4.93,4.84,4.88,4.88,64000
2012-03-16,4.89,4.93,4.84,4.93,4.93,44400
2012-03-19,4.93,5.04,4.91,4.99,4.99,71300
2012-03-20,4.99,5.06,4.88,4.99,4.99,115900
2012-03-21,4.99,5.03,4.84,5.0,5.0,57800
2012-03-22,5.0,5.02,4.94,4.96,4.96,30800
2012-03-23,4.95,4.97,4.84,4.9,4.9,69800
2012-03-26,4.92,5.01,4.91,4.94,4.94,75900
2012-03-27,4.96,4.97,4.74,4.81,4.81,89700
2012-03-28,4.8,4.82,4.7,4.71,4.71,133900
2012-03-29,4.69,4.83,4.6,4.83,4.83,69400
2012-03-30,4.87,4.9,4.79,4.85,4.85,29800
2012-04-02,4.86,5.37,4.82,5.33,5.33,259900
2012-04-03,5.38,5.38,5.21,5.31,5.31,73900
2012-04-04,5.28,5.29,5.19,5.21,5.21,89800
2012-04-05,5.15,5.22,5.1,5.11,5.11,49600
2012-04-09,5.09,5.1,4.95,5.01,5.01,70900
2012-04-10,5.0,5.17,5.0,5.06,5.06,102400
2012-04-11,5.11,5.14,5.04,5.08,5.08,39100
2012-04-12,5.05,5.39,5.05,5.2,5.2,140900
2012-04-13,5.2,5.29,5.14,5.21,5.21,58300
2012-04-16,5.23,5.49,5.23,5.42,5.42,160600
2012-04-17,5.44,5.74,5.44,5.6,5.6,268500
2012-04-18,5.55,5.63,5.5,5.53,5.53,47400
2012-04-19,5.57,5.58,5.4,5.5,5.5,91300
2012-04-20,5.52,5.6,5.44,5.46,5.46,119100
2012-04-23,5.45,5.46,5.19,5.44,5.44,71900
2012-04-24,5.48,5.58,5.41,5.51,5.51,113600
2012-04-25,5.56,5.57,5.44,5.5,5.5,66800
2012-04-26,5.58,5.67,5.4,5.63,5.63,232600
2012-04-27,5.63,5.74,4.93,5.7,5.7,382900
2012-04-30,5.66,6.18,5.63,5.98,5.98,380800
2012-05-01,5.97,6.11,5.9,6.02,6.02,193000
2012-05-02,6.01,6.05,5.9,6.0,6.0,107100
2012-05-03,6.0,6.0,5.84,6.0,6.0,99000
2012-05-04,5.9,6.11,5.62,6.01,6.01,171300
2012-05-07,6.0,6.07,5.9,6.06,6.06,182000
2012-05-08,6.05,6.24,6.02,6.2,6.2,134700
2012-05-09,6.21,6.4,6.16,6.34,6.34,154000
2012-05-10,6.39,6.6,6.27,6.31,6.31,155000
2012-05-11,6.3,6.58,6.17,6.5,6.5,278800
2012-05-14,6.5,6.79,6.44,6.51,6.51,364200
2012-05-15,6.6,6.69,6.51,6.61,6.61,210000
2012-05-16,6.7,6.73,6.45,6.55,6.55,198100
2012-05-17,6.57,6.58,6.09,6.15,6.15,228800
2012-05-18,6.16,6.31,6.07,6.14,6.14,97100
2012-05-21,6.13,6.34,6.13,6.33,6.33,87700
2012-05-22,6.37,6.59,6.34,6.38,6.38,107000
2012-05-23,6.36,6.49,6.07,6.12,6.12,171000
2012-05-24,6.13,6.29,5.95,6.01,6.01,219600
2012-05-25,6.0,6.12,5.91,6.02,6.02,141800
2012-05-29,6.03,6.37,6.03,6.2,6.2,197800
2012-05-30,6.16,6.24,6.06,6.13,6.13,122300
2012-05-31,6.12,6.15,5.99,6.13,6.13,122800
2012-06-01,6.05,6.22,5.95,6.1,6.1,130400
2012-06-04,6.1,6.19,6.03,6.12,6.12,148200
2012-06-05,6.12,6.16,5.8,5.89,5.89,199200
2012-06-06,5.91,6.03,5.82,5.96,5.96,183600
2012-06-07,6.0,6.0,5.8,5.84,5.84,156600
2012-06-08,6.59,7.0,6.3,6.81,6.81,953600
2012-06-11,6.95,7.28,6.88,7.07,7.07,520900
2012-06-12,7.08,7.13,6.96,7.07,7.07,306200
2012-06-13,7.17,7.29,7.08,7.25,7.25,281000
2012-06-14,7.29,7.44,7.21,7.35,7.35,354800
2012-06-15,7.39,7.5,7.33,7.47,7.47,363500
2012-06-18,7.5,7.95,7.47,7.74,7.74,620900
2012-06-19,7.86,8.0,7.74,7.98,7.98,506700
2012-06-20,8.0,8.17,7.84,8.09,8.09,414500
2012-06-21,8.05,8.09,7.53,7.72,7.72,450200
2012-06-22,7.75,8.1,7.53,7.98,7.98,4370300
2012-06-25,7.88,8.35,7.7,8.31,8.31,471500
2012-06-26,8.37,8.51,8.19,8.42,8.42,434500
2012-06-27,8.47,8.55,8.22,8.37,8.37,572000
2012-06-28,8.29,8.4,8.07,8.4,8.4,674100
