Date,Open,High,Low,Close,Adj Close,Volume
2018-09-26,13.0,13.19,12.72,12.8,12.748565,987500
2018-09-27,12.9,12.9,12.65,12.83,12.778444,136700
2018-09-28,12.77,12.95,12.6,12.72,12.668885,35900
2018-10-01,12.74,13.05,12.71,12.79,12.738605,28900
2018-10-02,12.79,12.89,12.75,12.75,12.698766,2600
2018-10-03,12.83,12.99,12.75,12.85,12.798364,12100
2018-10-04,12.85,12.86,12.5,12.77,12.718686,15200
2018-10-05,12.8,12.85,12.51,12.73,12.678844,5400
2018-10-08,12.65,12.9,12.65,12.9,12.848163,5400
2018-10-09,12.9,12.9,12.6,12.9,12.848163,2800
2018-10-10,12.89,12.89,12.6,12.85,12.798364,7700
2018-10-11,12.5,12.8,12.5,12.8,12.748565,7000
2018-10-12,12.9,12.9,12.67,12.8,12.748565,6300
2018-10-15,12.6,12.85,12.6,12.8,12.748565,3200
2018-10-16,12.79,12.83,12.75,12.83,12.778444,5400
2018-10-17,12.7,12.84,12.7,12.83,12.778444,4200
2018-10-18,12.76,12.8,12.7,12.75,12.698766,59000
2018-10-19,12.65,12.8,12.6,12.61,12.559327,66300
2018-10-22,12.84,12.84,12.6,12.61,12.559327,8400
2018-10-23,12.64,12.7,12.5,12.59,12.539408,7500
2018-10-24,12.39,12.5,11.41,11.97,11.9219,8800
2018-10-25,11.98,12.15,11.85,11.95,11.90198,13100
2018-10-26,11.9,12.2,11.65,11.9,11.85218,28300
2018-10-29,11.89,12.25,11.47,11.8,11.752583,13300
2018-10-30,11.72,11.78,11.41,11.41,11.36415,18800
2018-10-31,11.56,11.56,11.0,11.2,11.154994,10900
2018-11-01,12.2,12.2,11.17,11.89,11.842222,2200
2018-11-02,12.0,12.0,11.31,11.79,11.742622,10400
2018-11-05,11.94,11.94,11.57,11.69,11.643024,10900
2018-11-06,11.53,12.6,11.53,12.49,12.43981,7500
2018-11-07,12.45,12.45,11.96,11.96,11.911941,2100
2018-11-08,12.08,12.4,11.93,12.25,12.200774,3900
2018-11-09,12.35,12.6,12.06,12.6,12.549368,6100
2018-11-12,12.53,12.6,12.27,12.51,12.459729,3500
2018-11-13,12.47,12.78,12.41,12.76,12.708726,11100
2018-11-14,12.77,12.77,12.52,12.52,12.469689,5700
2018-11-15,12.7,12.72,12.23,12.23,12.180855,18700
2018-11-16,12.32,12.72,12.32,12.7,12.648966,8500
2018-11-19,12.57,12.7,12.5,12.57,12.519488,10400
2018-11-20,12.52,12.7,12.52,12.52,12.469689,9100
2018-11-21,12.53,12.63,12.52,12.52,12.469689,15400
2018-11-23,12.52,12.62,12.52,12.55,12.499569,14500
2018-11-26,12.57,12.62,12.52,12.52,12.469689,4400
2018-11-27,12.52,12.63,12.3,12.31,12.260533,13300
2018-11-28,12.37,12.5,12.32,12.32,12.270493,7500
2018-11-29,12.32,12.5,12.15,12.29,12.240614,113100
2018-11-30,12.27,12.96,12.1,12.42,12.370091,276100
2018-12-03,12.6,14.28,12.47,13.5,13.445751,69900
2018-12-04,13.2,13.8,12.58,13.8,13.744546,50300
2018-12-06,13.63,13.63,12.37,12.41,12.360131,44700
2018-12-07,12.47,13.7,12.27,13.5,13.445751,46900
2018-12-10,13.5,14.0,12.32,13.09,13.037399,54600
2018-12-11,13.32,13.95,12.0,13.05,12.997561,33600
2018-12-12,13.42,13.44,11.79,13.43,13.376033,21700
2018-12-13,13.33,13.33,11.85,13.2,13.146956,25600
2018-12-14,12.7,13.18,12.01,12.22,12.170896,45900
2018-12-17,12.29,13.05,11.92,12.57,12.519488,26900
2018-12-18,12.58,12.88,12.05,12.4,12.350171,69200
2018-12-19,12.54,12.95,12.1,12.55,12.499569,42300
2018-12-20,12.63,12.71,12.03,12.16,12.111136,46500
2018-12-21,12.37,12.37,10.33,11.85,11.802382,584100
2018-12-24,11.78,11.78,11.2,11.21,11.164954,15800
2018-12-26,11.05,11.71,11.05,11.47,11.423909,8500
2018-12-27,11.24,12.0,10.33,12.0,11.951779,34000
2018-12-28,11.96,12.0,10.85,11.38,11.33427,44700
2018-12-31,11.39,11.82,11.27,11.41,11.36415,39500
2019-01-02,10.21,11.23,10.21,10.94,10.896038,54200
2019-01-03,10.94,11.05,10.88,10.97,10.925918,46900
2019-01-04,11.05,11.2,10.98,11.1,11.055396,74500
2019-01-07,11.1,11.3,11.0,11.29,11.244632,172700
2019-01-08,11.39,11.5,11.39,11.4,11.35419,5300
2019-01-09,12.08,12.16,11.3,11.83,11.782462,13600
2019-01-10,11.77,12.19,11.32,11.33,11.284472,5900
2019-01-11,11.27,11.51,11.27,11.51,11.463748,9200
2019-01-14,11.41,11.41,10.84,11.06,11.015557,19700
2019-01-15,11.07,11.32,11.06,11.32,11.274511,4500
2019-01-16,11.35,11.7,11.16,11.49,11.443829,4300
2019-01-17,11.51,11.8,11.36,11.73,11.682863,4800
2019-01-18,11.77,12.25,11.61,11.73,11.682863,16800
2019-01-22,11.69,11.69,11.27,11.28,11.234673,8900
2019-01-23,11.3,11.48,11.28,11.48,11.433868,4100
2019-01-24,11.45,11.45,11.3,11.39,11.344231,1900
2019-01-25,11.7,11.95,11.65,11.95,11.90198,2100
2019-01-28,11.76,11.85,11.32,11.63,11.583265,9300
2019-01-29,11.63,11.8,11.46,11.54,11.493628,9500
2019-01-30,11.67,11.7,11.41,11.49,11.443829,5400
2019-01-31,11.65,11.75,11.6,11.75,11.702784,8200
2019-02-01,11.76,11.8,11.7,11.71,11.662944,1500
2019-02-04,11.91,11.91,11.55,11.7,11.652984,12600
2019-02-05,11.91,11.91,11.75,11.9,11.85218,2600
2019-02-06,11.87,11.99,11.71,11.9,11.85218,3700
2019-02-07,11.9,12.25,11.83,12.12,12.071297,9000
2019-02-08,12.07,12.07,11.75,11.9,11.85218,10600
2019-02-11,12.11,12.23,11.8,11.81,11.762543,1800
2019-02-12,11.81,12.0,11.81,12.0,11.951779,1700
2019-02-13,11.9,11.9,11.75,11.9,11.85218,4700
2019-02-14,11.75,11.76,11.75,11.75,11.702784,5800
2019-02-15,11.85,11.94,11.85,11.85,11.802382,3700
2019-02-19,11.96,12.19,11.75,12.19,12.141015,14200
2019-02-20,12.0,12.2,11.8,11.91,11.862141,24200
2019-02-21,11.92,11.92,11.75,11.86,11.812342,4800
2019-02-22,11.95,12.0,11.8,11.89,11.842222,15800
2019-02-25,11.99,11.99,11.8,11.8,11.752583,17500
2019-02-26,11.9,11.95,11.75,11.8,11.752583,6200
2019-02-27,11.88,11.97,11.72,11.9,11.85218,12900
2019-02-28,11.81,11.91,11.8,11.81,11.762543,8300
2019-03-01,11.86,11.86,11.8,11.8,11.752583,3300
2019-03-04,11.82,11.95,11.8,11.8,11.752583,2200
2019-03-05,11.8,11.95,11.8,11.91,11.862141,1400
2019-03-06,11.95,11.95,11.46,11.46,11.413949,31900
2019-03-07,11.46,11.71,11.13,11.13,11.085276,14700
2019-03-08,11.68,11.73,11.02,11.02,10.975718,20800
2019-03-11,11.3,11.3,11.02,11.13,11.085276,3200
2019-03-12,11.5,11.5,11.07,11.24,11.194833,1600
2019-03-13,11.64,11.72,11.07,11.11,11.065355,2700
2019-03-14,11.1,11.23,11.1,11.1,11.055396,6000
2019-03-15,11.16,11.57,11.12,11.22,11.174914,31900
2019-03-18,11.25,11.3,11.1,11.3,11.254592,6800
2019-03-19,11.2,11.2,11.1,11.11,11.065355,5900
2019-03-20,11.59,11.59,11.1,11.1,11.055396,1000
2019-03-21,11.54,11.54,11.15,11.16,11.115154,2800
2019-03-22,11.15,11.5,11.15,11.15,11.105195,6900
