Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,16.209999,16.83,15.99,16.780001,11.648774,499600
2012-02-07,16.780001,17.25,16.77,17.049999,11.836205,948100
2012-02-08,17.120001,17.67,17.040001,17.17,11.919513,578000
2012-02-09,17.16,17.299999,16.940001,17.209999,11.947279,482900
2012-02-10,17.08,17.85,17.040001,17.620001,12.231905,1007200
2012-02-13,17.780001,18.42,17.76,18.01,12.502645,899700
2012-02-14,18.0,18.299999,17.9,18.08,12.55124,767200
2012-02-15,18.120001,18.290001,17.98,18.059999,12.537354,526300
2012-02-16,18.049999,18.33,17.969999,18.290001,12.697023,424100
2012-02-17,18.370001,18.5,18.18,18.360001,12.745617,259100
2012-02-21,18.360001,18.370001,17.950001,18.040001,12.52347,825800
2012-02-22,18.030001,18.309999,17.530001,17.65,12.252732,1227700
2012-02-23,17.620001,17.860001,17.040001,17.77,12.336037,558700
2012-02-24,17.530001,17.91,17.299999,17.450001,12.113891,650800
2012-02-27,17.99,18.59,17.52,18.459999,12.815038,1134200
2012-02-28,18.440001,18.93,18.4,18.6,12.912226,1620000
2012-02-29,18.6,18.860001,18.42,18.42,12.787273,399700
2012-03-01,18.459999,19.07,18.299999,18.93,13.141315,716100
2012-03-02,18.93,18.959999,18.52,18.57,12.891399,649600
2012-03-05,18.49,18.49,18.16,18.309999,12.710905,426100
2012-03-06,18.17,18.17,17.42,18.0,12.495701,875100
2012-03-07,18.09,18.389999,17.75,18.0,12.495701,724500
2012-03-08,18.08,18.77,18.08,18.540001,12.870574,274000
2012-03-09,18.530001,18.77,18.25,18.5,12.842806,262200
2012-03-12,18.450001,18.719999,18.370001,18.5,12.842806,195500
2012-03-13,18.66,18.780001,18.43,18.690001,12.974705,303900
2012-03-14,18.639999,18.73,18.49,18.620001,12.926112,201300
2012-03-15,18.530001,18.92,18.34,18.870001,13.099661,194300
2012-03-16,18.98,18.99,18.73,18.85,13.08578,354200
2012-03-19,18.98,20.24,18.959999,19.84,13.773041,1061800
2012-03-20,19.16,19.49,19.1,19.370001,13.446768,519500
2012-03-21,19.370001,19.51,19.16,19.309999,13.405113,238000
2012-03-22,19.049999,19.309999,19.040001,19.25,13.36346,251600
2012-03-23,19.290001,19.389999,19.190001,19.35,13.432877,158800
2012-03-26,19.6,20.15,19.450001,19.98,13.870227,427500
2012-03-27,19.99,20.23,19.700001,19.709999,13.682795,321100
2012-03-28,19.780001,19.889999,19.379999,19.57,13.585611,500700
2012-03-29,19.42,19.42,19.07,19.08,13.24545,291000
2012-03-30,19.280001,19.440001,19.030001,19.08,13.24545,173800
2012-04-02,18.51,19.16,18.51,19.139999,13.287099,575100
2012-04-03,19.1,19.65,18.860001,19.639999,13.634199,552600
2012-04-04,19.42,19.58,19.120001,19.57,13.585611,621700
2012-04-05,19.42,19.58,19.34,19.41,13.474532,376600
2012-04-09,19.120001,19.139999,18.9,18.940001,13.148256,130900
2012-04-10,18.940001,18.940001,17.870001,17.969999,12.474877,362400
2012-04-11,18.1,18.469999,18.030001,18.469999,12.82198,185800
2012-04-12,18.51,18.790001,18.379999,18.469999,12.82198,300000
2012-04-13,18.35,18.620001,17.879999,18.530001,12.863637,403500
2012-04-16,18.530001,18.85,18.309999,18.68,12.96776,222200
2012-04-17,18.84,19.16,18.83,18.91,13.12743,226700
2012-04-18,18.83,18.940001,18.58,18.82,13.06495,132400
2012-04-19,18.76,19.049999,18.18,18.290001,12.697023,169500
2012-04-20,18.66,18.690001,18.26,18.360001,12.745617,191300
2012-04-23,18.08,18.139999,17.68,18.059999,12.537354,212800
2012-04-24,18.120001,18.459999,18.01,18.25,12.669256,247800
2012-04-25,18.530001,18.84,18.299999,18.43,12.794211,217400
2012-04-26,18.43,18.58,18.23,18.549999,12.877514,151100
2012-04-27,18.66,19.030001,18.389999,18.98,13.176024,274900
2012-04-30,18.959999,18.959999,18.469999,18.73,13.002471,219000
2012-05-01,18.780001,19.01,18.389999,18.42,12.787273,228000
2012-05-02,18.26,18.860001,18.209999,18.82,13.06495,281100
2012-05-03,19.0,19.370001,18.41,19.32,13.412056,518200
2012-05-04,19.15,19.549999,18.75,18.75,13.016356,264700
2012-05-07,18.620001,18.940001,18.450001,18.51,12.849749,207000
2012-05-08,18.33,18.459999,18.0,18.08,12.55124,286200
2012-05-09,17.84,17.950001,17.700001,17.84,12.384628,240000
2012-05-10,18.01,18.040001,17.9,17.91,12.433226,252000
2012-05-11,17.73,17.99,17.639999,17.65,12.252732,273900
2012-05-14,17.450001,17.66,16.99,17.040001,11.829265,398800
2012-05-15,16.959999,17.23,16.82,16.950001,11.766788,365200
2012-05-16,17.049999,17.18,16.940001,17.02,11.815381,356700
2012-05-17,17.02,17.190001,16.799999,16.84,11.690427,262700
2012-05-18,16.790001,17.33,16.790001,16.870001,11.711251,254100
2012-05-21,16.959999,17.25,16.67,17.08,11.857031,469800
2012-05-22,17.01,17.85,16.9,17.610001,12.224964,453800
2012-05-23,17.42,17.690001,17.07,17.620001,12.231905,401000
2012-05-24,17.6,17.67,17.24,17.41,12.086124,216900
2012-05-25,17.469999,18.08,17.370001,17.809999,12.363803,282500
2012-05-29,17.99,18.25,17.709999,18.110001,12.572065,177500
2012-05-30,17.889999,18.16,17.65,18.01,12.502645,246800
2012-05-31,18.030001,18.030001,17.389999,17.74,12.315207,252800
2012-06-01,17.43,17.74,17.110001,17.33,12.030586,248100
2012-06-04,17.379999,18.07,17.379999,17.66,12.259675,470600
2012-06-05,17.57,18.09,17.530001,18.08,12.55124,292800
2012-06-06,18.18,18.57,18.040001,18.549999,12.877514,349600
2012-06-07,18.77,18.91,18.49,18.5,12.842806,248600
2012-06-08,18.459999,19.0,18.379999,18.790001,13.044127,243800
2012-06-11,18.98,18.98,18.5,18.52,12.856688,322900
2012-06-12,18.49,19.0,18.389999,18.870001,13.099661,216100
2012-06-13,18.879999,19.0,18.59,18.719999,12.99553,210400
2012-06-14,18.67,18.870001,18.530001,18.700001,12.981646,212500
2012-06-15,18.620001,19.030001,18.59,18.959999,13.162141,322900
2012-06-18,18.83,19.190001,18.77,19.059999,13.231564,171500
2012-06-19,19.129999,19.299999,18.91,18.98,13.176024,207500
2012-06-20,18.92,19.01,18.57,18.700001,12.981646,188500
2012-06-21,18.629999,18.74,18.5,18.74,13.009413,401500
2012-06-22,18.83,19.09,18.58,18.950001,13.155202,334100
2012-06-25,18.77,18.77,18.370001,18.530001,12.863637,212700
2012-06-26,18.41,18.629999,18.290001,18.610001,12.91917,225900
2012-06-27,18.65,19.200001,18.639999,19.0,13.189907,176700
2012-06-28,18.99,19.17,18.27,18.620001,12.926112,311300
2012-06-29,18.940001,19.290001,18.68,19.24,13.356515,362500
2012-07-02,19.26,19.51,19.139999,19.42,13.481475,301800
2012-07-03,19.42,19.860001,19.4,19.6,13.606434,169900
2012-07-05,19.49,19.73,19.34,19.65,13.641136,182800
2012-07-06,19.42,19.75,19.42,19.65,13.641136,237000
2012-07-09,19.610001,19.940001,19.57,19.9,13.814697,244100
2012-07-10,19.98,20.110001,19.809999,20.0,13.884117,1034300
2012-07-11,19.9,20.08,19.809999,19.98,13.870227,433800
2012-07-12,19.77,20.01,19.59,19.76,13.717504,316800
2012-07-13,19.709999,19.93,19.42,19.860001,13.786924,639000
2012-07-16,19.790001,19.790001,19.18,19.290001,13.391229,236300
2012-07-17,19.34,19.35,18.709999,18.799999,13.051067,156700
2012-07-18,18.700001,19.059999,18.58,19.0,13.189907,284000
2012-07-19,19.1,19.16,18.74,19.15,13.294042,196200
2012-07-20,18.91,18.91,18.309999,18.59,12.905288,201700
2012-07-23,18.200001,18.360001,17.82,17.93,12.447106,248100
2012-07-24,17.92,17.92,17.540001,17.719999,12.301326,244200
2012-07-25,17.82,17.940001,17.67,17.93,12.447106,231500
2012-07-26,18.200001,18.33,17.959999,18.17,12.613718,89800
2012-07-27,18.290001,18.549999,18.219999,18.360001,12.745617,173800
2012-07-30,18.309999,18.6,18.24,18.42,12.787273,151500
2012-07-31,18.389999,18.780001,18.379999,18.469999,12.82198,143900
2012-08-01,18.59,18.76,18.309999,18.309999,12.710905,282100
2012-08-02,18.209999,18.67,18.15,18.219999,12.648428,180200
2012-08-03,18.49,18.85,18.32,18.709999,12.988587,177600
2012-08-06,18.709999,19.33,18.66,19.280001,13.384288,259500
2012-08-07,19.48,19.620001,19.030001,19.1,13.259329,237700
2012-08-08,18.99,19.15,18.639999,18.860001,13.092723,193000
2012-08-09,18.879999,18.879999,17.950001,18.139999,12.592894,808200
2012-08-10,19.15,19.219999,18.610001,19.200001,13.32875,277700
2012-08-13,19.07,19.389999,18.99,19.379999,13.453706,215500
2012-08-14,19.42,19.530001,19.1,19.23,13.349574,226400
2012-08-15,19.07,19.309999,19.01,19.299999,13.39817,126000
2012-08-16,19.24,19.690001,18.969999,19.530001,13.557835,105400
2012-08-17,19.5,19.98,19.41,19.959999,13.856349,197400
2012-08-20,19.82,19.82,19.469999,19.67,13.723779,142500
2012-08-21,19.790001,20.16,19.65,20.110001,14.03077,238400
2012-08-22,20.040001,20.34,19.940001,20.18,14.079613,166000
2012-08-23,20.219999,20.27,19.969999,20.17,14.072633,227800
2012-08-24,20.09,20.75,20.030001,20.67,14.421487,334600
2012-08-27,20.77,20.77,20.200001,20.33,14.184265,123900
2012-08-28,20.32,20.469999,20.01,20.190001,14.086589,319900
2012-08-29,20.25,20.389999,19.83,20.049999,13.98891,452400
2012-08-30,20.0,20.02,19.59,19.59,13.667966,480800
2012-08-31,19.780001,19.870001,19.49,19.6,13.674947,147900
2012-09-04,19.559999,19.809999,19.35,19.68,13.73076,466800
2012-09-05,19.59,20.030001,19.52,19.950001,13.91914,390000
2012-09-06,20.08,20.23,19.68,20.01,13.960999,792100
2012-09-07,20.200001,21.110001,20.049999,20.809999,14.519161,1053300
2012-09-10,20.74,20.790001,20.120001,20.51,14.309851,300900
2012-09-11,20.51,20.709999,20.190001,20.33,14.184265,321900
2012-09-12,20.43,20.74,20.24,20.73,14.463345,213600
2012-09-13,20.709999,21.110001,20.6,20.9,14.581948,246400
2012-09-14,21.0,21.040001,20.6,20.889999,14.574977,600300
2012-09-17,20.790001,21.200001,20.57,21.16,14.763356,303400
2012-09-18,21.120001,21.889999,21.049999,21.84,15.237795,524100
2012-09-19,21.82,22.17,21.450001,22.120001,15.433149,242000
2012-09-20,21.950001,22.23,21.65,21.799999,15.209886,256700
2012-09-21,22.09,22.25,21.76,21.85,15.244773,454500
2012-09-24,21.75,22.110001,21.51,21.93,15.300588,106000
2012-09-25,22.01,22.190001,21.73,22.030001,15.370356,270600
2012-09-26,22.02,22.59,21.790001,22.559999,15.740134,479400
2012-09-27,22.6,22.68,22.23,22.620001,15.782004,176400
2012-09-28,22.48,23.01,22.48,22.99,16.040152,296500
2012-10-01,22.700001,22.950001,22.25,22.389999,15.621528,298400
2012-10-02,22.6,22.870001,21.99,22.110001,15.426178,226500
2012-10-03,22.18,22.280001,21.860001,21.91,15.286633,243700
2012-10-04,22.049999,22.15,21.82,22.040001,15.377337,177600
2012-10-05,22.15,22.4,21.639999,21.67,15.119186,262200
2012-10-08,21.6,21.68,21.309999,21.49,14.993604,95900
2012-10-09,21.5,21.549999,21.16,21.24,14.819173,177100
2012-10-10,21.24,21.440001,20.93,21.17,14.770335,324600
2012-10-11,21.309999,21.5,20.809999,21.120001,14.735451,278100
2012-10-12,21.139999,21.5,21.08,21.1,14.721498,94500
2012-10-15,21.129999,21.549999,20.73,21.52,15.014532,206100
2012-10-16,21.639999,22.440001,21.620001,22.190001,15.481986,263900
2012-10-17,22.16,22.629999,22.049999,22.5,15.698278,221000
2012-10-18,22.49,22.559999,22.26,22.389999,15.621528,288200
2012-10-19,22.309999,22.35,21.84,21.98,15.335477,357400
2012-10-22,21.93,22.08,21.780001,21.9,15.279654,195500
2012-10-23,21.76,21.91,21.65,21.76,15.181983,236700
2012-10-24,21.84,22.040001,21.35,21.450001,14.965693,196200
2012-10-25,21.549999,22.15,21.17,21.290001,14.854056,605300
2012-10-26,21.34,21.709999,21.110001,21.700001,15.140116,197500
2012-10-31,21.780001,21.790001,21.16,21.709999,15.147091,177600
2012-11-01,21.799999,22.040001,21.5,21.870001,15.258722,219400
2012-11-02,21.879999,21.9,20.93,20.93,14.602884,168800
2012-11-05,20.879999,21.459999,20.67,21.4,14.930802,198600
2012-11-06,21.35,22.17,21.35,21.610001,15.077325,191300
2012-11-07,21.450001,21.530001,20.959999,21.41,14.937783,339000
2012-11-08,21.41,21.41,20.559999,20.559999,14.344735,274500
2012-11-09,20.889999,21.379999,20.709999,20.82,14.52614,337100
2012-11-12,20.84,21.17,20.83,21.0,14.651725,184900
2012-11-13,20.83,21.309999,20.83,20.92,14.595908,85600
2012-11-14,20.959999,21.15,20.32,20.33,14.184265,142800
2012-11-15,20.469999,21.139999,20.440001,20.58,14.358696,279700
2012-11-16,20.51,21.059999,20.299999,20.969999,14.630795,280900
2012-11-19,20.99,21.32,20.860001,21.209999,14.876273,108800
2012-11-20,21.110001,21.4,20.99,21.35,14.974471,348300
2012-11-21,21.34,21.6,21.299999,21.41,15.016553,122400
2012-11-23,21.52,21.68,20.700001,21.68,15.205924,51700
2012-11-26,21.68,21.9,21.200001,21.290001,14.932386,235000
2012-11-27,21.25,21.530001,21.0,21.5,15.079676,185500
2012-11-28,21.459999,21.57,20.950001,21.01,14.736003,217200
2012-11-29,21.16,22.139999,20.98,21.940001,15.388281,439200
2012-11-30,22.190001,22.190001,20.9,21.139999,14.827181,405800
2012-12-03,21.219999,21.35,20.700001,20.940001,14.686909,187600
2012-12-04,20.99,21.93,20.83,21.74,15.248005,263600
2012-12-05,21.799999,22.0,21.33,21.790001,15.283082,236900
2012-12-06,21.790001,22.219999,21.540001,22.110001,15.507523,142300
2012-12-07,22.209999,22.219999,21.59,21.91,15.367243,152200
2012-12-10,22.0,22.35,21.780001,22.16,15.542592,157700
2012-12-11,22.389999,22.530001,21.98,22.52,15.795088,266500
2012-12-12,22.690001,22.85,22.209999,22.52,15.795088,268000
2012-12-13,22.41,22.690001,21.959999,22.129999,15.521546,206200
2012-12-14,22.09,22.85,22.059999,22.309999,15.647799,278000
2012-12-17,22.389999,22.469999,22.15,22.32,15.65481,177200
2012-12-18,22.299999,22.59,22.16,22.59,15.844182,275800
2012-12-19,22.57,23.360001,22.389999,22.889999,16.0546,235400
2012-12-20,22.9,23.77,22.799999,23.25,16.307087,261400
2012-12-21,23.09,23.09,22.5,23.059999,16.173832,506100
2012-12-24,23.15,23.290001,22.709999,23.290001,16.33515,55100
2012-12-26,23.290001,23.299999,22.93,23.0,16.131746,162400
2012-12-27,22.969999,22.98,22.389999,22.780001,15.977441,259200
2012-12-28,22.620001,22.83,22.49,22.549999,15.816131,282700
2012-12-31,22.540001,22.76,22.34,22.639999,15.879248,397400
2013-01-02,23.09,24.040001,23.09,23.73,16.643755,404500
2013-01-03,23.690001,23.9,23.25,23.49,16.475424,279600
2013-01-04,23.629999,24.01,22.790001,23.82,16.706877,240700
2013-01-07,23.67,23.959999,23.51,23.6,16.552578,197000
2013-01-08,23.51,23.77,23.23,23.610001,16.559587,197200
2013-01-09,23.68,23.99,23.559999,23.870001,16.741947,224000
2013-01-10,23.91,23.969999,23.290001,23.58,16.538551,175300
2013-01-11,23.59,23.67,23.25,23.48,16.46841,162100
2013-01-14,23.450001,23.719999,23.4,23.639999,16.580626,356900
2013-01-15,23.559999,23.639999,23.309999,23.440001,16.440355,338100
2013-01-16,23.32,23.620001,23.209999,23.52,16.496464,219900
2013-01-17,23.67,24.33,23.42,24.309999,17.050562,254600
2013-01-18,23.940001,24.25,23.469999,24.110001,16.910276,338200
2013-01-22,24.059999,24.299999,23.66,24.110001,16.910276,255200
2013-01-23,24.129999,24.25,23.969999,24.0,16.83313,145300
2013-01-24,23.98,24.24,23.780001,23.950001,16.798063,221500
2013-01-25,24.030001,24.18,23.77,24.17,16.952358,189600
2013-01-28,24.24,24.49,24.07,24.280001,17.029516,124300
2013-01-29,24.209999,24.57,24.110001,24.18,16.959377,192000
2013-01-30,24.08,24.309999,23.780001,24.26,17.015486,233400
2013-01-31,24.280001,24.950001,24.16,24.77,17.37319,323400
2013-02-01,24.92,25.280001,24.83,25.030001,17.555546,286500
2013-02-04,24.940001,24.969999,24.389999,24.52,17.197847,178400
2013-02-05,24.610001,25.15,24.5,24.950001,17.499439,165000
2013-02-06,24.34,24.51,24.08,24.389999,17.106665,587100
2013-02-07,24.450001,24.629999,24.139999,24.51,17.190826,328500
2013-02-08,24.5,24.98,24.48,24.860001,17.436312,151900
2013-02-11,24.809999,24.969999,24.51,24.860001,17.436312,88100
2013-02-12,24.950001,25.24,24.860001,25.030001,17.555546,248700
2013-02-13,25.02,25.129999,24.75,24.860001,17.436312,171400
2013-02-14,24.75,25.01,24.75,24.83,17.41527,204100
2013-02-15,24.99,25.25,24.940001,25.02,17.548536,374000
2013-02-19,25.0,25.43,24.93,25.309999,17.751938,347600
2013-02-20,25.370001,25.49,24.969999,25.370001,17.79402,378000
2013-02-21,25.34,25.629999,24.969999,25.34,17.772974,551700
2013-02-22,25.530001,26.309999,25.34,25.780001,18.081594,357500
2013-02-25,25.76,25.76,24.940001,24.99,17.527494,384500
2013-02-26,25.0,25.57,24.610001,25.17,17.653749,545900
2013-02-27,25.120001,25.42,24.879999,25.25,17.709852,524400
2013-02-28,25.17,25.43,25.07,25.139999,17.716902,488600
2013-03-01,25.07,25.559999,24.84,25.469999,17.949459,543100
2013-03-04,25.49,25.73,25.209999,25.35,17.864899,234600
2013-03-05,25.43,25.43,25.040001,25.15,17.723948,310300
2013-03-06,25.209999,25.43,25.15,25.280001,17.815563,356700
2013-03-07,25.35,25.639999,25.02,25.639999,18.069262,296200
2013-03-08,25.82,26.33,25.639999,26.290001,18.527342,226500
2013-03-11,26.280001,26.389999,25.940001,26.129999,18.414585,115200
2013-03-12,26.049999,26.190001,25.43,25.48,17.956511,126400
2013-03-13,25.440001,25.780001,25.299999,25.66,18.083355,213800
2013-03-14,25.780001,26.07,25.65,25.73,18.13269,337100
2013-03-15,25.780001,25.9,25.280001,25.530001,17.991745,420900
2013-03-18,25.33,25.75,25.299999,25.51,17.977655,202100
2013-03-19,25.57,25.889999,25.32,25.57,18.019936,355200
2013-03-20,25.76,26.07,25.76,25.959999,18.294779,164900
2013-03-21,25.82,26.309999,25.82,26.1,18.39344,248200
2013-03-22,26.18,26.33,26.049999,26.33,18.555531,195400
2013-03-25,26.34,26.51,25.969999,26.16,18.435728,151100
2013-03-26,26.34,26.48,26.18,26.41,18.61191,112200
2013-03-27,26.219999,26.360001,26.129999,26.299999,18.534386,135900
2013-03-28,26.389999,26.690001,26.17,26.4,18.604856,281900
2013-04-01,26.360001,26.41,25.73,26.17,18.442774,304600
2013-04-02,26.309999,26.360001,25.879999,25.969999,18.301821,130000
2013-04-03,25.99,26.040001,25.299999,25.32,17.843752,199700
2013-04-04,25.42,26.139999,25.370001,26.08,18.379351,311500
2013-04-05,25.65,26.59,25.559999,26.49,18.668285,336600
2013-04-08,26.620001,26.74,26.219999,26.74,18.844469,123200
2013-04-09,26.799999,27.01,26.559999,26.84,18.914936,302400
2013-04-10,26.84,27.32,26.75,27.23,19.189785,394200
2013-04-11,27.120001,27.629999,27.07,27.540001,19.408251,292900
2013-04-12,27.34,28.5,27.34,28.4,20.014318,320800
2013-04-15,28.33,28.370001,27.74,27.799999,19.591478,293300
2013-04-16,28.139999,28.629999,27.92,28.52,20.098885,267000
2013-04-17,28.190001,28.440001,27.809999,27.98,19.718336,273000
2013-04-18,28.15,28.41,27.66,27.860001,19.63377,449600
2013-04-19,27.73,28.360001,27.66,28.0,19.73243,346400
2013-04-22,27.969999,28.049999,27.1,27.969999,19.711279,185600
2013-04-23,28.15,28.68,27.93,28.25,19.908606,232600
2013-04-24,28.16,28.389999,28.08,28.09,19.795855,149000
2013-04-25,28.139999,28.290001,27.959999,27.98,19.718336,270300
2013-04-26,27.83,28.030001,27.780001,27.84,19.619669,256500
2013-04-29,27.92,27.99,27.48,27.66,19.492819,428700
2013-04-30,27.82,28.639999,27.82,28.639999,20.183456,315900
2013-05-01,28.58,28.620001,28.01,28.059999,19.77471,357400
2013-05-02,28.17,28.5,27.879999,28.360001,19.986132,307400
2013-05-03,28.57,29.0,28.57,28.85,20.331446,249500
2013-05-06,28.940001,29.059999,28.629999,28.690001,20.218691,285000
