Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,7.0,7.28,6.93,7.07,5.332952,487186
2012-02-07,7.14,7.84,7.07,7.7,5.808165,763714
2012-02-08,7.84,7.98,7.14,7.35,5.544158,677171
2012-02-09,7.42,7.49,7.14,7.28,5.491356,222657
2012-02-10,7.21,7.21,6.93,7.07,5.332952,210943
2012-02-13,7.14,7.14,6.93,7.07,5.332952,146471
2012-02-14,7.07,7.07,6.58,6.65,5.016143,307329
2012-02-15,6.72,6.79,6.37,6.44,4.857738,220500
2012-02-16,6.44,6.72,6.44,6.72,5.068944,141814
2012-02-17,6.72,6.79,6.58,6.65,5.016143,58771
2012-02-21,6.65,6.86,6.65,6.72,5.068944,99114
2012-02-22,6.72,6.86,6.65,6.65,5.016143,88714
2012-02-23,6.65,6.65,6.51,6.65,5.016143,76429
2012-02-24,6.72,6.86,6.65,6.65,5.016143,73971
2012-02-27,6.65,6.79,6.51,6.72,5.068944,42386
2012-02-28,6.79,6.79,6.51,6.58,4.963341,89214
2012-02-29,6.65,6.72,6.51,6.58,4.963341,88757
2012-03-01,6.58,6.86,6.58,6.65,5.016143,92729
2012-03-02,6.65,6.72,6.58,6.65,5.016143,65671
2012-03-05,6.72,7.07,6.44,6.58,4.963341,97229
2012-03-06,6.44,6.51,6.3,6.37,4.804936,121086
2012-03-07,6.44,6.51,6.37,6.44,4.857738,50757
2012-03-08,6.51,6.65,6.3,6.3,4.752135,164143
2012-03-09,6.16,6.23,4.41,4.76,3.590502,1056071
2012-03-12,4.83,4.9,4.41,4.41,3.326494,315771
2012-03-13,4.48,4.55,4.41,4.48,3.379296,100514
2012-03-14,4.55,4.62,4.13,4.27,3.220891,318614
2012-03-15,4.2,4.27,4.13,4.2,3.16809,168557
2012-03-16,4.27,4.27,3.99,4.06,3.062487,202886
2012-03-19,4.06,4.13,3.99,4.06,3.062487,115700
2012-03-20,3.99,4.06,3.78,3.85,2.904083,141157
2012-03-21,3.85,4.06,3.85,3.99,3.009686,136257
2012-03-22,3.99,4.27,3.99,4.13,3.115289,145629
2012-03-23,4.13,4.27,3.92,3.99,3.009686,98129
2012-03-26,4.06,4.06,3.92,3.99,3.009686,94671
2012-03-27,3.99,4.06,3.85,3.85,2.904083,125400
2012-03-28,3.85,3.92,3.64,3.71,2.79848,115657
2012-03-29,3.71,3.71,3.36,3.5,2.640075,174829
2012-03-30,3.5,4.06,3.43,3.78,2.851281,166100
2012-04-02,3.85,3.99,3.64,3.78,2.851281,73571
2012-04-03,3.92,3.99,3.64,3.64,2.745678,78371
2012-04-04,3.71,3.78,3.5,3.5,2.640075,88029
2012-04-05,3.5,3.57,3.43,3.43,2.587274,74500
2012-04-09,3.43,3.5,3.36,3.36,2.534472,56943
2012-04-10,3.36,3.5,3.22,3.22,2.428869,114914
2012-04-11,3.22,3.22,2.8,3.22,2.428869,171729
2012-04-12,3.22,3.22,2.94,3.08,2.323266,81757
2012-04-13,3.08,3.22,3.01,3.01,2.270464,59457
2012-04-16,3.15,3.15,3.01,3.08,2.323266,39957
2012-04-17,3.15,3.22,3.01,3.01,2.270464,73600
2012-04-18,3.01,3.15,2.94,3.01,2.270464,47743
2012-04-19,3.01,3.01,2.94,2.94,2.217663,64457
2012-04-20,3.22,3.29,2.73,3.01,2.270464,122600
2012-04-23,2.94,2.94,2.87,2.87,2.164861,47157
2012-04-24,2.87,3.22,2.8,2.87,2.164861,54486
2012-04-25,2.87,2.94,2.8,2.8,2.11206,60129
