Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,3.15,3.21,3.06,3.19,3.19,337900
2012-02-07,3.19,3.21,3.13,3.19,3.19,341000
2012-02-08,3.2,3.23,3.17,3.19,3.19,506000
2012-02-09,3.21,3.24,3.15,3.22,3.22,553800
2012-02-10,3.2,3.25,3.12,3.2,3.2,495100
2012-02-13,3.23,3.27,3.19,3.25,3.25,373700
2012-02-14,3.27,3.29,3.22,3.24,3.24,357400
2012-02-15,3.25,3.27,3.16,3.17,3.17,326300
2012-02-16,3.12,3.42,3.12,3.35,3.35,1259400
2012-02-17,3.36,3.61,3.28,3.53,3.53,1134000
2012-02-21,3.53,3.66,3.48,3.58,3.58,900700
2012-02-22,3.57,3.73,3.5,3.57,3.57,697300
2012-02-23,3.54,3.65,3.52,3.61,3.61,491900
2012-02-24,3.64,3.75,3.57,3.58,3.58,519300
2012-02-27,3.55,3.65,3.41,3.55,3.55,474100
2012-02-28,3.56,3.67,3.43,3.52,3.52,624300
2012-02-29,3.8,4.09,3.75,3.76,3.76,3102400
2012-03-01,3.78,3.9,3.68,3.75,3.75,808100
2012-03-02,3.71,3.78,3.55,3.57,3.57,738400
2012-03-05,3.57,3.66,3.45,3.61,3.61,677300
2012-03-06,3.57,3.69,3.54,3.6,3.6,451200
2012-03-07,3.59,3.77,3.58,3.6,3.6,609700
2012-03-08,3.61,3.75,3.61,3.73,3.73,614500
2012-03-09,3.73,3.85,3.67,3.73,3.73,453600
2012-03-12,3.73,3.79,3.66,3.71,3.71,295800
2012-03-13,3.75,3.82,3.65,3.79,3.79,440700
2012-03-14,3.79,4.01,3.78,3.94,3.94,875200
2012-03-15,3.95,4.04,3.94,3.96,3.96,872400
2012-03-16,4.0,4.17,4.0,4.12,4.12,925300
2012-03-19,4.12,4.27,4.1,4.2,4.2,448100
2012-03-20,4.16,4.53,4.02,4.32,4.32,1328500
2012-03-21,4.32,4.45,4.25,4.26,4.26,772400
2012-03-22,4.21,4.28,4.1,4.21,4.21,612300
2012-03-23,4.21,4.21,4.08,4.15,4.15,432600
