Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,36.799999,36.799999,36.240002,36.48,26.249069,34300
2012-02-07,36.380001,36.790001,36.09,36.490002,26.256264,51600
2012-02-08,36.580002,37.200001,36.02,36.790001,26.472126,31500
2012-02-09,36.779999,36.779999,36.049999,36.16,26.018814,16200
2012-02-10,35.75,35.919998,35.169998,35.240002,25.356829,97800
2012-02-13,35.630001,36.130001,35.41,36.0,25.903683,24800
2012-02-14,35.41,35.57,35.130001,35.52,25.5583,23100
2012-02-15,35.759998,35.759998,34.82,35.080002,25.241707,38400
2012-02-16,35.080002,36.25,35.080002,36.209999,26.054789,44700
2012-02-17,36.23,36.490002,35.75,36.23,26.069183,32800
2012-02-21,36.27,36.5,35.459999,35.619999,25.630257,32200
2012-02-22,35.59,35.59,34.310001,34.400002,24.752415,38400
2012-02-23,34.549999,35.52,34.169998,35.41,25.479145,31700
2012-02-24,35.369999,35.369999,34.73,34.759998,25.011452,28400
2012-02-27,34.369999,35.400002,34.369999,35.07,25.234512,48100
2012-02-28,35.169998,35.189999,34.709999,34.860001,25.083405,46800
2012-02-29,34.919998,35.189999,34.189999,34.27,24.658871,54100
2012-03-01,34.5,34.93,34.080002,34.099998,24.536554,42800
2012-03-02,34.07,34.25,32.77,32.950001,23.709066,53000
2012-03-05,32.549999,33.540001,32.549999,33.419998,24.047256,32700
2012-03-06,33.099998,33.25,32.450001,32.59,23.450031,40800
2012-03-07,32.799999,33.32,32.5,33.23,23.910542,33600
2012-03-08,33.349998,33.869999,33.0,33.720001,24.263126,32400
2012-03-09,33.849998,34.849998,33.799999,34.610001,24.903519,49600
2012-03-12,34.650002,34.650002,34.060001,34.419998,24.766808,41100
2012-03-13,34.790001,35.48,34.400002,35.419998,25.486343,39800
2012-03-14,35.259998,35.82,34.950001,35.41,25.479145,58600
2012-03-15,35.509998,35.73,34.900002,35.490002,25.536711,50700
2012-03-16,35.580002,35.810001,35.080002,35.57,25.594278,195200
2012-03-19,35.459999,36.349998,35.02,35.740002,25.716602,47900
2012-03-20,35.400002,35.799999,35.209999,35.48,25.529518,24100
2012-03-21,35.689999,35.860001,35.029999,35.099998,25.25609,19800
2012-03-22,34.759998,34.82,34.09,34.459999,24.795578,24500
2012-03-23,34.57,34.689999,34.139999,34.66,24.939491,65100
2012-03-26,34.959999,35.610001,34.740002,35.59,25.608675,38100
2012-03-27,35.529999,35.709999,35.169998,35.189999,25.320852,23500
2012-03-28,35.349998,35.599998,35.16,35.389999,25.46476,33600
2012-03-29,35.060001,35.360001,34.580002,35.259998,25.371222,16600
2012-03-30,35.580002,35.580002,34.68,34.740002,24.997059,58200
2012-04-02,34.669998,35.759998,34.619999,35.619999,25.630257,97400
2012-04-03,35.580002,35.66,34.889999,35.16,25.299267,32100
2012-04-04,34.630001,34.91,34.48,34.549999,24.860346,28000
2012-04-05,34.360001,34.650002,34.299999,34.57,24.874729,30600
2012-04-09,34.060001,34.240002,33.759998,33.84,24.349464,44600
2012-04-10,33.779999,34.049999,33.419998,33.48,24.090427,80500
2012-04-11,33.59,34.029999,33.330002,33.700001,24.504896,48200
2012-04-12,33.82,34.52,33.450001,34.0,24.723049,98700
2012-04-13,33.84,33.84,32.52,32.720001,23.792299,46000
2012-04-16,32.91,33.23,32.619999,32.950001,23.959539,43700
2012-04-17,33.349998,33.75,33.27,33.310001,24.221312,36800
2012-04-18,33.139999,33.240002,32.360001,32.709999,23.785027,36900
2012-04-19,32.740002,33.130001,32.16,32.490002,23.62505,40700
2012-04-20,33.34,33.549999,32.759998,33.349998,24.250402,50100
2012-04-23,32.810001,32.990002,32.57,32.84,23.879559,47200
2012-04-24,32.790001,33.490002,32.529999,33.419998,24.301308,130000
2012-04-25,33.810001,34.25,33.299999,33.68,24.490364,76400
2012-04-26,33.490002,33.98,33.41,33.73,24.526718,31900
2012-04-27,33.759998,34.200001,33.419998,34.0,24.723049,60700
2012-04-30,33.990002,33.990002,33.299999,33.349998,24.250402,60000
2012-05-01,33.59,34.040001,32.959999,32.98,23.981361,168000
2012-05-02,33.0,33.689999,32.849998,33.439999,24.315847,96000
2012-05-03,34.080002,34.5,33.57,33.93,24.672152,108300
2012-05-04,33.860001,34.200001,33.43,33.529999,24.381287,66300
2012-05-07,33.560001,34.450001,33.48,33.84,24.606701,42000
2012-05-08,33.77,34.279999,33.77,34.110001,24.803036,46800
2012-05-09,33.650002,33.959999,33.380001,33.57,24.410372,32000
2012-05-10,33.77,33.939999,33.27,33.75,24.54126,44000
2012-05-11,33.349998,33.889999,33.16,33.470001,24.33766,35200
2012-05-14,33.09,33.470001,33.0,33.049999,24.032255,45900
2012-05-15,33.040001,33.580002,33.02,33.189999,24.134052,31000
2012-05-16,33.27,33.419998,32.950001,32.990002,23.98863,27400
2012-05-17,32.950001,33.060001,32.34,32.5,23.632328,50700
2012-05-18,32.349998,32.720001,32.049999,32.380001,23.545071,62900
2012-05-21,32.34,32.91,32.25,32.540001,23.661413,42500
2012-05-22,32.560001,32.950001,32.310001,32.560001,23.675953,52000
2012-05-23,32.25,32.470001,31.83,32.290001,23.479622,56000
2012-05-24,32.369999,32.880001,31.950001,32.880001,23.908642,48000
2012-05-25,32.880001,33.150002,32.650002,32.880001,23.908642,52800
2012-05-29,33.040001,33.060001,32.380001,32.810001,23.85774,37600
2012-05-30,32.400002,32.669998,31.940001,31.959999,23.239664,65500
2012-05-31,31.950001,32.419998,31.709999,32.18,23.399639,71400
2012-06-01,31.58,31.860001,31.26,31.299999,22.75975,83000
2012-06-04,31.5,31.76,30.950001,31.07,22.592503,46900
2012-06-05,30.91,31.42,30.700001,30.959999,22.51252,48800
2012-06-06,31.110001,31.860001,30.99,31.799999,23.12332,54100
2012-06-07,32.16,32.349998,31.959999,32.07,23.319647,60100
2012-06-08,31.98,32.450001,31.559999,32.200001,23.414183,31300
2012-06-11,32.5,32.560001,31.709999,31.73,23.072422,56200
2012-06-12,31.82,32.009998,31.450001,31.85,23.159679,38200
2012-06-13,31.889999,32.0,31.219999,31.34,22.788839,33000
2012-06-14,31.33,32.0,31.33,31.77,23.101501,34700
2012-06-15,31.709999,32.5,31.59,32.419998,23.574152,88200
2012-06-18,32.279999,32.5,32.150002,32.189999,23.406906,34800
2012-06-19,32.220001,32.810001,32.220001,32.439999,23.588694,64000
2012-06-20,32.34,32.630001,32.27,32.360001,23.530519,15800
2012-06-21,32.27,32.439999,31.52,31.65,23.014248,51100
2012-06-22,31.9,32.5,31.809999,32.459999,23.603237,84800
2012-06-25,32.25,32.299999,32.0,32.139999,23.370548,34100
2012-06-26,32.139999,32.43,32.0,32.07,23.319647,64100
2012-06-27,32.0,32.509998,31.870001,32.490002,23.62505,41600
2012-06-28,32.189999,33.110001,32.07,33.099998,24.068607,38200
2012-06-29,33.529999,33.880001,33.389999,33.689999,24.497627,36800
2012-07-02,33.610001,34.060001,33.299999,33.799999,24.57762,48200
2012-07-03,33.759998,34.299999,33.759998,34.139999,24.824848,13400
2012-07-05,34.150002,34.360001,34.099998,34.200001,24.868477,52200
2012-07-06,33.759998,34.450001,33.720001,34.080002,24.781219,14900
2012-07-09,34.080002,34.240002,33.810001,34.110001,24.803036,60400
2012-07-10,34.189999,34.490002,34.0,34.310001,24.948463,70100
2012-07-11,34.02,34.029999,33.52,34.0,24.977844,39500
2012-07-12,33.849998,34.34,33.07,34.209999,25.13212,49300
2012-07-13,33.950001,35.0,33.91,34.860001,25.60964,31400
2012-07-16,34.790001,34.93,34.48,34.529999,25.367208,21400
2012-07-17,34.610001,34.990002,34.18,34.75,25.528835,25700
2012-07-18,34.689999,35.189999,34.52,34.700001,25.492102,29200
2012-07-19,34.740002,34.740002,33.799999,33.880001,24.889692,18900
2012-07-20,33.68,33.98,33.459999,33.759998,24.801535,36900
2012-07-23,33.310001,33.439999,32.73,32.740002,24.052198,38700
2012-07-24,32.66,33.150002,32.580002,33.040001,24.272596,34700
2012-07-25,33.150002,33.389999,33.099998,33.139999,24.346056,17800
2012-07-26,33.450001,33.549999,33.169998,33.41,24.544405,34200
2012-07-27,33.490002,34.389999,33.200001,34.220001,25.139475,30500
2012-07-30,34.16,34.209999,32.900002,33.009998,24.250555,45300
2012-07-31,32.959999,33.580002,32.959999,33.049999,24.279936,70900
2012-08-01,33.119999,33.560001,32.650002,32.66,23.993429,81200
2012-08-02,32.630001,33.119999,32.310001,32.369999,23.780384,49900
2012-08-03,32.73,33.669998,32.73,33.400002,24.537066,37900
2012-08-06,33.279999,33.5,32.779999,33.040001,24.272596,40200
2012-08-07,33.119999,33.389999,32.860001,32.93,24.191784,46000
2012-08-08,33.330002,33.59,32.970001,33.130001,24.338713,51000
2012-08-09,33.040001,33.5,33.02,33.099998,24.316669,35100
2012-08-10,32.970001,33.209999,32.900002,33.09,24.309326,22100
2012-08-13,33.029999,33.299999,32.66,33.259998,24.43421,27000
2012-08-14,33.310001,33.540001,33.189999,33.400002,24.537066,59600
2012-08-15,33.32,33.639999,33.189999,33.380001,24.522367,46500
2012-08-16,33.41,33.48,33.080002,33.41,24.544405,50400
2012-08-17,33.360001,33.610001,33.200001,33.59,24.676641,39000
2012-08-20,33.48,34.009998,33.349998,33.720001,24.772146,21300
2012-08-21,33.959999,34.209999,33.549999,33.740002,24.786848,30600
2012-08-22,33.650002,33.700001,33.32,33.380001,24.522367,16400
2012-08-23,33.209999,33.509998,32.919998,33.049999,24.279936,34600
2012-08-24,33.099998,33.490002,32.900002,33.299999,24.463598,29600
2012-08-27,33.330002,33.560001,33.099998,33.400002,24.537066,30200
2012-08-28,33.110001,33.790001,33.099998,33.740002,24.786848,24800
2012-08-29,33.799999,34.32,33.68,34.110001,25.058662,30800
2012-08-30,34.049999,34.32,33.419998,33.919998,24.919073,55300
