Date,Open,High,Low,Close,Adj Close,Volume
2015-05-20,19.0,19.0,19.0,19.0,13.452521,0
2015-05-21,19.0,19.75,19.0,19.75,13.983542,1118400
2015-05-22,19.75,20.25,19.75,20.049999,14.195949,239700
2015-05-26,20.0,20.299999,20.0,20.15,14.266749,181500
2015-05-27,20.15,20.489,20.1,20.1,14.231354,114500
2015-05-28,20.08,20.16,19.549999,19.65,13.912739,65500
2015-05-29,19.742001,19.85,19.6,19.6,13.877339,77300
2015-06-01,19.6,19.65,19.23,19.35,13.70033,31700
2015-06-02,19.4,20.0,19.299999,19.91,14.096825,62400
2015-06-03,19.950001,19.98,19.4,19.799999,14.018942,205200
2015-06-04,19.799999,20.381001,19.26,19.4,13.735728,182100
2015-06-05,19.309999,19.309999,18.41,19.07,13.502083,211800
2015-06-08,19.049999,19.049999,18.5,18.629999,13.190549,91200
2015-06-09,18.559999,19.01,18.549999,18.66,13.211786,75400
2015-06-10,18.743999,19.01,18.434999,18.799999,13.310912,83600
2015-06-11,18.940001,18.969999,18.309999,18.700001,13.240111,138200
2015-06-12,18.799999,19.040001,18.309999,19.040001,13.480842,69100
2015-06-15,18.9,19.344999,18.85,19.030001,13.473764,79800
2015-06-16,18.91,19.18,18.66,18.959999,13.424197,43500
2015-06-17,19.25,19.25,19.0,19.040001,13.480842,57800
2015-06-18,19.131001,19.51,18.879999,18.99,13.445441,155000
2015-06-19,19.049999,19.200001,18.909,19.17,13.572887,50400
2015-06-22,19.15,19.18,19.01,19.07,13.502083,38700
2015-06-23,19.049999,19.200001,19.049999,19.18,13.579968,58400
2015-06-24,19.15,19.15,19.040001,19.110001,13.530402,35100
2015-06-25,19.1,19.110001,18.959999,19.049999,13.487921,55200
2015-06-26,19.18,19.360001,19.049999,19.360001,13.707413,77100
2015-06-29,19.16,19.23,19.0,19.07,13.502083,40700
2015-06-30,19.24,19.290001,19.01,19.25,13.629526,10000
2015-07-01,19.25,19.26,18.9,19.07,13.502083,50000
2015-07-02,19.049999,19.25,19.0,19.09,13.516246,20200
2015-07-06,19.16,19.17,19.01,19.120001,13.537485,38400
2015-07-07,19.08,19.290001,18.955999,19.07,13.502083,62600
2015-07-08,19.049999,19.25,18.959999,19.139999,13.551641,22100
2015-07-09,19.190001,19.190001,19.006001,19.01,13.459599,10200
2015-07-10,19.004999,19.190001,18.969999,19.02,13.466681,17800
2015-07-13,19.09,19.09,18.99,18.99,13.445441,14900
2015-07-14,18.98,19.087,18.98,19.02,13.466681,26700
2015-07-15,19.299999,19.299999,18.99,19.049999,13.487921,18200
