Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,15.7,15.8,15.35,15.45,4.350044,2602040
2012-02-07,15.45,15.55,15.25,15.25,4.293731,1499680
2012-02-08,15.25,15.5,15.05,15.15,4.265575,2771340
2012-02-09,15.15,15.25,14.65,14.8,4.167032,4804800
2012-02-10,14.65,14.75,14.35,14.65,4.124798,1458000
2012-02-13,14.8,14.95,14.7,14.95,4.209266,885520
2012-02-14,15.0,15.0,14.75,14.75,4.152953,1209780
2012-02-15,14.85,14.95,14.5,14.6,4.110721,1726080
2012-02-16,14.7,15.05,14.6,14.95,4.209266,1785620
2012-02-17,15.0,15.05,14.9,15.0,4.22334,1162720
2012-02-21,15.1,15.1,14.8,14.8,4.167032,1849380
2012-02-22,14.95,14.95,14.8,14.8,4.167032,1179400
2012-02-23,14.85,15.1,14.85,15.1,4.251498,1947600
2012-02-24,15.05,15.35,15.0,15.3,4.307809,1382760
2012-02-27,15.3,15.35,15.15,15.15,4.265575,746180
2012-02-28,15.15,15.25,15.15,15.15,4.265575,577580
2012-02-29,15.25,15.35,15.15,15.35,4.321887,1109960
2012-03-01,14.65,15.0,14.35,14.75,4.152953,20850460
2012-03-02,14.8,14.95,14.75,14.75,4.152953,2368480
2012-03-05,14.75,14.95,14.75,14.95,4.209266,1810300
2012-03-06,14.95,14.95,14.8,14.8,4.167032,1146600
2012-03-07,14.85,15.05,14.8,15.05,4.237421,1249520
2012-03-08,15.05,15.1,14.75,14.9,4.195187,1475200
2012-03-09,14.9,15.1,14.9,15.1,4.251498,1365400
2012-03-12,15.1,15.15,14.95,15.1,4.251498,1445620
2012-03-13,15.15,15.25,15.05,15.25,4.293731,1294840
2012-03-14,15.2,15.3,15.0,15.0,4.22334,1079220
2012-03-15,15.15,15.2,15.0,15.2,4.279654,1431500
2012-03-16,14.9,15.05,14.65,14.75,4.152953,6753440
2012-03-19,14.7,14.75,14.6,14.7,4.138875,1461660
2012-03-20,14.65,14.8,14.6,14.8,4.167032,2138480
2012-03-21,14.9,14.95,14.75,14.85,4.18111,1677040
2012-03-22,14.85,14.85,14.65,14.7,4.138875,1710000
2012-03-23,14.8,14.9,14.7,14.8,4.167032,1444060
2012-03-26,14.95,15.0,14.85,14.95,4.209266,1896800
2012-03-27,15.0,15.0,14.95,14.95,4.209266,1775080
2012-03-28,14.45,14.45,14.2,14.3,4.180034,2021540
2012-03-29,14.3,14.35,13.95,14.2,4.150802,1969680
2012-03-30,14.25,14.25,14.1,14.15,4.136189,1139680
2012-04-02,14.15,14.15,14.0,14.05,4.106955,1892200
2012-04-03,14.0,14.2,13.95,13.95,4.077725,1502660
2012-04-04,13.95,14.15,13.8,14.1,4.121573,1490020
2012-04-05,14.05,14.2,13.95,13.95,4.077725,847860
2012-04-09,13.9,13.9,13.6,13.7,4.004648,1854760
2012-04-10,13.9,14.05,13.65,13.7,4.004648,1416000
2012-04-11,13.95,13.95,13.75,13.85,4.048494,974140
2012-04-12,14.0,14.05,13.85,14.0,4.092341,1053380
2012-04-13,14.0,14.05,13.75,13.75,4.019264,936720
2012-04-16,13.9,13.9,13.75,13.8,4.033879,785340
2012-04-17,13.9,14.0,13.85,14.0,4.092341,960840
2012-04-18,14.05,14.1,13.95,13.95,4.077725,975020
2012-04-19,14.0,14.05,13.85,13.9,4.063109,607060
2012-04-20,13.9,13.95,13.9,13.9,4.063109,534420
2012-04-23,13.9,13.95,13.85,13.9,4.063109,894160
2012-04-24,13.95,14.2,13.9,14.15,4.136189,1008380
2012-04-25,14.2,14.4,14.2,14.4,4.209265,881840
2012-04-26,14.35,14.45,14.25,14.4,4.209265,739920
2012-04-27,14.45,14.6,14.45,14.45,4.223881,1072440
2012-04-30,14.45,14.65,14.4,14.45,4.223881,1421620
2012-05-01,14.55,14.6,14.45,14.6,4.267727,1063360
2012-05-02,14.6,14.65,14.4,14.4,4.209265,871240
2012-05-03,14.4,14.45,14.3,14.4,4.209265,710020
2012-05-04,14.4,14.45,14.3,14.3,4.180034,695100
2012-05-07,14.2,14.25,14.0,14.25,4.165418,1389720
2012-05-08,14.2,14.2,14.1,14.2,4.150802,1050140
2012-05-09,14.15,14.25,14.1,14.2,4.150802,1012860
2012-05-10,14.15,14.45,14.1,14.1,4.121573,1366400
2012-05-11,14.05,14.2,14.0,14.1,4.121573,986760
2012-05-14,14.1,14.35,14.0,14.3,4.180034,2483800
2012-05-15,14.3,14.6,14.25,14.55,4.253112,3070020
2012-05-16,14.45,14.65,14.45,14.65,4.282342,2374500
2012-05-17,14.65,14.7,14.0,14.2,4.150802,4201680
2012-05-18,14.05,14.15,13.6,13.6,3.975417,1623780
2012-05-21,13.8,13.85,13.65,13.8,4.033879,987820
2012-05-22,13.8,13.95,13.7,13.7,4.004648,1273000
2012-05-23,13.7,13.75,13.6,13.75,4.019264,1255100
2012-05-24,13.85,13.95,13.8,13.95,4.077725,842860
2012-05-25,14.0,14.1,13.95,14.1,4.121573,641860
2012-05-29,14.1,14.35,14.1,14.35,4.194649,929520
2012-05-30,14.35,14.4,13.9,13.9,4.063109,1063120
2012-05-31,13.95,14.05,13.95,14.0,4.092341,1301860
2012-06-01,13.9,13.95,13.75,13.75,4.019264,1385100
2012-06-04,13.75,13.8,13.5,13.55,3.960802,1341820
2012-06-05,13.55,13.75,13.5,13.6,3.975417,1094480
2012-06-06,13.75,14.05,13.7,14.05,4.106955,1281180
2012-06-07,14.05,14.15,13.95,14.0,4.092341,764920
2012-06-08,13.95,14.05,13.95,14.05,4.106955,659880
2012-06-11,14.15,14.15,13.95,13.95,4.077725,1115620
2012-06-12,13.95,14.25,13.95,14.25,4.165418,1051920
2012-06-13,14.25,14.25,14.05,14.15,4.136189,853000
2012-06-14,14.15,14.3,14.15,14.3,4.180034,830940
2012-06-15,14.2,14.4,14.1,14.1,4.121573,1727740
2012-06-18,14.3,14.5,14.2,14.4,4.209265,1282400
2012-06-19,14.45,14.6,14.4,14.55,4.253112,1130920
2012-06-20,13.9,13.95,13.6,13.7,4.004648,4095320
2012-06-21,13.5,13.55,12.55,13.1,3.829262,7547540
2012-06-22,12.8,12.95,12.55,12.6,3.683107,3694560
2012-06-25,12.65,12.8,12.55,12.55,3.668492,2038240
2012-06-26,12.6,12.75,12.55,12.6,3.683107,2205120
2012-06-27,12.25,12.25,11.9,11.95,3.622479,4024940
2012-06-28,11.9,12.0,11.7,11.8,3.577009,3071360
2012-06-29,11.95,11.95,11.35,11.8,3.577009,4755680
2012-07-02,11.85,12.0,11.6,12.0,3.637636,2387780
2012-07-03,12.05,12.3,11.95,12.0,3.637636,1217460
2012-07-05,11.95,12.1,11.8,11.85,3.592166,1327840
2012-07-06,11.9,11.95,11.8,11.85,3.592166,871180
2012-07-09,11.85,12.1,11.75,11.85,3.592166,1964020
2012-07-10,11.9,12.0,11.7,11.8,3.577009,1643720
2012-07-11,11.8,12.0,11.7,12.0,3.637636,1566340
2012-07-12,11.95,11.95,11.55,11.65,3.531539,1998540
2012-07-13,11.65,11.8,11.45,11.75,3.561851,2495520
2012-07-16,11.65,11.75,11.55,11.65,3.531539,1161020
2012-07-17,11.65,11.95,11.5,11.85,3.592166,1609020
2012-07-18,11.8,11.9,11.5,11.6,3.516381,2334320
2012-07-19,11.65,11.7,11.5,11.5,3.486068,1154240
2012-07-20,11.5,11.6,11.45,11.55,3.501225,700820
2012-07-23,11.5,11.65,11.45,11.5,3.486068,1240180
2012-07-24,11.5,11.6,11.5,11.55,3.501225,744600
2012-07-25,11.55,11.6,11.45,11.45,3.470912,1002520
2012-07-26,11.5,11.6,10.25,10.65,3.228402,8889080
2012-07-27,10.1,11.4,9.05,11.4,3.455755,6754780
2012-07-30,11.15,11.45,10.8,10.95,3.319344,2934540
2012-07-31,10.75,11.1,10.7,10.8,3.273872,6305420
2012-08-01,10.9,10.95,10.75,10.85,3.289029,7003460
2012-08-02,10.85,10.9,10.7,10.75,3.258716,6025480
2012-08-03,10.8,11.0,10.75,10.8,3.273872,2555420
2012-08-06,10.75,11.0,10.75,10.9,3.304186,3931340
2012-08-07,11.95,12.45,11.25,11.8,3.577009,8853840
2012-08-08,11.8,11.95,11.45,11.6,3.516381,1640460
2012-08-09,11.5,11.95,11.5,11.95,3.622479,1604460
2012-08-10,11.85,12.1,11.75,11.9,3.607323,3963880
2012-08-13,11.8,12.1,11.75,11.95,3.622479,1157380
2012-08-14,11.9,12.25,11.8,12.1,3.66795,1631920
2012-08-15,12.0,12.25,11.9,12.2,3.698263,1109440
2012-08-16,12.15,12.25,12.05,12.25,3.713419,847280
2012-08-17,12.25,12.25,12.1,12.25,3.713419,752200
2012-08-20,12.2,12.2,11.95,12.15,3.683107,1201920
2012-08-21,12.0,12.15,11.95,12.0,3.637636,1004220
2012-08-22,12.05,12.05,11.8,12.0,3.637636,1084440
2012-08-23,12.0,12.2,11.9,12.1,3.66795,871420
2012-08-24,12.05,12.4,12.05,12.25,3.713419,1428100
2012-08-27,12.3,12.4,12.2,12.2,3.698263,787060
2012-08-28,12.3,12.5,12.25,12.4,3.758891,1123900
2012-08-29,12.4,12.55,12.4,12.5,3.789205,992020
2012-08-30,12.4,12.7,12.4,12.65,3.834676,844000
2012-08-31,12.7,12.75,12.6,12.7,3.849832,842440
2012-09-04,12.7,12.9,12.55,12.9,3.910459,1026520
2012-09-05,12.85,12.9,12.8,12.85,3.895302,665140
2012-09-06,12.95,13.15,12.85,13.05,3.955929,1349800
2012-09-07,13.05,13.3,13.0,13.25,4.016557,903340
2012-09-10,13.1,13.3,13.1,13.25,4.016557,1028100
2012-09-11,13.25,13.45,13.2,13.45,4.077185,991560
2012-09-12,13.45,13.7,13.4,13.55,4.107499,1443380
2012-09-13,13.6,14.0,13.55,13.9,4.213596,3620100
2012-09-14,13.95,14.2,12.6,13.6,4.122654,8876840
2012-09-17,13.3,13.75,13.15,13.6,4.122654,1949860
2012-09-18,13.5,13.5,13.05,13.35,4.046872,1810700
2012-09-19,13.25,13.5,13.2,13.35,4.046872,1157780
2012-09-20,14.0,14.05,13.65,13.75,4.168125,3081020
2012-09-21,13.75,13.75,13.5,13.65,4.137811,1625780
2012-09-24,13.7,13.75,13.6,13.6,4.122654,1186420
