Date,Open,High,Low,Close,Adj Close,Volume
2014-04-15,12.5,12.59,12.25,12.4,7.194542,379200
2014-04-16,12.4,12.58,12.32,12.32,7.148128,71300
2014-04-17,12.35,12.47,12.35,12.4,7.194542,16700
2014-04-21,12.49,12.55,12.4,12.53,7.269971,93800
2014-04-22,12.55,12.57,12.5,12.55,7.281574,37400
2014-04-23,12.55,12.58,12.522,12.57,7.29318,27900
2014-04-24,12.572,12.572,12.41,12.41,7.200347,43800
2014-04-25,12.42,12.53,12.42,12.47,7.235157,11600
2014-04-28,12.46,12.53,12.45,12.53,7.269971,12300
2014-04-29,12.5,12.53,12.45,12.46,7.229357,17800
2014-04-30,12.45,12.53,12.44,12.53,7.269971,17700
2014-05-01,12.53,12.54,12.46,12.54,7.275773,7000
2014-05-02,12.49,12.51,12.35,12.49,7.246763,14400
2014-05-05,12.52,12.57,12.52,12.57,7.29318,11900
2014-05-06,12.53,12.53,12.443,12.49,7.246763,16200
2014-05-07,12.49,12.5,12.37,12.49,7.246763,17100
2014-05-08,12.6,12.6,12.4,12.52,7.264169,12700
2014-05-09,12.52,12.52,12.43,12.46,7.229357,13000
2014-05-12,12.49,12.52,12.43,12.48,7.240959,18800
2014-05-13,12.54,12.55,12.44,12.46,7.229357,45700
2014-05-14,12.46,12.53,12.45,12.53,7.269971,11100
2014-05-15,12.49,12.53,12.49,12.5,7.252563,6100
2014-05-16,12.535,12.54,12.49,12.49,7.246763,25900
2014-05-19,12.5,12.51,12.36,12.46,7.229357,16900
2014-05-20,12.55,12.55,12.44,12.45,7.223554,19300
2014-05-21,12.47,12.5,12.44,12.44,7.217752,7100
2014-05-22,12.44,12.44,12.37,12.37,7.177137,12500
2014-05-23,12.41,12.47,12.38,12.44,7.217752,1700
2014-05-27,12.5,12.5,12.36,12.38,7.18294,18300
2014-05-28,12.44,12.48,12.36,12.39,7.188742,18600
2014-05-29,12.3,12.4,12.22,12.36,7.171335,46800
2014-05-30,12.33,12.49,12.33,12.42,7.206149,89700
2014-06-02,12.46,12.5,12.366,12.44,7.217752,15700
2014-06-03,12.45,12.55,12.37,12.45,7.223554,121600
2014-06-04,12.5,12.5,12.4,12.49,7.246763,16700
2014-06-05,12.5,12.64,12.4,12.54,7.275773,37600
2014-06-06,12.54,12.6,12.434,12.5,7.252563,37400
2014-06-09,12.5,12.6,12.5,12.5,7.252563,21600
2014-06-10,12.5,12.625,12.47,12.5,7.252563,25500
2014-06-11,12.5,12.61,12.453,12.5,7.252563,14700
2014-06-12,12.586,12.62,12.5,12.6,7.310584,26600
2014-06-13,12.62,12.77,12.56,12.77,7.409218,37900
2014-06-16,12.77,12.95,12.76,12.95,7.513657,150900
2014-06-17,13.09,13.11,12.73,12.79,7.420823,60500
2014-06-18,12.75,12.81,12.6,12.75,7.397615,54000
2014-06-19,12.76,12.93,12.36,12.48,7.240959,45400
2014-06-20,12.5,12.66,11.91,11.91,6.910244,249700
2014-06-23,12.15,12.43,12.085,12.38,7.18294,71400
2014-06-24,12.428,12.8,12.4,12.67,7.351199,89900
2014-06-25,12.7,12.89,12.47,12.71,7.374408,55500
2014-06-26,12.76,12.9,12.54,12.77,7.409218,79800
2014-06-27,12.81,13.09,12.49,12.59,7.304783,87600
2014-06-30,12.89,13.0,12.51,12.68,7.357002,72000
2014-07-01,12.45,12.85,12.45,12.65,7.447073,20800
2014-07-02,12.7,12.7,12.42,12.56,7.39409,35500
2014-07-03,12.62,12.85,12.6,12.65,7.447073,28100
2014-07-07,12.77,12.78,12.48,12.72,7.488282,34400
2014-07-08,12.81,12.85,12.57,12.75,7.505944,40000
2014-07-09,12.79,12.79,12.52,12.58,7.405865,16600
2014-07-10,12.55,12.85,12.5,12.84,7.558926,71600
2014-07-11,12.89,13.12,12.77,12.97,7.635457,70100
2014-07-14,13.11,13.11,12.65,12.84,7.558926,91200
2014-07-15,12.91,12.92,12.6,12.74,7.500055,25200
2014-07-16,12.7,12.8,12.565,12.76,7.511832,23800
2014-07-17,12.8,13.0,12.8,12.87,7.576585,37700
2014-07-18,12.89,13.01,12.75,12.87,7.576585,14400
2014-07-21,12.9,12.98,12.68,12.75,7.505944,10300
2014-07-22,12.77,13.07,12.58,12.7,7.47651,31100
2014-07-23,12.83,12.97,12.57,12.94,7.617795,35900
2014-07-24,12.853,12.853,12.58,12.58,7.405865,8600
2014-07-25,12.96,12.96,12.5,12.55,7.388201,33100
2014-07-28,12.55,12.6,12.5,12.59,7.411751,28300
2014-07-29,12.69,12.77,12.52,12.52,7.37054,22400
2014-07-30,12.57,12.73,12.5,12.56,7.39409,17900
2014-07-31,12.56,12.86,12.5,12.51,7.364654,21800
2014-08-01,12.5,12.59,12.34,12.47,7.341107,17100
2014-08-04,12.51,12.6,12.15,12.34,7.264577,42900
2014-08-05,12.34,12.8,12.34,12.8,7.535378,78900
2014-08-06,12.67,12.67,12.5,12.5,7.358768,10700
2014-08-07,12.5,12.64,12.41,12.52,7.37054,31700
2014-08-08,12.63,12.65,12.42,12.54,7.382314,68900
2014-08-11,12.56,12.61,12.462,12.55,7.388201,3800
2014-08-12,12.55,12.65,12.5,12.5,7.358768,112000
2014-08-13,12.64,12.64,12.12,12.49,7.352879,34400
2014-08-14,12.41,12.55,12.21,12.55,7.388201,43200
2014-08-15,12.29,12.6,12.29,12.6,7.41764,22900
2014-08-18,12.52,12.6,12.47,12.52,7.37054,12700
2014-08-19,12.4,12.65,12.4,12.65,7.447073,44900
2014-08-20,12.65,12.91,12.51,12.78,7.523604,19400
2014-08-21,12.84,12.85,12.69,12.7,7.47651,31000
2014-08-22,12.8,12.87,12.66,12.69,7.470621,17100
2014-08-25,12.71,12.87,12.63,12.73,7.494167,41500
2014-08-26,12.87,12.93,12.76,12.79,7.529492,29900
2014-08-27,12.89,13.12,12.81,13.09,7.706102,44200
2014-08-28,13.09,13.09,12.96,13.02,7.664892,32100
2014-08-29,13.09,13.09,12.71,12.86,7.5707,43700
2014-09-02,12.95,13.088,12.7,12.82,7.547152,50600
2014-09-03,12.75,12.94,12.5,12.57,7.399978,70100
2014-09-04,12.66,12.85,12.5,12.51,7.364654,58400
2014-09-05,12.5,13.07,12.5,12.88,7.582474,70700
2014-09-08,12.9,12.933,12.66,12.89,7.58836,30900
2014-09-09,13.12,13.12,12.86,12.91,7.600136,77800
2014-09-10,12.98,12.98,12.64,12.66,7.452963,78800
2014-09-11,12.71,12.8,12.53,12.71,7.482394,34000
2014-09-12,12.71,12.85,12.543,12.75,7.505944,39100
2014-09-15,12.82,12.85,12.708,12.77,7.517716,34800
2014-09-16,12.84,12.85,12.77,12.81,7.541265,29900
2014-09-17,12.88,13.21,12.8,13.06,7.688441,37200
2014-09-18,13.1,13.26,12.891,12.97,7.635457,98300
2014-09-19,13.088,13.29,13.01,13.29,7.823843,74000
2014-09-22,13.22,13.47,13.11,13.29,7.823843,47800
2014-09-23,13.3,13.42,13.07,13.18,7.759086,72200
2014-09-24,13.2,13.62,13.01,13.35,7.859163,55100
2014-09-25,13.34,13.39,13.06,13.3,7.829729,38100
2014-09-26,13.23,13.37,13.1,13.37,7.870938,16900
2014-09-29,13.37,13.62,13.26,13.61,8.012226,45000
2014-09-30,13.56,13.77,13.25,13.58,7.994566,66500
2014-10-01,13.38,13.38,13.13,13.32,7.979589,59700
2014-10-02,13.26,13.43,13.12,13.22,7.919682,59700
2014-10-03,13.27,13.27,13.08,13.11,7.853783,42400
2014-10-06,13.17,13.28,13.08,13.08,7.835813,14300
2014-10-07,13.15,13.37,13.08,13.3,7.967607,28400
2014-10-08,13.17,13.41,13.11,13.41,8.033505,22100
2014-10-09,13.6,13.62,13.27,13.35,7.99756,31600
2014-10-10,13.33,13.38,13.25,13.36,8.003551,16500
2014-10-13,13.27,13.42,13.21,13.37,8.009541,5700
2014-10-14,13.29,13.6,13.13,13.49,8.08143,14700
2014-10-15,13.25,13.43,13.08,13.09,7.841803,63100
2014-10-16,13.08,13.29,13.08,13.24,7.931663,22000
2014-10-17,13.6,13.6,13.21,13.29,7.961618,24200
2014-10-20,13.18,13.49,13.0,13.25,7.937653,41400
2014-10-21,13.14,13.3,13.14,13.3,7.967607,19900
2014-10-22,13.23,13.25,13.06,13.23,7.925672,38000
2014-10-23,13.29,13.29,12.97,12.97,7.769915,30500
2014-10-24,12.89,13.28,12.71,13.26,7.943645,30900
2014-10-27,13.15,13.22,13.0,13.06,7.82383,9400
2014-10-28,13.01,13.16,12.81,12.89,7.721989,12000
2014-10-29,13.02,13.05,12.86,12.9,7.72798,12400
2014-10-30,12.96,12.96,12.79,12.91,7.73397,9800
2014-10-31,12.95,13.19,12.95,13.19,7.901709,31700
2014-11-03,13.16,13.25,13.15,13.154,7.880143,5600
2014-11-04,13.19,13.25,13.11,13.25,7.937653,25100
2014-11-05,13.204,13.38,13.12,13.34,7.991569,10000
2014-11-06,13.25,13.5,13.12,13.18,7.89572,18400
2014-11-07,13.28,13.28,12.6,12.8,7.668072,28600
2014-11-10,12.9,13.11,12.8,12.99,7.781895,9700
2014-11-11,13.05,13.23,12.976,12.976,7.773509,16400
2014-11-12,12.93,13.34,12.83,13.31,7.973596,18600
2014-11-13,13.31,13.35,13.17,13.19,7.901709,10300
2014-11-14,13.061,13.161,12.98,12.99,7.781895,19200
2014-11-17,13.08,13.25,13.08,13.25,7.937653,24600
2014-11-18,13.23,13.3,13.2,13.24,7.931663,12100
2014-11-19,13.29,13.3,13.19,13.24,7.931663,28900
2014-11-20,13.25,13.42,13.18,13.21,7.913691,45700
