Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,8.143713,8.233533,8.093812,8.173653,8.005847,30361
2012-02-07,8.203593,8.233533,7.974052,8.163673,7.996074,56813
2012-02-08,8.163673,8.293413,8.013972,8.283433,8.113373,25651
2012-02-09,8.283433,8.343313,8.123752,8.163673,7.996074,25351
2012-02-10,8.063872,8.243513,7.984032,8.133733,7.966749,24048
2012-02-13,8.213573,8.393214,8.043912,8.323353,8.152476,27054
2012-02-14,8.233533,8.313373,8.073852,8.213573,8.044949,36673
2012-02-15,8.223553,8.323353,7.934132,7.994012,7.829895,61823
2012-02-16,8.083832,8.183633,7.934132,8.043912,7.87877,1311418
2012-02-17,8.103792,8.433134,8.093812,8.423154,8.250227,190180
2012-02-21,8.423154,8.423154,8.103792,8.293413,8.12315,76753
2012-02-22,8.273453,8.333333,8.013972,8.133733,7.966749,143086
2012-02-23,8.103792,8.173653,8.033932,8.053892,7.888546,120140
2012-02-24,8.003992,8.313373,7.984032,8.153693,7.986298,310921
2012-02-27,8.203593,8.592814,8.203593,8.512974,8.338202,205510
2012-02-28,8.552894,8.552894,8.153693,8.383234,8.211125,238576
2012-02-29,8.423154,8.463074,8.233533,8.263473,8.093822,485770
2012-03-01,8.343313,8.542914,8.223553,8.353293,8.181801,121242
2012-03-02,8.363273,8.752495,8.243513,8.592814,8.416404,148396
2012-03-05,8.582834,8.972056,8.493014,8.912176,8.729209,190681
2012-03-06,8.822355,8.872255,8.483034,8.792415,8.611908,271742
2012-03-07,8.882236,9.071856,8.622754,8.972056,8.787861,276251
2012-03-08,9.031936,9.341317,9.001996,9.341317,9.14954,133867
2012-03-09,9.341317,9.550898,9.331337,9.451098,9.257069,203306
2012-03-12,9.500998,9.510978,9.401198,9.431138,9.237516,80360
2012-03-13,9.520958,10.02994,9.401198,9.96008,9.755599,213025
2012-03-14,9.88024,9.88024,9.560878,9.630739,9.43302,125450
2012-03-15,9.670659,9.870259,9.381238,9.840319,9.638297,62224
2012-03-16,9.88024,9.88024,9.640719,9.780439,9.57965,141683
2012-03-19,9.770459,10.00998,9.610778,9.92016,9.716501,74749
2012-03-20,9.830339,9.98004,9.640719,9.790419,9.589421,56813
2012-03-21,9.810379,9.96008,9.660679,9.680639,9.481895,54910
2012-03-22,9.580838,9.710579,9.381238,9.610778,9.41347,50401
2012-03-23,9.590818,9.740519,9.401198,9.510978,9.315718,48597
2012-03-26,9.590818,9.790419,9.590818,9.690619,9.491671,80962
2012-03-27,9.680639,9.88024,9.580838,9.580838,9.384145,44990
2012-03-28,9.590818,9.670659,9.191617,9.291417,9.100664,68938
2012-03-29,9.191617,9.471058,9.181637,9.441118,9.247293,52605
2012-03-30,9.461078,9.550898,9.101796,9.241517,9.051789,129559
2012-04-02,9.211577,9.481038,9.101796,9.401198,9.208192,67835
2012-04-03,9.381238,9.461078,9.241517,9.301397,9.110437,258115
2012-04-04,9.241517,9.321357,9.121756,9.271457,9.081115,241081
2012-04-05,9.231537,9.331337,9.191617,9.211577,9.022465,94388
2012-04-09,9.061876,9.231537,9.041916,9.151697,8.963813,47795
2012-04-10,9.151697,9.191617,8.882236,9.051896,8.866062,126953
2012-04-11,9.091816,9.241517,9.021956,9.241517,9.051789,103607
2012-04-12,9.311377,9.580838,9.181637,9.441118,9.247293,102705
2012-04-13,9.441118,9.640719,9.291417,9.461078,9.266841,71042
2012-04-16,9.510978,9.580838,9.361277,9.540918,9.345044,135971
2012-04-17,9.590818,9.770459,9.590818,9.690619,9.491671,59519
2012-04-18,9.620758,9.760479,9.401198,9.630739,9.43302,51403
2012-04-19,9.650699,9.870259,9.281437,9.500998,9.305942,73346
2012-04-20,9.690619,9.690619,9.401198,9.540918,9.345044,53407
2012-04-23,9.371257,9.500998,9.251497,9.471058,9.276617,84469
2012-04-24,9.461078,9.750499,9.341317,9.750499,9.550323,91984
2012-04-25,9.830339,10.00998,9.650699,9.800399,9.599197,60821
