Date,Open,High,Low,Close,Adj Close,Volume
2017-02-10,15.0,15.0,13.5,13.5,10.966565,1125400
2017-02-13,13.5,13.74,13.5,13.5,10.966565,176600
2017-02-14,13.52,13.6,13.27,13.51,10.974689,209200
2017-02-15,13.64,13.76,13.57,13.58,11.031551,60000
2017-02-16,13.55,13.55,13.5,13.5,10.966565,105200
2017-02-17,13.5,13.55,13.5,13.51,10.974689,22400
2017-02-21,13.43,13.58,13.37,13.54,10.999057,23700
2017-02-22,13.55,13.78,13.52,13.65,11.088416,14900
2017-02-23,13.83,13.98,13.6,13.95,11.332115,51200
2017-02-24,13.84,14.24,13.77,14.04,11.405229,44600
2017-02-27,14.05,14.082,13.85,14.02,11.38898,55800
2017-02-28,13.99,14.09,13.5,13.6,11.0478,124700
2017-03-01,13.63,13.75,13.51,13.72,11.14528,256500
2017-03-02,13.69,13.74,13.5,13.51,10.974689,51800
2017-03-03,13.58,13.6,13.51,13.51,10.974689,28000
2017-03-06,13.51,13.6,13.51,13.52,10.98281,28500
2017-03-07,13.51,13.66,13.5,13.5,10.966565,70200
2017-03-08,13.5,13.535,13.4,13.41,10.893453,91000
2017-03-09,13.45,13.45,13.3,13.3,10.804095,86000
2017-03-10,13.35,13.55,13.35,13.55,11.00718,20100
2017-03-13,13.51,13.6,13.49,13.57,11.023427,56900
2017-03-14,13.53,13.58,13.41,13.58,11.031551,23000
2017-03-15,13.55,13.558,13.4,13.52,10.98281,28000
2017-03-16,13.5,13.91,13.48,13.91,11.299623,58100
2017-03-17,13.78,13.92,13.25,13.25,10.763476,219700
2017-03-20,13.33,13.5,13.31,13.5,10.966565,69900
2017-03-21,13.45,13.5,13.35,13.4,10.885331,59600
2017-03-22,13.4,13.55,13.366,13.5,10.966565,27500
2017-03-23,13.55,13.55,13.425,13.51,10.974689,31600
2017-03-24,13.55,13.55,13.4,13.5,10.966565,27400
2017-03-27,13.3,13.555,13.3,13.51,10.974689,40600
2017-03-28,13.48,13.55,13.37,13.39,10.877206,43100
2017-03-29,13.45,13.49,13.35,13.4,10.885331,42300
2017-03-30,13.31,13.53,13.3,13.41,10.893453,80400
2017-03-31,13.41,13.41,12.75,12.82,10.414174,515100
2017-04-03,12.97,13.25,12.914,13.25,10.763476,59900
2017-04-04,13.25,13.37,13.22,13.37,10.86096,44500
2017-04-05,13.27,13.27,12.87,12.9,10.479159,104600
2017-04-06,12.7,12.93,12.7,12.79,10.458717,37000
2017-04-07,12.8,12.9,12.7,12.7,10.385123,51800
2017-04-10,12.61,12.75,12.25,12.28,10.041677,89400
2017-04-11,12.38,12.38,11.5,11.81,9.657349,147800
2017-04-12,11.75,11.8,11.16,11.31,9.248485,167600
