Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,20.360001,20.370001,20.09,20.26,15.462939,709900
2012-02-07,20.25,20.32,20.15,20.190001,15.409514,426800
2012-02-08,20.219999,20.440001,19.870001,20.07,15.317928,937400
2012-02-09,20.129999,20.25,19.75,19.889999,15.180548,756600
2012-02-10,19.75,19.870001,19.5,19.559999,14.928684,997900
2012-02-13,19.799999,20.98,19.799999,20.459999,15.615587,2648400
2012-02-14,20.459999,20.799999,20.290001,20.75,15.836925,895700
2012-02-15,20.889999,21.1,20.639999,20.73,15.821659,790400
2012-02-16,20.809999,21.059999,20.709999,20.92,15.966668,1356600
2012-02-17,21.209999,21.469999,21.049999,21.35,16.294857,1115700
2012-02-21,21.5,21.5,21.190001,21.360001,16.302486,1259400
2012-02-22,21.0,21.219999,20.540001,20.860001,15.92088,1080600
2012-02-23,20.940001,21.129999,20.889999,21.120001,16.119316,903600
2012-02-24,21.110001,21.42,20.889999,21.23,16.20327,789300
2012-02-27,21.040001,21.1,20.879999,20.959999,15.997204,575300
2012-02-28,20.91,21.120001,20.91,21.09,16.09642,514500
2012-02-29,20.940001,21.15,20.870001,20.92,16.127254,757000
2012-03-01,21.02,21.280001,20.84,20.879999,16.096422,740100
2012-03-02,20.83,20.879999,20.65,20.700001,15.957659,937200
2012-03-05,20.620001,21.129999,20.620001,21.049999,16.227474,681000
2012-03-06,20.82,21.02,20.76,20.889999,16.104128,746100
2012-03-07,21.0,21.5,21.0,21.370001,16.474161,922700
2012-03-08,21.549999,21.799999,21.549999,21.629999,16.674589,751800
2012-03-09,21.67,22.01,21.65,21.969999,16.936703,992500
2012-03-12,22.0,22.1,21.41,21.49,16.566668,800300
2012-03-13,21.639999,21.82,21.49,21.76,16.774815,925600
2012-03-14,21.700001,21.85,21.35,21.549999,16.612919,691300
2012-03-15,21.52,21.73,21.43,21.690001,16.72085,681300
2012-03-16,21.809999,21.969999,21.700001,21.76,16.774815,694400
