Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,7.33,7.43,7.27,7.36,6.203659,1033100
2012-02-07,7.37,7.39,7.18,7.18,6.051941,1344500
2012-02-08,7.18,7.43,7.17,7.39,6.228947,1884100
2012-02-09,7.45,7.45,7.19,7.23,6.094084,1591900
2012-02-10,7.18,7.22,7.1,7.18,6.051941,1055800
2012-02-13,7.3,7.35,7.24,7.3,6.153088,706300
2012-02-14,7.26,7.33,7.17,7.27,6.127801,1084200
2012-02-15,7.3,7.31,7.13,7.18,6.051941,1212400
2012-02-16,7.2,7.5,7.19,7.5,6.321665,1279000
2012-02-17,7.53,7.58,7.33,7.35,6.19523,1790800
2012-02-21,7.39,7.59,7.38,7.48,6.304808,1205500
2012-02-22,7.46,7.52,7.32,7.37,6.212091,1518400
2012-02-23,7.57,7.73,7.36,7.69,6.481814,2842700
2012-02-24,7.69,7.74,7.6,7.69,6.481814,1636400
2012-02-27,7.59,7.59,7.4,7.53,6.346952,1331800
2012-02-28,7.54,7.56,7.42,7.51,6.330095,1369200
2012-02-29,7.55,7.65,7.4,7.42,6.254235,1387200
2012-03-01,7.48,7.75,7.48,7.55,6.363809,2493300
2012-03-02,7.58,7.63,7.4,7.48,6.304808,2426400
2012-03-05,7.43,7.66,7.4,7.64,6.439669,1504300
2012-03-06,7.49,7.51,7.34,7.37,6.212091,1382400
2012-03-07,7.48,7.48,7.34,7.45,6.27952,1239500
2012-03-08,7.5,7.59,7.32,7.55,6.363809,1622500
2012-03-09,7.54,7.74,7.5,7.61,6.414384,1290300
2012-03-12,7.63,7.63,7.5,7.55,6.363809,1515900
2012-03-13,7.58,7.8,7.53,7.78,6.557675,1869600
2012-03-14,7.75,7.79,7.65,7.7,6.490243,1558700
2012-03-15,7.73,7.84,7.64,7.79,6.566103,1724700
2012-03-16,7.83,7.87,7.75,7.84,6.608248,1578400
2012-03-19,7.8,7.97,7.79,7.89,6.650392,1232300
2012-03-20,7.79,7.92,7.75,7.84,6.608248,1214500
2012-03-21,7.88,7.94,7.83,7.85,6.616677,1407500
2012-03-22,7.75,7.89,7.72,7.81,6.582961,1230500
2012-03-23,7.81,7.92,7.77,7.89,6.650392,1114600
2012-03-26,7.98,8.13,7.95,8.1,6.827401,2510000
2012-03-27,8.13,8.21,8.02,8.03,6.768396,1542800
2012-03-28,8.02,8.1,7.9,8.04,6.776824,2730300
2012-03-29,7.96,7.96,7.71,7.86,6.625105,1278000
2012-03-30,7.95,7.99,7.76,7.78,6.557675,1603600
2012-04-02,7.73,7.99,7.73,7.95,6.700965,2394500
2012-04-03,7.93,7.99,7.76,7.95,6.700965,1967600
2012-04-04,7.83,7.9,7.67,7.72,6.5071,1878100
2012-04-05,7.92,7.92,7.73,7.73,6.515529,1408500
2012-04-09,7.53,7.59,7.46,7.51,6.330095,1578800
2012-04-10,7.52,7.61,7.24,7.29,6.144659,2290100
2012-04-11,7.39,7.4,7.26,7.36,6.203659,1508600
2012-04-12,7.35,7.6,7.31,7.58,6.389096,1326900
2012-04-13,7.51,7.55,7.23,7.26,6.119374,1585800
2012-04-16,7.33,7.44,7.23,7.37,6.212091,797500
2012-04-17,7.46,7.59,7.44,7.48,6.304808,1109300
2012-04-18,7.41,7.47,7.31,7.36,6.203659,998500
2012-04-19,7.35,7.42,7.27,7.34,6.186802,1032400
2012-04-20,7.45,7.5,7.24,7.27,6.127801,935900
2012-04-23,7.11,7.14,7.02,7.09,5.976082,1207000
2012-04-24,7.12,7.26,7.07,7.21,6.077228,715700
2012-04-25,7.34,7.44,7.23,7.37,6.212091,935300
2012-04-26,7.38,7.49,7.35,7.44,6.271092,974400
2012-04-27,7.49,7.54,7.39,7.52,6.338523,924300
2012-04-30,7.48,7.53,7.24,7.27,6.127801,1502500
2012-05-01,7.28,7.55,7.18,7.3,6.153088,1763100
2012-05-02,7.22,7.42,7.2,7.38,6.220519,1239200
2012-05-03,7.37,7.38,7.1,7.19,6.06037,1519200
2012-05-04,7.1,7.19,7.03,7.05,5.942367,1533900
2012-05-07,7.0,7.1,6.9,6.99,5.891791,1428200
2012-05-08,6.92,7.05,6.92,6.99,5.891791,1243500
2012-05-09,6.87,6.97,6.75,6.84,5.765359,1304900
2012-05-10,6.92,7.21,6.92,7.07,5.959224,1921200
2012-05-11,6.98,7.12,6.95,6.98,5.883365,1053200
2012-05-14,6.88,7.05,6.88,6.94,5.849648,1174300
2012-05-15,6.92,7.0,6.83,6.83,5.75693,899300
2012-05-16,6.88,6.94,6.67,6.69,5.638927,1292100
2012-05-17,6.7,6.74,6.45,6.52,5.495634,2825600
2012-05-18,6.55,6.61,6.38,6.47,5.453489,1484000
2012-05-21,6.52,6.61,6.44,6.58,5.546208,1028100
2012-05-22,6.56,6.67,6.33,6.42,5.411345,1689700
2012-05-23,6.35,6.57,6.3,6.53,5.504064,1846700
