Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,11.56,11.84,11.36,11.6,11.353225,27350
2012-02-07,11.6,11.6,11.32,11.44,11.196628,31500
2012-02-08,11.48,11.6,11.28,11.48,11.235774,45150
2012-02-09,11.52,11.6,11.4,11.4,11.157477,32650
2012-02-10,11.24,11.36,11.04,11.08,10.844286,34275
2012-02-13,11.16,11.4,11.0,11.32,11.079181,51250
2012-02-14,11.24,11.36,10.84,10.96,10.726838,328300
2012-02-15,11.0,11.04,10.84,10.92,10.687691,54400
2012-02-16,10.92,11.16,10.72,11.16,10.922585,201050
2012-02-17,11.24,11.36,11.04,11.12,10.883435,32725
2012-02-21,11.12,11.16,11.0,11.08,10.844286,21575
2012-02-22,11.12,11.12,10.92,10.92,10.687691,43475
2012-02-23,10.92,11.36,10.8,11.32,11.079181,70125
2012-02-24,11.48,11.56,11.28,11.44,11.196628,51900
2012-02-27,11.44,11.92,11.4,11.44,11.196628,63675
2012-02-28,11.52,11.72,11.28,11.44,11.196628,66875
2012-02-29,11.48,11.64,11.2,11.2,10.961734,55825
2012-03-01,11.36,11.6,11.2,11.52,11.274926,75600
2012-03-02,11.48,11.56,11.0,11.04,10.805137,73625
2012-03-05,11.08,11.12,10.84,11.04,10.805137,43200
2012-03-06,10.88,10.88,10.6,10.6,10.374498,68625
2012-03-07,10.68,10.84,10.52,10.72,10.491943,134775
2012-03-08,10.8,11.0,10.64,10.8,10.570244,30250
2012-03-09,10.8,10.88,10.52,10.8,10.570244,58875
2012-03-12,10.84,10.92,10.6,10.68,10.452796,42450
2012-03-13,10.76,11.04,10.68,10.96,10.726838,90900
2012-03-14,11.0,11.48,10.72,10.88,10.648541,65550
2012-03-15,10.76,11.2,10.64,11.0,10.765988,63625
2012-03-16,11.04,11.16,10.72,10.84,10.609392,145050
2012-03-19,10.84,11.32,10.8,11.04,10.805137,37475
2012-03-20,11.04,11.2,10.88,11.0,10.765988,28525
2012-03-21,11.08,11.28,10.96,11.08,10.844286,44350
2012-03-22,11.0,11.24,10.96,11.2,10.961734,50125
2012-03-23,11.2,11.4,11.0,11.4,11.157477,36025
2012-03-26,11.56,11.8,11.48,11.6,11.353225,57450
2012-03-27,11.6,11.64,11.4,11.44,11.196628,61775
2012-03-28,11.44,11.44,11.2,11.36,11.118328,29975
2012-03-29,11.24,11.36,10.76,10.76,10.531094,97825
2012-03-30,10.88,10.96,10.76,10.84,10.609392,126975
2012-04-02,10.8,11.04,10.68,11.04,10.805137,117550
2012-04-03,10.96,11.4,10.84,10.96,10.726838,83475
2012-04-04,10.88,10.92,10.76,10.8,10.570244,67700
2012-04-05,10.72,10.8,10.52,10.56,10.335348,74325
2012-04-09,10.4,10.44,10.16,10.36,10.139603,63750
2012-04-10,10.36,10.4,10.0,10.0,9.787263,93775
2012-04-11,10.12,10.24,9.92,10.0,9.787263,67750
2012-04-12,10.0,10.2,10.0,10.16,9.943858,54825
2012-04-13,10.08,10.2,9.88,10.0,9.787263,45350
2012-04-16,10.08,10.08,9.96,10.08,9.865559,26950
2012-04-17,10.12,10.2,9.92,10.12,9.90471,78900
2012-04-18,10.04,10.08,9.96,9.96,9.748114,57650
2012-04-19,10.0,10.08,9.96,10.04,9.82641,87100
2012-04-20,10.4,10.4,9.92,10.0,9.787263,88100
2012-04-23,9.92,10.2,9.8,9.92,9.708964,73825
2012-04-24,9.92,10.12,9.92,10.0,9.787263,37500
2012-04-25,10.12,10.12,9.96,10.08,9.865559,39675
2012-04-26,10.0,10.32,9.92,10.24,10.022154,50325
2012-04-27,10.28,10.36,10.04,10.24,10.022154,62750
2012-04-30,10.2,10.28,10.04,10.12,9.90471,41550
2012-05-01,10.08,10.2,9.92,10.0,9.787263,55750
2012-05-02,9.88,10.04,9.88,9.96,9.748114,41750
2012-05-03,9.92,9.96,9.64,9.76,9.552368,67700
2012-05-04,9.68,10.04,9.52,9.8,9.591517,172950
2012-05-07,9.84,10.08,9.64,9.88,9.669815,67150
2012-05-08,9.8,10.28,9.8,10.12,9.90471,69675
2012-05-09,10.0,10.08,9.84,9.88,9.669815,128100
2012-05-10,9.96,10.04,9.8,9.88,9.669815,115750
2012-05-11,9.76,10.16,9.76,9.92,9.708964,94650
2012-05-14,9.84,10.0,9.72,9.72,9.51322,95150
2012-05-15,9.8,10.24,9.64,9.68,9.474071,75525
2012-05-16,9.76,9.84,9.56,9.56,9.356624,42250
2012-05-17,9.48,9.64,9.4,9.4,9.200026,118900
2012-05-18,9.36,9.64,9.32,9.36,9.160878,150800
2012-05-21,9.44,9.6,9.12,9.4,9.200026,119625
2012-05-22,9.44,9.68,9.28,9.28,9.08258,51175
2012-05-23,9.2,9.56,8.96,9.52,9.317474,99250
2012-05-24,9.52,9.8,9.4,9.56,9.356624,105325
2012-05-25,9.52,9.76,9.52,9.56,9.356624,48550
2012-05-29,9.56,9.76,9.56,9.72,9.51322,39950
2012-05-30,9.68,9.96,9.6,9.72,9.51322,86775
2012-05-31,9.76,10.24,9.64,10.16,9.943858,94550
2012-06-01,9.96,10.28,9.92,9.96,9.748114,61875
2012-06-04,9.96,9.96,9.16,9.32,9.121727,116025
2012-06-05,9.24,9.52,9.2,9.4,9.200026,70175
2012-06-06,9.44,10.04,9.4,9.76,9.552368,58800
2012-06-07,9.96,9.96,9.64,9.76,9.552368,66600
2012-06-08,9.68,10.0,9.48,10.0,9.787263,60800
2012-06-11,10.16,10.32,10.04,10.16,9.943858,91025
2012-06-12,10.16,10.4,10.12,10.4,10.178751,115575
2012-06-13,10.32,10.64,10.28,10.48,10.257051,90675
2012-06-14,10.52,11.0,10.24,10.68,10.452796,109350
2012-06-15,10.6,10.68,10.36,10.48,10.257051,118300
2012-06-18,10.4,10.68,10.32,10.36,10.139603,49725
2012-06-19,10.36,10.6,10.16,10.44,10.217903,47675
2012-06-20,10.48,10.76,10.32,10.6,10.374498,48350
2012-06-21,10.56,10.68,10.2,10.24,10.022154,59650
2012-06-22,10.32,10.76,10.32,10.4,10.178751,748300
2012-06-25,10.28,10.36,10.0,10.12,9.90471,42650
2012-06-26,10.08,10.28,10.08,10.24,10.022154,23800
2012-06-27,10.08,10.56,10.08,10.52,10.296201,28225
2012-06-28,10.4,10.4,10.08,10.32,10.100454,30825
2012-06-29,10.56,10.64,10.4,10.64,10.413648,86850
2012-07-02,10.6,10.68,10.32,10.68,10.452796,81600
2012-07-03,10.68,10.8,10.6,10.76,10.531094,44725
2012-07-05,10.72,10.92,10.68,10.76,10.531094,52200
2012-07-06,10.64,10.84,10.6,10.72,10.491943,37175
2012-07-09,10.64,10.68,10.48,10.64,10.413648,25075
2012-07-10,10.68,10.8,10.48,10.6,10.374498,51100
2012-07-11,10.6,10.84,10.44,10.64,10.413648,74375
2012-07-12,10.6,10.72,10.4,10.68,10.452796,48275
2012-07-13,10.68,11.24,10.64,11.04,10.805137,68350
2012-07-16,11.04,11.16,10.96,11.04,10.805137,28525
2012-07-17,11.12,11.2,11.04,11.16,10.922585,30800
2012-07-18,11.16,11.44,11.0,11.16,10.922585,49725
2012-07-19,11.16,11.24,10.96,11.0,10.765988,27575
2012-07-20,10.92,11.0,10.52,10.64,10.413648,55500
2012-07-23,10.44,10.52,10.12,10.2,9.983006,33375
2012-07-24,10.24,10.28,9.68,9.76,9.552368,37650
2012-07-25,9.88,9.88,9.68,9.8,9.591517,43350
