Date,Open,High,Low,Close,Adj Close,Volume
2012-03-22,10.99,11.52,10.7,11.11,10.288064,4904100
2012-03-23,11.04,11.56,10.93,11.01,10.19546,821500
2012-03-26,11.11,11.25,11.0,11.16,10.334364,400300
2012-03-27,11.24,11.25,11.1,11.2,10.371405,132400
2012-03-28,11.25,12.33,11.2,11.96,11.075178,397400
2012-03-29,11.9,11.95,11.6,11.68,10.815893,86800
2012-03-30,11.93,12.0,11.61,11.62,10.760331,46000
2012-04-02,11.84,11.84,11.61,11.7,10.834414,93800
2012-04-03,11.95,11.95,11.64,11.7,10.834414,46500
2012-04-04,11.7,11.81,11.7,11.77,10.899236,71200
2012-04-05,11.6,12.39,11.6,12.32,11.408545,38900
2012-04-09,12.0,12.32,12.0,12.2,11.297423,193400
2012-04-10,12.31,12.75,12.2,12.21,11.306684,94400
2012-04-11,12.25,12.27,12.06,12.21,11.306684,47500
2012-04-12,12.01,12.47,12.01,12.3,11.390024,34400
2012-04-13,12.34,12.48,12.23,12.44,11.519665,21400
2012-04-16,12.6,12.6,12.31,12.37,11.454846,51100
2012-04-17,12.56,12.56,12.05,12.4,11.482626,52000
2012-04-18,12.35,12.41,12.27,12.35,11.436325,48900
2012-04-19,12.54,12.54,12.21,12.41,11.491887,186100
2012-04-20,12.4,12.46,12.05,12.36,11.445585,180500
2012-04-23,12.07,12.31,12.07,12.31,11.399285,30100
2012-04-24,12.32,12.4,12.18,12.3,11.390024,26600
2012-04-25,12.43,12.43,12.06,12.26,11.352985,41300
2012-04-26,12.11,12.39,12.11,12.37,11.454846,54300
2012-04-27,12.39,12.39,12.2,12.25,11.343725,71000
2012-04-30,12.31,12.49,12.3,12.38,11.464108,179600
2012-05-01,12.49,13.37,12.44,13.01,12.047498,312200
2012-05-02,13.1,13.3,12.78,13.25,12.269742,113000
2012-05-03,13.05,13.36,13.05,13.25,12.269742,23700
2012-05-04,13.09,13.34,12.25,12.8,11.853035,146200
2012-05-07,13.43,13.43,12.95,13.09,12.121579,123600
2012-05-08,13.66,13.88,12.35,13.0,12.038237,698200
2012-05-09,12.87,12.98,12.56,12.95,11.991936,82400
2012-05-10,12.97,13.29,12.69,12.94,11.982677,150000
2012-05-11,12.91,13.34,12.77,13.0,12.038237,38600
2012-05-14,13.0,13.19,12.77,12.97,12.010456,93000
2012-05-15,13.03,13.22,12.68,12.77,11.825253,125400
2012-05-16,12.78,13.0,12.6,12.6,11.667831,34000
2012-05-17,12.54,12.69,12.02,12.15,11.251122,44500
2012-05-18,12.27,12.44,12.24,12.35,11.436325,56000
2012-05-21,12.65,12.78,12.12,12.25,11.343725,86100
2012-05-22,12.33,12.58,11.51,11.57,10.714031,151600
2012-05-23,11.58,11.63,10.75,11.05,10.232503,227600
2012-05-24,11.05,11.47,11.03,11.45,10.602908,100800
2012-05-25,11.49,11.85,11.37,11.81,10.936275,14100
2012-05-29,11.85,12.21,11.76,12.09,11.19556,121400
2012-05-30,12.08,12.08,11.74,11.78,10.908494,24200
2012-05-31,11.74,12.06,11.71,12.03,11.139999,42600
2012-06-01,11.76,11.91,11.5,11.7,10.834414,25000
2012-06-04,11.77,12.01,11.49,11.87,10.991838,38000
2012-06-05,11.81,11.99,11.61,11.76,10.889975,97900
2012-06-06,11.81,12.05,11.51,11.96,11.075178,75500
2012-06-07,12.03,12.03,11.85,11.87,10.991838,62600
2012-06-08,11.84,11.93,11.8,11.8,10.927014,8600
2012-06-11,11.9,12.2,11.57,11.9,11.019616,107200
2012-06-12,11.95,12.0,11.69,11.9,11.019616,15400
2012-06-13,11.8,11.93,11.7,11.84,10.964056,21300
2012-06-14,11.83,12.17,11.83,11.91,11.028877,75700
2012-06-15,11.91,12.08,11.72,11.73,10.862194,23200
2012-06-18,11.76,11.85,11.57,11.81,10.936275,58400
2012-06-19,11.85,12.18,11.85,12.01,11.12148,22200
2012-06-20,11.96,12.12,11.91,11.91,11.028877,9300
2012-06-21,11.93,12.17,11.93,12.15,11.251122,22700
2012-06-22,12.15,12.19,11.72,11.79,10.917754,57400
2012-06-25,11.72,11.89,11.64,11.77,10.899236,12700
2012-06-26,11.69,12.12,11.69,11.94,11.056659,14000
2012-06-27,12.02,12.25,11.9,12.05,11.158521,39300
2012-06-28,11.99,12.16,11.81,12.16,11.260382,17100
2012-06-29,12.25,12.4,11.84,12.15,11.251122,60300
2012-07-02,12.05,12.17,11.8,12.05,11.158521,18800
2012-07-03,12.19,12.19,11.91,12.05,11.158521,16600
2012-07-05,12.08,12.13,11.97,12.01,11.12148,21200
2012-07-06,11.94,12.08,11.75,12.0,11.112219,29000
2012-07-09,11.27,11.77,11.2,11.69,10.825153,1200
2012-07-10,12.05,12.05,11.63,11.78,10.908494,6900
2012-07-11,11.78,11.8,11.53,11.77,10.899236,5900
2012-07-12,11.7,11.75,11.6,11.62,10.760331,15400
2012-07-13,11.62,11.7,11.3,11.34,10.501046,45700
2012-07-16,11.27,11.79,11.06,11.19,10.362143,28800
2012-07-17,11.06,11.65,11.06,11.65,10.788113,12100
2012-07-18,11.57,11.83,11.12,11.52,10.66773,14900
2012-07-19,11.49,11.99,11.49,11.99,11.10296,8700
2012-07-20,11.95,11.95,11.48,11.48,10.630688,900
2012-07-23,11.85,11.85,11.44,11.74,10.871453,25200
2012-07-24,11.99,11.99,11.22,11.22,10.389925,18200
2012-07-25,11.3,11.97,11.27,11.97,11.084438,7000
2012-07-26,12.0,12.03,11.27,11.84,10.964056,27600
2012-07-27,11.84,12.07,11.84,11.86,10.982577,3600
2012-07-30,11.99,11.99,11.23,11.74,10.871453,68500
2012-07-31,11.67,11.74,11.23,11.74,10.871453,8200
2012-08-01,11.31,11.75,11.24,11.32,10.482527,5400
2012-08-02,11.33,11.75,11.2,11.58,10.723291,16300
2012-08-03,11.66,11.75,11.35,11.59,10.732553,19600
2012-08-06,11.58,11.77,11.31,11.65,10.788113,20100
2012-08-07,11.7,11.95,11.2,11.45,10.602908,205300
2012-08-08,11.31,11.4,11.07,11.28,10.445486,81400
2012-08-09,11.3,11.45,11.06,11.06,10.241763,56800
2012-08-10,11.06,11.06,10.08,10.6,9.815794,68900
2012-08-13,10.7,11.0,10.63,10.85,10.047298,104500
2012-08-14,10.95,11.72,10.8,11.72,10.852936,54400
2012-08-15,11.7,11.75,11.54,11.75,10.880713,10100
2012-08-16,11.79,11.9,11.23,11.6,10.741813,40000
2012-08-17,11.6,11.87,11.6,11.79,10.917754,22400
2012-08-20,11.78,11.84,11.66,11.78,10.908494,22300
2012-08-21,11.64,11.96,11.51,11.6,10.741813,35800
2012-08-22,11.65,11.86,11.5,11.86,10.982577,28700
2012-08-23,11.57,11.85,11.57,11.7,10.834414,40000
2012-08-24,11.61,11.95,11.61,11.95,11.065918,21400
2012-08-27,11.75,11.98,11.7,11.7,10.834414,24000
2012-08-28,11.83,11.83,11.7,11.71,10.843676,6700
2012-08-29,11.76,11.93,11.75,11.8,10.927014,25300
2012-08-30,11.75,11.88,11.7,11.75,10.880713,33900
2012-08-31,11.83,11.83,11.7,11.7,10.834414,18700
2012-09-04,11.7,11.84,11.66,11.73,10.862194,9400
2012-09-05,11.65,11.71,11.51,11.52,10.66773,2300
2012-09-06,11.65,12.0,11.65,11.8,10.927014,80100
2012-09-07,11.86,12.11,11.77,11.9,11.019616,42100
2012-09-10,11.95,12.14,11.95,12.07,11.17704,20100
2012-09-11,12.22,12.49,12.14,12.3,11.390024,53600
2012-09-12,12.3,12.71,12.3,12.5,11.575228,38400
2012-09-13,12.5,12.9,12.4,12.75,11.806732,123400
2012-09-14,12.87,13.65,12.87,13.64,12.630889,31500
2012-09-17,13.54,13.55,13.12,13.5,12.501247,28200
