Date,Open,High,Low,Close,Adj Close,Volume
2017-12-07,14.8,14.99,14.03,14.2,13.508493,2553100
2017-12-08,14.27,14.38,14.1,14.2,13.508493,205900
2017-12-11,14.22,14.27,13.8,13.84,13.166026,450200
2017-12-12,13.72,13.91,13.5,13.71,13.042355,150000
2017-12-13,13.73,14.0,13.6,13.82,13.146997,104200
2017-12-14,13.94,14.1,13.83,14.05,13.365797,99500
2017-12-15,14.06,14.38,13.83,14.0,13.318233,92900
2017-12-18,14.03,14.13,13.85,14.07,13.384824,48400
2017-12-19,14.135,14.135,13.85,14.01,13.327746,28200
2017-12-20,13.91,14.12,13.89,14.03,13.346771,38200
2017-12-21,13.99,14.225,13.99,14.03,13.346771,70900
2017-12-22,14.02,14.05,13.96,14.04,13.356285,37200
2017-12-26,14.0,14.4,14.0,14.23,13.537032,54600
2017-12-27,14.2,14.28,13.925,14.07,13.384824,70200
2017-12-28,14.07,14.2,14.0,14.08,13.394338,90900
2017-12-29,14.05,14.16,14.0,14.08,13.394338,63500
2018-01-02,14.16,14.3,13.95,14.05,13.365797,307400
2018-01-03,14.2,14.2,13.51,14.02,13.337259,483000
2018-01-04,14.17,14.4,13.79,14.13,13.441904,511600
2018-01-05,14.18,14.85,14.05,14.49,13.784371,389900
2018-01-08,14.49,14.588,14.12,14.27,13.575086,79900
2018-01-09,14.43,14.75,14.29,14.43,13.727293,180500
2018-01-10,14.37,14.5,14.23,14.28,13.584597,104400
2018-01-11,14.39,14.89,14.23,14.76,14.041224,152600
2018-01-12,14.64,15.76,14.64,15.47,14.716648,212100
2018-01-16,15.52,16.379999,15.52,15.97,15.1923,126900
2018-01-17,15.9,16.23,15.74,15.95,15.173272,316600
2018-01-18,15.95,16.43,15.67,16.040001,15.258891,57600
2018-01-19,16.049999,16.299999,15.88,16.24,15.44915,164800
2018-01-22,16.200001,16.341999,16.0,16.309999,15.515741,189000
2018-01-23,16.299999,16.5,16.01,16.4,15.601357,84200
2018-01-24,16.469999,16.809,16.402,16.48,15.677463,66500
2018-01-25,16.540001,16.59,16.061001,16.280001,15.487202,121800
2018-01-26,17.049999,17.049999,16.219999,16.309999,15.515741,107500
2018-01-29,16.290001,17.16,16.290001,17.09,16.257755,161400
2018-01-30,16.9,17.15,16.594999,16.83,16.01042,70500
2018-01-31,16.969999,17.0,16.18,16.76,15.943829,122200
2018-02-01,16.620001,17.0,16.18,16.629999,15.820157,108400
2018-02-02,17.07,17.889999,16.91,17.209999,16.371914,822700
2018-02-05,17.110001,17.565001,17.040001,17.139999,16.305321,98200
2018-02-06,16.889999,17.138,16.629999,16.92,16.096037,151300
2018-02-07,16.860001,17.455,16.68,17.299999,16.457531,86300
2018-02-08,17.35,17.85,16.860001,16.860001,16.03896,91700
2018-02-09,16.98,17.51,15.59,16.610001,15.801134,268300
2018-02-12,17.4,17.504999,16.462999,17.24,16.400455,43400
2018-02-13,17.299999,17.645,16.780001,17.1,16.267273,185100
2018-02-14,16.98,17.795,16.799999,17.5,16.647793,179000
2018-02-15,17.9,17.9,17.105,17.57,16.714382,91900
2018-02-16,17.48,17.790001,17.309999,17.43,16.581203,76900
2018-02-20,17.299999,17.65,17.021,17.200001,16.362402,82600
2018-02-21,17.969999,17.969999,17.120001,17.389999,16.543148,68200
2018-02-22,17.52,17.549999,16.549999,17.23,16.39094,272800
2018-02-23,17.290001,17.49,16.879999,17.379999,16.533638,94500
2018-02-26,17.440001,17.48,16.98,17.25,16.409964,87000
2018-02-27,17.459999,17.459999,16.881001,17.190001,16.352888,107300
2018-02-28,17.01,17.18,16.73,16.76,15.943829,83500
2018-03-01,16.860001,17.139999,16.610001,17.0,16.172138,132600
2018-03-02,16.85,17.74,16.721001,17.379999,16.533638,125800
2018-03-05,17.24,17.66,17.030001,17.35,16.505096,55000
2018-03-06,17.370001,17.540001,17.25,17.290001,16.448017,51600
2018-03-07,17.200001,17.629999,17.200001,17.280001,16.438503,295200
2018-03-08,17.309999,17.49,16.860001,17.25,16.409964,89200
2018-03-09,17.43,17.705,17.263,17.41,16.562174,179400
2018-03-12,17.57,17.768999,17.17,17.309999,16.467045,98300
2018-03-13,17.370001,17.540001,16.860001,17.040001,16.210192,185800
2018-03-14,17.110001,17.41,16.76,17.200001,16.362402,111400
2018-03-15,17.219999,17.370001,16.375,16.73,15.915286,240600
2018-03-16,17.01,17.17,16.709999,16.85,16.029446,922800
2018-03-19,17.280001,17.33,16.58,17.190001,16.352888,144400
2018-03-20,17.18,17.450001,16.85,17.299999,16.457531,115600
2018-03-21,17.23,17.76,17.139999,17.299999,16.457531,138200
2018-03-22,17.17,17.25,16.91,17.0,16.172138,69300
2018-03-23,17.01,17.280001,16.809999,16.91,16.086523,140700
2018-03-26,17.08,17.32,16.93,17.08,16.248243,287100
2018-03-27,17.08,17.299999,16.959999,17.18,16.343376,83400
2018-03-28,17.209999,17.4,17.045,17.18,16.343376,117800
2018-03-29,17.200001,17.33,16.83,17.200001,16.362402,118300
2018-04-02,17.17,17.75,16.940001,17.0,16.172138,294700
2018-04-03,17.139999,17.455,16.950001,17.34,16.495581,125300
2018-04-04,17.16,17.6,17.145,17.25,16.409964,152800
2018-04-05,17.42,17.67,17.25,17.290001,16.448017,164900
2018-04-06,17.16,17.379999,16.9,17.129999,16.295809,79000
2018-04-09,17.26,17.469999,17.15,17.24,16.400455,157300
2018-04-10,17.42,17.700001,17.16,17.629999,16.77146,166200
2018-04-11,17.540001,19.110001,17.540001,18.65,17.741787,669000
2018-04-12,18.860001,19.115,18.32,18.559999,17.65617,130900
2018-04-13,18.780001,18.84,17.68,18.0,17.123444,144000
2018-04-16,18.43,18.43,17.440001,17.75,16.885616,167700
2018-04-17,18.02,18.809999,18.02,18.77,17.855946,340300
2018-04-18,18.879999,19.368,18.66,19.0,18.074745,101200
2018-04-19,18.92,19.687,18.92,19.530001,18.578936,160000
2018-04-20,19.459999,20.059999,19.370001,19.860001,18.892868,122600
2018-04-23,19.9,20.0,19.6,19.74,18.778708,82700
2018-04-24,19.790001,19.860001,19.459999,19.610001,18.655039,93300
2018-04-25,19.639999,20.0,19.41,19.860001,18.892868,97100
2018-04-26,19.889999,20.219999,19.805,19.969999,18.997509,70700
2018-04-27,21.200001,21.76,20.200001,21.15,20.120047,353100
2018-04-30,21.33,22.190001,21.26,21.870001,20.804985,99500
2018-05-01,21.870001,23.32,21.684999,23.309999,22.174856,190100
2018-05-02,23.26,24.07,23.190001,23.219999,22.089241,151200
2018-05-03,23.200001,23.950001,22.629999,23.799999,22.640997,227100
2018-05-04,23.719999,24.23,23.299999,23.43,22.289013,170000
2018-05-07,23.68,24.4,23.399,24.309999,23.126162,156800
2018-05-08,24.51,24.66,23.82,24.15,22.973951,133900
2018-05-09,24.209999,24.33,24.025,24.290001,23.107138,148500
2018-05-10,24.4,24.530001,24.245001,24.370001,23.183237,52700
2018-05-11,24.299999,24.57,24.16,24.299999,23.116646,96300
2018-05-14,24.299999,24.65,24.190001,24.35,23.164213,177000
2018-05-15,23.280001,23.280001,21.959999,22.25,21.166475,439400
2018-05-16,22.18,23.9,21.601,23.610001,22.460249,844800
2018-05-17,24.82,24.870001,23.27,23.57,22.422195,4214200
2018-05-18,23.700001,24.0,23.1,23.549999,22.403172,754300
2018-05-21,23.75,24.15,23.379999,23.52,22.374634,495100
2018-05-22,23.700001,23.700001,22.639999,22.709999,21.604074,734000
2018-05-23,22.610001,23.135,22.5,23.040001,21.918007,248400
2018-05-24,23.07,23.34,22.58,22.780001,21.670666,327800
2018-05-25,22.700001,22.93,22.290001,22.33,21.242582,226100
2018-05-29,22.32,22.559999,21.92,22.530001,21.432842,335700
2018-05-30,22.6,23.33,22.6,23.16,22.032166,292000
2018-05-31,23.049999,23.165001,22.639999,23.01,21.889467,305400
2018-06-01,23.07,23.6,22.9,22.959999,21.841902,219500
2018-06-04,22.93,23.24,22.733999,23.09,21.965572,154300
2018-06-05,23.129999,23.620001,22.93,23.1,21.975086,211500
2018-06-06,23.040001,23.309999,22.91,23.059999,21.937029,208200
2018-06-07,22.99,23.379999,22.99,23.18,22.051189,324200
2018-06-08,23.129999,23.41,22.879999,23.23,22.098757,171100
2018-06-11,23.370001,23.448999,22.645,22.940001,21.822878,172600
2018-06-12,22.91,23.18,22.825001,23.049999,21.927517,127600
2018-06-13,23.049999,23.309999,23.01,23.110001,21.9846,203200
2018-06-14,23.18,23.34,22.915001,23.02,21.898983,135600
2018-06-15,22.959999,23.33,22.6,23.26,22.127293,178900
2018-06-18,23.15,23.389999,22.75,23.049999,21.927517,203800
2018-06-19,22.860001,22.969999,22.1,22.75,21.64213,222100
2018-06-20,22.77,23.049999,22.43,22.5,21.404303,123200
2018-06-21,22.73,23.99,22.73,23.200001,22.070217,584800
2018-06-22,23.299999,24.85,22.969999,24.84,23.63035,628100
2018-06-25,24.84,26.190001,24.6,25.92,24.657761,792500
2018-06-26,26.1,27.1,26.033001,26.110001,24.838505,623500
2018-06-27,26.120001,26.120001,24.42,24.68,23.478144,331400
2018-06-28,24.690001,25.040001,24.222,24.870001,23.65889,196200
2018-06-29,24.99,25.129999,24.780001,24.950001,23.734997,148600
2018-07-02,24.870001,25.799999,24.85,25.68,24.429443,197100
2018-07-03,25.790001,26.725,25.68,26.459999,25.171459,243300
2018-07-05,26.49,26.959999,26.4,26.77,25.466364,143700
2018-07-06,26.709999,27.110001,26.32,27.030001,25.713703,198500
2018-07-09,27.200001,28.115999,27.15,27.51,26.170328,247200
2018-07-10,27.5,27.809999,27.290001,27.5,26.160814,105900
2018-07-11,27.52,27.799999,27.253,27.370001,26.037148,121200
2018-07-12,27.450001,27.610001,26.59,26.809999,25.504416,131300
2018-07-13,26.809999,27.5,25.85,27.34,26.008606,221600
2018-07-16,27.51,27.99,26.950001,27.790001,26.436695,220500
2018-07-17,27.58,27.99,27.299999,27.879999,26.52231,156400
2018-07-18,27.84,28.120001,27.360001,28.1,26.731594,141400
