Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,8.52,8.64,8.52,8.64,8.64,142
2012-02-07,8.4,8.4,8.4,8.4,8.4,33
2012-02-08,7.92,8.76,7.92,8.76,8.76,2625
2012-02-09,8.4,8.4,8.16,8.16,8.16,1708
2012-02-10,8.16,8.16,8.16,8.16,8.16,17
2012-02-13,8.16,8.4,8.16,8.4,8.4,925
2012-02-14,8.4,8.52,8.4,8.52,8.52,1208
2012-02-15,8.52,8.88,8.16,8.4,8.4,1017
2012-02-16,8.4,8.4,8.4,8.4,8.4,25
2012-02-17,8.4,8.88,8.4,8.88,8.88,942
2012-02-21,7.92,8.4,7.92,8.4,8.4,542
2012-02-22,10.2,10.2,7.32,7.92,7.92,5583
2012-02-23,8.4,9.24,8.4,9.24,9.24,4233
2012-02-24,9.24,9.6,8.76,9.48,9.48,2950
2012-02-27,9.48,9.48,8.88,9.36,9.36,800
2012-02-28,9.6,9.6,8.52,9.6,9.6,2992
2012-02-29,9.6,9.6,9.0,9.0,9.0,2358
2012-03-01,9.48,9.6,9.48,9.6,9.6,1042
2012-03-02,9.0,9.12,9.0,9.12,9.12,525
2012-03-05,9.0,9.36,8.4,8.4,8.4,2675
2012-03-06,9.36,9.36,8.4,8.4,8.4,1575
2012-03-07,9.0,9.36,8.64,8.64,8.64,900
2012-03-08,8.64,8.64,8.64,8.64,8.64,0
2012-03-09,8.76,9.0,8.76,9.0,9.0,325
2012-03-12,8.4,8.52,8.28,8.4,8.4,4125
2012-03-13,8.52,8.52,8.28,8.4,8.4,5508
2012-03-14,8.4,8.4,8.4,8.4,8.4,617
2012-03-15,8.4,8.52,8.4,8.52,8.52,867
2012-03-16,8.52,9.0,8.28,8.4,8.4,4167
2012-03-19,8.4,8.52,8.4,8.52,8.52,2125
2012-03-20,8.64,8.64,8.4,8.52,8.52,1700
2012-03-21,8.52,8.52,8.16,8.16,8.16,1458
2012-03-22,8.52,8.52,8.28,8.28,8.28,650
2012-03-23,8.76,8.76,8.16,8.16,8.16,3542
2012-03-26,8.16,8.16,7.8,7.8,7.8,1158
2012-03-27,7.8,8.64,7.8,8.64,8.64,825
2012-03-28,8.64,8.64,8.4,8.4,8.4,7317
2012-03-29,7.8,8.16,7.32,7.56,7.56,2133
2012-03-30,8.28,8.28,7.68,7.68,7.68,183
2012-04-02,7.68,7.92,7.44,7.44,7.44,592
2012-04-03,7.32,7.8,7.32,7.8,7.8,817
2012-04-04,7.56,7.8,7.32,7.32,7.32,1325
2012-04-05,7.8,8.04,7.8,7.8,7.8,1600
2012-04-09,7.32,7.56,7.32,7.56,7.56,342
2012-04-10,7.32,7.44,7.2,7.32,7.32,3150
2012-04-11,6.36,7.2,6.36,6.96,6.96,1167
2012-04-12,7.08,7.08,6.36,6.6,6.6,1017
2012-04-13,6.36,6.6,6.0,6.0,6.0,1325
2012-04-16,6.0,6.24,6.0,6.24,6.24,275
2012-04-17,6.24,6.6,6.12,6.12,6.12,1467
2012-04-18,6.24,6.24,5.16,5.16,5.16,4250
2012-04-19,5.16,6.0,5.16,5.76,5.76,2258
2012-04-20,5.76,5.76,5.16,5.16,5.16,2150
2012-04-23,5.4,5.4,5.16,5.16,5.16,925
2012-04-24,5.16,5.16,5.16,5.16,5.16,0
2012-04-25,6.0,6.0,6.0,6.0,6.0,1900
2012-04-26,6.0,6.0,5.16,6.0,6.0,383
2012-04-27,6.0,6.0,4.8,4.8,4.8,4333
2012-04-30,4.68,6.12,4.68,5.4,5.4,4900
2012-05-01,5.4,5.4,5.4,5.4,5.4,25
2012-05-02,5.04,5.4,4.8,5.4,5.4,6000
2012-05-03,5.4,5.76,4.44,5.28,5.28,4975
2012-05-04,4.56,4.56,4.56,4.56,4.56,8
2012-05-07,4.8,5.04,4.56,4.8,4.8,2750
2012-05-08,4.92,4.92,4.92,4.92,4.92,1175
2012-05-09,4.8,4.8,4.56,4.56,4.56,3075
2012-05-10,4.8,4.8,4.56,4.56,4.56,1417
2012-05-11,4.8,6.12,4.8,6.0,6.0,4417
2012-05-14,4.92,4.92,4.92,4.92,4.92,67
2012-05-15,4.92,4.92,4.92,4.92,4.92,358
2012-05-16,5.04,5.4,5.04,5.4,5.4,292
2012-05-17,5.4,5.4,5.4,5.4,5.4,0
2012-05-18,6.0,6.96,5.52,6.96,6.96,2250
2012-05-21,6.96,6.96,6.96,6.96,6.96,0
2012-05-22,7.32,7.32,6.12,6.12,6.12,2075
2012-05-23,7.08,7.08,7.08,7.08,7.08,375
2012-05-24,7.08,7.08,6.36,6.6,6.6,4133
2012-05-25,6.12,7.8,6.12,7.8,7.8,308
2012-05-29,8.4,8.4,6.12,6.12,6.12,875
2012-05-30,7.8,7.8,7.68,7.68,7.68,508
2012-05-31,6.48,6.48,6.48,6.48,6.48,583
2012-06-01,6.48,6.48,6.0,6.36,6.36,850
2012-06-04,6.12,6.12,5.76,5.76,5.76,208
2012-06-05,7.2,7.2,7.2,7.2,7.2,167
2012-06-06,7.08,7.2,5.88,7.2,7.2,250
2012-06-07,6.12,6.12,5.52,5.52,5.52,942
2012-06-08,6.0,6.12,6.0,6.0,6.0,850
2012-06-11,6.12,6.12,6.12,6.12,6.12,42
2012-06-12,6.12,6.12,6.12,6.12,6.12,0
2012-06-13,5.52,5.52,5.52,5.52,5.52,125
2012-06-14,5.88,5.88,5.04,5.16,5.16,1367
2012-06-15,6.0,6.12,5.52,5.52,5.52,1600
2012-06-18,5.52,6.0,5.52,6.0,6.0,200
2012-06-19,6.24,6.96,6.24,6.96,6.96,383
2012-06-20,6.0,6.0,6.0,6.0,6.0,8
2012-06-21,6.0,6.0,6.0,6.0,6.0,67
2012-06-22,6.0,6.24,5.64,6.0,6.0,23875
2012-06-25,6.0,6.0,5.16,5.4,5.4,1767
2012-06-26,5.04,5.04,5.04,5.04,5.04,400
2012-06-27,5.28,5.28,5.16,5.28,5.28,1633
2012-06-28,4.92,5.28,4.8,5.28,5.28,1658
2012-06-29,4.8,4.92,4.8,4.8,4.8,542
2012-07-02,4.32,4.8,4.32,4.8,4.8,2667
2012-07-03,4.56,4.8,4.56,4.8,4.8,1600
2012-07-05,5.16,5.16,4.32,4.8,4.8,1950
2012-07-06,4.32,4.8,4.32,4.8,4.8,850
2012-07-09,4.8,4.8,4.2,4.8,4.8,1108
2012-07-10,4.8,4.8,4.44,4.8,4.8,1692
2012-07-11,4.32,4.8,4.2,4.8,4.8,1667
2012-07-12,4.2,4.68,4.2,4.32,4.32,2000
2012-07-13,3.96,4.44,3.96,4.32,4.32,1558
2012-07-16,4.32,4.32,4.32,4.32,4.32,550
2012-07-17,3.96,4.2,3.6,4.2,4.2,7283
2012-07-18,4.08,4.08,3.6,3.6,3.6,1133
2012-07-19,3.84,3.84,3.6,3.84,3.84,1108
2012-07-20,3.72,3.96,3.72,3.72,3.72,833
2012-07-23,3.84,3.96,2.4,3.96,3.96,3767
2012-07-24,4.2,4.2,3.48,4.08,4.08,1375
2012-07-25,3.96,3.96,3.96,3.96,3.96,2958
2012-07-26,4.08,4.08,3.96,4.08,4.08,1408
2012-07-27,3.96,5.4,3.96,4.2,4.2,3392
2012-07-30,4.44,4.44,4.44,4.44,4.44,1250
2012-07-31,4.2,4.8,4.2,4.8,4.8,758
2012-08-01,4.8,4.8,4.8,4.8,4.8,0
2012-08-02,4.8,4.8,4.8,4.8,4.8,0
2012-08-03,4.8,5.4,4.8,5.16,5.16,3008
2012-08-06,4.32,4.32,4.32,4.32,4.32,242
2012-08-07,4.32,4.32,4.32,4.32,4.32,258
2012-08-08,5.04,5.04,4.92,4.92,4.92,192
2012-08-09,4.32,4.44,4.2,4.2,4.2,10725
2012-08-10,3.96,4.56,3.84,4.56,4.56,1842
2012-08-13,3.84,3.84,3.84,3.84,3.84,8
2012-08-14,3.84,3.84,3.84,3.84,3.84,708
2012-08-15,3.96,4.2,3.96,3.96,3.96,1050
2012-08-16,3.96,3.96,3.96,3.96,3.96,850
2012-08-17,3.96,3.96,3.96,3.96,3.96,17
2012-08-20,3.96,4.2,3.96,3.96,3.96,225
2012-08-21,4.2,4.2,3.96,4.2,4.2,3400
2012-08-22,3.6,5.4,3.6,4.2,4.2,16442
2012-08-23,4.08,4.8,4.08,4.8,4.8,2792
2012-08-24,6.12,6.12,4.8,4.8,4.8,1917
2012-08-27,4.56,5.4,4.56,5.4,5.4,225
2012-08-28,6.0,6.0,5.04,5.04,5.04,28292
2012-08-29,5.04,5.04,4.2,4.44,4.44,692
2012-08-30,4.56,4.56,4.44,4.44,4.44,417
2012-08-31,4.56,4.56,4.2,4.2,4.2,950
2012-09-04,4.2,4.2,3.84,3.84,3.84,2925
2012-09-05,3.6,4.2,3.6,4.2,4.2,508
2012-09-06,4.2,4.32,3.96,3.96,3.96,2075
2012-09-07,3.96,4.08,3.96,3.96,3.96,858
2012-09-10,3.6,3.72,3.48,3.48,3.48,6308
2012-09-11,3.6,3.6,3.6,3.6,3.6,1750
2012-09-12,3.6,3.6,3.12,3.48,3.48,12183
2012-09-13,3.48,3.6,3.0,3.6,3.6,8867
2012-09-14,3.6,3.6,2.64,2.64,2.64,16142
2012-09-17,3.0,3.12,2.88,3.0,3.0,26075
2012-09-18,3.12,3.12,2.64,3.0,3.0,2200
2012-09-19,3.0,3.0,2.76,2.88,2.88,42167
2012-09-20,2.88,3.0,2.76,2.76,2.76,10483
2012-09-21,2.76,2.88,2.76,2.88,2.88,9125
2012-09-24,2.76,2.88,2.64,2.64,2.64,9375
2012-09-25,2.76,2.76,2.4,2.4,2.4,15358
2012-09-26,2.4,2.4,2.28,2.4,2.4,575
2012-09-27,2.4,2.52,2.4,2.4,2.4,7983
2012-09-28,2.4,2.64,2.4,2.4,2.4,10758
2012-10-01,2.4,2.4,2.4,2.4,2.4,10750
2012-10-02,2.4,2.4,2.16,2.16,2.16,12058
2012-10-03,2.4,2.4,2.16,2.16,2.16,13875
2012-10-04,2.04,2.04,1.68,2.04,2.04,48533
2012-10-05,2.16,2.16,1.92,2.16,2.16,62083
2012-10-08,1.92,2.16,1.92,2.04,2.04,27542
2012-10-09,2.04,2.16,1.92,2.04,2.04,26900
2012-10-10,2.16,2.76,2.16,2.64,2.64,37258
2012-10-11,2.64,2.76,2.04,2.16,2.16,34300
2012-10-12,2.16,2.28,2.16,2.28,2.28,7217
2012-10-15,2.28,2.28,2.16,2.16,2.16,8267
2012-10-16,2.16,2.28,2.04,2.04,2.04,27817
2012-10-17,2.04,2.16,2.04,2.16,2.16,1250
2012-10-18,2.16,2.28,2.16,2.28,2.28,6117
2012-10-19,2.28,2.28,2.16,2.28,2.28,20975
2012-10-22,2.52,2.52,2.28,2.28,2.28,950
2012-10-23,2.28,2.88,2.28,2.88,2.88,6392
2012-10-24,2.88,3.24,2.88,3.12,3.12,11750
2012-10-25,3.0,3.84,3.0,3.36,3.36,12350
2012-10-26,3.84,3.84,3.36,3.48,3.48,6167
2012-10-31,3.36,3.48,3.36,3.48,3.48,1275
2012-11-01,3.36,3.36,2.64,3.0,3.0,3233
2012-11-02,2.64,2.64,2.64,2.64,2.64,3833
2012-11-05,2.88,2.88,2.4,2.4,2.4,3850
2012-11-06,2.52,2.52,2.16,2.52,2.52,1908
2012-11-07,2.52,2.52,2.28,2.28,2.28,942
2012-11-08,2.28,2.28,2.28,2.28,2.28,3250
2012-11-09,2.28,2.28,2.28,2.28,2.28,0
2012-11-12,2.04,2.4,2.04,2.4,2.4,1917
2012-11-13,2.52,2.88,2.52,2.76,2.76,7058
2012-11-14,2.76,2.76,2.52,2.64,2.64,858
2012-11-15,2.64,2.64,2.64,2.64,2.64,0
2012-11-16,2.88,2.88,2.64,2.76,2.76,4500
2012-11-19,2.76,2.88,2.76,2.76,2.76,6208
2012-11-20,2.64,2.64,2.64,2.64,2.64,3250
2012-11-21,2.64,2.76,2.64,2.64,2.64,3542
2012-11-23,2.64,2.64,2.16,2.16,2.16,1417
2012-11-26,2.64,2.64,2.4,2.64,2.64,2467
2012-11-27,2.4,2.52,2.28,2.52,2.52,12117
2012-11-28,2.4,2.4,2.28,2.28,2.28,8917
2012-11-29,2.64,2.64,2.28,2.52,2.52,758
2012-11-30,2.52,2.52,2.52,2.52,2.52,0
2012-12-03,2.4,2.4,2.16,2.16,2.16,1783
2012-12-04,2.28,2.28,2.28,2.28,2.28,2500
2012-12-05,2.16,2.16,2.16,2.16,2.16,9167
2012-12-06,2.4,2.4,2.4,2.4,2.4,208
2012-12-07,2.4,2.4,2.4,2.4,2.4,175
2012-12-10,2.4,2.4,2.4,2.4,2.4,0
2012-12-11,2.04,2.16,2.04,2.16,2.16,583
2012-12-12,2.16,2.16,1.92,2.16,2.16,8833
2012-12-13,1.92,1.92,1.32,1.8,1.8,27758
2012-12-14,1.92,1.92,1.8,1.8,1.8,12900
2012-12-17,1.8,1.8,1.8,1.8,1.8,1333
2012-12-18,1.8,1.92,1.8,1.8,1.8,1142
2012-12-19,1.8,2.52,1.8,2.52,2.52,55842
2012-12-20,2.52,2.64,2.4,2.64,2.64,10683
2012-12-21,2.64,2.64,2.28,2.4,2.4,33025
2012-12-24,2.28,2.64,2.28,2.64,2.64,200
2012-12-26,2.52,2.52,2.16,2.28,2.28,14450
2012-12-27,2.16,3.84,2.16,3.12,3.12,63425
2012-12-28,3.36,4.08,3.12,3.96,3.96,54650
2012-12-31,3.72,4.68,3.72,4.56,4.56,21017
2013-01-02,4.92,4.92,3.96,4.44,4.44,21275
2013-01-03,4.56,4.56,3.96,3.96,3.96,10375
2013-01-04,3.96,4.32,3.96,4.2,4.2,1833
2013-01-07,4.2,4.92,4.2,4.68,4.68,11775
2013-01-08,4.44,5.88,3.96,5.16,5.16,28975
2013-01-09,5.28,5.4,4.32,4.56,4.56,14758
2013-01-10,4.56,4.92,4.32,4.92,4.92,6892
2013-01-11,4.92,5.16,4.44,4.68,4.68,6792
2013-01-14,5.16,5.88,5.04,5.4,5.4,17542
2013-01-15,5.28,5.76,5.16,5.16,5.16,12392
2013-01-16,5.16,5.76,5.16,5.76,5.76,5417
2013-01-17,5.4,5.64,5.28,5.28,5.28,5592
2013-01-18,5.28,6.0,5.16,6.0,6.0,18867
2013-01-22,6.12,7.32,6.0,6.24,6.24,16008
2013-01-23,7.32,7.32,6.24,6.36,6.36,9067
2013-01-24,6.72,6.72,5.76,5.76,5.76,5842
2013-01-25,6.24,6.96,5.52,6.36,6.36,12100
2013-01-28,6.36,6.48,5.52,6.36,6.36,4133
2013-01-29,6.36,6.36,5.88,5.88,5.88,2667
2013-01-30,6.0,6.24,5.88,6.12,6.12,7608
2013-01-31,5.88,6.24,5.64,6.0,6.0,4342
2013-02-01,5.52,6.36,5.52,6.24,6.24,8175
2013-02-04,5.64,6.72,5.52,6.72,6.72,6933
2013-02-05,6.72,6.72,6.12,6.72,6.72,8100
2013-02-06,6.6,6.84,6.12,6.84,6.84,18700
2013-02-07,6.72,6.84,6.12,6.6,6.6,10233
2013-02-08,6.6,6.6,6.12,6.6,6.6,3600
2013-02-11,6.72,6.72,6.24,6.36,6.36,2958
2013-02-12,6.48,6.48,6.12,6.12,6.12,10883
2013-02-13,6.12,6.24,5.76,6.0,6.0,9283
2013-02-14,6.0,6.24,5.76,6.0,6.0,3567
2013-02-15,6.0,6.0,5.16,5.52,5.52,9533
2013-02-19,5.52,5.52,4.8,5.28,5.28,14033
2013-02-20,5.28,5.28,5.04,5.28,5.28,942
2013-02-21,5.16,5.64,4.68,4.92,4.92,43175
2013-02-22,5.04,5.04,4.8,4.8,4.8,3483
2013-02-25,4.92,4.92,4.92,4.92,4.92,1692
2013-02-26,5.04,5.16,4.8,4.8,4.8,8817
2013-02-27,4.92,5.04,4.8,5.04,5.04,4200
2013-02-28,5.16,5.16,4.8,5.16,5.16,4158
2013-03-01,4.92,4.92,4.68,4.8,4.8,3217
2013-03-04,4.8,5.16,4.8,4.92,4.92,533
2013-03-05,4.92,5.16,4.68,5.16,5.16,3675
2013-03-06,5.04,5.16,4.8,5.16,5.16,1675
2013-03-07,4.8,5.16,4.8,5.16,5.16,108
2013-03-08,4.92,5.16,4.92,5.16,5.16,383
2013-03-11,5.04,5.16,4.68,5.16,5.16,4725
2013-03-12,4.68,5.16,4.68,4.92,4.92,1733
2013-03-13,5.16,5.16,4.44,4.8,4.8,1875
2013-03-14,4.92,4.92,4.92,4.92,4.92,2550
2013-03-15,4.56,6.48,4.56,6.48,6.48,14892
2013-03-18,6.48,6.6,6.0,6.12,6.12,7158
2013-03-19,6.12,6.6,5.88,6.48,6.48,3942
2013-03-20,6.6,6.6,6.36,6.6,6.6,4767
2013-03-21,6.84,6.84,6.72,6.72,6.72,433
