Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,47.59,49.169998,47.59,48.939999,41.97324,930700
2012-02-07,48.720001,49.52,48.450001,49.41,42.376331,678500
2012-02-08,49.48,50.75,49.240002,49.389999,42.359192,947100
2012-02-09,49.380001,49.380001,48.450001,48.759998,41.818871,859900
2012-02-10,48.32,49.240002,48.099998,48.990002,42.016125,540400
2012-02-13,49.599998,49.630001,48.799999,48.950001,41.981827,600400
2012-02-14,48.860001,49.0,47.740002,48.32,41.441505,801400
2012-02-15,48.610001,48.990002,47.919998,48.860001,41.90464,726300
2012-02-16,48.919998,49.080002,48.470001,49.0,42.024712,556500
2012-02-17,49.0,52.099998,48.970001,51.48,44.151669,1198900
2012-02-21,51.720001,52.560001,51.189999,51.970001,44.571911,1229800
2012-02-22,51.990002,53.400002,51.110001,52.200001,44.769184,1133200
2012-02-23,54.41,58.880001,53.889999,57.830002,49.597733,3306800
2012-02-24,57.240002,59.34,56.689999,58.860001,50.481102,1354200
2012-02-27,58.669998,59.619999,58.419998,59.349998,50.901356,898100
2012-02-28,59.220001,61.0,59.040001,60.799999,52.144939,1177500
2012-02-29,61.0,62.09,60.84,61.139999,52.436535,1125300
2012-03-01,60.790001,61.48,60.16,60.43,51.827602,1312200
2012-03-02,60.209999,61.57,60.209999,61.119999,52.419399,932900
2012-03-05,60.880001,62.259998,60.619999,61.860001,53.054047,1122900
2012-03-06,61.389999,61.59,60.740002,61.130001,52.427956,640400
2012-03-07,61.330002,62.290001,60.740002,62.0,53.174118,1141100
2012-03-08,62.25,62.68,61.509998,62.18,53.328487,791800
2012-03-09,62.470001,63.240002,62.040001,62.830002,53.885952,799600
2012-03-12,62.830002,64.239998,62.52,63.0,54.031761,1022000
2012-03-13,63.189999,63.529999,62.41,63.130001,54.143265,832600
2012-03-14,63.259998,63.740002,62.84,63.57,54.520626,1043900
2012-03-15,63.709999,64.169998,62.580002,63.639999,54.580669,561500
2012-03-16,63.689999,64.040001,62.880001,63.040001,54.066063,791800
2012-03-19,63.040001,63.18,62.09,62.970001,54.006031,617500
2012-03-20,62.580002,63.529999,62.34,63.310001,54.297634,564100
2012-03-21,63.380001,63.990002,63.0,63.139999,54.151825,513500
2012-03-22,62.75,63.380001,61.939999,62.66,53.740166,703300
2012-03-23,62.580002,62.59,61.040001,62.16,53.31134,510900
2012-03-26,62.779999,64.160004,62.759998,63.889999,54.795059,601500
2012-03-27,63.849998,64.5,63.119999,63.369999,54.349091,617200
2012-03-28,63.669998,63.810001,62.150002,62.84,53.937096,857600
2012-03-29,62.459999,63.200001,62.259998,62.98,54.057266,661600
2012-03-30,63.32,63.349998,62.560001,63.02,54.091595,766600
2012-04-02,63.139999,64.019997,62.34,63.630001,54.615173,644600
2012-04-03,63.639999,64.5,63.439999,63.889999,54.838329,648600
2012-04-04,63.080002,63.57,62.970001,63.549999,54.546513,698200
2012-04-05,63.5,64.370003,63.189999,63.52,54.520767,560200
2012-04-09,62.599998,63.330002,62.150002,63.099998,54.160275,576000
2012-04-10,62.860001,63.099998,60.810001,61.02,52.374954,908100
2012-04-11,61.41,62.57,61.360001,62.369999,53.533672,556700
2012-04-12,62.419998,63.540001,62.07,63.150002,54.203186,713200
2012-04-13,62.900002,63.799999,62.75,63.290001,54.32336,587700
2012-04-16,63.470001,63.970001,62.709999,63.689999,54.666683,590700
2012-04-17,64.010002,64.839996,63.98,64.269997,55.164497,666300
2012-04-18,64.089996,64.410004,63.720001,64.290001,55.181671,405800
2012-04-19,64.080002,64.400002,63.07,63.630001,54.615173,623300
2012-04-20,63.810001,64.040001,63.040001,63.400002,54.417751,568200
2012-04-23,62.970001,63.189999,62.09,62.700001,53.816929,598800
2012-04-24,62.68,62.919998,62.07,62.610001,53.739685,643300
2012-04-25,63.029999,64.459999,63.029999,63.880001,54.829762,497200
2012-04-26,63.869999,64.889999,63.849998,64.739998,55.567909,473200
2012-04-27,64.889999,65.489998,64.410004,64.989998,55.78252,831000
2012-04-30,64.5,64.830002,63.639999,64.559998,55.413414,562100
2012-05-01,64.970001,65.279999,64.029999,64.339996,55.224586,908900
2012-05-02,64.279999,66.190002,64.279999,66.0,56.64941,1057200
2012-05-03,66.379997,66.559998,65.139999,65.389999,56.125828,824200
2012-05-04,65.260002,65.809998,64.440002,65.599998,56.306053,1125700
2012-05-07,65.32,67.220001,65.230003,66.5,57.078552,1944600
2012-05-08,66.040001,66.209999,63.73,65.599998,56.306053,1378600
2012-05-09,64.93,66.239998,63.880001,65.480003,56.203056,1017800
2012-05-10,65.739998,66.699997,65.099998,66.190002,56.812489,916500
2012-05-11,69.75,72.459999,69.25,70.43,60.451786,5281500
2012-05-14,70.120003,70.440002,68.470001,69.019997,59.241539,1290400
2012-05-15,69.019997,70.279999,68.160004,68.82,59.069874,1092500
2012-05-16,68.82,69.32,67.959999,68.779999,59.035564,910200
2012-05-17,68.940002,69.019997,65.150002,65.379997,56.117241,1299500
2012-05-18,65.459999,66.160004,64.389999,65.209999,55.971325,1453100
2012-05-21,65.470001,67.690002,64.910004,67.5,57.93689,764700
2012-05-22,67.779999,68.699997,67.540001,68.32,58.640709,804100
2012-05-23,67.839996,69.059998,66.980003,68.800003,59.052711,583000
2012-05-24,69.050003,69.809998,68.790001,69.809998,59.919613,461800
2012-05-25,69.910004,70.150002,69.220001,69.489998,59.644962,526300
2012-05-29,69.919998,70.519997,69.160004,70.300003,60.34021,655000
2012-05-30,69.529999,69.529999,67.849998,68.400002,58.709381,947000
2012-05-31,68.589996,68.589996,67.019997,67.239998,57.713734,958600
2012-06-01,65.870003,67.040001,65.610001,66.209999,56.829628,1027000
2012-06-04,66.18,66.660004,64.800003,65.849998,56.52066,1095100
2012-06-05,65.510002,66.699997,65.019997,65.980003,56.63221,788100
2012-06-06,66.660004,67.889999,66.389999,67.120003,57.610718,495600
