Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,51.220001,51.91,50.330002,50.490002,35.23666,126200
2012-02-07,50.459999,51.490002,50.169998,50.759998,35.425095,91600
2012-02-08,51.009998,51.439999,50.119999,50.720001,35.397186,65000
2012-02-09,50.919998,50.959999,50.099998,50.27,35.083126,77000
2012-02-10,49.59,50.110001,49.41,49.77,34.734173,56600
2012-02-13,50.330002,50.419998,49.490002,49.900002,34.824902,70400
2012-02-14,49.779999,49.970001,48.549999,49.110001,34.273571,55700
2012-02-15,49.369999,49.580002,48.48,48.77,34.036285,80000
2012-02-16,48.959999,49.919998,48.75,49.32,34.420132,114500
2012-02-17,49.52,50.080002,49.459999,49.950001,34.859791,59700
2012-02-21,49.98,50.919998,49.740002,50.189999,35.027283,93500
2012-02-22,50.240002,52.0,50.240002,51.849998,36.185799,207500
2012-02-23,51.689999,52.48,51.290001,52.220001,36.444019,114600
2012-02-24,52.040001,52.360001,51.57,51.990002,36.283501,228200
2012-02-27,51.5,51.919998,50.84,51.330002,35.822891,132200
2012-02-28,51.200001,52.529999,51.099998,52.369999,36.548698,88700
2012-02-29,52.540001,54.009998,52.540001,53.380001,37.253563,342900
2012-03-01,54.23,54.740002,51.669998,53.950001,37.651367,312200
2012-03-02,53.75,53.75,50.509998,50.93,35.543739,456400
2012-03-05,49.82,51.740002,48.560001,50.669998,35.362278,225700
2012-03-06,49.93,50.130001,48.259998,48.830002,34.078167,239500
2012-03-07,49.029999,50.549999,48.82,50.490002,35.23666,217600
2012-03-08,50.66,51.290001,50.310001,51.049999,35.627487,219200
2012-03-09,51.060001,52.77,51.049999,51.639999,36.039238,111600
2012-03-12,51.740002,51.740002,50.75,51.25,35.767056,75000
2012-03-13,51.700001,52.799999,51.529999,52.759998,36.820885,112100
2012-03-14,52.549999,53.189999,52.419998,52.830002,36.869743,89400
2012-03-15,52.66,53.490002,52.52,53.450001,37.302425,86000
2012-03-16,53.529999,53.529999,52.0,52.209999,36.437035,86000
2012-03-19,52.200001,52.849998,51.720001,52.360001,36.541725,57600
2012-03-20,51.869999,52.380001,51.049999,52.080002,36.34631,74900
2012-03-21,52.299999,52.720001,51.799999,52.279999,36.485886,58400
2012-03-22,51.889999,53.43,51.889999,52.23,36.450993,116100
2012-03-23,52.099998,52.689999,51.040001,52.380001,36.555679,90300
2012-03-26,53.119999,53.75,53.119999,53.5,37.337318,95200
2012-03-27,53.630001,53.810001,52.290001,52.299999,36.499844,115800
2012-03-28,52.150002,52.189999,51.119999,51.240002,35.760094,229700
2012-03-29,50.970001,51.040001,49.66,49.959999,34.866772,157000
2012-03-30,50.450001,50.599998,49.389999,49.599998,34.615536,169000
2012-04-02,48.970001,49.93,48.25,49.419998,34.48991,292800
2012-04-03,49.27,49.73,48.279999,49.09,34.259602,230400
2012-04-04,48.349998,48.57,47.009998,48.330002,33.729214,312800
2012-04-05,48.209999,48.450001,47.400002,47.740002,33.317455,107500
2012-04-09,46.91,47.200001,46.599998,46.880001,32.71727,84200
2012-04-10,46.919998,46.919998,45.259998,45.369999,31.663443,155900
2012-04-11,45.93,47.470001,45.84,47.419998,33.094128,142500
2012-04-12,47.68,47.68,46.549999,46.889999,32.724239,147900
2012-04-13,46.740002,46.98,46.0,46.860001,32.703308,67300
2012-04-16,47.009998,47.279999,46.040001,46.169998,32.221756,62400
2012-04-17,46.560001,46.959999,46.259998,46.66,32.563725,75800
2012-04-18,46.41,47.450001,46.240002,47.259998,32.982471,109300
2012-04-19,47.209999,47.5,46.509998,46.810001,32.668411,172200
2012-04-20,47.279999,47.5,46.869999,47.09,32.863819,134000
2012-04-23,46.82,47.450001,45.889999,47.32,33.024334,140500
2012-04-24,47.25,48.16,47.139999,47.610001,33.226734,121100
2012-04-25,48.139999,48.619999,47.43,48.220001,33.652447,105500
2012-04-26,48.029999,48.709999,48.029999,48.610001,33.924618,63000
2012-04-27,48.619999,48.619999,47.060001,48.439999,33.805969,79800
2012-04-30,48.439999,48.740002,47.169998,48.580002,33.90369,114000
2012-05-01,50.009998,53.900002,48.869999,51.93,36.241638,426100
2012-05-02,51.48,51.84,49.91,50.77,35.432076,180000
2012-05-03,51.029999,51.990002,50.5,51.529999,35.96246,158000
2012-05-04,51.25,51.830002,50.790001,50.900002,35.522793,125100
2012-05-07,50.630001,51.720001,50.529999,50.880001,35.508846,130000
2012-05-08,50.610001,50.610001,49.080002,49.23,34.357319,135300
2012-05-09,48.779999,49.950001,47.959999,49.59,34.608562,320200
2012-05-10,50.099998,50.830002,49.299999,49.919998,34.838856,124300
2012-05-11,49.470001,50.509998,48.700001,50.099998,34.964478,229000
2012-05-14,49.650002,50.049999,49.040001,49.040001,34.224716,77500
2012-05-15,48.93,50.130001,48.93,49.66,34.657413,54000
2012-05-16,50.029999,50.630001,49.299999,49.389999,34.468975,82300
2012-05-17,49.34,49.84,47.380001,47.41,33.087143,152600
2012-05-18,47.389999,47.529999,46.200001,46.32,32.326439,98900
2012-05-21,46.41,48.009998,45.900002,47.689999,33.282558,148900
2012-05-22,47.889999,48.389999,47.41,47.779999,33.345367,157000
2012-05-23,47.330002,48.470001,47.139999,48.290001,33.701302,83000
2012-05-24,48.48,48.799999,47.66,48.599998,33.917637,84100
2012-05-25,48.470001,48.970001,48.029999,48.189999,33.631504,69800
2012-05-29,48.709999,50.110001,48.209999,49.610001,34.622517,83100
2012-05-30,48.849998,48.990002,47.790001,47.849998,33.394226,62200
2012-05-31,47.939999,48.490002,46.790001,48.0,33.498909,89100
2012-06-01,46.82,47.169998,46.34,46.650002,32.556751,120800
2012-06-04,46.759998,46.889999,45.830002,46.389999,32.375294,54800
2012-06-05,46.130001,47.689999,45.93,47.630001,33.240677,102100
2012-06-06,48.07,48.400002,47.939999,48.09,33.56171,105400
2012-06-07,48.860001,49.060001,46.310001,46.330002,32.333424,113100
2012-06-08,46.040001,46.130001,45.380001,45.84,31.991457,116100
2012-06-11,45.970001,46.18,44.389999,44.41,30.99346,132600
2012-06-12,44.59,44.720001,43.720001,43.950001,30.672428,211600
2012-06-13,43.759998,45.529999,43.509998,44.57,31.105127,135800
2012-06-14,44.540001,45.330002,44.32,45.200001,31.544798,94400
2012-06-15,45.32,46.189999,45.32,46.049999,32.138012,122400
2012-06-18,45.830002,46.23,45.360001,45.599998,31.823961,52900
2012-06-19,45.790001,46.66,45.720001,46.240002,32.270607,57100
2012-06-20,46.18,46.439999,44.759998,45.150002,31.509911,104900
2012-06-21,45.029999,45.119999,43.759998,44.200001,30.846914,65800
2012-06-22,44.110001,44.650002,43.900002,44.009998,30.714306,87800
2012-06-25,43.52,43.650002,42.959999,43.02,30.023397,83000
2012-06-26,43.150002,43.759998,42.970001,43.400002,30.288588,65900
2012-06-27,43.599998,43.650002,42.549999,43.169998,30.128075,77900
2012-06-28,42.849998,42.919998,41.630001,42.919998,29.953604,78000
2012-06-29,43.68,44.689999,43.040001,44.639999,31.153976,162300
2012-07-02,44.5,44.799999,43.810001,44.330002,30.937634,86400
2012-07-03,44.32,44.990002,43.849998,44.91,31.342415,28700
2012-07-05,44.82,45.779999,44.700001,45.380001,31.670427,34700
2012-07-06,44.939999,45.23,43.400002,43.919998,30.651493,129800
2012-07-09,43.77,44.029999,43.299999,43.919998,30.651493,56400
2012-07-10,44.040001,44.450001,43.580002,43.77,30.546806,52200
2012-07-11,43.779999,44.0,43.43,43.619999,30.442131,61100
2012-07-12,43.220001,43.970001,42.830002,43.639999,30.456083,39800
2012-07-13,43.889999,45.209999,43.57,44.939999,31.363352,44800
2012-07-16,44.650002,44.880001,43.57,43.669998,30.47703,46000
2012-07-17,43.830002,43.919998,43.029999,43.82,30.581711,34000
