Date,Open,High,Low,Close,Adj Close,Volume
2019-05-03,9.7,9.7,9.7,9.7,9.7,5000
2019-05-06,9.7,9.7,9.7,9.7,9.7,17100
2019-05-07,9.7,9.7,9.7,9.7,9.7,0
2019-05-08,9.75,9.75,9.75,9.75,9.75,5000
2019-05-09,9.73,9.73,9.73,9.73,9.73,700
2019-05-10,9.75,9.75,9.73,9.73,9.73,1400
2019-05-13,9.73,9.73,9.73,9.73,9.73,25000
2019-05-14,9.718,9.73,9.718,9.73,9.73,206000
2019-05-15,9.73,9.73,9.73,9.73,9.73,0
2019-05-16,9.73,9.73,9.73,9.73,9.73,1500
2019-05-17,9.73,9.73,9.73,9.73,9.73,0
2019-05-20,9.73,9.73,9.73,9.73,9.73,300
2019-05-21,9.73,9.73,9.73,9.73,9.73,0
2019-05-22,9.73,9.73,9.73,9.73,9.73,0
2019-05-23,9.73,9.73,9.72,9.72,9.72,20300
2019-05-24,9.72,9.72,9.72,9.72,9.72,0
2019-05-28,9.72,9.72,9.72,9.72,9.72,0
2019-05-29,9.7,9.73,9.7,9.7,9.7,549300
2019-05-30,9.72,9.72,9.7,9.7,9.7,2300
2019-05-31,9.61,9.73,9.61,9.73,9.73,394800
2019-06-03,9.73,9.73,9.68,9.7,9.7,59400
2019-06-04,9.7,9.7,9.7,9.7,9.7,6200
2019-06-05,9.7,9.7,9.7,9.7,9.7,0
2019-06-06,9.71,9.72,9.71,9.72,9.72,6300
2019-06-07,9.73,9.73,9.73,9.73,9.73,200
2019-06-10,9.72,9.72,9.71,9.71,9.71,1100
2019-06-11,9.72,9.72,9.72,9.72,9.72,100000
2019-06-12,9.7,9.71,9.69,9.7,9.7,696200
2019-06-13,9.75,9.76,9.69,9.71,9.71,309900
2019-06-14,9.73,9.73,9.69,9.7,9.7,963600
2019-06-17,9.74,9.75,9.67,9.71,9.71,175700
2019-06-18,9.69,9.75,9.69,9.733,9.733,29900
2019-06-19,9.75,9.76,9.73,9.73,9.73,2200
2019-06-20,9.72,9.73,9.72,9.72,9.72,32000
2019-06-21,9.72,9.72,9.72,9.72,9.72,0
2019-06-24,9.75,9.75,9.75,9.75,9.75,200
2019-06-25,9.77,9.78,9.73,9.73,9.73,206900
2019-06-26,9.71,9.74,9.71,9.74,9.74,257200
2019-06-27,9.68,9.75,9.68,9.73,9.73,539700
2019-06-28,9.73,9.73,9.73,9.73,9.73,0
2019-07-01,9.73,9.73,9.73,9.73,9.73,0
2019-07-02,9.75,9.78,9.75,9.78,9.78,5700
2019-07-03,9.78,9.78,9.78,9.78,9.78,0
2019-07-05,9.78,9.78,9.78,9.78,9.78,0
2019-07-08,9.72,9.78,9.72,9.78,9.78,2600
2019-07-09,9.78,9.78,9.78,9.78,9.78,0
2019-07-10,9.75,9.75,9.7,9.74,9.74,2900
2019-07-11,9.74,9.74,9.74,9.74,9.74,0
2019-07-12,9.75,9.75,9.75,9.75,9.75,3200
2019-07-15,9.75,9.75,9.74,9.74,9.74,245000
2019-07-16,9.75,9.75,9.75,9.75,9.75,50000
2019-07-17,9.75,9.75,9.75,9.75,9.75,100
2019-07-18,9.75,9.81,9.75,9.75,9.75,16600
2019-07-19,9.76,9.85,9.75,9.76,9.76,16400
2019-07-22,9.82,9.82,9.8,9.8,9.8,11000
2019-07-23,9.81,9.85,9.76,9.85,9.85,4700
2019-07-24,9.9,9.9,9.75,9.8,9.8,32200
2019-07-25,9.8,9.8,9.8,9.8,9.8,0
2019-07-26,9.798,9.798,9.77,9.77,9.77,600500
2019-07-29,9.77,9.77,9.76,9.77,9.77,226000
2019-07-30,9.77,9.77,9.77,9.77,9.77,100
2019-07-31,9.76,9.9,9.76,9.9,9.9,100500
2019-08-01,9.89,9.89,9.84,9.88,9.88,600
2019-08-02,10.05,10.05,9.82,9.83,9.83,14900
2019-08-05,9.78,9.78,9.78,9.78,9.78,1300
2019-08-06,9.71,9.85,9.71,9.77,9.77,206300
2019-08-07,9.77,9.77,9.75,9.75,9.75,225100
2019-08-08,9.81,9.81,9.76,9.76,9.76,1900
2019-08-09,9.88,9.88,9.76,9.76,9.76,12000
2019-08-12,9.88,9.88,9.76,9.76,9.76,100
2019-08-13,9.76,9.78,9.76,9.78,9.78,92500
2019-08-14,9.76,9.78,9.76,9.78,9.78,100
2019-08-15,9.76,9.81,9.75,9.81,9.81,8300
2019-08-16,9.77,9.77,9.77,9.77,9.77,5000
2019-08-19,9.77,9.81,9.75,9.81,9.81,20400
2019-08-20,9.85,9.89,9.85,9.89,9.89,2400
2019-08-21,9.77,9.8,9.77,9.8,9.8,1500
2019-08-22,9.77,9.8,9.77,9.8,9.8,600
2019-08-23,9.8,9.8,9.8,9.8,9.8,0
2019-08-26,9.8,9.8,9.8,9.8,9.8,0
2019-08-27,9.8,9.8,9.8,9.8,9.8,0
2019-08-28,9.8,9.8,9.8,9.8,9.8,0
2019-08-29,9.77,9.84,9.77,9.84,9.84,200
2019-08-30,9.84,9.84,9.84,9.84,9.84,0
2019-09-03,9.77,9.84,9.77,9.84,9.84,89900
2019-09-04,9.8,9.84,9.8,9.84,9.84,16300
2019-09-05,9.84,9.84,9.84,9.84,9.84,0
2019-09-06,9.84,9.84,9.84,9.84,9.84,0
2019-09-09,9.84,9.84,9.84,9.84,9.84,0
2019-09-10,9.83,9.83,9.83,9.83,9.83,1000
2019-09-11,9.83,9.89,9.82,9.82,9.82,414500
2019-09-12,9.82,9.82,9.82,9.82,9.82,0
2019-09-13,9.82,9.82,9.82,9.82,9.82,3500
2019-09-16,9.82,9.82,9.82,9.82,9.82,0
2019-09-17,9.82,9.85,9.82,9.85,9.85,50400
2019-09-18,9.85,9.85,9.85,9.85,9.85,0
2019-09-19,9.86,9.86,9.86,9.86,9.86,4800
2019-09-20,9.86,9.86,9.86,9.86,9.86,0
2019-09-23,9.86,9.86,9.86,9.86,9.86,100
2019-09-24,9.83,9.86,9.83,9.86,9.86,15200
2019-09-25,9.88,9.88,9.88,9.88,9.88,1000
2019-09-26,9.87,9.87,9.86,9.86,9.86,5200
2019-09-27,9.86,9.86,9.86,9.86,9.86,0
2019-09-30,9.87,9.87,9.87,9.87,9.87,100
2019-10-01,9.87,9.88,9.87,9.88,9.88,36900
2019-10-02,9.88,9.88,9.88,9.88,9.88,1200
2019-10-03,9.88,9.88,9.88,9.88,9.88,100
2019-10-04,9.88,9.88,9.88,9.88,9.88,100
2019-10-07,9.88,9.88,9.88,9.88,9.88,500
2019-10-08,9.88,9.88,9.88,9.88,9.88,0
2019-10-09,9.9,9.9,9.87,9.9,9.9,418600
2019-10-10,9.889,9.89,9.86,9.89,9.89,401300
2019-10-11,9.89,9.89,9.889,9.889,9.889,400
2019-10-14,9.889,9.889,9.889,9.889,9.889,0
2019-10-15,9.889,9.889,9.889,9.889,9.889,0
2019-10-16,9.89,9.89,9.86,9.86,9.86,500
2019-10-17,9.89,9.89,9.89,9.89,9.89,200
2019-10-18,9.9,9.9,9.87,9.9,9.9,2700
2019-10-21,9.9,9.9,9.9,9.9,9.9,0
2019-10-22,9.9,9.9,9.9,9.9,9.9,0
2019-10-23,9.9,9.9,9.9,9.9,9.9,200
2019-10-24,9.86,9.9,9.86,9.87,9.87,485400
2019-10-25,9.88,9.88,9.85,9.86,9.86,56000
2019-10-28,9.86,9.86,9.86,9.86,9.86,100000
2019-10-29,9.86,9.86,9.86,9.86,9.86,0
2019-10-30,9.88,9.88,9.88,9.88,9.88,600
2019-10-31,9.88,9.9,9.86,9.86,9.86,100100
2019-11-01,9.9,9.9,9.88,9.88,9.88,31200
2019-11-04,9.88,9.88,9.88,9.88,9.88,100000
2019-11-05,9.89,9.9,9.88,9.9,9.9,173700
2019-11-06,9.9,9.9,9.89,9.9,9.9,385500
2019-11-07,9.92,9.92,9.87,9.89,9.89,271600
2019-11-08,9.9,9.91,9.89,9.89,9.89,832500
2019-11-11,9.89,9.89,9.89,9.89,9.89,101800
2019-11-12,9.88,9.88,9.88,9.88,9.88,3000
2019-11-13,9.92,9.92,9.89,9.89,9.89,100600
2019-11-14,9.89,9.92,9.89,9.92,9.92,1500
2019-11-15,9.92,9.92,9.92,9.92,9.92,0
2019-11-18,9.88,9.93,9.88,9.9,9.9,20500
2019-11-19,9.89,9.9,9.89,9.9,9.9,650000
2019-11-20,9.9,9.9,9.9,9.9,9.9,0
2019-11-21,9.89,9.91,9.89,9.9,9.9,122900
2019-11-22,9.93,9.93,9.9,9.9,9.9,442500
2019-11-25,9.91,9.91,9.91,9.91,9.91,1100
2019-11-26,9.92,9.95,9.92,9.92,9.92,554200
2019-11-27,9.95,9.95,9.92,9.92,9.92,99300
2019-11-29,9.92,9.92,9.92,9.92,9.92,0
2019-12-02,9.92,9.92,9.92,9.92,9.92,100
2019-12-03,9.935,9.935,9.935,9.935,9.935,4600
2019-12-04,9.92,9.92,9.92,9.92,9.92,25200
2019-12-05,9.92,9.92,9.92,9.92,9.92,400
2019-12-06,9.95,9.95,9.95,9.95,9.95,100
2019-12-09,9.92,9.94,9.92,9.94,9.94,13500
2019-12-10,9.94,9.94,9.94,9.94,9.94,6100
2019-12-11,9.94,9.95,9.92,9.94,9.94,198900
2019-12-12,9.94,9.94,9.94,9.94,9.94,0
2019-12-13,9.92,9.94,9.92,9.94,9.94,100300
2019-12-16,9.94,9.94,9.94,9.94,9.94,100100
2019-12-17,9.95,9.962,9.95,9.962,9.962,26600
2019-12-18,9.95,9.97,9.95,9.97,9.97,83700
2019-12-19,9.97,9.97,9.97,9.97,9.97,0
2019-12-20,9.97,9.97,9.97,9.97,9.97,0
2019-12-23,9.92,9.97,9.92,9.97,9.97,300
2019-12-24,9.97,9.97,9.97,9.97,9.97,0
2019-12-26,9.97,9.97,9.97,9.97,9.97,0
2019-12-27,9.97,9.97,9.97,9.97,9.97,0
2019-12-30,9.98,9.98,9.98,9.98,9.98,400
2019-12-31,9.98,10.0,9.98,9.98,9.98,25200
2020-01-02,9.99,10.0,9.99,9.99,9.99,538400
2020-01-03,9.99,10.01,9.99,10.0,10.0,160500
2020-01-06,9.98,9.98,9.98,9.98,9.98,800
2020-01-07,10.03,10.03,9.99,10.02,10.02,361500
2020-01-08,10.05,10.05,9.99,9.99,9.99,26100
2020-01-09,10.05,10.05,10.0,10.04,10.04,114700
2020-01-10,10.03,10.05,10.03,10.05,10.05,107000
2020-01-13,10.04,10.06,10.02,10.05,10.05,369600
2020-01-14,10.026,10.05,10.02,10.02,10.02,6300
2020-01-15,10.04,10.06,10.04,10.05,10.05,793100
2020-01-16,10.02,10.04,10.02,10.04,10.04,300
2020-01-17,10.06,10.06,10.04,10.04,10.04,76400
2020-01-21,10.06,10.06,10.03,10.03,10.03,22900
2020-01-22,10.04,10.05,10.03,10.03,10.03,7500
2020-01-23,10.04,10.04,10.04,10.04,10.04,3200
2020-01-24,10.04,10.04,10.0,10.0,10.0,230500
2020-01-27,9.99,10.03,9.99,10.01,10.01,10700
2020-01-28,10.04,10.04,10.03,10.04,10.04,6100
2020-01-29,10.0,10.05,10.0,10.05,10.05,18000
