Date,Open,High,Low,Close,Adj Close,Volume
2021-07-01,16.299999,21.690001,15.5,21.0,20.893826,40888200
2021-07-02,19.854,20.450001,18.32,19.120001,19.023333,8631400
2021-07-06,18.9,19.120001,17.0,17.0,16.914049,3973000
2021-07-07,17.289,18.16,17.0,17.780001,17.690107,3213500
2021-07-08,17.25,18.35,17.0,18.200001,18.107983,5448300
2021-07-09,18.370001,20.0,18.370001,19.290001,19.192472,3951200
2021-07-12,19.700001,20.059999,17.82,18.059999,17.968689,2665200
2021-07-13,18.25,18.645,17.5,17.6,17.511017,2567600
2021-07-14,17.65,17.969999,17.15,17.219999,17.132936,1456100
2021-07-15,17.33,17.530001,16.99,17.110001,17.023495,828600
2021-07-16,17.02,17.33,17.0,17.040001,16.953848,1209800
2021-07-19,16.610001,17.0,16.030001,16.959999,16.87425,1425400
2021-07-20,17.01,17.1,16.25,16.59,16.506123,1181000
2021-07-21,16.5,16.790001,16.08,16.280001,16.197689,1988900
2021-07-22,16.049999,16.280001,15.79,16.07,15.98875,1695500
2021-07-23,15.96,16.74,15.55,16.709999,16.625515,2008900
2021-07-26,16.73,17.969999,16.684999,17.17,17.083189,3109600
2021-07-27,17.440001,17.469,16.25,16.43,16.346933,1076700
2021-07-28,16.5,16.85,15.9,15.95,15.869358,1198800
2021-07-29,15.96,16.530001,15.8,16.51,16.426529,818600
2021-07-30,16.299999,16.481001,15.89,15.96,15.879308,734700
2021-08-02,16.07,16.076,15.71,15.74,15.66042,995100
2021-08-03,16.0,16.0,15.69,15.7,15.620623,687100
2021-08-04,15.69,15.83,14.89,15.12,15.043554,1453900
2021-08-05,15.12,15.64,14.92,15.64,15.560925,537400
2021-08-06,15.57,15.65,15.17,15.32,15.242543,340800
2021-08-09,15.3,16.030001,15.0,15.9,15.819612,1152300
2021-08-10,15.83,15.96,15.38,15.68,15.600723,563500
2021-08-11,15.76,15.9,14.985,15.08,15.003757,930500
2021-08-12,15.08,15.32,14.75,14.8,14.725173,911400
2021-08-13,14.8,15.27,14.7,15.03,14.954009,763800
2021-08-16,15.12,15.15,14.32,14.62,14.546082,978300
2021-08-17,14.56,14.67,13.62,14.04,13.969015,2476400
2021-08-18,14.239,14.25,13.01,13.07,13.00392,3209300
2021-08-19,13.0,15.29,12.825,14.91,14.834616,4320700
2021-08-20,14.61,15.63,14.5,15.07,14.993807,2256700
2021-08-23,15.35,16.92,15.023,16.73,16.645414,2366000
2021-08-24,16.75,17.346001,16.09,16.959999,16.87425,1984900
2021-08-25,17.0,17.59,16.34,16.530001,16.446426,1576300
2021-08-26,16.790001,17.219999,16.530001,16.969999,16.884201,964500
2021-08-27,16.93,17.299999,16.809999,17.0,16.914049,1061600
2021-08-30,17.209999,17.67,16.719999,16.879999,16.794655,1159000
2021-08-31,16.92,17.1,16.549999,16.709999,16.625515,705800
2021-09-01,16.860001,17.02,16.75,16.85,16.764809,474200
2021-09-02,16.99,17.389999,16.610001,16.790001,16.705112,1235600
2021-09-03,16.85,16.9,15.73,16.120001,16.038498,1474700
2021-09-07,16.110001,16.25,14.93,14.96,14.884363,2465500
2021-09-08,14.97,15.425,14.8,15.21,15.1331,1961000
2021-09-09,15.35,16.290001,15.3,16.07,15.98875,1200400
2021-09-10,16.25,16.450001,15.66,15.97,15.889257,1109400
2021-09-13,16.01,16.139999,15.273,15.34,15.262443,674600
2021-09-14,15.45,15.75,15.37,15.56,15.481331,562000
2021-09-15,15.56,15.75,15.05,15.3,15.222645,780200
2021-09-16,15.23,16.68,15.23,16.379999,16.297182,1512700
2021-09-17,16.32,16.5,15.19,15.21,15.1331,5721100
2021-09-20,14.82,15.77,14.56,14.98,14.904263,2744000
2021-09-21,15.0,15.19,14.03,14.27,14.197852,2259700
2021-09-22,14.29,14.46,14.02,14.16,14.088408,1577800
2021-09-23,14.25,14.8,14.2,14.73,14.655526,1224500
2021-09-24,14.67,14.73,14.22,14.51,14.436639,520900
2021-09-27,14.51,14.85,14.25,14.34,14.267499,838800
2021-09-28,14.26,14.37,14.02,14.21,14.138156,747000
2021-09-29,14.28,14.33,13.96,14.0,13.929217,685800
2021-09-30,14.01,14.08,13.75,14.0,13.929217,848700
2021-10-01,14.06,14.25,13.82,14.22,14.148106,638600
2021-10-04,14.055,14.22,13.827,13.93,13.859571,560200
2021-10-05,13.95,14.02,13.8,13.89,13.819774,635700
2021-10-06,13.82,13.89,13.72,13.8,13.730228,819000
2021-10-07,13.89,14.09,13.68,13.75,13.680482,1045800
2021-10-08,13.75,14.3,13.59,14.12,14.048611,861400
2021-10-11,14.07,14.09,13.85,13.97,13.899369,488500
2021-10-12,13.98,14.33,13.97,14.27,14.197852,400600
2021-10-13,14.32,14.335,14.105,14.31,14.23765,211600
2021-10-14,14.38,14.66,14.13,14.15,14.078458,468300
2021-10-15,14.35,14.36,13.88,13.91,13.839673,446500
2021-10-18,13.9,14.18,13.71,14.08,14.008813,301700
2021-10-19,14.144,14.144,13.83,13.89,13.819774,510900
2021-10-20,13.9,13.975,13.8,13.92,13.849622,413800
2021-10-21,13.66,13.85,13.07,13.13,13.063616,1918700
2021-10-22,13.11,13.11,12.71,12.94,12.874577,1378400
2021-10-25,12.91,13.23,12.76,12.96,12.894475,694000
2021-10-26,13.0,13.29,12.9,13.26,13.228684,479300
2021-10-27,13.25,13.36,12.77,12.77,12.739842,523800
2021-10-28,12.929,12.929,12.63,12.89,12.859559,572400
2021-10-29,12.83,12.871,12.7,12.75,12.719889,413800
2021-11-01,12.82,13.04,12.76,12.95,12.919416,689900
2021-11-02,13.0,14.24,12.95,14.15,14.116582,2343800
2021-11-03,14.07,14.15,13.401,13.86,13.827267,1024000
2021-11-04,13.84,14.07,13.45,13.86,13.827267,525600
2021-11-05,13.95,14.24,13.87,14.1,14.066701,433500
2021-11-08,13.64,14.18,13.37,13.55,13.518,1094100
2021-11-09,13.5,13.62,12.9,12.98,12.949346,1256400
2021-11-10,13.78,14.85,13.3,13.37,13.338425,2652100
2021-11-11,13.43,14.45,13.43,14.3,14.266229,1208700
2021-11-12,14.34,14.73,14.164,14.45,14.415874,905900
2021-11-15,14.69,14.73,14.18,14.35,14.316111,842600
2021-11-16,14.85,15.17,14.34,14.54,14.505662,2104200
2021-11-17,14.59,15.08,14.52,14.98,14.944622,916500
2021-11-18,14.8,14.94,13.64,13.69,13.657668,1342500
2021-11-19,13.9,14.07,13.7,13.82,13.787361,1089300
2021-11-22,14.0,14.46,13.82,14.04,14.006843,1119300
2021-11-23,14.02,14.95,14.0,14.1,14.066701,1278100
2021-11-24,13.98,15.69,13.98,15.53,15.493323,2186200
2021-11-26,14.76,15.71,14.73,15.44,15.403536,803500
2021-11-29,15.51,16.08,14.999,15.21,15.174079,1574600
2021-11-30,15.0,15.159,13.92,14.55,14.515638,2925600
2021-12-01,13.97,14.7,13.0,13.19,13.15885,3052500
2021-12-02,13.45,14.34,13.38,14.17,14.136536,1657200
2021-12-03,14.1,15.877,14.1,15.7,15.662922,2760900
2021-12-06,15.41,16.42,15.35,15.73,15.692851,1969100
2021-12-07,16.0,16.950001,15.735,15.8,15.762686,1462700
2021-12-08,15.89,16.690001,15.89,15.96,15.922308,1408400
2021-12-09,16.0,16.33,14.81,14.9,14.864811,1216600
2021-12-10,14.94,15.605,14.94,15.53,15.493323,1323400
2021-12-13,15.47,16.08,15.3,15.98,15.942261,998000
2021-12-14,15.45,16.360001,15.4,15.99,15.952237,987700
2021-12-15,15.83,16.0,15.27,16.0,15.962214,671400
2021-12-16,16.01,16.299999,15.35,15.59,15.553182,843800
2021-12-17,15.48,17.559999,15.443,17.17,17.12945,2514100
2021-12-20,16.75,16.879999,15.44,15.98,15.942261,2080700
2021-12-21,16.0,16.49,15.7,15.85,15.812568,1169900
2021-12-22,15.8,16.025,15.52,15.9,15.86245,947400
2021-12-23,15.85,17.07,15.82,16.91,16.870064,1569000
2021-12-27,16.6,17.365,16.16,16.219999,16.181694,1393900
2021-12-28,16.24,18.6,16.225,17.85,17.807844,3131900
2021-12-29,17.58,18.32,17.35,17.719999,17.67815,1176500
2021-12-30,17.575001,19.309,17.575001,18.469999,18.42638,1721500
2021-12-31,18.129999,19.549999,18.105,18.92,18.875317,1625700
2022-01-03,18.92,19.412001,18.43,18.58,18.536119,1143000
2022-01-04,18.33,18.815001,17.559999,18.48,18.436356,1142800
2022-01-05,18.15,19.0,18.1,18.17,18.127089,1369000
2022-01-06,18.219999,18.780001,18.002001,18.290001,18.246807,1539800
2022-01-07,18.290001,18.549999,17.469999,17.57,17.528505,982000
2022-01-10,17.49,17.5,16.540001,17.24,17.199286,929800
2022-01-11,17.35,17.99,17.17,17.68,17.638247,1190400
2022-01-12,17.700001,17.74,16.358,17.01,16.969828,1491000
2022-01-13,17.17,17.225,16.629999,16.74,16.700466,862600
2022-01-14,16.52,16.85,16.0,16.200001,16.161741,1142800
2022-01-18,15.95,16.191,15.47,15.64,15.603064,1172800
2022-01-19,15.59,15.86,15.22,15.29,15.25389,1765000
2022-01-20,15.5,15.75,14.25,14.29,14.256252,1529400
2022-01-21,14.09,14.96,14.0,14.37,14.336062,1700700
2022-01-24,14.1,15.0,13.9,14.82,14.785,1378300
2022-01-25,14.47,14.66,14.04,14.23,14.23,822800
2022-01-26,14.55,14.9,14.0,14.18,14.18,1163100
2022-01-27,14.25,14.525,14.0,14.09,14.09,891500
2022-01-28,14.17,14.53,13.805,14.53,14.53,765500
2022-01-31,14.3,15.02,14.25,14.99,14.99,1411700
2022-02-01,14.92,15.09,14.24,14.71,14.71,1492056
