Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,0.78,0.8,0.77,0.79,0.79,81900
2012-02-07,0.79,0.9,0.79,0.82,0.82,633200
2012-02-08,0.83,0.88,0.82,0.85,0.85,515000
2012-02-09,0.85,0.85,0.82,0.82,0.82,198100
2012-02-10,0.81,0.85,0.8,0.8,0.8,119700
2012-02-13,0.81,0.84,0.79,0.8,0.8,141300
2012-02-14,0.79,0.8,0.77,0.78,0.78,214400
2012-02-15,0.79,0.82,0.75,0.77,0.77,705400
2012-02-16,0.77,0.82,0.77,0.78,0.78,406800
2012-02-17,0.79,0.79,0.76,0.78,0.78,292700
2012-02-21,0.78,0.82,0.76,0.79,0.79,247400
2012-02-22,0.77,0.78,0.73,0.75,0.75,222200
2012-02-23,0.75,0.78,0.74,0.76,0.76,254400
2012-02-24,0.76,0.78,0.74,0.75,0.75,363500
2012-02-27,0.74,0.75,0.73,0.74,0.74,369700
2012-02-28,0.74,0.76,0.74,0.74,0.74,225000
2012-02-29,0.74,0.79,0.74,0.75,0.75,279400
2012-03-01,0.8,0.8,0.72,0.72,0.72,400800
2012-03-02,0.75,0.8,0.73,0.79,0.79,654700
2012-03-05,0.81,0.84,0.8,0.81,0.81,422500
2012-03-06,0.8,0.81,0.71,0.8,0.8,404200
2012-03-07,0.8,0.88,0.77,0.87,0.87,406200
2012-03-08,0.88,0.92,0.82,0.88,0.88,430700
2012-03-09,0.88,0.88,0.81,0.83,0.83,337300
2012-03-12,0.81,0.86,0.77,0.79,0.79,352900
2012-03-13,0.78,0.81,0.76,0.79,0.79,371400
2012-03-14,0.78,0.81,0.78,0.78,0.78,232100
2012-03-15,0.78,0.8,0.75,0.79,0.79,299300
2012-03-16,0.79,0.85,0.76,0.78,0.78,553400
2012-03-19,0.78,0.8,0.76,0.79,0.79,219300
2012-03-20,0.78,0.79,0.77,0.78,0.78,267600
2012-03-21,0.79,0.8,0.78,0.78,0.78,110600
2012-03-22,0.78,0.81,0.77,0.78,0.78,390300
2012-03-23,0.93,0.93,0.82,0.82,0.82,925900
2012-03-26,0.87,0.87,0.83,0.85,0.85,318600
2012-03-27,0.86,0.87,0.83,0.85,0.85,307200
2012-03-28,0.85,0.86,0.8,0.8,0.8,243000
2012-03-29,0.8,0.85,0.8,0.85,0.85,385500
2012-03-30,0.86,0.88,0.8,0.8,0.8,422400
2012-04-02,0.81,0.83,0.77,0.8,0.8,673200
2012-04-03,0.8,0.83,0.78,0.8,0.8,177400
2012-04-04,0.8,0.8,0.78,0.78,0.78,341600
2012-04-05,0.78,0.8,0.77,0.78,0.78,177700
2012-04-09,0.76,0.79,0.74,0.75,0.75,333800
2012-04-10,0.75,0.78,0.69,0.73,0.73,289000
2012-04-11,0.74,0.75,0.71,0.73,0.73,181000
2012-04-12,0.73,0.75,0.7,0.71,0.71,254500
2012-04-13,0.71,0.73,0.69,0.69,0.69,215900
2012-04-16,0.7,0.76,0.7,0.7,0.7,285600
2012-04-17,0.74,0.75,0.7,0.72,0.72,312100
2012-04-18,0.71,0.75,0.71,0.73,0.73,261000
2012-04-19,0.71,0.76,0.71,0.73,0.73,213500
2012-04-20,0.79,0.8,0.7,0.72,0.72,335800
2012-04-23,0.71,0.72,0.68,0.71,0.71,228700
2012-04-24,0.71,0.76,0.7,0.73,0.73,277800
2012-04-25,0.74,0.8,0.72,0.77,0.77,359400
2012-04-26,0.77,0.77,0.73,0.75,0.75,121900
2012-04-27,0.75,0.79,0.73,0.74,0.74,95900
2012-04-30,0.74,0.79,0.7,0.7,0.7,152000
2012-05-01,0.7,0.77,0.7,0.7,0.7,209000
2012-05-02,0.7,0.75,0.7,0.75,0.75,208700
2012-05-03,0.75,0.76,0.71,0.73,0.73,234700
2012-05-04,0.71,0.76,0.71,0.74,0.74,346500
2012-05-07,0.73,0.74,0.73,0.73,0.73,101000
2012-05-08,0.73,0.76,0.72,0.74,0.74,134200
2012-05-09,0.73,0.76,0.73,0.76,0.76,392700
2012-05-10,0.76,0.83,0.73,0.78,0.78,309000
2012-05-11,0.77,0.84,0.75,0.79,0.79,276100
2012-05-14,0.78,0.81,0.77,0.78,0.78,230200
2012-05-15,0.78,0.84,0.78,0.82,0.82,121000
2012-05-16,0.82,0.84,0.78,0.79,0.79,293800
2012-05-17,0.79,0.83,0.78,0.78,0.78,201800
2012-05-18,0.76,0.82,0.75,0.76,0.76,1473700
2012-05-21,0.78,0.82,0.78,0.8,0.8,237200
2012-05-22,0.8,0.81,0.78,0.8,0.8,184000
2012-05-23,0.8,0.82,0.78,0.79,0.79,194000
2012-05-24,0.79,0.91,0.79,0.86,0.86,1057100
2012-05-25,0.86,0.95,0.86,0.93,0.93,573800
2012-05-29,0.94,0.96,0.9,0.9,0.9,263500
2012-05-30,0.9,0.92,0.87,0.88,0.88,212000
2012-05-31,0.88,0.91,0.8,0.81,0.81,2552800
2012-06-01,0.8,0.86,0.8,0.83,0.83,203300
2012-06-04,0.84,0.84,0.8,0.82,0.82,263600
2012-06-05,0.81,0.85,0.81,0.84,0.84,243400
2012-06-06,0.85,0.9,0.82,0.88,0.88,164900
2012-06-07,0.9,0.9,0.82,0.85,0.85,180600
2012-06-08,0.85,0.9,0.82,0.85,0.85,159300
2012-06-11,0.86,0.9,0.8,0.8,0.8,192200
2012-06-12,0.81,0.86,0.79,0.83,0.83,148300
2012-06-13,0.82,0.86,0.8,0.8,0.8,129500
2012-06-14,0.81,0.89,0.8,0.89,0.89,231400
2012-06-15,0.88,0.88,0.83,0.84,0.84,298100
2012-06-18,0.84,0.89,0.83,0.84,0.84,206400
2012-06-19,0.84,0.89,0.84,0.84,0.84,376900
2012-06-20,0.84,0.86,0.81,0.82,0.82,203800
2012-06-21,0.82,0.87,0.81,0.82,0.82,488000
2012-06-22,0.83,0.86,0.78,0.79,0.79,11594800
2012-06-25,0.89,0.89,0.8,0.8,0.8,307000
2012-06-26,0.83,0.84,0.79,0.79,0.79,253900
2012-06-27,0.82,0.83,0.8,0.82,0.82,221900
2012-06-28,0.84,0.93,0.82,0.9,0.9,444100
2012-06-29,0.92,0.93,0.9,0.91,0.91,313800
2012-07-02,0.92,0.94,0.91,0.92,0.92,196800
2012-07-03,0.94,1.11,0.92,1.03,1.03,464100
2012-07-05,1.05,1.11,1.04,1.1,1.1,693200
2012-07-06,1.13,1.14,1.02,1.07,1.07,533500
2012-07-09,1.03,1.07,0.99,1.04,1.04,260800
2012-07-10,1.05,1.1,1.0,1.05,1.05,323500
2012-07-11,1.09,1.15,1.05,1.12,1.12,438900
2012-07-12,1.13,1.15,1.1,1.11,1.11,318300
2012-07-13,1.12,1.13,1.07,1.11,1.11,185800
2012-07-16,1.12,1.22,1.11,1.2,1.2,624600
2012-07-17,1.24,1.25,1.15,1.16,1.16,383900
2012-07-18,1.16,1.2,1.14,1.16,1.16,250800
2012-07-19,1.16,1.19,1.03,1.03,1.03,383800
2012-07-20,1.02,1.2,1.02,1.16,1.16,397300
2012-07-23,1.18,1.18,1.09,1.13,1.13,213400
2012-07-24,1.14,1.18,1.05,1.11,1.11,226800
