Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,2.433775,2.454975,2.412575,2.421055,1.447954,979711
2012-02-07,2.425295,2.450735,2.416815,2.421055,1.447954,1110135
2012-02-08,2.438015,2.442255,2.404095,2.412575,1.442883,976409
2012-02-09,2.412575,2.425295,2.361695,2.365935,1.414989,1072871
2012-02-10,2.344735,2.348975,2.285374,2.298094,1.374416,1397161
2012-02-13,2.340495,2.370175,2.306574,2.361695,1.412453,1375935
2012-02-14,2.353215,2.374415,2.336255,2.340495,1.399774,1135606
2012-02-15,2.357455,2.365935,2.293854,2.302334,1.376951,1267681
2012-02-16,2.298094,2.370175,2.289614,2.357455,1.409917,1321454
2012-02-17,2.370175,2.425295,2.361695,2.412575,1.442883,1576877
2012-02-21,2.429535,2.446495,2.374415,2.382895,1.425132,1215794
2012-02-22,2.374415,2.408335,2.323534,2.323534,1.38963,1065795
2012-02-23,2.327774,2.412575,2.323534,2.391375,1.430204,1021692
2012-02-24,2.391375,2.438015,2.361695,2.412575,1.442883,1148342
2012-02-27,2.387135,2.416815,2.340495,2.370175,1.417524,918862
2012-02-28,2.374415,2.399855,2.361695,2.391375,1.430204,848580
2012-02-29,2.408335,2.408335,2.302334,2.310814,1.382023,1929233
2012-03-01,2.289614,2.408335,2.192094,2.370175,1.417524,4251624
2012-03-02,2.370175,2.450735,2.353215,2.446495,1.463169,3069085
2012-03-05,2.442255,2.539776,2.442255,2.527056,1.51135,2956821
2012-03-06,2.501616,2.510096,2.429535,2.446495,1.463169,3168848
2012-03-07,2.446495,2.560976,2.446495,2.522816,1.508814,2663899
2012-03-08,2.544016,2.544016,2.501616,2.544016,1.521493,1845507
2012-03-09,2.539776,2.577936,2.505856,2.535536,1.516422,2252109
2012-03-12,2.535536,2.544016,2.510096,2.518576,1.506278,1161785
2012-03-13,2.548256,2.633056,2.535536,2.628816,1.572209,3384413
2012-03-14,2.620336,2.679697,2.611856,2.633056,1.574745,2158713
2012-03-15,2.772977,2.862018,2.722097,2.772977,1.658428,7282266
2012-03-16,2.772977,2.845058,2.772977,2.785697,1.666035,6806090
2012-03-19,2.836578,2.840818,2.789937,2.806897,1.678714,5563645
2012-03-20,2.806897,2.828098,2.798417,2.823858,1.688858,3034887
2012-03-21,2.840818,2.862018,2.828098,2.853538,1.706608,3583940
2012-03-22,2.751777,2.806897,2.747537,2.777217,1.711835,2653285
2012-03-23,2.768737,2.781457,2.747537,2.777217,1.711835,1672631
2012-03-26,2.802657,2.815378,2.760257,2.781457,1.714449,2056355
2012-03-27,2.789937,2.789937,2.747537,2.747537,1.693541,1756121
2012-03-28,2.756017,2.768737,2.734817,2.747537,1.693541,2612484
