Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,6.75,6.95,6.75,6.8,6.8,3320
2012-02-07,6.9,6.9,6.65,6.65,6.65,5200
2012-02-08,6.7,6.8,6.65,6.75,6.75,5740
2012-02-09,6.7,7.25,6.7,7.15,7.15,49100
2012-02-10,7.1,7.1,6.65,6.8,6.8,18380
2012-02-13,7.05,7.05,6.8,6.85,6.85,9380
2012-02-14,6.7,6.8,6.25,6.45,6.45,22440
2012-02-15,6.6,6.8,6.55,6.65,6.65,4880
2012-02-16,6.6,6.8,6.45,6.45,6.45,9440
2012-02-17,6.35,6.45,6.2,6.2,6.2,13360
2012-02-21,6.2,6.25,5.55,5.75,5.75,29280
2012-02-22,5.7,5.95,5.4,5.95,5.95,21360
2012-02-23,5.95,6.2,5.95,6.2,6.2,6340
2012-02-24,6.05,6.15,5.9,6.15,6.15,4760
2012-02-27,6.05,6.15,6.0,6.1,6.1,6020
2012-02-28,5.95,6.15,5.9,6.0,6.0,2740
2012-02-29,6.0,6.35,5.9,6.0,6.0,12040
2012-03-01,6.0,6.45,6.0,6.25,6.25,14000
2012-03-02,6.25,6.25,5.95,6.0,6.0,7540
2012-03-05,5.9,6.35,5.85,5.85,5.85,9100
2012-03-06,5.85,6.0,5.75,5.85,5.85,6640
2012-03-07,5.85,6.0,5.75,5.8,5.8,3760
2012-03-08,5.8,5.8,5.6,5.75,5.75,6260
2012-03-09,5.6,6.0,5.45,6.0,6.0,8840
2012-03-12,5.9,5.9,5.65,5.65,5.65,5640
2012-03-13,5.65,6.0,5.65,5.65,5.65,1180
2012-03-14,5.9,5.9,5.7,5.85,5.85,7280
2012-03-15,5.65,5.8,5.65,5.75,5.75,9200
2012-03-16,5.7,5.8,5.55,5.55,5.55,8540
2012-03-19,5.55,5.85,5.55,5.85,5.85,9040
2012-03-20,5.85,5.85,5.6,5.85,5.85,6040
2012-03-21,5.9,6.2,5.75,5.75,5.75,12520
