Date,Open,High,Low,Close,Adj Close,Volume
2020-10-15,12.25,12.49,11.95,12.15,11.966908,39485500
2020-10-16,12.13,12.13,11.91,11.91,11.730524,6006800
2020-10-19,11.92,11.94,11.74,11.89,11.710826,5884300
2020-10-20,11.9,11.94,11.805,11.88,11.700976,2929400
2020-10-21,11.88,12.5,11.8,12.4,12.21314,20829300
2020-10-22,12.33,12.5,12.28,12.48,12.291934,4070800
2020-10-23,12.49,12.49,12.11,12.26,12.075251,2034700
2020-10-26,12.05,12.25,12.05,12.08,11.897963,2336600
2020-10-27,12.17,12.17,12.0,12.0,11.819168,1562900
2020-10-28,12.0,12.0,11.82,11.93,11.750223,2149500
2020-10-29,11.95,12.05,11.89,12.02,11.838867,1256600
2020-10-30,12.0,12.03,11.89,11.95,11.769921,690200
2020-11-02,11.96,12.0,11.9,11.95,11.769921,680000
2020-11-03,11.99,12.15,11.95,12.05,11.868415,1792800
2020-11-04,12.0,12.15,11.96,12.06,11.878264,1281200
2020-11-05,12.05,12.29,12.0,12.26,12.075251,2224900
2020-11-06,12.24,12.4,12.18,12.31,12.124497,1227700
2020-11-09,12.45,12.78,12.35,12.73,12.538166,4309600
2020-11-10,12.71,12.95,12.69,12.91,12.715454,1337300
2020-11-11,12.97,13.185,12.92,13.08,12.882892,1867100
2020-11-12,13.05,13.185,12.97,13.1,12.902592,1320100
2020-11-13,13.15,13.69,13.15,13.62,13.414755,2064000
2020-11-16,13.73,13.955,13.73,13.94,13.729933,2327900
2020-11-17,13.89,14.34,13.81,14.32,14.104207,2429500
2020-11-18,14.36,14.67,14.32,14.37,14.153453,1490400
2020-11-19,14.36,14.36,13.88,14.16,13.946618,1186100
2020-11-20,14.13,14.32,13.97,14.3,14.084509,664000
2020-11-23,14.3,14.5,14.2,14.49,14.271646,1117300
2020-11-24,14.5,14.78,14.475,14.7,14.478481,1548200
2020-11-25,14.64,14.75,14.52,14.71,14.48833,643300
2020-11-27,14.759,14.78,14.62,14.73,14.508027,610600
2020-11-30,14.71,14.92,14.34,14.8,14.576973,1825200
2020-12-01,14.87,15.03,14.82,15.02,14.793658,2590500
2020-12-02,15.02,15.09,14.94,15.05,14.823207,1474600
2020-12-03,15.06,15.62,15.01,15.41,15.177781,2512500
2020-12-04,15.49,15.65,15.32,15.56,15.325521,1633100
2020-12-07,15.57,15.65,15.38,15.58,15.34522,1618700
2020-12-08,15.54,15.75,15.5,15.66,15.424013,1436000
2020-12-09,15.66,15.99,15.57,15.93,15.689946,1503300
2020-12-10,15.82,16.049999,15.81,16.049999,15.808136,1664300
2020-12-11,15.86,16.24,15.85,16.190001,15.946026,3208500
2020-12-14,16.24,16.67,16.24,16.25,16.005123,3702500
2020-12-15,16.33,16.4,15.55,15.65,15.414164,2777500
2020-12-16,15.71,16.040001,15.3,15.79,15.552055,3581200
2020-12-17,15.85,16.0,15.78,15.81,15.571753,3424600
2020-12-18,15.8,16.09,15.57,15.82,15.581602,31548800
2020-12-21,15.72,15.83,15.02,15.82,15.581602,2206400
2020-12-22,15.81,16.43,15.65,16.4,16.152863,2142000
2020-12-23,16.4,16.690001,16.139999,16.68,16.428642,2347400
2020-12-24,16.530001,16.85,16.530001,16.799999,16.546833,775100
2020-12-28,16.85,16.889999,16.459999,16.57,16.320299,1263200
2020-12-29,16.59,16.665001,16.24,16.639999,16.389244,1152100
2020-12-30,16.67,16.700001,16.379999,16.459999,16.211958,858900
2020-12-31,16.5,16.540001,16.24,16.309999,16.06422,844400
2021-01-04,16.360001,16.375,15.485,15.74,15.502809,2042900
2021-01-05,15.77,16.219999,15.71,16.18,15.936178,1401700
2021-01-06,16.32,16.809999,16.280001,16.639999,16.389244,2296800
2021-01-07,16.73,17.049999,16.73,16.959999,16.704424,1572700
2021-01-08,16.92,16.92,16.23,16.540001,16.290752,810100
2021-01-11,16.32,16.6,16.290001,16.530001,16.280905,536800
2021-01-12,16.58,16.700001,16.113001,16.280001,16.03467,851500
2021-01-13,16.25,16.305,15.95,16.26,16.014975,2071500
2021-01-14,16.32,16.59,16.09,16.51,16.261206,640300
2021-01-15,16.360001,16.5,16.195,16.389999,16.143011,493600
2021-01-19,16.450001,16.57,16.24,16.4,16.152863,576900
2021-01-20,16.450001,16.49,16.15,16.32,16.074066,453200
2021-01-21,16.280001,16.299999,16.09,16.15,15.906631,585000
2021-01-22,16.02,16.23,15.88,16.23,15.985423,926700
2021-01-25,16.120001,16.43,15.96,16.299999,16.054369,810800
2021-01-26,16.389999,16.440001,16.120001,16.17,15.926329,557700
2021-01-27,15.96,16.190001,15.88,16.0,15.75889,1081200
2021-01-28,16.0,16.26,15.95,16.1,15.857384,876200
2021-01-29,16.1,16.33,15.87,15.94,15.699794,1255800
2021-02-01,15.99,16.200001,15.96,16.1,15.857384,565000
2021-02-02,16.200001,16.504999,16.115,16.209999,15.965726,909200
2021-02-03,16.15,16.32,16.059999,16.32,16.074066,502900
2021-02-04,16.290001,16.440001,16.24,16.299999,16.054369,788600
2021-02-05,16.370001,16.379999,16.129999,16.18,15.936178,1165600
2021-02-08,16.200001,16.360001,16.07,16.35,16.103617,1184600
2021-02-09,16.35,16.389999,16.1,16.23,15.985423,1029500
2021-02-10,16.129999,16.41,16.129999,16.23,15.985423,598800
2021-02-11,16.209999,16.485001,16.18,16.459999,16.211958,582300
2021-02-12,16.459999,16.780001,16.370001,16.719999,16.468039,954100
2021-02-16,16.799999,16.959999,16.764999,16.790001,16.536985,742700
2021-02-17,16.690001,16.860001,16.57,16.59,16.339998,391300
2021-02-18,16.610001,16.889999,16.59,16.700001,16.448341,519700
2021-02-19,16.67,16.860001,16.65,16.85,16.596081,509200
2021-02-22,16.85,17.299999,16.85,17.25,16.990053,1097800
2021-02-23,17.290001,17.58,16.92,17.23,16.970352,1279700
2021-02-24,17.290001,18.01,17.200001,17.959999,17.689356,1117000
2021-02-25,17.879999,18.299999,17.709999,17.98,17.709053,1487200
2021-02-26,17.879999,18.049999,17.42,17.610001,17.344629,902800
2021-03-01,17.790001,17.945,17.559999,17.809999,17.541616,509900
2021-03-02,17.67,18.17,17.540001,18.059999,17.847975,541300
2021-03-03,18.16,18.290001,17.610001,18.049999,17.838091,721100
2021-03-04,17.84,18.43,17.780001,17.879999,17.670088,1112600
2021-03-05,18.120001,18.27,17.629999,17.92,17.70962,848100
2021-03-08,17.950001,18.370001,17.93,18.18,17.966568,653100
2021-03-09,18.120001,18.455,17.764999,18.42,18.203749,675500
2021-03-10,18.379999,18.780001,18.219999,18.459999,18.243279,1035100
2021-03-11,18.51,18.91,18.110001,18.870001,18.648466,1222400
2021-03-12,18.9,19.309999,18.67,19.15,18.925177,1049300
2021-03-15,19.33,19.5,19.120001,19.25,19.024004,1317300
