Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,17.5,17.690001,16.58,17.200001,13.710876,10200
2012-02-07,16.9,17.690001,16.860001,17.27,13.855284,5600
2012-02-08,17.280001,17.620001,17.02,17.360001,13.92749,5700
2012-02-09,17.35,17.74,17.059999,17.440001,13.991672,4000
2012-02-10,17.33,17.530001,16.93,17.120001,13.734942,5100
2012-02-13,17.440001,17.540001,17.200001,17.540001,14.071902,3700
2012-02-14,17.51,17.51,17.15,17.18,13.78308,7900
2012-02-15,17.49,17.52,16.790001,17.15,13.759012,11600
2012-02-16,17.02,17.129999,16.52,17.09,13.710875,6000
2012-02-17,16.75,17.129999,16.73,16.73,13.422056,8500
2012-02-21,16.879999,17.1,16.459999,16.77,13.454144,4000
2012-02-22,16.629999,16.809999,16.35,16.370001,13.133235,3100
2012-02-23,16.389999,16.85,16.389999,16.85,13.518328,3100
2012-02-24,16.780001,16.780001,16.389999,16.459999,13.205441,3400
2012-02-27,16.35,16.82,16.35,16.690001,13.389968,1500
2012-02-28,16.360001,16.540001,16.360001,16.540001,13.269624,1400
2012-02-29,16.389999,16.389999,15.85,15.85,12.716055,7200
2012-03-01,15.9,16.129999,15.4,15.56,12.483394,8900
2012-03-02,15.6,15.86,14.59,14.65,11.753322,7700
2012-03-05,14.7,14.7,14.13,14.7,11.793437,7500
2012-03-06,14.41,14.52,14.01,14.06,11.279983,5300
2012-03-07,14.2,14.44,14.2,14.43,11.576822,5100
2012-03-08,14.51,14.51,14.22,14.48,11.616936,4800
2012-03-09,14.47,14.78,14.42,14.74,11.825529,6900
2012-03-12,14.8,14.8,14.55,14.63,11.73728,2600
2012-03-13,14.85,16.33,14.85,16.33,13.101148,10000
2012-03-14,16.059999,16.059999,15.83,15.84,12.708031,3000
2012-03-15,16.5,16.5,16.129999,16.290001,13.069056,2100
2012-03-16,16.34,16.76,16.049999,16.76,13.446127,31500
2012-03-19,16.6,16.84,16.35,16.700001,13.397988,6800
2012-03-20,16.459999,16.57,16.16,16.25,13.036963,4700
2012-03-21,16.370001,16.370001,15.9,16.16,12.964759,2700
2012-03-22,15.85,15.85,15.39,15.4,12.355028,2200
2012-03-23,15.37,16.4,15.36,16.4,13.157302,10800
2012-03-26,16.65,16.84,16.059999,16.68,13.381941,4700
2012-03-27,16.51,16.77,16.389999,16.77,13.454144,10100
2012-03-28,16.5,16.700001,16.450001,16.469999,13.213462,14900
2012-03-29,16.35,16.42,16.16,16.35,13.117188,3300
2012-03-30,16.57,16.6,16.139999,16.440001,13.189397,14300
2012-04-02,16.4,16.77,16.0,16.77,13.454144,15300
2012-04-03,16.76,16.879999,16.6,16.75,13.438099,9400
2012-04-04,16.549999,16.85,16.43,16.440001,13.189397,8800
2012-04-05,16.120001,16.76,16.120001,16.67,13.373919,1600
2012-04-09,16.18,16.41,16.18,16.209999,13.004873,3700
2012-04-10,16.139999,16.870001,15.3,15.32,12.290845,12300
2012-04-11,15.57,16.17,15.31,16.110001,12.924646,5300
2012-04-12,16.059999,16.33,15.88,16.32,13.093126,5600
2012-04-13,15.43,16.17,15.43,15.84,12.708031,7200
2012-04-16,16.059999,16.209999,15.64,16.120001,12.932671,1800
2012-04-17,15.91,16.48,15.91,16.43,13.181372,3600
2012-04-18,16.23,16.25,16.030001,16.17,12.972782,3800
2012-04-19,16.27,16.440001,16.040001,16.200001,12.996851,5700
2012-04-20,16.719999,16.73,16.41,16.530001,13.261602,8900
2012-04-23,16.209999,16.209999,15.8,15.8,12.675941,5100
2012-04-24,15.8,16.15,15.8,16.15,12.956736,2700
2012-04-25,16.35,16.389999,16.25,16.389999,13.14928,3200
2012-04-26,16.27,16.4,15.86,16.379999,13.141258,2000
2012-04-27,16.35,16.799999,16.35,16.5,13.237533,7200
2012-04-30,16.5,16.5,15.83,16.09,12.908602,5700
2012-05-01,16.040001,16.469999,14.66,14.86,11.921798,7200
2012-05-02,15.05,15.24,14.6,15.04,12.066212,7500
2012-05-03,14.98,15.06,14.5,14.69,11.785412,16100
2012-05-04,14.61,14.86,14.49,14.6,11.713211,10300
2012-05-07,14.52,16.469999,14.52,16.059999,12.884528,15900
2012-05-08,16.01,16.35,16.0,16.16,12.964759,3800
2012-05-09,15.86,16.15,15.86,16.0,12.924372,5000
2012-05-10,16.200001,16.379999,15.91,16.299999,13.1667,16000
2012-05-11,16.17,16.35,16.17,16.299999,13.1667,4400
2012-05-14,16.120001,16.49,16.01,16.139999,13.037457,4100
2012-05-15,16.139999,16.139999,15.74,15.74,12.714345,1800
2012-05-16,15.89,16.4,15.76,15.89,12.835515,2500
2012-05-17,15.91,15.91,14.9,15.02,12.132751,8300
2012-05-18,14.94,15.5,14.83,14.93,12.060055,7700
2012-05-21,14.98,15.39,14.98,15.35,12.399319,4200
2012-05-22,15.36,15.82,15.16,15.16,12.24584,3900
2012-05-23,15.09,15.87,15.09,15.71,12.690116,4600
2012-05-24,15.74,15.87,15.58,15.7,12.682038,2300
2012-05-25,15.76,15.86,15.43,15.65,12.64165,3000
2012-05-29,15.89,16.370001,15.5,15.8,12.762815,11000
2012-05-30,15.3,15.92,14.77,14.77,11.930809,4300
2012-05-31,14.93,16.24,14.8,15.89,12.835515,28500
2012-06-01,15.33,16.450001,15.22,15.22,12.294306,4500
2012-06-04,15.43,16.35,15.27,15.36,12.407395,3000
2012-06-05,15.43,15.93,15.39,15.76,12.730504,4000
2012-06-06,15.76,16.24,15.64,16.08,12.988995,6400
2012-06-07,16.129999,16.129999,15.96,16.110001,13.013222,7300
2012-06-08,15.92,16.290001,15.68,16.15,13.045536,7100
2012-06-11,16.35,16.35,14.98,15.37,12.415471,9300
2012-06-12,15.53,15.88,15.53,15.88,12.827435,3900
2012-06-13,15.86,16.030001,15.58,15.6,12.601261,9100
2012-06-14,15.8,16.07,15.62,16.07,12.980915,8900
2012-06-15,15.95,16.35,15.95,16.129999,13.029378,22700
2012-06-18,15.96,16.190001,15.96,16.190001,13.077847,6200
2012-06-19,16.15,16.389999,15.93,16.379999,13.23132,8800
2012-06-20,16.27,16.27,15.87,16.129999,13.029378,2500
2012-06-21,16.08,16.34,15.85,15.85,12.803204,4300
2012-06-22,16.0,16.65,16.0,16.540001,13.36057,69900
2012-06-25,16.139999,16.48,15.86,15.93,12.867824,9400
2012-06-26,16.0,16.290001,16.0,16.190001,13.077847,8400
2012-06-27,16.27,16.35,16.0,16.35,13.207088,12300
2012-06-28,16.18,16.82,15.99,16.18,13.069769,19000
2012-06-29,16.620001,16.620001,16.129999,16.389999,13.2394,15400
2012-07-02,16.219999,16.780001,16.219999,16.780001,13.554435,13200
2012-07-03,16.65,16.889999,16.65,16.75,13.5302,5700
2012-07-05,16.58,16.889999,16.48,16.74,13.522126,12200
2012-07-06,16.52,16.75,16.200001,16.68,13.473657,11800
2012-07-09,16.77,16.82,16.440001,16.549999,13.368648,14500
2012-07-10,16.75,16.950001,16.59,16.940001,13.683677,28700
2012-07-11,16.59,16.85,16.51,16.75,13.5302,17900
2012-07-12,16.620001,16.74,16.309999,16.42,13.263632,9100
2012-07-13,16.42,16.809999,16.42,16.77,13.546353,32000
2012-07-16,16.719999,16.74,16.049999,16.690001,13.481736,14700
2012-07-17,16.860001,16.860001,16.440001,16.68,13.473657,20600
2012-07-18,16.73,16.780001,16.360001,16.530001,13.352489,18900
2012-07-19,16.620001,16.85,16.0,16.629999,13.433267,23800
2012-07-20,17.0,17.0,16.280001,16.280001,13.150547,22700
2012-07-23,16.35,16.74,16.24,16.24,13.118234,15600
2012-07-24,16.26,16.860001,16.110001,16.15,13.045536,8800
2012-07-25,16.24,16.790001,16.200001,16.200001,13.085925,6200
2012-07-26,16.540001,16.540001,16.129999,16.27,13.14247,10000
2012-07-27,16.440001,16.530001,16.200001,16.49,13.320175,21600
2012-07-30,16.389999,16.76,16.389999,16.49,13.320175,10900
2012-07-31,16.43,16.950001,16.43,16.610001,13.417111,36700
2012-08-01,16.629999,16.809999,16.309999,16.370001,13.223246,34100
2012-08-02,16.360001,16.639999,16.27,16.290001,13.158626,16900
2012-08-03,16.6,16.790001,16.360001,16.780001,13.554435,13400
2012-08-06,16.549999,16.9,16.459999,16.719999,13.505961,15100
2012-08-07,16.67,16.74,16.440001,16.610001,13.417111,22800
2012-08-08,16.780001,16.780001,16.469999,16.57,13.384799,5800
2012-08-09,16.629999,16.639999,16.110001,16.35,13.207088,10600
2012-08-10,16.24,16.440001,16.08,16.120001,13.109501,3500
2012-08-13,16.15,16.34,16.1,16.23,13.198959,4300
2012-08-14,16.34,16.34,16.0,16.040001,13.04444,7000
2012-08-15,16.02,16.34,16.02,16.34,13.288416,4600
2012-08-16,16.32,16.559999,16.18,16.559999,13.467328,3000
2012-08-17,16.5,16.98,16.469999,16.950001,13.784495,19700
2012-08-20,16.969999,17.0,16.82,16.82,13.678771,7700
2012-08-21,16.559999,16.92,16.52,16.73,13.60558,19200
2012-08-22,16.379999,16.74,16.379999,16.58,13.483594,6000
2012-08-23,16.52,16.719999,16.5,16.57,13.47546,4200
2012-08-24,16.540001,16.75,16.5,16.67,13.556787,7700
2012-08-27,16.75,16.75,16.540001,16.559999,13.467328,9600
2012-08-28,16.629999,16.73,16.030001,16.139999,13.125766,24800
2012-08-29,16.139999,16.540001,15.94,15.98,12.995646,13300
2012-08-30,15.78,15.95,14.84,15.17,12.336919,20700
2012-08-31,15.19,16.040001,15.19,15.84,12.881793,6900
2012-09-04,15.75,16.200001,15.53,15.82,12.865526,13600
2012-09-05,15.89,16.15,15.55,15.85,12.889925,20600
2012-09-06,16.07,16.33,15.5,16.1,13.093239,23200
2012-09-07,16.24,16.49,15.95,16.190001,13.166428,19000
2012-09-10,16.190001,16.299999,15.9,16.129999,13.117632,25400
2012-09-11,16.059999,16.190001,15.78,16.09,13.085104,20900
2012-09-12,16.049999,16.34,15.88,16.17,13.150163,19400
2012-09-13,16.190001,16.969999,16.190001,16.950001,13.784495,10000
2012-09-14,17.0,17.1,16.870001,17.09,13.89835,11100
2012-09-17,17.1,17.25,16.950001,17.120001,13.922746,4800
2012-09-18,17.02,17.23,16.950001,17.23,14.012199,7100
2012-09-19,17.139999,17.139999,16.73,16.73,13.60558,5000
2012-09-20,16.530001,16.870001,16.17,16.459999,13.386003,24500
2012-09-21,16.77,17.15,16.42,17.15,13.947142,54100
2012-09-24,16.9,17.459999,16.790001,16.92,13.760095,7100
2012-09-25,17.02,17.5,17.02,17.25,14.028464,21300
2012-09-26,17.27,17.389999,16.190001,16.84,13.695037,16900
2012-09-27,17.02,17.34,16.809999,17.32,14.085393,3400
2012-09-28,17.209999,17.209999,17.08,17.08,13.890215,5000
2012-10-01,17.32,17.33,16.799999,17.17,13.963408,8200
2012-10-02,17.290001,17.33,17.110001,17.299999,14.06913,6300
