Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,5.36,5.44,5.16,5.32,4.088519,97200
2012-02-07,5.28,5.44,5.04,5.4,4.15,139525
2012-02-08,5.32,5.48,5.24,5.44,4.180741,85225
2012-02-09,5.52,5.6,5.36,5.44,4.180741,95125
2012-02-10,5.36,5.44,5.0,5.16,3.965555,101050
2012-02-13,5.24,5.44,5.08,5.28,4.057778,115200
2012-02-14,5.28,5.28,5.0,5.04,3.873333,103150
2012-02-15,5.04,5.4,4.84,5.04,3.873333,63400
2012-02-16,4.66,5.99,4.66,5.93,4.557314,310000
2012-02-17,5.55,5.63,5.15,5.33,4.096204,585700
2012-02-21,5.34,5.43,5.14,5.19,3.988611,205100
2012-02-22,5.17,5.29,5.03,5.11,3.92713,124500
2012-02-23,5.1,5.23,5.01,5.23,4.019352,109200
2012-02-24,5.22,5.26,5.12,5.24,4.027037,94000
2012-02-27,5.11,5.18,4.8,4.81,3.696574,228200
2012-02-28,4.81,4.91,4.38,4.4,3.381481,304500
2012-02-29,4.41,4.63,4.3,4.34,3.335371,262600
2012-03-01,4.32,4.34,4.08,4.16,3.197037,364900
2012-03-02,4.17,4.36,4.03,4.05,3.1125,274000
2012-03-05,4.02,4.08,3.85,3.94,3.027963,218800
2012-03-06,3.87,3.87,3.65,3.69,2.835833,322500
2012-03-07,3.72,3.89,3.7,3.78,2.905,156600
2012-03-08,3.79,4.07,3.76,3.99,3.066389,368600
2012-03-09,3.97,4.32,3.97,4.31,3.312315,717900
2012-03-12,4.3,4.43,4.25,4.33,3.327685,421400
2012-03-13,4.34,4.34,4.17,4.21,3.235463,363800
2012-03-14,4.19,4.25,4.03,4.11,3.158611,135000
2012-03-15,4.1,4.21,4.07,4.09,3.143241,126700
2012-03-16,4.1,4.4,4.1,4.37,3.358426,592300
2012-03-19,4.38,4.71,4.24,4.55,3.496759,536000
2012-03-20,4.51,5.0,4.5,4.9,3.765741,563300
2012-03-21,4.96,5.04,4.75,4.89,3.758055,355400
2012-03-22,4.84,4.95,4.67,4.8,3.688889,173300
2012-03-23,4.78,4.86,4.55,4.75,3.650463,155300
2012-03-26,4.84,4.95,4.69,4.89,3.758055,190200
2012-03-27,4.91,4.98,4.82,4.85,3.727315,165800
2012-03-28,4.85,4.93,4.68,4.89,3.758055,229300
2012-03-29,4.85,4.87,4.65,4.79,3.681204,142300
2012-03-30,4.83,4.86,4.75,4.77,3.665833,93400
2012-04-02,4.73,4.78,4.6,4.76,3.658148,186200
2012-04-03,4.74,4.76,4.52,4.63,3.558241,173600
2012-04-04,4.52,4.65,4.45,4.49,3.450648,203500
2012-04-05,4.46,4.63,4.46,4.59,3.5275,99800
2012-04-09,4.47,4.58,4.43,4.45,3.419907,151200
2012-04-10,4.46,4.59,4.12,4.17,3.204722,288300
2012-04-11,4.23,4.51,4.23,4.39,3.373796,198700
2012-04-12,4.39,4.62,4.39,4.56,3.504444,107000
2012-04-13,4.54,4.54,4.2,4.22,3.243148,144300
2012-04-16,4.27,4.28,4.06,4.11,3.158611,165400
2012-04-17,4.16,4.36,4.11,4.31,3.312315,138500
2012-04-18,4.27,4.28,4.15,4.22,3.243148,86600
2012-04-19,4.22,4.31,4.15,4.17,3.204722,83700
2012-04-20,4.27,4.27,3.91,3.97,3.051018,289700
2012-04-23,3.9,4.26,3.81,4.07,3.127871,323200
2012-04-24,4.1,4.29,4.1,4.18,3.212407,122200
2012-04-25,4.23,4.4,4.15,4.35,3.343055,156800
2012-04-26,4.33,4.47,4.32,4.42,3.396852,74600
2012-04-27,4.45,4.62,4.37,4.6,3.535185,218800
2012-04-30,4.58,4.64,4.51,4.52,3.473704,194000
2012-05-01,4.51,5.07,4.51,4.98,3.827222,471000
2012-05-02,4.89,5.04,4.78,4.99,3.834907,470500
2012-05-03,5.0,5.02,4.84,5.01,3.850278,522500
2012-05-04,5.05,5.05,4.35,4.38,3.366111,459900
2012-05-07,4.39,4.42,4.15,4.25,3.266204,207000
2012-05-08,4.21,4.21,4.03,4.18,3.212407,225800
2012-05-09,4.14,4.4,4.03,4.36,3.350741,299000
2012-05-10,4.5,4.74,4.43,4.53,3.481389,384000
2012-05-11,4.49,4.62,4.33,4.57,3.51213,302500
2012-05-14,4.45,4.48,4.26,4.28,3.289259,107300
2012-05-15,4.27,4.44,4.19,4.27,3.281574,132000
2012-05-16,4.29,4.43,4.08,4.09,3.143241,119600
2012-05-17,4.08,4.15,3.95,4.0,3.074074,218700
2012-05-18,4.01,4.03,3.81,3.87,2.974167,424200
2012-05-21,3.89,4.03,3.81,4.01,3.081759,89800
2012-05-22,4.0,4.11,3.95,4.0,3.074074,84000
2012-05-23,3.93,4.09,3.85,4.03,3.09713,195000
2012-05-24,4.03,4.03,3.86,3.93,3.020278,104400
2012-05-25,3.92,4.01,3.9,3.96,3.043333,51700
2012-05-29,3.97,4.03,3.89,3.97,3.051018,92100
2012-05-30,3.87,4.01,3.86,3.91,3.004907,62500
2012-05-31,3.91,4.13,3.77,4.1,3.150926,222400
2012-06-01,3.94,4.19,3.94,4.1,3.150926,137100
2012-06-04,4.14,4.23,3.9,4.01,3.081759,129200
2012-06-05,4.0,4.12,3.99,4.03,3.09713,133200
2012-06-06,4.08,4.15,4.0,4.14,3.181667,153200
2012-06-07,4.22,4.23,4.04,4.13,3.173981,200900
2012-06-08,4.1,4.17,3.92,3.99,3.066389,161000
2012-06-11,4.01,4.02,3.89,3.89,2.989537,182100
2012-06-12,3.94,4.28,3.92,4.15,3.189352,367600
2012-06-13,4.15,4.15,3.94,3.99,3.066389,87900
2012-06-14,4.01,4.01,3.85,3.9,2.997222,202400
2012-06-15,3.92,3.99,3.8,3.81,2.928056,246800
2012-06-18,3.79,3.9,3.67,3.7,2.843518,294500
2012-06-19,3.72,3.84,3.54,3.55,2.728241,281700
2012-06-20,3.5,3.87,3.45,3.71,2.851204,187700
2012-06-21,3.76,3.78,3.55,3.6,2.766667,346500
2012-06-22,3.63,3.88,3.6,3.82,2.935741,2869200
2012-06-25,3.79,3.95,3.72,3.72,2.858889,137500
2012-06-26,3.75,4.08,3.65,4.03,3.09713,326600
2012-06-27,4.0,4.34,3.9,4.22,3.243148,337200
2012-06-28,4.1,4.21,4.02,4.17,3.204722,157400
2012-06-29,4.24,4.43,4.2,4.42,3.396852,252200
2012-07-02,4.45,4.6,4.31,4.5,3.458333,207900
2012-07-03,4.47,4.6,4.38,4.51,3.466019,126600
2012-07-05,4.46,4.56,4.4,4.49,3.450648,66900
2012-07-06,4.45,4.52,4.36,4.45,3.419907,155800
2012-07-09,4.44,4.6,4.33,4.48,3.442963,145100
2012-07-10,4.45,4.56,4.36,4.4,3.381481,199300
2012-07-11,4.43,4.48,4.38,4.47,3.435277,56000
2012-07-12,4.39,4.45,4.25,4.25,3.266204,129300
2012-07-13,4.59,4.95,4.49,4.71,3.619722,365600
2012-07-16,4.69,4.99,4.69,4.8,3.688889,117700
2012-07-17,4.81,4.81,4.48,4.56,3.504444,75200
2012-07-18,4.53,4.75,4.49,4.7,3.612037,109500
2012-07-19,4.74,5.24,4.61,5.06,3.888704,428400
2012-07-20,5.02,5.04,4.79,4.84,3.71963,105600
2012-07-23,4.76,4.76,4.62,4.69,3.604352,93400
2012-07-24,4.68,4.71,4.45,4.46,3.427593,129400
2012-07-25,4.47,4.77,4.37,4.74,3.642777,152100
2012-07-26,4.79,4.84,4.64,4.77,3.665833,101000
2012-07-27,4.76,4.93,4.75,4.83,3.711944,86500
2012-07-30,4.83,4.94,4.75,4.87,3.742685,87900
2012-07-31,4.85,5.15,4.8,4.98,3.827222,177200
2012-08-01,5.01,5.01,4.81,4.87,3.742685,145200
2012-08-02,4.92,5.15,4.78,5.15,3.95787,91600
2012-08-03,5.13,5.15,4.94,5.02,3.857963,78800
2012-08-06,4.95,5.14,4.91,5.05,3.881019,137400
2012-08-07,5.12,5.3,5.1,5.16,3.965555,136500
2012-08-08,5.21,5.46,5.13,5.37,4.126944,165800
2012-08-09,5.32,5.34,5.06,5.09,3.911759,118500
2012-08-10,5.11,5.22,5.1,5.14,3.950185,43200
2012-08-13,5.1,5.15,4.82,4.93,3.788796,228500
2012-08-14,4.99,5.03,4.84,4.93,3.788796,108100
2012-08-15,4.89,5.05,4.86,5.01,3.850278,59900
2012-08-16,5.02,5.38,4.9,5.3,4.073148,272800
2012-08-17,5.28,5.38,5.2,5.35,4.111574,66600
2012-08-20,5.32,5.53,5.21,5.37,4.126944,167700
2012-08-21,5.4,5.44,5.21,5.25,4.034722,86300
2012-08-22,5.19,5.35,5.12,5.13,3.9425,58500
2012-08-23,4.97,5.29,4.97,5.24,4.027037,114100
2012-08-24,5.21,5.25,4.9,4.9,3.765741,128800
2012-08-27,4.9,5.03,4.74,5.0,3.842592,243500
2012-08-28,4.96,5.0,4.85,4.86,3.735,87800
2012-08-29,4.85,4.9,4.63,4.78,3.673519,52000
2012-08-30,4.73,4.8,4.61,4.63,3.558241,40400
2012-08-31,4.7,4.8,4.63,4.7,3.612037,59500
2012-09-04,4.67,4.7,4.58,4.66,3.581296,41300
2012-09-05,4.63,4.7,4.6,4.65,3.573611,84600
2012-09-06,4.65,4.94,4.63,4.92,3.781111,160400
2012-09-07,4.86,4.93,4.84,4.92,3.781111,69900
2012-09-10,4.87,4.94,4.81,4.82,3.704259,68700
2012-09-11,4.78,4.91,4.75,4.85,3.727315,38000
2012-09-12,4.83,4.92,4.74,4.9,3.765741,94200
2012-09-13,4.86,5.08,4.86,4.99,3.834907,98000
2012-09-14,5.0,5.15,5.0,5.12,3.934815,95400
2012-09-17,5.08,5.32,5.08,5.29,4.065463,147200
2012-09-18,5.23,5.32,5.08,5.13,3.9425,94700
2012-09-19,5.14,5.35,5.14,5.33,4.096204,84200
2012-09-20,5.25,5.65,5.25,5.53,4.249907,221400
2012-09-21,5.55,5.75,5.5,5.7,4.380555,248600
2012-09-24,5.63,5.72,5.49,5.59,4.296019,130900
2012-09-25,5.58,5.62,5.37,5.44,4.180741,67000
2012-09-26,5.46,5.75,5.3,5.75,4.418982,83800
2012-09-27,5.76,5.87,5.63,5.87,4.511204,290400
2012-09-28,5.64,5.65,5.49,5.65,4.34213,266600
2012-10-01,5.64,5.68,5.49,5.53,4.249907,106200
2012-10-02,5.52,5.59,5.49,5.52,4.242222,148500
2012-10-03,5.53,5.71,5.48,5.48,4.211482,227800
2012-10-04,5.52,5.58,5.46,5.49,4.219166,237400
2012-10-05,5.53,5.53,5.46,5.47,4.203796,103400
2012-10-08,5.46,5.52,5.37,5.38,4.13463,138200
2012-10-09,5.37,5.42,5.16,5.21,4.003982,93100
2012-10-10,5.2,5.26,5.0,5.02,3.857963,233700
2012-10-11,5.05,5.11,5.0,5.0,3.842592,39600
2012-10-12,5.04,5.04,4.91,4.93,3.788796,53600
2012-10-15,4.97,5.15,4.95,5.07,3.896389,29900
2012-10-16,5.07,5.11,4.98,5.07,3.896389,52900
2012-10-17,5.06,5.15,5.05,5.06,3.888704,35700
2012-10-18,5.07,5.13,4.99,4.99,3.834907,72900
2012-10-19,4.98,5.05,4.8,4.81,3.696574,103700
2012-10-22,4.81,4.9,4.74,4.8,3.688889,49800
2012-10-23,4.73,4.82,4.61,4.77,3.665833,121900
2012-10-24,4.82,4.82,4.6,4.62,3.550555,164200
2012-10-25,4.61,4.73,4.61,4.69,3.604352,65600
2012-10-26,4.65,4.88,4.64,4.73,3.635092,50800
2012-10-31,4.77,4.77,4.56,4.65,3.573611,23000
2012-11-01,4.65,4.96,4.65,4.88,3.750371,41500
2012-11-02,4.85,4.85,4.66,4.73,3.635092,35800
2012-11-05,4.78,4.82,4.75,4.77,3.665833,28000
2012-11-06,4.81,4.95,4.76,4.89,3.758055,46900
2012-11-07,4.79,4.86,4.65,4.8,3.688889,65800
2012-11-08,4.77,4.8,4.64,4.7,3.612037,44500
2012-11-09,4.75,4.81,4.72,4.74,3.642777,25000
2012-11-12,4.78,4.79,4.7,4.7,3.612037,6800
2012-11-13,4.64,4.78,4.64,4.65,3.573611,81600
2012-11-14,4.66,4.7,4.3,4.37,3.358426,47800
2012-11-15,4.31,4.35,4.1,4.22,3.243148,48900
