Date,Open,High,Low,Close,Adj Close,Volume
2018-06-21,13.49,13.92,13.22,13.64,11.568773,9950200
2018-06-22,13.75,13.9,13.6,13.6,11.534847,1478500
2018-06-25,13.64,13.72,13.415,13.72,11.636627,1875300
2018-06-26,13.7,13.7,13.48,13.68,11.602702,1035400
2018-06-27,13.73,13.81,13.64,13.68,11.602702,842200
2018-06-28,13.66,13.7,13.43,13.5,11.450032,721100
2018-06-29,13.53,13.62,13.32,13.54,11.483961,370000
2018-07-02,13.6,13.68,13.52,13.57,11.509401,176100
2018-07-03,13.77,13.8,13.47,13.47,11.424587,176000
2018-07-05,13.63,13.63,13.4,13.42,11.38218,235000
2018-07-06,13.34,13.55,13.34,13.46,11.416106,114300
2018-07-09,13.5,13.55,13.27,13.41,11.373698,501200
2018-07-10,13.4,13.55,13.4,13.4,11.365216,374400
2018-07-11,13.45,13.69,13.38,13.65,11.577254,420500
2018-07-12,13.61,14.09,13.61,14.03,11.899551,690800
2018-07-13,14.04,14.04,13.95,14.0,11.874108,222400
2018-07-16,14.0,14.08,13.755,13.94,11.823217,467500
2018-07-17,13.82,14.04,13.7,14.0,11.874108,386800
2018-07-18,14.0,14.0,13.85,13.91,11.797773,824300
2018-07-19,14.0,14.125,13.9,14.09,11.950442,513000
2018-07-20,14.09,14.15,13.93,14.0,11.874108,726500
2018-07-23,14.0,14.098,13.75,13.96,11.840181,263800
2018-07-24,14.04,14.11,13.9,14.0,11.874108,217800
2018-07-25,14.0,14.07,13.76,13.99,11.865627,191400
2018-07-26,14.0,14.05,13.801,14.0,11.874108,205200
2018-07-27,13.96,14.05,13.82,13.95,11.8317,231000
2018-07-30,13.96,14.0,13.77,13.82,11.72144,139400
2018-07-31,13.78,14.05,13.43,13.8,11.704479,269100
2018-08-01,13.89,13.95,13.53,13.62,11.551811,113700
2018-08-02,13.53,13.6,13.5,13.51,11.458513,658200
2018-08-03,13.51,13.67,13.3,13.52,11.466998,213200
2018-08-06,13.55,13.695,13.31,13.52,11.466998,245100
2018-08-07,13.61,13.86,13.54,13.74,11.653588,344500
2018-08-08,13.8,13.9,13.545,13.75,11.662068,215800
2018-08-09,13.56,14.0,13.56,13.93,11.814736,357500
2018-08-10,13.9,14.05,13.7,13.96,11.840181,473100
2018-08-13,13.93,14.0,13.75,13.9,11.789293,150900
2018-08-14,13.9,14.02,13.74,13.9,11.789293,225800
2018-08-15,14.04,14.04,13.685,13.75,11.662068,283200
2018-08-16,13.79,14.12,13.69,14.1,11.958923,316500
2018-08-17,14.03,14.06,13.83,13.93,11.814736,360000
2018-08-20,13.97,14.29,13.94,14.14,11.992847,552200
2018-08-21,14.14,14.29,14.029,14.24,12.077663,400300
2018-08-22,14.35,14.4,14.171,14.3,12.128552,455700
2018-08-23,14.34,14.69,14.29,14.47,12.272738,359000
2018-08-24,14.58,14.7,14.52,14.55,12.340591,176400
2018-08-27,14.55,14.75,14.25,14.47,12.272738,323800
2018-08-28,14.44,14.72,14.39,14.53,12.323627,335700
2018-08-29,14.52,14.73,14.47,14.53,12.323627,179000
2018-08-30,14.51,14.585,14.25,14.29,12.120071,221500
2018-08-31,14.28,14.41,14.03,14.26,12.094628,591800
2018-09-04,14.27,14.61,14.19,14.35,12.170961,668000
2018-09-05,14.37,14.61,14.184,14.5,12.298183,344900
2018-09-06,14.5,14.57,14.28,14.51,12.306665,539800
2018-09-07,14.44,14.59,14.21,14.28,12.111589,233400
2018-09-10,14.39,14.62,14.26,14.56,12.349072,459000
2018-09-11,14.57,14.69,14.38,14.54,12.33211,470800
2018-09-12,14.56,14.72,14.43,14.53,12.323627,448400
2018-09-13,14.54,14.69,14.475,14.49,12.289701,315900
2018-09-14,14.52,14.56,14.295,14.45,12.255777,426000
2018-09-17,14.37,14.57,14.275,14.39,12.204885,333900
2018-09-18,14.36,14.5,14.15,14.35,12.170961,423200
2018-09-19,14.35,14.56,14.3,14.39,12.204885,754700
2018-09-20,14.43,14.6,14.43,14.5,12.298183,1427200
2018-09-21,14.44,14.57,14.3,14.45,12.255777,5376000
2018-09-24,14.35,14.43,14.19,14.19,12.035256,610500
2018-09-25,14.18,14.7,14.16,14.33,12.153998,723300
2018-09-26,14.31,14.51,14.07,14.14,11.992847,571300
2018-09-27,13.9,14.15,13.85,14.07,12.125566,354600
2018-09-28,14.05,14.19,13.91,14.19,12.228983,308700
2018-10-01,14.21,14.32,14.14,14.24,12.272073,581200
2018-10-02,14.2,14.3,14.12,14.15,12.19451,192100
2018-10-03,14.14,14.231,14.0,14.0,12.065241,659200
2018-10-04,13.94,13.94,13.72,13.8,11.892881,276400
2018-10-05,13.79,13.939,13.61,13.88,11.961826,272900
2018-10-08,13.87,14.13,13.87,14.01,12.073858,293200
2018-10-09,13.99,14.09,13.93,14.0,12.065241,200300
2018-10-10,13.95,14.08,13.81,13.88,11.961826,443800
2018-10-11,13.86,13.86,13.5,13.63,11.746373,422000
2018-10-12,13.63,13.63,13.4,13.42,11.565395,658300
2018-10-15,13.49,13.87,13.35,13.8,11.892881,273800
2018-10-16,13.8,14.06,13.69,13.99,12.056622,507900
2018-10-17,13.95,14.06,13.855,13.99,12.056622,205000
2018-10-18,13.96,14.2,13.7,13.9,11.97906,413300
2018-10-19,13.88,14.02,13.65,13.91,11.987677,319200
2018-10-22,13.92,14.15,13.74,13.75,11.849788,1108800
2018-10-23,13.61,13.89,13.61,13.69,11.798082,883500
2018-10-24,13.65,13.79,13.39,13.42,11.565395,1062000
2018-10-25,13.47,13.68,13.08,13.56,11.686049,1135000
2018-10-26,13.42,13.67,13.14,13.46,11.599867,568800
2018-10-29,13.56,13.76,13.51,13.59,11.711901,276000
2018-10-30,13.57,13.98,13.57,13.77,11.867027,465100
2018-10-31,13.91,13.92,13.59,13.6,11.720521,241100
2018-11-01,13.62,13.8,13.62,13.76,11.858409,130700
2018-11-02,13.81,13.81,13.05,13.47,11.608485,428400
2018-11-05,13.89,14.08,13.45,13.96,12.030769,459300
2018-11-06,14.02,14.35,13.89,14.07,12.125566,804100
2018-11-07,14.15,14.37,14.0,14.13,12.177276,352600
2018-11-08,14.04,14.29,14.04,14.16,12.203128,222600
2018-11-09,14.13,14.23,13.96,14.04,12.099712,162600
2018-11-12,14.05,14.23,14.01,14.07,12.125566,279800
2018-11-13,14.13,14.24,14.03,14.11,12.160039,353200
2018-11-14,14.25,14.38,13.95,13.95,12.02215,1442700
2018-11-15,13.61,14.02,13.53,13.94,12.013534,837200
2018-11-16,13.89,14.1,13.75,13.95,12.02215,766100
2018-11-19,13.93,14.04,13.76,13.77,11.867027,462200
2018-11-20,13.71,13.81,13.44,13.46,11.599867,499700
2018-11-21,13.48,13.84,13.29,13.76,11.858409,307100
2018-11-23,13.72,13.995,13.64,13.86,11.944588,154000
2018-11-26,13.91,14.0,13.76,13.78,11.875644,228600
2018-11-27,13.73,14.02,13.73,14.0,12.065241,617000
2018-11-28,13.94,14.21,13.82,14.2,12.2376,1050900
2018-11-29,14.18,14.43,14.075,14.37,12.384109,604100
2018-11-30,14.28,14.45,14.02,14.15,12.19451,2937200
2018-12-03,14.29,14.46,14.18,14.42,12.427197,606200
2018-12-04,14.39,14.59,14.16,14.22,12.254837,536300
2018-12-06,14.12,14.69,13.955,14.65,12.625413,746300
2018-12-07,14.62,14.69,14.515,14.61,12.59094,618600
2018-12-10,14.59,14.75,14.23,14.3,12.323782,701600
2018-12-11,14.48,14.56,14.32,14.41,12.41858,246900
2018-12-12,14.63,14.63,14.17,14.22,12.254837,249400
2018-12-13,14.33,14.5,13.95,13.99,12.056622,348700
2018-12-14,13.99,13.99,13.57,13.85,11.935972,405200
2018-12-17,13.93,13.93,13.29,13.39,11.539541,438200
2018-12-18,13.55,13.945,13.44,13.57,11.694663,1123500
2018-12-19,13.68,13.94,13.42,13.57,11.694663,568300
2018-12-20,13.6,13.7,13.06,13.43,11.574015,662100
