Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,32.41,32.759998,32.119999,32.689999,30.651033,126400
2012-02-07,32.619999,32.939999,32.240002,32.630001,30.59477,166400
2012-02-08,32.740002,35.549999,31.860001,34.630001,32.470032,492000
2012-02-09,34.720001,35.080002,34.400002,34.630001,32.470032,215800
2012-02-10,34.34,35.619999,34.080002,35.450001,33.238857,310000
2012-02-13,35.75,36.619999,35.57,36.490002,34.214012,314600
2012-02-14,36.279999,36.279999,35.529999,35.869999,33.632679,127300
2012-02-15,35.93,36.009998,35.369999,35.580002,33.360771,132200
2012-02-16,35.540001,36.77,35.540001,36.720001,34.429657,155500
2012-02-17,36.860001,36.990002,36.41,36.59,34.307781,66400
2012-02-21,36.619999,37.049999,36.490002,36.799999,34.504673,98700
2012-02-22,36.700001,36.939999,35.5,36.310001,34.045246,107800
2012-02-23,36.41,36.759998,36.099998,36.669998,34.382793,96700
2012-02-24,36.77,36.790001,36.369999,36.560001,34.279636,52700
2012-02-27,36.380001,36.610001,35.540001,36.259998,33.998356,89600
2012-02-28,36.220001,36.68,35.889999,36.040001,33.792068,97300
2012-02-29,36.139999,36.77,35.610001,35.790001,33.557674,183600
2012-03-01,35.919998,36.09,35.439999,35.5,33.285755,173000
2012-03-02,35.470001,35.599998,34.93,35.0,32.816956,225300
2012-03-05,34.84,35.119999,34.389999,34.75,32.582535,117800
2012-03-06,34.32,34.439999,33.619999,33.66,31.560532,202700
2012-03-07,33.77,33.889999,33.529999,33.630001,31.532404,172000
2012-03-08,33.860001,34.040001,33.419998,34.0,31.879326,173000
2012-03-09,33.970001,34.669998,33.93,34.580002,32.423141,350500
2012-03-12,34.490002,34.66,34.299999,34.580002,32.423141,106200
2012-03-13,34.849998,35.349998,34.57,35.34,33.13575,155800
2012-03-14,35.369999,35.59,34.810001,35.09,32.901325,107300
2012-03-15,35.150002,35.650002,34.669998,35.549999,33.332634,84900
2012-03-16,35.540001,35.810001,35.43,35.52,33.304508,133200
2012-03-19,35.560001,36.540001,35.560001,36.009998,33.763958,116400
2012-03-20,35.790001,35.889999,35.349998,35.599998,33.379528,113700
2012-03-21,35.52,36.369999,35.52,35.98,33.735821,97000
2012-03-22,35.610001,35.830002,35.110001,35.830002,33.595173,152400
2012-03-23,35.75,36.84,35.57,36.759998,34.467171,134200
2012-03-26,37.169998,37.459999,36.939999,37.240002,34.917236,130800
2012-03-27,37.349998,38.369999,37.299999,37.700001,35.348537,185300
2012-03-28,37.799999,37.799999,36.93,37.02,34.71096,133200
2012-03-29,36.759998,37.299999,36.369999,36.970001,34.66407,141200
2012-03-30,37.330002,37.330002,36.709999,36.77,34.476543,130200
2012-04-02,36.68,36.900002,36.23,36.869999,34.570301,184200
2012-04-03,36.799999,36.799999,35.810001,36.27,34.081684,164700
2012-04-04,35.779999,35.779999,35.25,35.709999,33.555477,128100
2012-04-05,35.610001,35.84,35.52,35.75,33.59306,84200
2012-04-09,35.209999,35.209999,34.759998,34.77,32.67218,147000
2012-04-10,34.709999,34.82,34.16,34.349998,32.277527,166000
2012-04-11,34.75,34.939999,34.529999,34.900002,32.794338,166900
2012-04-12,34.919998,35.27,34.860001,35.200001,33.076248,179600
2012-04-13,34.98,35.009998,34.450001,34.5,32.418468,112600
2012-04-16,34.77,34.91,34.209999,34.759998,32.662788,99200
2012-04-17,35.049999,35.650002,34.950001,35.41,33.273579,161800
2012-04-18,35.200001,35.200001,34.689999,34.709999,32.615803,153700
2012-04-19,34.799999,35.099998,34.43,34.610001,32.521835,156100
2012-04-20,34.959999,35.27,34.549999,34.82,32.719154,147700
2012-04-23,34.369999,34.369999,33.650002,34.23,32.164753,148200
2012-04-24,34.240002,34.549999,34.09,34.380001,32.305714,99800
2012-04-25,34.830002,34.889999,34.529999,34.610001,32.521835,74500
2012-04-26,34.669998,34.669998,34.290001,34.299999,32.230549,132300
2012-04-27,34.279999,34.77,34.02,34.619999,32.531239,141200
2012-04-30,34.5,34.52,34.049999,34.400002,32.324497,160000
2012-05-01,34.5,34.959999,34.310001,34.380001,32.305714,182600
2012-05-02,34.119999,34.209999,33.740002,34.09,32.033199,85000
2012-05-03,34.139999,34.599998,34.07,34.299999,32.230549,162700
2012-05-04,34.029999,34.119999,33.77,33.84,31.798288,143900
2012-05-07,33.669998,33.919998,33.369999,33.810001,31.770109,153000
2012-05-08,33.490002,34.029999,33.299999,33.880001,31.835867,134100
2012-05-09,33.450001,33.68,33.110001,33.189999,31.187511,159000
2012-05-10,34.610001,35.389999,34.040001,34.209999,32.145958,197700
2012-05-11,33.98,34.580002,33.98,34.23,32.164753,83000
2012-05-14,33.82,33.93,33.439999,33.540001,31.516401,85000
2012-05-15,33.450001,33.759998,33.299999,33.509998,31.48819,80000
2012-05-16,33.529999,34.41,33.32,34.209999,32.145958,327000
2012-05-17,34.130001,34.18,33.349998,33.43,31.413027,175700
2012-05-18,33.389999,33.720001,32.98,33.540001,31.516401,204800
2012-05-21,33.740002,34.110001,33.299999,34.02,31.967434,142600
2012-05-22,34.139999,34.400002,33.77,34.150002,32.0896,159000
2012-05-23,33.849998,34.549999,33.75,34.419998,32.343307,70000
2012-05-24,34.459999,34.470001,33.830002,34.439999,32.362099,86600
2012-05-25,34.5,34.779999,34.299999,34.630001,32.540634,114800
2012-05-29,34.959999,35.369999,34.849998,35.25,33.123215,95200
2012-05-30,34.849998,35.23,34.669998,34.990002,32.878922,143900
2012-05-31,35.099998,35.110001,34.57,34.900002,32.794338,273200
2012-06-01,34.110001,34.799999,34.07,34.220001,32.155357,260500
2012-06-04,34.32,34.5,33.439999,33.84,31.798288,99600
2012-06-05,33.619999,34.200001,33.43,33.959999,31.911051,77800
2012-06-06,34.299999,34.650002,33.970001,34.52,32.437263,84600
2012-06-07,35.049999,35.290001,34.450001,34.470001,32.390274,67600
2012-06-08,34.389999,35.130001,34.200001,35.0,32.888306,49500
2012-06-11,35.259998,35.259998,34.02,34.150002,32.0896,130700
2012-06-12,34.310001,34.799999,33.860001,34.740002,32.64399,73600
2012-06-13,34.650002,35.25,34.43,34.68,32.587605,112600
2012-06-14,34.790001,34.98,34.5,34.900002,32.794338,109000
2012-06-15,35.049999,35.32,34.939999,35.139999,33.019863,148900
2012-06-18,35.029999,35.66,34.990002,35.5,33.358147,75500
2012-06-19,35.77,36.169998,35.540001,35.959999,33.790386,130800
2012-06-20,36.0,36.0,35.619999,35.700001,33.546066,92000
2012-06-21,35.59,35.77,35.299999,35.48,33.33934,95900
2012-06-22,35.720001,36.119999,35.66,35.990002,33.818577,212900
2012-06-25,35.59,35.599998,35.360001,35.450001,33.311153,75400
2012-06-26,35.5,35.599998,34.91,35.310001,33.179607,92100
2012-06-27,35.380001,35.720001,35.240002,35.439999,33.301758,68500
2012-06-28,35.189999,35.509998,34.900002,35.509998,33.367546,51600
2012-06-29,36.169998,36.779999,35.91,36.439999,34.241417,136300
2012-07-02,36.639999,36.639999,35.75,36.389999,34.19445,109200
2012-07-03,36.150002,37.389999,36.029999,37.200001,35.032581,81800
2012-07-05,37.049999,37.540001,37.029999,37.130001,34.966652,42700
2012-07-06,36.709999,36.810001,36.240002,36.43,34.307449,27900
2012-07-09,36.259998,36.529999,36.009998,36.5,34.373363,61800
2012-07-10,36.810001,36.84,36.169998,36.299999,34.185032,55100
2012-07-11,36.240002,36.34,35.709999,35.860001,33.770668,48000
2012-07-12,35.689999,36.029999,35.18,35.779999,33.695316,84100
2012-07-13,35.84,36.73,35.84,36.709999,34.57114,68100
2012-07-16,36.5,36.73,36.299999,36.549999,34.420456,55000
2012-07-17,36.68,36.73,36.0,36.259998,34.147346,56800
2012-07-18,36.310001,36.700001,35.970001,36.490002,34.363956,76100
2012-07-19,36.630001,37.0,36.389999,36.400002,34.279198,44700
2012-07-20,36.18,36.349998,35.369999,35.389999,33.328037,79400
2012-07-23,34.939999,35.360001,34.580002,35.189999,33.139698,48300
2012-07-24,35.189999,35.189999,34.150002,34.27,32.2733,47100
2012-07-25,34.48,34.560001,34.16,34.27,32.2733,38800
2012-07-26,34.880001,35.259998,34.139999,34.799999,32.772411,80600
2012-07-27,34.869999,36.389999,34.700001,36.23,34.119114,77600
2012-07-30,36.23,36.849998,35.599998,35.799999,33.714142,33600
2012-07-31,35.689999,36.099998,35.59,36.009998,33.911911,82200
2012-08-01,36.240002,36.310001,34.459999,34.459999,32.452221,90100
2012-08-02,34.32,34.470001,33.900002,34.400002,32.395721,80400
2012-08-03,34.939999,36.669998,34.740002,36.439999,34.316875,60900
2012-08-06,36.57,37.27,36.549999,36.830002,34.684151,136500
2012-08-07,36.990002,37.009998,36.240002,36.349998,34.232117,85600
2012-08-08,36.200001,36.709999,36.130001,36.220001,34.109684,133200
2012-08-09,36.23,36.439999,35.73,36.23,34.119114,90800
2012-08-10,35.869999,36.91,33.049999,36.439999,34.316875,615400
2012-08-13,36.330002,36.66,35.23,35.900002,33.808334,108200
2012-08-14,35.98,36.080002,35.689999,36.02,33.921349,111300
2012-08-15,36.0,36.869999,36.0,36.810001,34.66531,126400
2012-08-16,36.849998,36.849998,36.209999,36.279999,34.166206,117700
2012-08-17,36.490002,36.630001,36.389999,36.580002,34.448704,75200
2012-08-20,36.48,36.5,36.169998,36.419998,34.298023,37300
2012-08-21,36.540001,36.939999,35.889999,36.130001,34.024933,107200
2012-08-22,36.330002,36.799999,35.84,36.049999,33.949585,114000
2012-08-23,35.900002,36.049999,35.610001,35.66,33.582317,54600
2012-08-24,35.540001,35.939999,35.5,35.59,33.516384,65600
2012-08-27,35.740002,35.849998,35.279999,35.389999,33.328037,44300
2012-08-28,35.330002,35.580002,35.16,35.389999,33.328037,95500
2012-08-29,35.419998,35.509998,35.200001,35.360001,33.299797,54900
2012-08-30,35.400002,35.43,34.889999,34.93,32.894833,43900
2012-08-31,35.27,35.549999,34.73,35.43,33.365719,101400
2012-09-04,35.41,35.41,34.5,35.099998,33.054951,180300
2012-09-05,35.209999,36.220001,34.990002,36.0,33.902508,131900
2012-09-06,36.259998,37.09,36.220001,36.990002,34.834824,160000
2012-09-07,37.029999,37.209999,36.75,36.91,34.759487,126800
2012-09-10,36.779999,37.299999,36.68,37.130001,34.966652,64400
2012-09-11,37.200001,37.740002,37.18,37.52,35.333942,54600
2012-09-12,37.639999,37.970001,37.490002,37.82,35.616467,61500
2012-09-13,37.73,38.84,37.560001,38.57,36.322765,81400
2012-09-14,38.709999,39.259998,38.580002,39.029999,36.755966,110900
2012-09-17,38.869999,39.029999,37.970001,38.349998,36.115585,57600
2012-09-18,38.139999,38.360001,38.02,38.279999,36.04966,96800
2012-09-19,38.27,38.799999,38.18,38.23,36.002567,76900
2012-09-20,37.939999,38.549999,37.939999,38.360001,36.125,75500
2012-09-21,38.900002,39.0,38.619999,38.810001,36.548786,129600
2012-09-24,38.68,39.259998,38.41,39.110001,36.831299,54900
2012-09-25,39.23,39.5,38.52,38.610001,36.360439,131600
2012-09-26,38.59,38.709999,38.09,38.27,36.040257,47100
2012-09-27,38.360001,38.689999,38.220001,38.630001,36.37928,69000
2012-09-28,38.41,39.27,38.060001,38.849998,36.586449,86500
2012-10-01,39.040001,39.310001,38.560001,38.720001,36.46402,81900
2012-10-02,38.790001,38.959999,38.369999,38.759998,36.501694,51800
2012-10-03,38.709999,38.93,38.130001,38.310001,36.152531,71700
2012-10-04,38.48,38.57,38.040001,38.5,36.331844,64900
2012-10-05,38.57,39.040001,38.259998,38.439999,36.275208,41700
2012-10-08,38.220001,38.5,38.130001,38.240002,36.086464,77200
2012-10-09,38.130001,38.419998,37.57,37.610001,35.491959,82100
2012-10-10,34.369999,34.880001,34.0,34.700001,32.745827,425200
2012-10-11,34.459999,34.98,34.34,34.669998,32.717522,198200
2012-10-12,34.599998,35.150002,34.52,35.02,33.047813,137800
2012-10-15,35.02,35.68,35.0,35.470001,33.472466,110900
2012-10-16,35.57,35.77,35.299999,35.549999,33.547966,81600
2012-10-17,35.549999,36.389999,35.52,36.259998,34.217979,115400
2012-10-18,36.16,36.279999,35.619999,36.09,34.057549,124300
2012-10-19,35.810001,36.029999,35.380001,35.459999,33.463028,94500
2012-10-22,35.349998,35.77,35.349998,35.57,33.566845,84000
2012-10-23,35.07,35.860001,35.029999,35.610001,33.604584,90800
2012-10-24,35.650002,36.02,35.380001,35.650002,33.642342,79000
2012-10-25,35.880001,36.330002,35.75,36.299999,34.255733,60400
2012-10-26,36.419998,36.84,36.400002,36.619999,34.557697,122300
2012-10-31,36.73,37.540001,36.73,37.439999,35.331535,87000
2012-11-01,37.560001,38.09,37.32,37.639999,35.520267,62500
2012-11-02,37.91,37.91,36.939999,36.939999,34.859673,54700
2012-11-05,36.98,38.0,36.650002,37.75,35.624073,61900
2012-11-06,37.790001,37.860001,37.369999,37.59,35.47308,83200
2012-11-07,37.049999,37.209999,36.380001,36.529999,34.472771,83100
2012-11-08,36.389999,36.52,35.889999,35.919998,33.897125,84100
2012-11-09,35.82,36.349998,35.700001,35.939999,33.915997,59000
2012-11-12,35.919998,36.299999,35.73,36.040001,34.010372,79700
2012-11-13,35.200001,36.110001,35.040001,35.700001,33.689514,93900
2012-11-14,35.869999,35.900002,34.689999,34.810001,32.84964,95000
2012-11-15,34.720001,34.860001,34.330002,34.599998,32.651451,157700
2012-11-16,34.48,35.060001,34.16,34.98,33.010056,107100
2012-11-19,35.349998,35.52,34.919998,35.209999,33.227104,63100
2012-11-20,35.09,35.220001,34.75,35.209999,33.227104,90100
2012-11-21,35.169998,35.369999,34.830002,35.279999,33.293163,43300
2012-11-23,35.43,35.970001,35.25,35.939999,33.915997,36500
2012-11-26,35.900002,36.650002,35.849998,36.610001,34.548275,69900
2012-11-27,36.509998,36.849998,36.209999,36.220001,34.180233,54500
2012-11-28,36.080002,36.669998,35.669998,36.650002,34.586018,60300
2012-11-29,36.990002,37.279999,36.740002,37.029999,34.944614,51100
2012-11-30,37.099998,37.099998,36.52,36.700001,34.633202,184800
2012-12-03,36.93,36.93,35.900002,36.369999,34.321777,128100
2012-12-04,36.330002,36.509998,35.709999,36.23,34.189682,162900
2012-12-05,36.299999,36.389999,35.73,36.099998,34.066982,93600
2012-12-06,36.23,36.23,35.57,35.82,33.802765,129400
2012-12-07,36.060001,36.060001,35.66,35.810001,33.793316,55800
2012-12-10,35.93,36.330002,35.75,36.110001,34.076427,165800
2012-12-11,36.299999,36.549999,36.02,36.360001,34.31234,148900
2012-12-12,36.549999,36.549999,35.970001,36.119999,34.085854,111600
2012-12-13,36.040001,36.139999,35.380001,35.650002,33.642342,51200
2012-12-14,36.900002,36.900002,35.189999,35.549999,33.547966,156600
2012-12-17,35.48,35.98,35.459999,35.810001,33.793316,75600
2012-12-18,35.970001,36.529999,35.84,36.490002,34.435028,149400
2012-12-19,36.459999,36.59,36.369999,36.459999,34.406704,88000
2012-12-20,36.450001,36.73,36.259998,36.709999,34.642635,97500
2012-12-21,36.400002,37.0,36.400002,36.75,34.680386,319300
2012-12-24,36.799999,36.970001,36.490002,36.740002,34.670952,167300
2012-12-26,38.349998,38.349998,36.34,36.380001,34.331219,31500
2012-12-27,36.310001,36.540001,35.900002,36.400002,34.35009,43200
2012-12-28,36.259998,36.759998,36.099998,36.369999,34.321777,39500
2012-12-31,36.290001,37.5,36.23,37.41,35.303215,68000
2013-01-02,38.279999,38.5,38.040001,38.169998,36.097614,128600
2013-01-03,38.330002,38.369999,37.849998,37.98,35.917927,55700
2013-01-04,38.59,39.599998,38.59,39.200001,37.071686,194500
2013-01-07,39.099998,39.279999,38.650002,38.849998,36.740696,66100
2013-01-08,38.75,39.099998,38.41,38.889999,36.778515,56200
2013-01-09,38.970001,39.419998,38.970001,39.240002,37.109524,120500
2013-01-10,39.48,39.549999,38.880001,39.389999,37.251373,68700
2013-01-11,39.470001,39.470001,38.560001,38.82,36.712318,189200
2013-01-14,38.759998,38.919998,38.369999,38.860001,36.750149,123400
2013-01-15,38.610001,39.459999,38.610001,39.34,37.20409,49000
2013-01-16,39.110001,39.23,38.82,39.07,36.948742,55300
2013-01-17,39.299999,39.740002,39.110001,39.580002,37.431053,54400
2013-01-18,39.639999,39.639999,38.919998,39.32,37.185181,82600
2013-01-22,39.389999,40.099998,39.389999,40.07,37.894455,63800
2013-01-23,40.009998,40.439999,40.009998,40.299999,38.111965,81700
2013-01-24,40.310001,40.900002,40.18,40.669998,38.461872,52700
2013-01-25,40.82,41.25,40.740002,41.23,38.991478,55800
2013-01-28,41.279999,41.630001,40.509998,41.59,39.331917,159900
2013-01-29,41.610001,42.360001,41.549999,42.349998,40.050663,113000
2013-01-30,42.220001,42.419998,41.970001,42.27,39.974998,203400
2013-01-31,41.400002,41.580002,40.900002,41.169998,38.934727,242800
2013-02-01,41.380001,41.720001,41.220001,41.389999,39.142784,112900
2013-02-04,41.279999,41.400002,40.580002,40.689999,38.480789,66200
2013-02-05,40.959999,40.959999,40.66,40.759998,38.546997,106400
2013-02-06,40.43,40.779999,40.360001,40.700001,38.49025,159400
2013-02-07,40.650002,40.700001,40.310001,40.34,38.149792,90500
2013-02-08,41.130001,42.18,40.209999,40.5,38.301098,223000
2013-02-11,40.419998,40.419998,40.040001,40.27,38.083603,160900
2013-02-12,40.279999,40.490002,40.119999,40.369999,38.178169,101500
2013-02-13,40.459999,40.5,39.91,40.200001,38.017395,89700
2013-02-14,40.18,40.529999,39.939999,40.450001,38.253822,89700
2013-02-15,40.599998,41.279999,40.540001,41.110001,38.877998,97800
2013-02-19,41.080002,41.830002,41.080002,41.73,39.464329,97500
2013-02-20,41.700001,41.810001,40.75,40.759998,38.546997,146700
2013-02-21,40.689999,41.040001,40.630001,40.830002,38.61319,86100
2013-02-22,41.07,41.369999,40.970001,41.299999,39.057686,46900
2013-02-25,41.509998,41.529999,39.720001,39.779999,37.62019,50900
2013-02-26,40.029999,40.200001,39.77,40.029999,37.856625,27000
2013-02-27,39.990002,40.77,39.950001,40.450001,38.253822,45200
2013-02-28,40.389999,40.869999,40.27,40.560001,38.357849,52900
2013-03-01,40.25,40.84,39.849998,40.669998,38.461872,69300
2013-03-04,40.470001,41.209999,40.169998,41.169998,38.934727,147500
2013-03-05,41.400002,41.810001,41.209999,41.389999,39.142784,166400
2013-03-06,41.400002,41.59,41.279999,41.299999,39.057686,93500
2013-03-07,41.41,41.41,40.66,41.209999,38.972557,46500
2013-03-08,41.52,41.549999,40.990002,41.43,39.180614,50900
2013-03-11,41.240002,41.509998,41.02,41.439999,39.190067,44000
2013-03-12,41.27,41.540001,41.200001,41.400002,39.152237,44900
2013-03-13,41.349998,41.459999,41.209999,41.34,39.095509,20900
2013-03-14,41.450001,42.0,41.290001,41.919998,39.644005,52200
2013-03-15,41.970001,41.990002,41.400002,41.779999,39.511612,257600
2013-03-18,41.200001,42.16,41.200001,41.959999,39.681843,45400
2013-03-19,41.959999,42.310001,41.689999,42.139999,39.852062,55900
2013-03-20,42.139999,42.27,41.029999,42.139999,39.852062,64400
2013-03-21,41.75,41.970001,41.150002,41.299999,39.057686,29800
2013-03-22,41.439999,41.650002,41.290001,41.389999,39.142784,59000
2013-03-25,41.459999,41.610001,40.650002,40.900002,38.679398,55900
2013-03-26,41.119999,41.169998,40.860001,41.02,38.792873,48300
2013-03-27,40.549999,40.779999,40.330002,40.540001,38.338943,66900
2013-03-28,40.689999,41.060001,40.349998,40.860001,38.64156,55200
2013-04-01,41.23,41.23,40.400002,40.900002,38.679398,86100
2013-04-02,41.310001,41.310001,40.209999,40.259998,38.148754,60700
2013-04-03,40.27,40.419998,39.32,39.360001,37.295944,54300
2013-04-04,39.43,39.669998,39.18,39.599998,37.523369,55200
2013-04-05,38.650002,39.5,38.540001,39.150002,37.096966,42900
2013-04-08,39.27,39.459999,38.860001,39.43,37.362282,35900
