Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,1.75,1.9,1.75,1.82,1.254912,105500
2012-02-07,1.82,1.86,1.79,1.79,1.234227,48100
2012-02-08,1.81,1.86,1.81,1.83,1.261807,71400
2012-02-09,1.85,1.85,1.75,1.75,1.206647,29900
2012-02-10,1.75,1.82,1.62,1.64,1.1308,74900
2012-02-13,1.7,1.79,1.7,1.78,1.227332,43500
2012-02-14,1.76,1.78,1.68,1.71,1.179066,47800
2012-02-15,1.74,1.76,1.64,1.66,1.14459,33400
2012-02-16,1.66,1.76,1.63,1.71,1.179066,64400
2012-02-17,1.73,1.76,1.71,1.72,1.185961,37900
2012-02-21,1.72,1.74,1.6,1.65,1.137695,46500
2012-02-22,1.65,1.7,1.62,1.65,1.137695,40700
2012-02-23,1.67,1.77,1.63,1.75,1.206647,61000
2012-02-24,1.71,1.8,1.68,1.7,1.172171,53500
2012-02-27,1.68,1.81,1.68,1.75,1.206647,34800
2012-02-28,1.75,1.77,1.69,1.73,1.192856,55800
2012-02-29,1.75,1.82,1.65,1.66,1.14459,87500
2012-03-01,1.69,1.78,1.62,1.63,1.123905,68000
2012-03-02,1.65,1.73,1.52,1.53,1.054954,108700
2012-03-05,1.54,1.62,1.48,1.55,1.068744,41600
2012-03-06,1.51,1.6,1.5,1.51,1.041163,51600
2012-03-07,1.53,1.74,1.51,1.6,1.10322,85000
2012-03-08,1.59,1.63,1.54,1.59,1.096324,47400
2012-03-09,1.58,1.71,1.57,1.66,1.14459,68400
2012-03-12,1.66,1.74,1.65,1.71,1.179066,49900
2012-03-13,1.7,1.75,1.61,1.75,1.206647,108500
2012-03-14,1.74,1.74,1.64,1.71,1.179066,50900
2012-03-15,1.7,1.75,1.67,1.69,1.165276,44200
2012-03-16,1.74,1.74,1.6,1.61,1.110115,235700
2012-03-19,1.62,1.69,1.62,1.65,1.137695,78000
2012-03-20,1.63,1.73,1.63,1.71,1.179066,74400
2012-03-21,1.73,1.78,1.69,1.77,1.220437,148300
2012-03-22,1.72,1.79,1.64,1.65,1.137695,45600
2012-03-23,1.66,1.76,1.65,1.75,1.206647,55800
2012-03-26,1.78,1.78,1.72,1.76,1.213542,66500
2012-03-27,1.77,1.83,1.72,1.72,1.185961,141900
2012-03-28,1.72,1.76,1.72,1.72,1.185961,73000
2012-03-29,1.7,1.74,1.66,1.7,1.172171,33000
2012-03-30,1.73,1.76,1.7,1.71,1.179066,104200
2012-04-02,1.7,1.78,1.7,1.74,1.199751,115400
2012-04-03,1.73,1.85,1.72,1.74,1.199751,327700
2012-04-04,1.71,1.71,1.65,1.67,1.151485,146100
2012-04-05,1.65,1.81,1.61,1.71,1.179066,83700
2012-04-09,1.64,1.71,1.58,1.58,1.08943,79700
2012-04-10,1.59,1.62,1.5,1.52,1.048059,110200
2012-04-11,1.55,1.61,1.54,1.55,1.068744,119400
2012-04-12,1.55,1.6,1.5,1.57,1.082534,347300
2012-04-13,1.6,1.6,1.49,1.49,1.027373,91200
2012-04-16,1.51,1.6,1.49,1.59,1.096324,48400
2012-04-17,1.64,1.65,1.53,1.61,1.110115,124700
2012-04-18,1.59,1.71,1.52,1.53,1.054954,106400
2012-04-19,1.53,1.61,1.53,1.53,1.054954,72300
2012-04-20,1.6,1.61,1.54,1.58,1.08943,91500
2012-04-23,1.54,1.57,1.5,1.54,1.061849,165300
2012-04-24,1.53,1.58,1.52,1.58,1.08943,181700
2012-04-25,1.6,1.67,1.59,1.63,1.123905,44500
