Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,13.05,13.325,12.7325,12.9425,11.685697,203200
2012-02-07,12.87,12.9,12.525,12.595,11.37194,174800
2012-02-08,12.5725,12.595,12.17,12.2525,11.062696,150000
2012-02-09,12.1375,12.1775,11.96,12.0675,10.895661,205200
2012-02-10,11.95,12.0275,11.81,11.8725,10.7196,208000
2012-02-13,12.045,12.115,11.9475,12.0425,10.873093,112000
2012-02-14,12.0325,12.1875,12.0325,12.1675,10.985951,173600
2012-02-15,12.1825,12.38,11.815,11.9375,10.778285,171600
2012-02-16,11.9125,12.1875,11.845,12.1625,10.981434,189200
2012-02-17,12.24,12.24,11.9725,12.0975,10.92275,143600
2012-02-21,12.0875,12.185,11.7975,11.8675,10.715084,160000
2012-02-22,11.82,11.8575,11.72,11.75,10.608994,112000
2012-02-23,11.755,11.9275,11.625,11.8725,10.7196,187600
2012-02-24,11.8425,11.8625,11.69,11.7425,10.602224,146800
2012-02-27,11.6375,11.945,11.515,11.825,10.676713,200800
2012-02-28,11.8,12.3125,11.8,12.18,10.997238,208000
2012-02-29,12.2725,12.3225,11.8675,12.055,10.884377,244400
2012-03-01,12.1,12.24,11.8225,11.8975,10.742172,138800
2012-03-02,11.95,11.9525,11.3025,11.4625,10.349413,210000
2012-03-05,11.485,11.815,11.395,11.7275,10.58868,93600
2012-03-06,11.6075,11.6075,11.4475,11.49,10.374238,76800
2012-03-07,11.565,11.565,11.4775,11.5,10.38327,84800
2012-03-08,11.555,11.685,11.3575,11.6625,10.529992,123600
2012-03-09,11.6325,12.0675,11.6325,12.0025,10.836973,136400
2012-03-12,11.955,12.135,11.955,12.03,10.861808,154800
2012-03-13,12.1525,12.245,11.945,12.2225,11.035611,214400
2012-03-14,12.17,12.2575,11.92,11.965,10.803119,87200
2012-03-15,11.945,12.145,11.885,12.085,10.911466,68400
2012-03-16,12.115,12.115,11.8925,12.01,10.843747,319200
2012-03-19,12.0175,12.415,12.01,12.265,11.073984,105200
2012-03-20,12.145,12.215,11.95,12.0275,10.859548,128000
2012-03-21,12.025,12.135,11.95,12.0525,10.88212,91600
2012-03-22,11.9925,12.0075,11.89,11.965,10.803119,83200
2012-03-23,11.94,12.23,11.905,12.215,11.02884,83600
2012-03-26,12.3425,12.5,12.23,12.5,11.286164,123600
2012-03-27,12.5,12.5,12.285,12.3025,11.107843,78000
2012-03-28,12.3525,12.36,12.1575,12.295,11.101072,120800
2012-03-29,12.2025,12.34,12.155,12.2625,11.07173,56800
2012-03-30,12.355,12.355,12.1225,12.13,10.952096,176800
2012-04-02,12.0,12.4175,11.935,12.3925,11.189104,209200
2012-04-03,12.33,12.335,12.0925,12.17,10.988208,171600
2012-04-04,12.0675,12.0675,11.925,12.0575,10.886634,109200
2012-04-05,11.975,12.0725,11.79,11.9875,10.823431,191200
2012-04-09,11.7375,11.945,11.685,11.7425,10.602224,156400
2012-04-10,11.75,11.75,11.4075,11.6625,10.529992,160400
2012-04-11,11.7825,11.9825,11.7,11.955,10.794086,205600
2012-04-12,11.9275,12.125,11.92,11.9825,10.818917,100400
2012-04-13,11.9525,11.9525,11.605,11.815,10.667681,170400
2012-04-16,11.8225,12.205,11.675,11.9875,10.823431,104400
2012-04-17,12.12,12.3475,12.1075,12.17,10.988208,94400
2012-04-18,12.075,12.075,11.8175,12.015,10.848261,154000
2012-04-19,12.06,12.1675,11.755,11.8225,10.674457,141200
2012-04-20,12.1075,12.2725,11.7575,11.8175,10.66994,285600
2012-04-23,11.6275,11.7025,11.445,11.575,10.450987,257600
2012-04-24,11.5625,11.83,11.5575,11.7025,10.566108,144000
2012-04-25,11.89,12.0,11.6775,11.835,10.685741,182800
2012-04-26,11.7675,11.8875,11.765,11.8,10.654141,106800
2012-04-27,11.8675,12.1725,11.74,12.1675,10.985951,164800
2012-04-30,12.0575,12.0725,11.94,11.95,10.789573,136000
2012-05-01,11.9325,12.25,11.9325,12.04,10.870831,244000
2012-05-02,11.9275,12.125,11.8325,12.0925,10.918235,111600
2012-05-03,12.0,12.09,11.895,11.925,10.767002,196000
2012-05-04,11.8975,11.8975,11.585,11.67,10.536764,156400
2012-05-07,11.6,11.8075,11.6,11.725,10.586421,80000
2012-05-08,11.625,11.8225,11.5775,11.8025,10.6564,123200
2012-05-09,11.715,11.7825,11.5625,11.64,10.509676,132000
2012-05-10,11.7225,11.83,11.5975,11.7175,10.579651,100000
2012-05-11,11.5925,11.8025,11.5925,11.79,10.645111,125200
2012-05-14,11.64,11.7575,11.62,11.645,10.514193,114400
2012-05-15,11.6175,11.8625,11.6175,11.855,10.7038,96000
2012-05-16,11.865,11.9225,11.6725,11.6975,10.561592,165200
2012-05-17,11.695,11.85,11.6275,11.73,10.590935,128000
2012-05-18,11.7025,11.8825,11.7025,11.7825,10.638339,182000
2012-05-21,11.8075,11.8075,11.4525,11.7175,10.579651,238800
2012-05-22,11.745,11.7575,11.4775,11.5825,10.457762,132000
2012-05-23,11.4375,11.6575,11.39,11.61,10.482592,128000
2012-05-24,11.665,11.755,11.4725,11.7525,10.611255,132000
2012-05-25,11.785,11.785,11.495,11.63,10.500646,153600
2012-05-29,11.6825,11.9,11.66,11.8675,10.715084,106400
2012-05-30,11.7925,11.8425,11.735,11.7575,10.615765,102800
2012-05-31,11.755,11.91,11.6275,11.805,10.658654,214400
2012-06-01,11.555,11.79,11.52,11.565,10.441959,154400
2012-06-04,11.6025,11.7625,11.545,11.68,10.545794,137600
2012-06-05,11.5875,11.7825,11.54,11.6475,10.516446,227200
2012-06-06,11.75,12.015,11.72,12.0,10.834716,220400
2012-06-07,12.145,12.185,12.0375,12.1075,10.931778,223200
2012-06-08,12.075,12.4175,12.06,12.3375,11.139444,121600
2012-06-11,12.4275,12.43,12.16,12.175,10.992724,223200
2012-06-12,12.2775,12.4975,12.1625,12.4825,11.270366,149600
2012-06-13,12.4375,12.485,12.2225,12.28,11.087528,126000
2012-06-14,12.25,12.4725,12.185,12.4725,11.261334,125600
2012-06-15,12.415,12.535,12.2925,12.485,11.272618,367600
2012-06-18,12.4075,12.59,12.3925,12.4525,11.243279,156400
2012-06-19,12.4675,12.745,12.465,12.7175,11.482544,144800
2012-06-20,12.735,12.745,12.5,12.6025,11.378711,49200
2012-06-21,12.565,12.565,12.2225,12.245,11.055923,131200
2012-06-22,12.345,12.6975,12.3,12.56,11.340339,480800
2012-06-25,12.3325,12.6175,12.2925,12.565,11.344854,123600
2012-06-26,12.575,12.71,12.405,12.5975,11.374199,375200
2012-06-27,12.6475,12.96,12.6375,12.9375,11.681179,152400
2012-06-28,12.825,12.825,12.5725,12.8225,11.57735,72000
2012-06-29,13.0,13.21,12.975,13.2075,11.924964,124800
2012-07-02,13.225,13.39,12.87,13.3825,12.082967,167200
2012-07-03,13.3125,13.5025,13.3025,13.5025,12.191315,74800
2012-07-05,13.4025,13.685,13.36,13.4825,12.173259,66400
2012-07-06,13.3125,13.4175,13.25,13.285,11.994936,65600
2012-07-09,13.2825,13.45,13.195,13.4,12.09877,162800
2012-07-10,13.45,13.5425,13.2125,13.255,11.96785,62400
2012-07-11,13.2475,13.525,13.21,13.3225,12.028794,104800
2012-07-12,13.2575,13.5475,13.045,13.4875,12.177774,118400
2012-07-13,13.5,13.6825,13.3925,13.5,12.189059,101200
2012-07-16,13.4225,13.4225,13.2125,13.245,11.958819,98400
2012-07-17,13.2375,13.36,13.0675,13.2825,11.992678,77600
2012-07-18,13.4175,13.525,13.2075,13.33,12.035566,104400
2012-07-19,13.5525,13.815,13.3875,13.73,12.396722,169600
2012-07-20,13.61,13.945,13.61,13.7125,12.380924,187600
2012-07-23,13.2575,13.45,13.2175,13.2175,11.933991,208400
2012-07-24,13.25,13.25,12.96,13.0625,11.794042,392800
2012-07-25,13.165,13.22,13.0325,13.0775,11.807586,138400
