Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,9.83,9.85,9.45,9.64,9.64,12500
2012-02-07,9.58,9.82,9.58,9.81,9.81,34900
2012-02-08,9.78,9.86,9.55,9.82,9.82,11900
2012-02-09,9.82,9.82,9.47,9.53,9.53,15700
2012-02-10,9.41,9.55,9.41,9.44,9.44,6100
2012-02-13,9.62,9.7,9.57,9.64,9.64,6600
2012-02-14,9.58,9.61,9.35,9.51,9.51,8700
2012-02-15,9.63,9.67,8.95,9.08,9.08,17100
2012-02-16,9.07,9.18,9.06,9.13,9.13,17400
2012-02-17,9.17,9.17,8.88,8.94,8.94,24500
2012-02-21,8.93,8.93,8.69,8.72,8.72,23000
2012-02-22,8.73,9.03,8.73,8.86,8.86,23900
2012-02-23,8.89,9.05,8.89,9.01,9.01,25700
2012-02-24,8.98,9.36,8.91,9.16,9.16,28000
2012-02-27,9.1,9.29,9.08,9.14,9.14,11800
2012-02-28,9.18,9.25,9.18,9.2,9.2,10100
2012-02-29,9.2,9.5,8.8,8.8,8.8,32300
2012-03-01,8.86,8.91,8.77,8.78,8.78,13000
2012-03-02,8.77,8.83,8.07,8.16,8.16,35100
2012-03-05,8.17,8.35,8.13,8.27,8.27,8000
2012-03-06,8.13,8.33,8.07,8.27,8.27,29300
2012-03-07,8.27,8.7,8.27,8.66,8.66,17700
2012-03-08,8.7,8.99,8.7,8.99,8.99,19000
2012-03-09,8.94,9.47,8.88,9.15,9.15,27700
2012-03-12,9.12,9.14,9.02,9.06,9.06,6900
2012-03-13,9.2,9.25,9.04,9.25,9.25,21300
2012-03-14,9.19,9.19,8.87,9.0,9.0,11400
2012-03-15,8.96,8.97,8.61,8.9,8.9,14900
2012-03-16,8.95,8.98,8.78,8.8,8.8,36900
2012-03-19,8.85,8.99,8.81,8.97,8.97,9300
2012-03-20,8.89,8.97,8.83,8.86,8.86,17800
2012-03-21,8.91,8.94,8.81,8.83,8.83,26100
2012-03-22,8.74,8.84,8.39,8.69,8.69,16500
2012-03-23,8.66,9.05,8.6,9.04,9.04,15300
2012-03-26,9.28,9.85,9.18,9.77,9.77,33000
2012-03-27,9.74,9.77,9.55,9.56,9.56,18700
2012-03-28,9.61,9.61,9.25,9.31,9.31,12800
2012-03-29,9.23,9.5,9.23,9.45,9.45,23800
2012-03-30,9.7,9.7,9.4,9.41,9.41,27800
2012-04-02,9.42,9.58,9.35,9.48,9.48,22100
2012-04-03,9.42,9.42,9.08,9.15,9.15,19800
2012-04-04,9.0,9.07,8.95,8.96,8.96,40500
