Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,5.97,6.02,5.87,5.95,4.387892,299100
2012-02-07,5.92,6.0,5.9,5.93,4.373143,252200
2012-02-08,5.93,6.0,5.83,5.95,4.387892,476900
2012-02-09,5.95,5.95,5.81,5.83,4.299397,311400
2012-02-10,5.77,5.77,5.65,5.71,4.210902,374500
2012-02-13,5.79,5.85,5.73,5.75,4.2404,281500
2012-02-14,5.74,5.76,5.57,5.67,4.181405,296000
2012-02-15,5.7,5.78,5.64,5.66,4.174028,284000
2012-02-16,5.66,5.98,5.65,5.97,4.402642,420000
2012-02-17,6.01,6.12,5.93,5.94,4.380519,628800
2012-02-21,5.94,6.02,5.85,5.91,4.358394,344100
2012-02-22,5.9,6.01,5.86,5.87,4.328895,728600
2012-02-23,5.9,6.08,5.85,6.08,4.483762,291300
2012-02-24,6.07,6.1,5.93,5.96,4.395267,702900
2012-02-27,5.89,6.07,5.86,6.0,4.424766,401300
2012-02-28,6.01,6.09,5.94,6.0,4.424766,505000
2012-02-29,6.04,6.1,5.94,5.99,4.41739,874600
2012-03-01,6.04,6.11,5.98,6.0,4.424766,626400
2012-03-02,6.01,6.07,5.83,5.88,4.33627,853900
2012-03-05,5.84,5.99,5.8,5.95,4.387892,464400
2012-03-06,5.85,5.91,5.69,5.76,4.247775,613500
2012-03-07,5.8,5.89,5.75,5.87,4.328895,695300
2012-03-08,5.93,6.1,5.88,6.09,4.491139,759400
2012-03-09,6.1,6.29,6.04,6.21,4.579633,743800
2012-03-12,6.22,6.26,6.14,6.24,4.601755,316600
2012-03-13,6.3,6.51,6.28,6.51,4.800871,513100
2012-03-14,6.48,6.55,6.39,6.45,4.756624,408500
2012-03-15,6.47,6.55,6.43,6.52,4.808246,509100
2012-03-16,6.43,6.62,6.31,6.56,4.837743,1529300
2012-03-19,6.55,6.74,6.34,6.68,4.92624,820300
2012-03-20,6.59,6.61,6.48,6.53,4.815621,566300
2012-03-21,6.58,6.6,6.46,6.47,4.771372,2152800
2012-03-22,6.37,6.4,6.21,6.27,4.623881,564500
2012-03-23,6.27,6.36,6.21,6.35,4.682878,389800
2012-03-26,6.46,6.53,6.37,6.47,4.771372,402700
2012-03-27,6.08,6.39,6.08,6.28,4.631255,475300
2012-03-28,6.28,6.36,6.17,6.29,4.638628,457300
2012-03-29,6.21,6.23,6.07,6.21,4.579633,331400
2012-03-30,6.28,6.28,6.11,6.12,4.513261,424700
2012-04-02,6.08,6.21,6.03,6.2,4.572258,1025600
2012-04-03,6.2,6.23,6.1,6.19,4.564883,491500
2012-04-04,6.08,6.16,5.93,6.0,4.424766,826700
2012-04-05,5.85,6.04,5.85,6.02,4.439515,811000
2012-04-09,5.86,5.96,5.84,5.91,4.358394,533800
2012-04-10,5.91,5.95,5.78,5.79,4.269898,711700
2012-04-11,5.88,5.97,5.87,5.95,4.387892,1054200
2012-04-12,5.94,5.99,5.91,5.96,4.395267,507900
2012-04-13,5.92,5.94,5.71,5.74,4.233025,588800
2012-04-16,5.8,5.89,5.74,5.82,4.292022,461800
2012-04-17,5.89,6.08,5.89,6.0,4.424766,348500
2012-04-18,5.95,5.97,5.88,5.94,4.380519,565500
2012-04-19,5.94,6.04,5.82,5.87,4.328895,445000
2012-04-20,5.95,6.04,5.91,5.97,4.402642,526800
2012-04-23,5.84,5.9,5.76,5.87,4.328895,476800
2012-04-24,5.89,6.35,5.89,6.21,4.579633,1106600
2012-04-25,6.32,6.49,6.27,6.47,4.771372,1128800
2012-04-26,6.47,6.55,6.4,6.47,4.771372,419700
2012-04-27,6.52,6.6,6.43,6.58,4.852493,693100
2012-04-30,6.58,6.58,6.42,6.43,4.741875,644100
2012-05-01,6.42,6.58,6.42,6.43,4.741875,611400
2012-05-02,6.36,6.47,6.34,6.42,4.771605,709300
2012-05-03,6.41,6.46,6.36,6.4,4.75674,1050000
2012-05-04,6.35,6.38,6.26,6.33,4.70471,756200
2012-05-07,6.29,6.5,6.29,6.46,4.801332,374000
2012-05-08,6.39,6.52,6.36,6.5,4.831063,478400
2012-05-09,6.39,6.44,6.32,6.4,4.75674,375300
2012-05-10,6.48,6.5,6.4,6.44,4.786469,277600
2012-05-11,6.36,6.47,6.34,6.39,4.749306,427200
2012-05-14,6.33,6.37,6.23,6.24,4.637819,303100
2012-05-15,6.25,6.35,6.21,6.26,4.652684,311700
