Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,12.16,12.26,11.91,11.99,4.581676,19600
2012-02-07,12.03,12.08,11.82,11.89,4.543462,23000
2012-02-08,11.98,12.25,11.96,12.22,4.669563,18500
2012-02-09,12.22,12.22,12.09,12.1,4.62371,9100
2012-02-10,11.89,11.94,11.75,11.77,4.497607,19400
2012-02-13,11.94,11.94,11.22,11.34,4.333294,36200
2012-02-14,11.39,11.46,11.0,11.09,4.237762,23500
2012-02-15,11.19,11.44,10.72,10.76,4.111661,28300
2012-02-16,10.77,11.31,10.77,11.18,4.272154,39600
2012-02-17,11.27,11.41,10.87,11.07,4.23012,38700
2012-02-21,11.1,11.31,11.0,11.05,4.222476,28200
2012-02-22,11.08,11.33,11.08,11.19,4.275975,24700
2012-02-23,11.24,12.0,11.24,11.97,4.574032,55600
2012-02-24,11.95,12.09,11.86,11.92,4.554925,34800
2012-02-27,11.78,12.05,11.73,11.97,4.574032,13100
2012-02-28,11.92,11.98,11.81,11.81,4.550912,7800
2012-02-29,11.9,11.95,11.04,11.05,4.25805,33000
2012-03-01,11.14,11.9,11.14,11.65,4.489257,37000
2012-03-02,11.7,11.86,10.45,10.64,4.10006,39600
2012-03-05,10.71,10.79,10.45,10.78,4.154007,30800
2012-03-06,10.61,10.84,10.38,10.43,4.019136,25800
2012-03-07,10.51,10.71,10.47,10.63,4.096206,21700
2012-03-08,10.71,11.18,10.55,11.05,4.25805,20200
2012-03-09,11.02,11.33,10.86,11.28,4.34668,29600
2012-03-12,11.28,11.38,11.17,11.28,4.34668,15100
2012-03-13,11.43,11.68,11.41,11.64,4.485404,28000
2012-03-14,11.65,11.66,11.32,11.37,4.38136,12800
2012-03-15,11.59,11.95,11.22,11.39,4.389068,50200
2012-03-16,11.49,11.49,10.85,10.9,4.200248,59500
2012-03-19,10.94,11.33,10.94,11.0,4.238784,28100
2012-03-20,10.94,10.95,10.74,10.82,4.169421,29200
2012-03-21,10.83,10.89,10.45,10.47,4.03455,57100
2012-03-22,10.45,10.55,10.44,10.48,4.038404,35000
2012-03-23,10.53,10.88,10.49,10.73,4.134739,33600
2012-03-26,10.88,11.15,10.86,11.15,4.296585,55000
2012-03-27,11.2,11.23,11.1,11.1,4.277318,33500
2012-03-28,11.12,11.31,11.01,11.08,4.26961,25600
2012-03-29,10.96,11.13,10.9,11.04,4.254197,12100
2012-03-30,11.24,11.24,10.95,10.98,4.231077,39300
2012-04-02,10.83,11.47,10.73,11.42,4.400628,68500
2012-04-03,11.33,11.44,10.92,10.97,4.227222,36600
2012-04-04,10.82,11.06,10.8,10.8,4.161715,30400
2012-04-05,10.73,11.06,10.71,10.86,4.184835,26300
2012-04-09,10.62,10.92,10.6,10.68,4.115473,42400
2012-04-10,10.74,10.79,10.45,10.56,4.069232,48900
2012-04-11,10.7,11.09,10.48,10.97,4.227222,36300
2012-04-12,10.91,11.04,10.61,10.9,4.200248,39700
2012-04-13,10.82,10.87,10.45,10.45,4.026844,29500
2012-04-16,10.54,10.73,10.45,10.68,4.115473,9000
2012-04-17,10.67,10.79,10.45,10.54,4.061526,47200
2012-04-18,10.46,10.65,10.45,10.45,4.026844,28600
2012-04-19,10.45,10.59,10.25,10.26,3.953629,20900
2012-04-20,10.43,10.79,10.29,10.36,3.992162,54600
2012-04-23,10.25,10.51,9.83,9.85,3.795637,74400
2012-04-24,9.88,10.07,9.88,10.02,3.861147,19700
2012-04-25,10.15,10.17,9.98,10.08,3.884267,24200
2012-04-26,10.02,10.25,9.91,9.94,3.83032,22100
2012-04-27,9.97,10.08,9.94,10.04,3.868853,14800
2012-04-30,10.0,10.09,9.8,9.84,3.791784,23000
2012-05-01,9.84,10.09,9.65,9.65,3.718568,57200
2012-05-02,9.71,9.88,9.71,9.85,3.795637,65000
2012-05-03,9.88,10.0,9.85,9.91,3.818758,55000
2012-05-04,9.83,9.89,9.57,9.62,3.707008,50500
2012-05-07,9.71,9.83,9.61,9.64,3.714715,45000
2012-05-08,9.6,9.76,9.6,9.69,3.733982,29900
2012-05-09,9.61,9.77,9.61,9.7,3.737836,62700
2012-05-10,9.84,10.23,9.72,10.0,3.85344,111900
2012-05-11,9.89,10.09,9.77,10.08,3.884267,52000
2012-05-14,9.95,10.1,9.9,9.9,3.814904,44400
2012-05-15,9.88,9.95,9.76,9.85,3.795637,39000
2012-05-16,9.94,10.05,9.84,9.87,3.803344,56700
2012-05-17,9.89,10.02,9.77,9.8,3.77637,36600
2012-05-18,9.76,9.93,9.76,9.84,3.791784,51600
2012-05-21,9.85,9.94,9.77,9.86,3.799491,33300
2012-05-22,9.86,9.88,9.54,9.65,3.718568,65100
2012-05-23,9.57,10.01,9.57,9.92,3.822612,41000
2012-05-24,9.94,10.01,9.67,9.9,3.814904,28900
2012-05-25,10.0,10.01,9.91,9.98,3.845733,37600
2012-05-29,10.11,10.19,9.93,9.97,3.841878,51100
2012-05-30,9.9,10.38,9.9,10.14,3.946976,77400
2012-05-31,10.2,10.2,9.7,9.84,3.830201,69800
2012-06-01,9.51,9.61,9.01,9.03,3.51491,105900
2012-06-04,9.12,9.28,9.12,9.15,3.561621,32300
2012-06-05,9.12,9.5,9.12,9.29,3.616115,34200
2012-06-06,9.4,9.83,9.4,9.77,3.802954,40800
2012-06-07,9.92,10.1,9.8,9.91,3.857448,57800
2012-06-08,9.9,10.3,9.79,10.2,3.97033,48700
2012-06-11,10.13,10.21,9.15,9.2,3.581083,76800
2012-06-12,9.25,9.85,9.25,9.67,3.764028,53700
2012-06-13,9.68,9.89,9.32,9.52,3.705642,35400
2012-06-14,9.57,9.91,9.57,9.88,3.845772,29400
2012-06-15,9.93,10.13,9.73,10.04,3.90805,62400
2012-06-18,10.01,10.08,9.87,9.92,3.861342,29300
2012-06-19,9.97,10.41,9.97,10.35,4.028718,34200
2012-06-20,10.32,10.32,10.0,10.18,3.962546,10600
2012-06-21,10.19,10.2,9.6,9.6,3.736782,28900
2012-06-22,9.7,10.15,9.7,10.08,3.923622,320600
2012-06-25,9.9,10.23,9.81,10.09,3.927513,16900
2012-06-26,10.14,10.17,9.92,10.08,3.923622,27500
2012-06-27,10.09,10.5,10.02,10.5,4.087105,25600
2012-06-28,10.44,10.44,9.83,9.99,3.888589,20800
2012-06-29,10.23,10.51,10.12,10.51,4.090997,75800
2012-07-02,10.51,10.57,10.4,10.56,4.11046,58200
2012-07-03,10.52,10.58,10.38,10.51,4.090997,31000
2012-07-05,10.47,10.54,10.41,10.43,4.059857,30800
2012-07-06,10.3,10.5,10.3,10.47,4.075427,23400
2012-07-09,10.41,10.55,10.36,10.49,4.083212,23400
2012-07-10,10.59,10.7,10.36,10.47,4.075427,49600
2012-07-11,10.51,10.59,10.41,10.42,4.055964,52200
2012-07-12,10.34,10.48,10.05,10.38,4.040396,42600
2012-07-13,10.42,10.47,10.33,10.41,4.052073,29700
2012-07-16,10.33,10.33,10.0,10.15,3.950867,33500
2012-07-17,10.22,10.35,10.1,10.29,4.005363,17900
2012-07-18,10.29,10.37,10.23,10.36,4.03261,38500
2012-07-19,10.39,10.39,10.16,10.18,3.962546,13000
2012-07-20,10.11,10.12,9.81,9.96,3.876911,32900
2012-07-23,9.76,10.0,9.71,9.88,3.845772,32600
2012-07-24,9.94,10.05,9.57,9.63,3.748458,38300
2012-07-25,9.72,9.78,9.51,9.58,3.728997,31000
2012-07-26,9.78,9.78,9.59,9.71,3.779598,22600
2012-07-27,9.78,9.85,9.65,9.79,3.810739,36000
2012-07-30,9.77,9.81,9.73,9.76,3.799062,16400
2012-07-31,9.76,9.85,9.7,9.73,3.787383,44300
2012-08-01,9.76,9.76,9.33,9.39,3.65504,54600
2012-08-02,9.35,9.65,9.25,9.48,3.690072,38600
