Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,13.44,13.52,13.29,13.36,9.384039,114300
2012-02-07,13.36,13.48,13.12,13.27,9.320823,61800
2012-02-08,13.35,13.51,13.25,13.41,9.41916,93000
2012-02-09,13.46,13.52,13.27,13.34,9.36999,63300
2012-02-10,13.26,13.36,13.17,13.19,9.264628,46200
2012-02-13,13.35,13.54,13.3,13.43,9.433206,42700
2012-02-14,13.22,13.39,13.16,13.39,9.405108,113900
2012-02-15,13.39,13.46,13.2,13.37,9.391061,113100
2012-02-16,13.39,13.45,13.36,13.45,9.447249,147200
2012-02-17,13.52,13.52,13.4,13.45,9.447249,87600
2012-02-21,13.45,13.45,13.12,13.17,9.250583,50200
2012-02-22,13.09,13.13,12.8,12.82,9.004744,66300
2012-02-23,12.89,13.3,12.73,13.28,9.327847,59300
2012-02-24,13.32,13.33,13.0,13.22,9.285705,100000
2012-02-27,13.17,13.33,13.03,13.27,9.320823,50400
2012-02-28,13.22,13.3,13.1,13.2,9.271653,68800
2012-02-29,13.24,13.35,12.92,12.95,9.096051,87200
2012-03-01,13.02,13.31,12.96,12.99,9.124152,113800
2012-03-02,13.01,13.19,12.88,12.94,9.089031,104200
2012-03-05,12.89,13.13,12.89,13.04,9.159273,51900
2012-03-06,12.88,13.1,12.88,12.91,9.067961,61000
2012-03-07,13.0,13.15,12.95,13.13,9.222486,56700
2012-03-08,13.04,13.15,12.83,13.15,9.328901,81000
2012-03-09,13.19,13.46,13.01,13.31,9.442408,119800
2012-03-12,13.35,13.51,13.13,13.41,9.51335,65900
2012-03-13,13.53,13.73,13.4,13.68,9.704895,79300
2012-03-14,13.69,13.89,13.54,13.67,9.697799,48400
2012-03-15,13.6,13.99,13.55,13.95,9.896437,82300
2012-03-16,14.01,14.24,13.75,13.97,9.910627,118000
2012-03-19,13.87,14.48,13.7,14.25,10.109268,81300
2012-03-20,14.17,14.26,13.88,14.04,9.960286,58400
2012-03-21,14.1,14.1,13.78,13.79,9.782932,56700
2012-03-22,13.65,13.78,13.57,13.71,9.726174,31300
2012-03-23,13.72,14.12,13.61,13.89,9.853875,121000
2012-03-26,13.96,14.03,13.85,13.92,9.875155,79700
2012-03-27,13.95,14.01,13.73,13.76,9.761649,61100
