Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,14.2,14.32,14.0,14.06,10.254991,34000
2012-02-07,14.03,14.26,14.01,14.25,10.393572,25800
2012-02-08,14.32,14.48,14.19,14.35,10.466509,59900
2012-02-09,14.38,14.48,14.24,14.41,10.51027,17800
2012-02-10,14.35,14.35,14.12,14.14,10.313341,19300
2012-02-13,14.22,14.4,14.18,14.33,10.451919,51300
2012-02-14,14.28,14.44,14.16,14.39,10.495687,27600
2012-02-15,14.48,14.48,13.9,13.9,10.138288,55900
2012-02-16,13.92,14.38,13.91,14.37,10.481092,20700
2012-02-17,14.43,14.43,14.07,14.39,10.495687,46700
2012-02-21,14.43,14.63,14.3,14.42,10.517565,75100
2012-02-22,14.45,14.59,14.02,14.05,10.247697,38000
2012-02-23,14.12,14.38,14.09,14.32,10.444628,176900
2012-02-24,14.29,14.33,14.12,14.19,10.349806,22800
2012-02-27,14.14,14.14,13.84,13.93,10.160171,41800
2012-02-28,13.89,14.02,13.78,13.86,10.109115,84500
2012-02-29,13.96,13.99,13.6,13.6,9.919477,49700
2012-03-01,13.71,13.92,13.64,13.74,10.021588,68600
2012-03-02,13.77,13.77,13.43,13.43,9.795484,61000
2012-03-05,13.44,13.66,13.35,13.64,9.94865,32500
2012-03-06,13.44,13.72,13.36,13.36,9.744427,38000
2012-03-07,13.38,13.65,13.38,13.64,9.94865,26200
2012-03-08,13.6,13.74,13.4,13.71,9.999709,41700
2012-03-09,13.68,14.07,13.64,14.01,10.21852,41700
2012-03-12,14.06,14.18,13.93,14.15,10.320631,32500
2012-03-13,14.21,14.65,14.11,14.59,10.641559,41400
2012-03-14,14.55,14.68,14.23,14.26,10.400866,51900
2012-03-15,14.31,14.48,14.04,14.48,10.561326,45500
2012-03-16,14.54,14.64,14.29,14.57,10.626967,72100
2012-03-19,14.53,14.98,14.37,14.91,10.874957,54300
2012-03-20,14.76,14.94,14.65,14.83,10.816609,40200
2012-03-21,14.91,14.92,14.73,14.74,10.750963,35500
2012-03-22,14.6,14.69,14.5,14.69,10.714493,22500
2012-03-23,14.64,14.95,14.59,14.94,10.896842,39600
2012-03-26,15.0,15.0,14.86,15.0,10.940602,41000
2012-03-27,15.0,15.07,14.91,15.0,10.940602,28000
2012-03-28,15.05,15.06,14.66,14.85,10.831193,37000
2012-03-29,14.73,14.95,14.63,14.88,10.853078,15200
2012-03-30,15.02,15.02,14.61,14.62,10.663438,30600
2012-04-02,14.62,14.62,14.31,14.56,10.707564,68000
2012-04-03,14.58,15.0,14.34,14.94,10.98702,99100
2012-04-04,14.71,14.78,14.35,14.4,10.589897,45100
2012-04-05,14.35,14.41,14.1,14.26,10.486942,17900
2012-04-09,13.95,14.11,13.91,14.07,10.347214,48600
2012-04-10,14.08,14.17,13.76,13.85,10.185425,42800
2012-04-11,13.96,14.06,13.81,14.05,10.332503,23800
2012-04-12,14.03,14.24,14.03,14.13,10.391332,28600
2012-04-13,14.04,14.04,13.37,13.52,9.942737,33600
2012-04-16,13.55,13.72,13.39,13.55,9.964799,72700
