Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,5.26,5.29,5.13,5.27,5.27,323900
2012-02-07,5.29,5.4,5.2,5.26,5.26,471900
2012-02-08,5.29,5.44,5.18,5.29,5.29,984900
2012-02-09,5.32,5.91,5.05,5.49,5.49,1549000
2012-02-10,5.36,5.45,5.26,5.28,5.28,498600
2012-02-13,5.3,5.37,5.2,5.31,5.31,270600
2012-02-14,5.29,5.38,5.2,5.34,5.34,634100
2012-02-15,5.32,5.35,5.2,5.26,5.26,318000
2012-02-16,5.27,5.38,5.21,5.25,5.25,483000
2012-02-17,5.29,5.34,5.22,5.25,5.25,431200
2012-02-21,5.26,5.39,5.14,5.24,5.24,712100
2012-02-22,5.1,5.26,5.04,5.11,5.11,560000
2012-02-23,5.09,5.2,5.01,5.14,5.14,341800
2012-02-24,5.15,5.21,5.07,5.16,5.16,260700
2012-02-27,5.11,5.21,5.03,5.09,5.09,305800
2012-02-28,5.1,5.24,5.09,5.2,5.2,295600
2012-02-29,5.17,5.3,5.05,5.11,5.11,1098100
2012-03-01,5.11,5.39,5.07,5.31,5.31,853400
2012-03-02,5.29,5.43,5.27,5.36,5.36,546200
2012-03-05,5.36,5.36,5.19,5.21,5.21,523500
2012-03-06,5.13,5.17,4.94,5.01,5.01,714100
2012-03-07,5.01,5.13,4.91,5.08,5.08,301800
2012-03-08,5.11,5.14,5.0,5.12,5.12,241600
2012-03-09,5.13,5.22,5.1,5.17,5.17,378300
2012-03-12,5.15,5.24,5.09,5.16,5.16,331900
2012-03-13,5.18,5.48,5.1,5.48,5.48,519800
2012-03-14,5.47,5.56,5.36,5.37,5.37,361600
2012-03-15,5.36,5.57,5.36,5.48,5.48,310300
2012-03-16,5.51,5.71,5.42,5.67,5.67,461600
2012-03-19,5.66,5.81,5.56,5.75,5.75,284800
2012-03-20,5.72,5.79,5.61,5.67,5.67,235200
2012-03-21,5.68,5.76,5.62,5.68,5.68,285600
2012-03-22,5.61,5.62,5.35,5.59,5.59,342900
2012-03-23,5.59,5.69,5.54,5.66,5.66,191200
2012-03-26,5.71,5.82,5.62,5.65,5.65,550600
2012-03-27,5.65,5.73,5.54,5.54,5.54,279600
2012-03-28,5.56,5.59,5.46,5.51,5.51,235400
2012-03-29,5.46,5.63,5.36,5.57,5.57,281900
2012-03-30,5.61,5.63,5.5,5.58,5.58,329400
2012-04-02,5.56,5.62,5.54,5.62,5.62,362800
