Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,4.8,4.8,4.8,4.8,4.554256,300
2012-02-07,4.8,4.8,4.8,4.8,4.554256,0
2012-02-08,4.8,4.8,4.8,4.8,4.554256,0
2012-02-09,4.8,4.8,4.8,4.8,4.554256,0
2012-02-10,4.8,4.8,4.8,4.8,4.554256,500
2012-02-13,4.8,4.8,4.8,4.8,4.554256,0
2012-02-14,4.8,4.8,4.8,4.8,4.554256,0
2012-02-15,4.62,4.62,4.62,4.62,4.383472,500
2012-02-16,4.8,4.8,4.8,4.8,4.554256,500
2012-02-17,5.0,5.0,5.0,5.0,4.744017,2800
2012-02-21,4.99,5.0,4.99,5.0,4.744017,1000
2012-02-22,4.8,4.8,4.8,4.8,4.554256,2000
2012-02-23,4.75,5.0,4.75,5.0,4.744017,1000
2012-02-24,4.85,4.85,4.85,4.85,4.601696,300
2012-02-27,4.85,4.85,4.85,4.85,4.601696,0
2012-02-28,5.1,5.1,5.1,5.1,4.838897,500
2012-02-29,5.4,5.4,5.1,5.1,4.838897,800
2012-03-01,4.85,4.85,4.85,4.85,4.601696,800
2012-03-02,4.85,4.85,4.85,4.85,4.601696,0
2012-03-05,4.85,4.85,4.85,4.85,4.601696,0
2012-03-06,4.85,4.85,4.85,4.85,4.601696,0
2012-03-07,4.85,4.85,4.85,4.85,4.601696,0
2012-03-08,4.85,4.85,4.85,4.85,4.601696,0
2012-03-09,5.4,5.4,5.4,5.4,5.123538,100
2012-03-12,5.4,5.4,5.4,5.4,5.123538,0
2012-03-13,5.4,5.4,5.4,5.4,5.123538,0
2012-03-14,5.0,5.0,5.0,5.0,4.744017,900
2012-03-15,4.75,5.35,4.75,5.35,5.076098,1800
2012-03-16,5.35,5.35,5.35,5.35,5.076098,0
2012-03-19,5.35,5.35,5.35,5.35,5.076098,0
2012-03-20,5.0,5.0,5.0,5.0,4.744017,300
2012-03-21,5.0,5.0,5.0,5.0,4.744017,0
2012-03-22,5.0,5.0,5.0,5.0,4.744017,0
