Date,Open,High,Low,Close,Adj Close,Volume
2018-07-26,10.65,10.85,10.4,10.5,9.270296,78500
2018-07-27,10.45,10.55,10.26,10.4,9.182009,50500
2018-07-30,10.4,10.7,10.4,10.6,9.358585,52400
2018-07-31,10.6,10.65,10.2,10.3,9.093719,47100
2018-08-01,8.6,9.6,8.2,9.2,8.122546,1364200
2018-08-02,9.0,9.7,9.0,9.1,8.034257,884800
2018-08-03,9.1,9.39,9.1,9.26,8.175518,347300
2018-08-06,9.25,9.29,9.2,9.29,8.202004,85700
2018-08-07,9.3,10.15,9.3,10.1,8.917144,162100
2018-08-08,9.95,10.45,9.95,10.4,9.182009,60000
2018-08-09,10.44,10.5,10.12,10.17,8.978943,33300
2018-08-10,10.12,10.35,10.12,10.16,8.970115,8700
2018-08-13,10.16,10.35,10.16,10.3,9.093719,8400
2018-08-14,10.3,10.58,10.1,10.55,9.314442,49600
2018-08-15,10.55,10.82,10.55,10.75,9.491019,113700
2018-08-16,10.82,11.5,10.75,11.15,9.844172,36200
2018-08-17,10.85,11.19,10.8,11.0,9.71174,16700
2018-08-20,11.0,11.15,11.0,11.05,9.755884,17000
2018-08-21,11.18,11.35,11.1,11.1,9.800029,38700
2018-08-22,11.19,11.5,11.15,11.38,10.047236,23000
2018-08-23,11.27,11.44,11.27,11.44,10.100208,12800
2018-08-24,11.35,11.35,11.15,11.32,9.994263,13700
2018-08-27,11.15,11.5,11.15,11.4,10.064894,10700
2018-08-28,11.25,11.5,10.9,10.95,9.667596,23300
2018-08-29,11.09,11.2,11.09,11.2,9.888317,4300
2018-08-30,11.3,11.5,11.16,11.32,9.994263,20600
2018-08-31,11.35,11.5,11.35,11.5,10.153182,5300
2018-09-04,11.5,11.5,11.3,11.45,10.109036,32700
2018-09-05,11.45,11.5,11.39,11.45,10.109036,35400
2018-09-06,11.38,11.5,11.38,11.5,10.153182,4600
2018-09-07,11.42,11.6,11.42,11.52,10.170841,26100
2018-09-10,11.5,11.65,11.5,11.51,10.162011,18100
2018-09-11,11.53,11.55,11.5,11.55,10.197326,17800
2018-09-12,11.53,11.64,11.5,11.55,10.197326,7700
2018-09-13,11.55,11.65,11.5,11.55,10.197326,11200
2018-09-14,11.55,11.65,11.55,11.55,10.197326,7100
2018-09-17,11.55,11.75,11.55,11.6,10.241471,7600
2018-09-18,11.6,11.63,11.6,11.6,10.241471,15200
2018-09-19,11.6,11.7,11.5,11.56,10.206156,37800
2018-09-20,11.56,11.65,11.56,11.61,10.250299,26700
2018-09-21,11.6,12.0,11.55,12.0,10.594625,26200
2018-09-24,11.6,12.0,11.6,11.6,10.241471,6500
2018-09-25,11.6,11.95,11.6,11.6,10.241471,30000
2018-09-26,11.6,11.65,11.5,11.5,10.153182,14300
2018-09-27,11.25,11.8,11.25,11.61,10.250299,2600
2018-09-28,11.61,11.67,11.61,11.65,10.285616,12600
2018-10-01,11.61,11.65,11.6,11.6,10.241471,9000
2018-10-02,11.6,11.6,11.5,11.5,10.153182,5000
2018-10-03,11.5,11.7,11.5,11.7,10.329759,3500
2018-10-04,11.55,11.7,11.55,11.6,10.241471,4300
2018-10-05,11.6,11.7,11.5,11.6,10.241471,2100
2018-10-08,11.6,11.61,11.6,11.61,10.250299,7200
2018-10-09,11.6,11.79,11.5,11.55,10.197326,1800
2018-10-10,11.55,11.8,11.5,11.5,10.153182,29100
2018-10-11,11.5,11.55,11.5,11.5,10.153182,6800
2018-10-12,11.5,11.7,11.5,11.55,10.197326,10900
2018-10-15,11.7,11.71,11.5,11.71,10.338588,6700
2018-10-16,11.65,11.95,11.65,11.65,10.285616,13100
2018-10-17,11.6,11.75,11.6,11.7,10.329759,8400
2018-10-18,11.85,11.85,11.7,11.8,10.418049,1600
2018-10-19,11.8,11.85,11.8,11.85,10.462193,4300
2018-10-22,11.88,11.88,11.55,11.6,10.241471,6500
2018-10-23,11.6,11.65,11.55,11.6,10.241471,4200
2018-10-24,11.63,11.7,11.63,11.65,10.285616,3200
2018-10-25,11.65,11.75,11.65,11.65,10.285616,6800
2018-10-26,11.65,11.65,11.5,11.6,10.241471,46300
2018-10-29,11.6,11.8,10.27,10.5,9.270296,27300
2018-10-30,10.55,11.05,10.55,10.58,9.340927,5300
2018-10-31,10.55,10.9,10.55,10.8,9.535163,2300
2018-11-01,10.95,10.95,10.7,10.7,9.446875,7000
2018-11-02,10.55,10.74,10.3,10.55,9.314442,5800
2018-11-05,10.74,10.74,10.31,10.4,9.182009,1200
2018-11-06,10.32,10.49,10.32,10.41,9.190837,2600
2018-11-07,10.32,10.4,10.26,10.26,9.058404,4000
2018-11-08,10.26,10.26,10.25,10.25,9.049575,4900
2018-11-09,10.25,10.25,10.1,10.1,8.917144,3900
2018-11-12,10.0,10.0,9.5,9.5,8.387411,8500
2018-11-13,9.74,9.99,9.25,9.29,8.202004,3900
2018-11-14,9.95,10.05,9.72,9.9,8.740565,19100
2018-11-15,10.2,10.2,10.0,10.0,8.828855,1600
2018-11-16,10.01,10.78,10.01,10.78,9.517505,300
2018-11-19,10.0,11.49,10.0,10.01,8.837683,1300
2018-11-20,10.0,10.0,10.0,10.0,8.828855,20300
2018-11-21,9.26,9.8,9.26,9.75,8.608134,4200
2018-11-23,9.75,9.75,9.75,9.75,8.608134,0
2018-11-26,9.75,9.75,9.75,9.75,8.608134,200
2018-11-27,9.75,10.19,9.51,9.8,8.652279,17900
2018-11-28,9.8,9.8,9.5,9.51,8.39624,1000
2018-11-29,12.35,12.5,12.12,12.3,10.85949,198200
2018-11-30,12.2,12.21,12.0,12.19,10.762371,13300
2018-12-03,12.01,12.01,11.98,12.0,10.594625,5100
2018-12-04,11.85,11.85,11.0,11.6,10.241471,32400
2018-12-06,11.6,11.6,10.75,11.5,10.153182,27100
2018-12-07,11.55,11.55,11.55,11.55,10.197326,3500
2018-12-10,11.75,11.9,11.75,11.77,10.391562,4100
2018-12-11,11.85,11.9,11.83,11.83,10.444534,3700
2018-12-12,11.88,12.15,11.88,12.1,10.682913,15300
2018-12-13,12.05,12.18,12.0,12.01,10.603454,10400
2018-12-14,12.01,12.1,11.8,11.8,10.418049,17800
2018-12-17,11.79,11.91,11.79,11.91,10.515165,19500
2018-12-18,11.9,11.96,11.8,11.9,10.506336,33400
2018-12-19,11.9,11.91,11.7,11.75,10.373903,41600
2018-12-20,11.75,11.83,11.35,11.41,10.073724,31900
2018-12-21,11.46,11.65,11.46,11.6,10.241471,16100
2018-12-24,11.7,11.7,11.6,11.65,10.285616,12200
2018-12-26,11.41,11.65,11.41,11.65,10.285616,19100
2018-12-27,11.65,12.0,11.53,11.85,10.462193,17700
2018-12-28,11.75,11.75,11.7,11.75,10.373903,203500
2018-12-31,11.72,11.81,11.65,11.73,10.356245,88300
2019-01-02,11.65,11.7,11.65,11.7,10.329759,8900
2019-01-03,11.7,11.75,11.7,11.75,10.373903,12200
2019-01-04,11.75,12.05,11.75,12.0,10.594625,4600
2019-01-07,12.0,12.05,12.0,12.05,10.63877,1700
2019-01-08,12.0,12.23,12.0,12.22,10.78886,10400
2019-01-09,12.3,12.3,12.0,12.1,10.682913,4800
2019-01-10,11.95,12.15,11.95,12.15,10.727057,6000
2019-01-11,12.08,12.25,12.0,12.25,10.815345,21300
2019-01-14,12.25,12.25,12.05,12.05,10.63877,700
2019-01-15,12.17,12.25,12.1,12.25,10.815345,2600
2019-01-16,12.25,12.25,12.25,12.25,10.815345,100
2019-01-17,12.0,12.1,12.0,12.0,10.594625,11500
2019-01-18,12.1,12.1,12.0,12.1,10.682913,1400
2019-01-22,12.0,12.1,12.0,12.05,10.63877,38900
2019-01-23,12.2,12.2,12.01,12.2,10.7712,30400
2019-01-24,12.2,12.2,12.05,12.2,10.7712,18500
2019-01-25,12.1,12.2,12.0,12.2,10.7712,2600
2019-01-28,11.9,12.0,11.8,11.9,10.506336,2900
2019-01-29,12.0,12.1,12.0,12.0,10.594625,8100
2019-01-30,11.9,12.1,11.85,11.98,10.576967,16500
2019-01-31,12.0,12.0,11.91,11.91,10.515165,1600
2019-02-01,11.9,12.0,11.9,12.0,10.594625,6000
2019-02-04,12.03,12.05,12.0,12.0,10.594625,5100
2019-02-05,12.0,12.0,11.95,11.95,10.55048,27600
2019-02-06,11.95,12.0,11.86,11.95,10.55048,13200
2019-02-07,11.92,11.92,11.85,11.87,10.479849,16000
2019-02-08,11.86,11.9,11.8,11.9,10.506336,6800
2019-02-11,11.9,11.9,11.86,11.86,10.471019,6100
2019-02-12,11.88,11.9,11.85,11.85,10.462193,22300
2019-02-13,11.95,11.95,11.85,11.85,10.462193,13900
2019-02-14,11.85,11.95,11.85,11.93,10.532822,4100
2019-02-15,11.9,11.95,11.61,11.85,10.462193,9400
2019-02-19,11.87,11.95,11.85,11.85,10.462193,15400
2019-02-20,11.9,11.9,11.85,11.9,10.506336,57300
2019-02-21,11.78,11.88,11.75,11.85,10.462193,32000
2019-02-22,11.8,11.85,11.8,11.8,10.418049,4000
2019-02-25,11.75,11.75,11.6,11.7,10.329759,5800
2019-02-26,11.6,11.7,11.6,11.6,10.241471,5300
2019-02-27,11.6,11.61,11.6,11.6,10.241471,3000
2019-02-28,11.55,11.55,11.55,11.55,10.197326,300
2019-03-01,11.55,11.63,11.51,11.51,10.162011,3100
2019-03-04,11.5,11.5,11.3,11.5,10.153182,3700
2019-03-05,11.25,11.25,11.25,11.25,9.932461,3400
2019-03-06,11.13,11.6,11.12,11.25,9.932461,3800
2019-03-07,11.3,11.3,10.99,10.99,9.70291,8000
2019-03-08,10.99,10.99,10.99,10.99,9.70291,100
2019-03-11,10.6,10.75,10.6,10.75,9.491019,3400
2019-03-12,10.16,10.16,9.9,9.95,8.784711,19600
2019-03-13,9.99,10.25,9.99,10.25,9.049575,14500
2019-03-14,10.0,10.01,10.0,10.0,8.828855,15100
2019-03-15,10.0,10.25,10.0,10.06,8.881825,2900
2019-03-18,10.09,10.09,10.09,10.09,8.908313,1700
2019-03-19,10.0,10.2,10.0,10.15,8.961287,2000
2019-03-20,10.2,10.2,10.2,10.2,9.005432,1000
2019-03-21,10.2,10.2,9.95,10.04,8.864169,12800
2019-03-22,9.95,10.01,9.94,10.01,8.837683,5100
2019-03-25,10.0,10.0,10.0,10.0,8.828855,100
2019-03-26,9.95,10.0,9.94,9.94,8.775881,1900
2019-03-27,9.94,9.94,9.94,9.94,8.775881,0
2019-03-28,9.94,9.96,9.94,9.94,8.775881,1200
2019-03-29,9.94,9.96,9.89,9.89,8.731736,8900
2019-04-01,9.8,9.89,9.8,9.89,8.731736,1500
2019-04-02,9.89,9.99,9.89,9.99,8.820024,1000
2019-04-03,9.91,9.94,9.89,9.94,8.775881,8300
2019-04-04,9.87,9.95,9.87,9.95,8.784711,4400
2019-04-05,9.87,9.9,9.87,9.87,8.714079,9200
2019-04-08,9.95,9.95,9.89,9.9,8.740565,10300
2019-04-09,9.86,9.86,9.75,9.77,8.625792,5300
2019-04-10,9.78,9.78,9.75,9.75,8.608134,4600
2019-04-11,9.65,9.89,9.65,9.89,8.731736,1100
2019-04-12,9.78,9.79,9.78,9.79,8.643447,500
2019-04-15,9.53,9.53,9.53,9.53,8.413898,300
2019-04-16,9.31,9.52,9.31,9.52,8.405069,900
2019-04-17,9.4,9.51,9.4,9.5,8.387411,5300
2019-04-18,9.31,9.31,9.05,9.05,7.990113,10100
2019-04-22,9.0,9.25,9.0,9.2,8.122546,11700
2019-04-23,9.1,9.2,9.0,9.0,7.945971,13900
2019-04-24,8.91,9.2,8.91,9.2,8.122546,6100
2019-04-25,9.14,9.14,9.05,9.05,7.990113,700
2019-04-26,9.05,9.15,8.92,8.92,7.875338,2600
2019-04-29,9.05,9.05,9.05,9.05,7.990113,100
2019-04-30,9.15,9.15,9.0,9.0,7.945971,5200
2019-05-01,9.0,9.1,8.95,8.95,7.901825,3000
2019-05-02,8.9,9.0,8.9,9.0,7.945971,2200
2019-05-03,9.0,9.15,9.0,9.15,8.078402,3600
2019-05-06,9.95,10.5,9.95,10.09,8.908313,69500
2019-05-07,10.06,10.06,9.9,10.05,8.872998,29000
2019-05-08,10.01,10.01,9.92,10.01,8.837683,12100
2019-05-09,10.01,10.05,10.01,10.01,8.837683,4800
2019-05-10,10.01,10.05,9.9,10.05,8.872998,2600
2019-05-13,10.0,10.0,9.9,9.9,8.740565,16300
